Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_region_mean_value,Cell_Ed_region_variance,Cell_Ed_region_max_value,Cell_Ed_region_min_value,Cell_Ed_region_top_50_value,Cell_Ed_region_top_25_value,Cell_Ed_not_region_mean_value,Cell_Ed_not_region_variance,Cell_Ed_not_region_max_value,Cell_Ed_not_region_min_value,Cell_Ed_not_region_top_50_value,Cell_Ed_not_region_top_25_value,Fp_mito_ratio_mean,Fp_non_mito_ratio_mean,Fp_whole_cell_ratio_mean,Fp_mito_pixels,Fp_non_mito_pixels,Fp_whole_cell_pixels
MCF7,2.0,roi,1,1,0.5,1,0.033173587173223495,0.0017986275488510728,0.057680562138557434,0.0017137869726866484,0.03922779858112335,0.0009887246415019035,0.1880795657634735,0.0,0.06484191,0.08239339,0.03170480951666832,0.00198406376875937,0.3185776472091675,0.0,0.063398525,0.097594775,0.8800467,0.9247488,0.9160213,5273.0,21735.0,27008.0
MCF7,2.0,roi,1,1,0.5,2,0.016110356897115707,0.0005254216375760734,0.03134945034980774,0.0005446908180601895,0.0171950850635767,0.000339056714437902,0.12354832142591476,0.0,0.031991307,0.043688882,0.01572786085307598,0.000590576499234885,0.20564332604408264,0.0,0.03145845,0.05201575,0.5054509,0.60874087,0.5818138,4071.0,11545.0,15616.0
MCF7,2.0,roi,1,1,0.5,3,0.1641804724931717,0.004606375005096197,0.16980069875717163,0.0038097414653748274,0.17212936282157898,0.001093492261134088,0.3157471716403961,0.05494007095694542,0.19839722,0.21462643,0.16196992993354797,0.005560833960771561,0.46749526262283325,0.0,0.22027984,0.25488487,3.158256,2.1075532,2.3361712,4766.0,17138.0,21904.0
MCF7,2.0,roi,1,1,0.5,4,0.07661987841129303,0.0016622634138911963,0.07921136170625687,0.001513210590928793,0.08014073967933655,0.000578278093598783,0.17052802443504333,0.0,0.099318855,0.11108966,0.07558545470237732,0.001976026687771082,0.3322162926197052,0.0,0.110401064,0.13420323,1.4829117,1.1909832,1.2572752,5886.0,20034.0,25920.0
MCF7,2.0,roi,1,1,0.5,5,0.08612935990095139,0.002173178130760789,0.08972058445215225,0.0019415834685787559,0.08923444151878357,0.0007996323984116316,0.20129495859146118,0.0,0.11171955,0.12529725,0.0851273238658905,0.0026123239658772945,0.3774453401565552,0.0,0.12562409,0.1519016,1.6019639,1.3308494,1.3969955,6199.0,19209.0,25408.0
MCF7,2.0,roi,1,1,0.5,6,0.08981211483478546,0.0010080208303406835,0.09010651707649231,0.0009847980691120028,0.10194545984268188,0.0002319570630788803,0.16184359788894653,0.03536389395594597,0.11384528,0.12037682,0.08652228116989136,0.0011677033035084605,0.25699445605278015,0.0,0.113613814,0.13094673,1.4789944,1.2213273,1.2685175,6054.0,27002.0,33056.0
MCF7,2.0,roi,1,1,0.5,7,0.10133862495422363,0.001233592745848,0.10152071714401245,0.001217323006130755,0.11225022375583649,0.0003896297712344676,0.17114616930484772,0.0412154458463192,0.12761141,0.13536473,0.09869362413883209,0.001402313937433064,0.30706462264060974,0.0,0.12860923,0.14904678,1.5191455,1.2302366,1.2866049,6309.0,26027.0,32336.0
MCF7,2.0,roi,1,1,0.5,8,0.061822324991226196,0.0012250146828591824,0.06355056166648865,0.0011494294740259647,0.05020463839173317,0.0005245640059001744,0.14006127417087555,0.0,0.068313815,0.08012474,0.06537284702062607,0.0013852269621565938,0.29995059967041016,0.0,0.09430235,0.11420938,0.82659817,0.9059205,0.887353,3925.0,12843.0,16768.0
MCF7,2.0,roi,2,1,0.5,1,0.08299025893211365,0.003332276362925768,0.09468106180429459,0.0026947951409965754,0.08328153192996979,0.0013838965678587556,0.22545738518238068,0.0,0.11325811,0.13140042,0.08290311694145203,0.0039152237586677074,0.3535388708114624,0.0,0.13405003,0.16661085,1.4934847,1.2867308,1.3343468,5741.0,19187.0,24928.0
MCF7,2.0,roi,2,1,0.5,2,0.011486304923892021,0.00041386185330338776,0.030371330678462982,0.000520742847584188,0.02000078558921814,0.00031726600718684494,0.09699230641126633,0.0,0.03452245,0.044916417,0.008768548257648945,0.0004141680255997926,0.33029964566230774,0.0,0.017537873,0.03507886,0.38981184,0.62112397,0.56515557,7193.0,22535.0,29728.0
