Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
MCF7,6.0,A133,0,1,60.0,1,-0.16554027820140416
MCF7,6.0,A133,0,1,60.0,2,-1.089447477164895
MCF7,6.0,A133,0,1,60.0,3,-1.038608789467643
MCF7,6.0,A133,0,1,60.0,4,-0.5570918677852716
MCF7,6.0,A133,0,1,60.0,5,0.4924949556453948
MCF7,6.0,A133,0,1,60.0,6,-0.4809453045437629
MCF7,6.0,A133,1,1,60.0,1,-1.7386034607398528
MCF7,6.0,A133,1,1,60.0,2,-2.098934022451549
MCF7,6.0,A133,1,1,60.0,3,-0.49947443448092316
MCF7,6.0,A133,1,1,60.0,4,-1.5706989316212734
MCF7,6.0,A133,1,1,60.0,5,-1.5163289331201624
MCF7,6.0,A133,1,1,60.0,6,-1.2797764329340668
MCF7,6.0,A133,1,1,60.0,7,-0.7023183100344426
MCF7,6.0,A133,2,1,60.0,1,-0.45389176933553876
MCF7,6.0,A133,2,1,60.0,2,-0.6008659025617343
MCF7,6.0,A133,2,1,60.0,3,-0.26661993972696596
MCF7,6.0,A133,3,1,60.0,1,-0.4832688727742954
MCF7,6.0,A133,3,1,60.0,2,0.04102775593994352
MCF7,6.0,A133,3,1,60.0,3,-0.39129025551571134
MCF7,6.0,A133,3,1,60.0,4,-0.16120215524012557
MCF7,6.0,A133,4,1,60.0,1,-0.142444756497447
MCF7,6.0,A133,4,1,60.0,2,1.4179439212240936
MCF7,6.0,A133,4,1,60.0,3,1.9305259675010087
MCF7,6.0,A133,5,1,60.0,1,-0.3261191306705263
MCF7,6.0,A133,5,1,60.0,2,1.858132001230222
MCF7,6.0,A133,5,1,60.0,3,-0.07422818554178992
MCF7,6.0,A133,5,1,60.0,4,-0.5466433012147913
MCF7,6.0,A133,5,1,60.0,5,1.313663925966964
MCF7,6.0,A133,5,1,60.0,6,-0.7671573151937341
MCF7,6.0,A133,5,1,60.0,7,-0.7862605449854769
MCF7,6.0,A133,6,1,60.0,1,-0.6183278313981502
MCF7,6.0,A133,6,1,60.0,2,0.45749847853054
MCF7,6.0,A133,6,1,60.0,3,-0.40461846226786047
MCF7,6.0,A133,6,1,60.0,4,-1.0633283459658873
MCF7,6.0,A133,6,1,60.0,5,1.8046581926613214
MCF7,6.0,A133,6,1,60.0,6,-1.0906990199261548
MCF7,6.0,A133,6,1,60.0,7,-1.1330262519731211
MCF7,6.0,A133,7,1,60.0,1,4.292155926562719
MCF7,6.0,A133,7,1,60.0,2,2.165857648535935
MCF7,6.0,A133,7,1,60.0,3,2.1311816110568538
MCF7,6.0,A133,7,1,60.0,4,-2.739850555891131
MCF7,6.0,A133,7,1,60.0,5,2.113646301036015
MCF7,6.0,A133,8,1,60.0,1,0.4727117438056377
MCF7,6.0,A133,8,1,60.0,2,1.389873713827573
MCF7,6.0,A133,8,1,60.0,3,-0.11498140387865821
MCF7,6.0,A133,8,1,60.0,4,0.127606635247425
MCF7,6.0,A133,8,1,60.0,5,-0.3846615731611757
MCF7,6.0,A133,8,1,60.0,6,0.4133598230591821
MCF7,6.0,A133,8,1,60.0,7,0.25334567562172006
MCF7,6.0,A133,8,1,60.0,8,0.33340784870729767
