Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
MCF7,4,A199,0,2,70,1,-1.9412153048002572
MCF7,4,A199,0,2,70,2,-1.841991008655373
MCF7,4,A199,0,2,70,3,-1.4286929360375837
MCF7,4,A199,0,2,70,4,-1.4571866181952162
MCF7,4,A199,0,2,70,5,-0.48142144416416977
MCF7,4,A199,0,2,70,6,-2.1095178997558257
MCF7,4,A199,0,2,70,7,-1.5666092754816576
MCF7,4,A199,0,2,70,8,-1.6204404388660854
MCF7,4,A199,0,2,70,9,-1.8233950833548964
MCF7,4,A199,1,2,70,1,-0.7802364560130948
MCF7,4,A199,1,2,70,2,-1.020416529101692
MCF7,4,A199,1,2,70,3,-0.47198618364350947
MCF7,4,A199,1,2,70,4,-1.2484749969954683
MCF7,4,A199,1,2,70,5,-0.9300652846280583
MCF7,4,A199,1,2,70,6,-0.6681277421632471
MCF7,4,A199,2,2,70,1,-1.498015186081597
MCF7,4,A199,2,2,70,2,-1.7560402892690063
MCF7,4,A199,2,2,70,3,-1.6317591317721267
MCF7,4,A199,2,2,70,4,-1.976812724294394
MCF7,4,A199,2,2,70,5,-1.386109433162291
MCF7,4,A199,2,2,70,6,-1.3511673870587868
MCF7,4,A199,2,2,70,7,-1.5827592452447021
MCF7,4,A199,2,2,70,8,-1.767208038331621
MCF7,4,A199,2,2,70,9,-1.785801527786629
MCF7,4,A199,3,2,70,1,-0.9483163937392743
MCF7,4,A199,3,2,70,2,-0.9258609105807744
MCF7,4,A199,3,2,70,3,0.00744721500428022
MCF7,4,A199,3,2,70,4,-0.09975476316279443
MCF7,4,A199,4,2,70,1,-0.9043549618931642
MCF7,4,A199,4,2,70,2,-1.0615376341713505
MCF7,4,A199,4,2,70,3,-1.1136838210964153
MCF7,4,A199,4,2,70,4,-0.8998510312369493
MCF7,4,A199,4,2,70,5,-1.0925861515396968
MCF7,4,A199,4,2,70,6,0.013147014826409472
MCF7,4,A199,4,2,70,7,0.30584561870232235
MCF7,4,A199,4,2,70,8,-0.4461265671540552
MCF7,4,A199,5,2,70,1,-1.7869370770373236
MCF7,4,A199,5,2,70,2,-1.2715122281509048
MCF7,4,A199,5,2,70,3,-1.2145967081810358
MCF7,4,A199,5,2,70,4,-1.1755784711240753
MCF7,4,A199,5,2,70,5,-1.6443511432532465
MCF7,4,A199,5,2,70,6,-1.113682275775096
MCF7,4,A199,5,2,70,7,-1.5631539370120777
MCF7,4,A199,5,2,70,8,-1.342410679748546
MCF7,4,A199,5,2,70,9,-1.505038252406865
MCF7,4,A199,5,2,70,10,-1.4307569876740962
MCF7,4,A199,5,2,70,11,-0.9474068280875878
MCF7,4,A199,5,2,70,12,-1.6133528881156018
MCF7,4,A199,5,2,70,13,-0.8054751152511259
MCF7,4,A199,5,2,70,14,-1.2451419222533069
MCF7,4,A199,6,2,70,1,0.23210236151559144
MCF7,4,A199,6,2,70,2,-0.2595289654850522
MCF7,4,A199,6,2,70,3,-1.2667942050122734
MCF7,4,A199,6,2,70,4,-0.8576476512142762
MCF7,4,A199,6,2,70,5,-1.337857167850685
MCF7,4,A199,6,2,70,6,-1.0046478608261717
MCF7,4,A199,6,2,70,7,-0.9423256544389601
MCF7,4,A199,6,2,70,8,-1.1945498571213278
MCF7,4,A199,6,2,70,9,-0.4028071770282141
MCF7,4,A199,6,2,70,10,-1.8106718505210844
MCF7,4,A199,6,2,70,11,-1.4483725244610735
MCF7,4,A199,6,2,70,12,-1.7831249264943447
MCF7,4,A199,6,2,70,13,-1.3916343759483771
MCF7,4,A199,6,2,70,14,-1.036281426369187
MCF7,4,A199,7,2,70,1,-0.35256655463284675
MCF7,4,A199,7,2,70,2,-0.5433845859757205
MCF7,4,A199,7,2,70,3,-0.1806594322206852
MCF7,4,A199,7,2,70,4,-0.4943279154377896
MCF7,4,A199,7,2,70,5,-0.24603762937997126
MCF7,4,A199,7,2,70,6,-0.2056855966813922
MCF7,4,A199,8,2,70,1,-0.468766493579154
MCF7,4,A199,8,2,70,2,-0.2887528512538051
MCF7,4,A199,8,2,70,3,-0.7348744654060019
MCF7,4,A199,8,2,70,4,-0.21678679215973723
MCF7,4,A199,8,2,70,5,-0.5581876641537641
MCF7,4,A199,8,2,70,6,-0.6669857497084083
MCF7,4,A199,8,2,70,7,-0.7357496934941398
MCF7,4,A199,8,2,70,8,-0.29021058690359547
MCF7,4,A199,8,2,70,9,-0.0548472803667337
MCF7,4,A199,9,2,70,1,-1.1850006618932398
MCF7,4,A199,9,2,70,2,-1.2258448401441326
MCF7,4,A199,9,2,70,3,-1.9690041109012715
MCF7,4,A199,9,2,70,4,-1.9395751164672623
MCF7,4,A199,9,2,70,5,-1.0488083510116957
MCF7,4,A199,9,2,70,6,-1.0530429766881932
MCF7,4,A199,9,2,70,7,-2.1784215772574482
MCF7,4,A199,9,2,70,8,-1.9023586716846368
MCF7,4,A199,9,2,70,9,-1.7931089070427306
MCF7,2,control,0,3,0,1,-2.366833444493069
MCF7,2,control,0,3,0,2,-1.0704721458492552
MCF7,2,control,0,3,0,3,-0.9024815811937589
MCF7,2,control,1,3,0,1,-1.099095394299887
MCF7,2,control,1,3,0,2,-0.7331630564238131
MCF7,2,control,1,3,0,3,-1.3198080245188937
MCF7,2,control,1,3,0,4,-1.0019197419398351
MCF7,2,control,1,3,0,5,-0.9437788965882405
MCF7,2,control,1,3,0,6,-1.2266954812760884
MCF7,2,control,10,3,0,1,0.8547769126624415
MCF7,2,control,10,3,0,2,0.022922401918290293
MCF7,2,control,10,3,0,3,-1.1783717835332268
MCF7,2,control,11,3,0,1,0.6452386618811123
MCF7,2,control,11,3,0,2,0.1081120677699869
MCF7,2,control,12,3,0,1,0.8081579995720105
MCF7,2,control,12,3,0,2,0.8341544043634864
MCF7,2,control,12,3,0,3,0.17334427867614996
MCF7,2,control,12,3,0,4,0.4915211803601717
MCF7,2,control,12,3,0,5,0.23036870083674582
MCF7,2,control,13,3,0,1,2.3695471575941767
MCF7,2,control,13,3,0,2,0.9741539896015354
MCF7,2,control,13,3,0,3,-0.4294727262454322
MCF7,2,control,13,3,0,4,1.1513149921200962
MCF7,2,control,13,3,0,5,0.10564934085678937
MCF7,2,control,13,3,0,6,-0.15901398810366477
MCF7,2,control,2,3,0,1,-0.3488997952045439
MCF7,2,control,2,3,0,2,0.812138952743899
MCF7,2,control,3,3,0,1,0.16001667191991467
MCF7,2,control,3,3,0,2,-1.2680829535512281
MCF7,2,control,3,3,0,3,-0.6433383121535556
MCF7,2,control,3,3,0,4,-0.5621126218793359
MCF7,2,control,3,3,0,5,-0.42171494132409676
MCF7,2,control,3,3,0,6,-0.262016272807162
MCF7,2,control,3,3,0,7,-0.4598676940023149
MCF7,2,control,4,3,0,1,-1.1777235126294514
MCF7,2,control,5,3,0,1,-0.4722660213955843
MCF7,2,control,5,3,0,2,-1.118690660564684
MCF7,2,control,5,3,0,3,0.6038874865319505
MCF7,2,control,5,3,0,4,0.6286622851049959
MCF7,2,control,5,3,0,5,-0.09906922455986984
MCF7,2,control,6,3,0,1,1.044535680522394
MCF7,2,control,6,3,0,2,1.8301077077480916
MCF7,2,control,6,3,0,3,0.024780375209933897
MCF7,2,control,6,3,0,4,-0.16962888750488106
MCF7,2,control,7,3,0,1,-1.5000179688196897
MCF7,2,control,8,3,0,1,1.4883323401243658
MCF7,2,control,8,3,0,2,-0.4160130064844222
MCF7,2,control,9,3,0,1,1.634248714586513
MCF7,2,control,9,3,0,2,1.5801694171940603
MCF7,2,control,9,3,0,3,0.7349876899831985
MCF7,2,control,9,3,0,4,1.2316791182642242
