ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,70,6,A199,0.8752471877734352,False,0.5905753015366728
2,0,70,6,A199,0.8398040390195952,True,0.5551321527828328
3,0,70,6,A199,0.7790063836830494,True,0.494334497446287
4,0,70,6,A199,0.8720353270872785,False,0.5873634408505161
5,0,70,6,A199,0.8632954674913685,False,0.5786235812546061
6,0,70,6,A199,0.8745457798845298,False,0.5898738936477673
7,0,70,6,A199,0.8255843629235475,False,0.5409124766867851
1,1,70,6,A199,0.8124546688358205,False,0.5277827825990581
2,1,70,6,A199,0.8952638364597518,False,0.6105919502229894
3,1,70,6,A199,0.8235087862718062,False,0.5388369000350438
4,1,70,6,A199,0.8279017098248481,False,0.5432298235880857
5,1,70,6,A199,0.8495789396262843,False,0.5649070533895219
1,10,70,6,A199,0.8574999607071166,False,0.5728280744703542
2,10,70,6,A199,0.8207160330390926,False,0.5360441468023301
3,10,70,6,A199,0.9235100992925706,True,0.6388382130558081
4,10,70,6,A199,0.8720611601048013,False,0.5873892738680389
5,10,70,6,A199,0.8550167755227605,False,0.570344889285998
6,10,70,6,A199,0.8604103046393735,False,0.5757384184026111
7,10,70,6,A199,0.8654200963024167,False,0.5807482100656542
8,10,70,6,A199,0.8066302998721675,False,0.5219584136354051
1,2,70,6,A199,0.7175434125327635,True,0.4328715262960011
2,2,70,6,A199,0.8681482859057766,True,0.5834763996690142
3,2,70,6,A199,0.8730801812871588,False,0.5884082950503964
4,2,70,6,A199,0.6305714179054003,True,0.34589953166863785
5,2,70,6,A199,0.8412999413912132,False,0.5566280551544508
1,3,70,6,A199,0.8834556874185591,False,0.5987838011817966
2,3,70,6,A199,0.7996624831977657,False,0.5149905969610032
3,3,70,6,A199,0.7642346855099188,False,0.47956279927315637
4,3,70,6,A199,0.7933252588731168,False,0.5086533726363544
5,3,70,6,A199,0.6937687493818248,True,0.40909686314506233
6,3,70,6,A199,0.7821088194597826,False,0.4974369332230202
7,3,70,6,A199,0.7985597156042014,False,0.5138878293674389
8,3,70,6,A199,0.9239062321142513,True,0.6392343458774888
9,3,70,6,A199,0.8814787835998544,False,0.596806897363092
10,3,70,6,A199,0.871900476366638,False,0.5872285901298756
11,3,70,6,A199,0.8698432977884295,False,0.5851714115516671
12,3,70,6,A199,0.8558466388151466,False,0.5711747525783841
13,3,70,6,A199,0.9035309720481134,True,0.618859085811351
14,3,70,6,A199,0.8910615318428523,False,0.6063896456060899
1,4,70,6,A199,0.8275114848059093,False,0.5428395985691469
2,4,70,6,A199,0.8683605730182611,False,0.5836886867814987
3,4,70,6,A199,0.8519018603677753,True,0.5672299741310128
4,4,70,6,A199,0.838802205950285,False,0.5541303197135226
5,4,70,6,A199,0.8272252802315778,False,0.5425533939948154
6,4,70,6,A199,0.8512250604605693,False,0.5665531742238069
7,4,70,6,A199,0.8074721575603265,False,0.5228002713235641
8,4,70,6,A199,0.7925498547360224,False,0.5078779684992599
9,4,70,6,A199,0.8688464726258577,False,0.5841745863890953
10,4,70,6,A199,0.871970850346119,True,0.5872989641093566
11,4,70,6,A199,0.8446371169267829,False,0.5599652306900205
12,4,70,6,A199,0.8759836232320023,False,0.5913117369952399
13,4,70,6,A199,0.4877512660055158,True,0.2030793797687534
14,4,70,6,A199,0.6225964941902821,True,0.33792460795351964
15,4,70,6,A199,0.8358125338962697,False,0.5511406476595073
16,4,70,6,A199,0.8839462856353002,False,0.5992743993985378
1,5,70,6,A199,0.8343826144551845,False,0.549710728218422
2,5,70,6,A199,0.8149272176934034,False,0.5302553314566409
3,5,70,6,A199,0.7392691590377007,True,0.4545972728009383
4,5,70,6,A199,0.820641582374118,True,0.5359696961373556
5,5,70,6,A199,0.7667346439527906,True,0.48206275771602813
6,5,70,6,A199,0.7988888128422462,True,0.5142169266054838
1,6,70,6,A199,0.883485562979037,False,0.5988136767422746
2,6,70,6,A199,0.8619725989984346,False,0.5773007127616722
3,6,70,6,A199,0.7824717803341886,True,0.4977998940974262
4,6,70,6,A199,0.8541527327716825,False,0.56948084653492
5,6,70,6,A199,0.8704259646626346,False,0.5857540784258721
6,6,70,6,A199,0.836125392257344,False,0.5514535060205815
7,6,70,6,A199,0.7977388225789133,False,0.5130669363421508
8,6,70,6,A199,0.8753706266990584,False,0.590698740462296
9,6,70,6,A199,0.73992829449495,False,0.4552564082581876
