ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,1,2,roi,0.9399773812085618,True,0.731364209440241
2,0,1,2,roi,0.9223678647922096,False,0.7137546930238889
3,0,1,2,roi,0.928576454515966,False,0.7199632827476454
4,0,1,2,roi,0.9529529721234772,False,0.7443398003551565
5,0,1,2,roi,0.9288050038074923,True,0.7201918320391716
6,0,1,2,roi,0.926313311747945,False,0.7177001399796243
7,0,1,2,roi,0.935273411682463,False,0.7266602399141424
1,1,1,2,roi,0.9520584065435915,False,0.7434452347752709
2,1,1,2,roi,0.9199579351541338,True,0.7113447633858132
3,1,1,2,roi,0.9121271256010937,False,0.703513953832773
4,1,1,2,roi,0.925659132261816,False,0.7170459604934953
5,1,1,2,roi,0.7913082768346674,True,0.5826951050663467
6,1,1,2,roi,0.9380269938546768,False,0.7294138220863562
7,1,1,2,roi,0.8947618042958772,False,0.6861486325275565
8,1,1,2,roi,0.9368342707554993,True,0.7282210989871787
9,1,1,2,roi,0.9139433604499535,False,0.7053301886816328
10,1,1,2,roi,0.9549078739205455,False,0.7462947021522248
11,1,1,2,roi,0.9271001585068204,False,0.7184869867384998
12,1,1,2,roi,0.9295792459668837,False,0.7209660741985631
1,10,1,2,roi,0.9074689152618722,False,0.6988557434935516
2,10,1,2,roi,0.9352991798876291,False,0.7266860081193085
3,10,1,2,roi,0.9495164820042741,False,0.7409033102359535
4,10,1,2,roi,0.9336157869580252,False,0.7250026151897044
5,10,1,2,roi,0.9522292274202154,True,0.7436160556518947
6,10,1,2,roi,0.9334336874798368,False,0.7248205157115162
7,10,1,2,roi,0.9473683298451785,False,0.7387551580768579
1,11,1,2,roi,0.9698744036411446,True,0.761261231872824
2,11,1,2,roi,0.9683206944642395,True,0.7597075226959189
3,11,1,2,roi,0.9565301205396392,False,0.7479169487713184
4,11,1,2,roi,0.9391923081118531,False,0.7305791363435323
5,11,1,2,roi,0.9269419284406961,False,0.7183287566723755
6,11,1,2,roi,0.9434515002562793,False,0.7348383284879587
7,11,1,2,roi,0.947378845017177,True,0.7387656732488563
8,11,1,2,roi,0.9311888424990645,False,0.7225756707307438
9,11,1,2,roi,0.9707261006014981,True,0.7621129288331774
10,11,1,2,roi,0.9505580449550438,False,0.7419448731867231
11,11,1,2,roi,0.9578926181331285,True,0.7492794463648078
1,12,1,2,roi,0.946172582853458,False,0.7375594110851373
2,12,1,2,roi,0.9471785546191155,False,0.7385653828507948
3,12,1,2,roi,0.9363432362715454,False,0.7277300645032247
4,12,1,2,roi,0.9429014183514479,True,0.7342882465831273
5,12,1,2,roi,0.9444893127900572,True,0.7358761410217365
6,12,1,2,roi,0.9459699081057155,False,0.7373567363373947
7,12,1,2,roi,0.9232357110419478,False,0.7146225392736272
8,12,1,2,roi,0.9118904138983999,True,0.7032772421300792
9,12,1,2,roi,0.9348248669669805,False,0.7262116951986599
10,12,1,2,roi,0.9323185536069882,False,0.7237053818386676
1,13,1,2,roi,0.6970489780756187,True,0.48843580630729805
2,13,1,2,roi,0.8882839943742094,False,0.6796708226058887
3,13,1,2,roi,0.9040876972122678,False,0.6954745254439472
4,13,1,2,roi,0.8814005670016112,True,0.6727873952332906
5,13,1,2,roi,0.9311134292196759,False,0.7225002574513553
6,13,1,2,roi,0.9341726843867555,True,0.7255595126184349
7,13,1,2,roi,0.9343219332696429,False,0.7257087615013222
8,13,1,2,roi,0.9450213628323525,False,0.7364081910640319
9,13,1,2,roi,0.9503952089722485,False,0.7417820372039279
10,13,1,2,roi,0.934472361054943,False,0.7258591892866224
11,13,1,2,roi,0.9188542271950286,False,0.710241055426708
12,13,1,2,roi,0.9410337237529944,False,0.7324205519846738
13,13,1,2,roi,0.9333297807513998,False,0.7247166089830792
14,13,1,2,roi,0.9498139774869013,False,0.7412008057185806
15,13,1,2,roi,0.952278774909467,True,0.7436656031411464
