Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_region_mean_value,Cell_Ed_region_variance,Cell_Ed_region_max_value,Cell_Ed_region_min_value,Cell_Ed_region_top_50_value,Cell_Ed_region_top_25_value,Cell_Ed_not_region_mean_value,Cell_Ed_not_region_variance,Cell_Ed_not_region_max_value,Cell_Ed_not_region_min_value,Cell_Ed_not_region_top_50_value,Cell_Ed_not_region_top_25_value,Fp_mito_ratio_mean,Fp_non_mito_ratio_mean,Fp_whole_cell_ratio_mean,Fp_mito_pixels,Fp_non_mito_pixels,Fp_whole_cell_pixels
MCF7,2.0,A133,0,1,60.0,1,0.10812034457921982,0.0021585547365248203,0.10968033224344254,0.0020185993053019047,0.11610312759876251,0.0010315717663615942,0.2245505154132843,0.0,0.14163075,0.15729547,0.10614114999771118,0.0024182547349482775,0.35644474625587463,0.0,0.14514066,0.16894199,0.9811511,1.0582988,1.0429715,4889,19719,24608
MCF7,2.0,A133,0,1,60.0,2,0.13865308463573456,0.0022319939453154802,0.13940642774105072,0.0021390996407717466,0.11513641476631165,0.0007582013495266438,0.2108718752861023,0.0,0.13711478,0.15070146,0.14448481798171997,0.00242631696164608,0.4847978353500366,0.0,0.18162335,0.20771587,0.579497,0.7243023,0.6955285,4486,18090,22576
MCF7,2.0,A133,0,1,60.0,3,0.08065564930438995,0.0005380312213674188,0.08349693566560745,0.00031974632292985916,0.08309721946716309,0.0001744786713970825,0.13522805273532867,0.03441213443875313,0.09353733,0.1001024,0.0798114463686943,0.0006609612028114498,0.16994807124137878,0.0,0.09816765,0.10785315,0.21439727,0.2771972,0.26106212,7120,20592,27712
MCF7,2.0,A133,1,1,60.0,1,0.052541714161634445,0.0002124174643540755,0.05264554172754288,0.00020737110753543675,0.0563863143324852,0.00031381205189973116,0.11704455316066742,0.0,0.070113026,0.07966528,0.052063699811697006,0.00019774457905441523,0.1503717005252838,0.0,0.06249134,0.06946066,0.19865686,0.20590255,0.20510128,3981,32019,36000
MCF7,2.0,A133,1,1,60.0,2,0.05342664569616318,0.00014913000632077456,0.053428471088409424,0.0001490372233092785,0.05557657778263092,0.000269722513621673,0.10489524155855179,0.0,0.06872151,0.07712366,0.053168509155511856,0.00013402916374616325,0.14849381148815155,0.0016191276954486966,0.062026046,0.06759634,0.20340656,0.21216562,0.21122666,6250,52054,58304
MCF7,2.0,A133,1,1,60.0,3,0.04830007255077362,0.00023435197363141924,0.04834751412272453,0.0002322882501175627,0.05382891744375229,0.0002117615658789873,0.10725242644548416,0.0,0.06524476,0.072782345,0.04736790060997009,0.00023213795793708414,0.14470414817333221,0.0,0.05901404,0.06670246,0.4664955,0.29692826,0.32139271,9850,58422,68272
MCF7,2.0,A133,10,1,60.0,1,0.048157550394535065,8.48110721562989e-05,0.048157550394535065,8.48110721562989e-05,0.05258404091000557,7.937548070913181e-05,0.08586083352565765,0.01671423204243183,0.059536453,0.06360031,0.047476448118686676,8.216864807764068e-05,0.09165320545434952,0.01219954714179039,0.05453992,0.05935755,0.23504148,0.1789661,0.18636028,4958,32642,37600
MCF7,2.0,A133,10,1,60.0,2,0.04194851964712143,0.00024315615883097053,0.04228749871253967,0.00023078659432940185,0.040372710675001144,0.00018120593449566513,0.08397994190454483,0.0,0.050486267,0.055800557,0.042154453694820404,0.00025088503025472164,0.1266629546880722,0.0,0.053522874,0.062174458,0.06665501,0.08712652,0.08476046,4686,35858,40544
MCF7,2.0,A133,10,1,60.0,3,0.04519752413034439,6.754881178494543e-05,0.04519752413034439,6.754881178494543e-05,0.04694541543722153,6.518523878185079e-05,0.07927050441503525,0.018938938155770302,0.053402085,0.05726095,0.04462573677301407,6.69956425554119e-05,0.08003972470760345,0.007170382887125015,0.050897293,0.054944005,0.117652215,0.11487362,0.11555843,7169,21919,29088
MCF7,2.0,A133,10,1,60.0,4,0.0435895211994648,0.0001449321862310171,0.04365530237555504,0.0001422790519427508,0.04172699153423309,0.00016603319090791047,0.0832977369427681,0.0,0.051440857,0.057368312,0.04385511204600334,0.00014135798846837133,0.11972573399543762,0.0,0.05254528,0.05830153,0.085929275,0.0988731,0.09725769,5052,35428,40480
MCF7,2.0,A133,10,1,60.0,5,0.05538582429289818,0.0001546315470477566,0.05538582429289818,0.0001546315470477566,0.06290960311889648,0.0001805624197004363,0.11243027448654175,0.013324840925633907,0.07338694,0.080064066,0.0533040314912796,0.00012745975982397795,0.10702477395534515,0.011214490979909897,0.062104024,0.0682308,0.23295201,0.17816164,0.19003624,7074,25566,32640
