Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
MCF7,4,A199,0,2,70,1,-1.6106175168621393
MCF7,4,A199,0,2,70,2,-1.5959825239956438
MCF7,4,A199,0,2,70,3,-1.0816796688698223
MCF7,4,A199,0,2,70,4,-1.1728197644918892
MCF7,4,A199,0,2,70,5,0.01897556620439004
MCF7,4,A199,0,2,70,6,-1.736082857820618
MCF7,4,A199,0,2,70,7,-1.3588719254496042
MCF7,4,A199,0,2,70,8,-1.5452527853516345
MCF7,4,A199,1,2,70,1,-0.5288814156278598
MCF7,4,A199,1,2,70,2,-0.7363305673439491
MCF7,4,A199,1,2,70,3,-1.0501110192962502
MCF7,4,A199,1,2,70,4,-0.48259620021951255
MCF7,4,A199,1,2,70,5,-0.9168387084345299
MCF7,4,A199,1,2,70,6,-0.690781915721317
MCF7,4,A199,2,2,70,1,-0.7514360980537035
MCF7,4,A199,2,2,70,2,-1.5024875995384424
MCF7,4,A199,2,2,70,3,-1.250671864288265
MCF7,4,A199,2,2,70,4,-1.3587381992720962
MCF7,4,A199,2,2,70,5,-1.730043587512621
MCF7,4,A199,2,2,70,6,-1.19914010735219
MCF7,4,A199,2,2,70,7,-1.4283159294296037
MCF7,4,A199,2,2,70,8,-1.251158163990313
MCF7,4,A199,2,2,70,9,-1.3649910570308088
MCF7,4,A199,2,2,70,10,-1.5563535736481586
MCF7,4,A199,3,2,70,1,-0.8492148960319867
MCF7,4,A199,3,2,70,2,-0.19117512174971962
MCF7,4,A199,3,2,70,3,-0.1857683049407086
MCF7,4,A199,4,2,70,1,-0.807218707060095
MCF7,4,A199,4,2,70,2,-1.1928802958322466
MCF7,4,A199,4,2,70,3,-1.0532840740361644
MCF7,4,A199,4,2,70,4,-1.0386893773244914
MCF7,4,A199,4,2,70,5,-1.0711142310372554
MCF7,4,A199,4,2,70,6,-0.15078090106374772
MCF7,4,A199,4,2,70,7,-0.672724156766107
MCF7,4,A199,4,2,70,8,0.12302772662193738
MCF7,4,A199,4,2,70,9,-0.5126439374008913
MCF7,4,A199,5,2,70,1,-1.5981229095325258
MCF7,4,A199,5,2,70,2,-1.1780760947758109
MCF7,4,A199,5,2,70,3,-1.152702176649128
MCF7,4,A199,5,2,70,4,-1.4676330303311396
MCF7,4,A199,5,2,70,5,-1.1058383726460952
MCF7,4,A199,5,2,70,6,-0.9399843026900013
MCF7,4,A199,5,2,70,7,-1.1881688551462783
MCF7,4,A199,5,2,70,8,-1.3629457597212136
MCF7,4,A199,5,2,70,9,-1.3396310464265868
MCF7,4,A199,5,2,70,10,-1.3235625089372036
MCF7,4,A199,5,2,70,11,-0.8718351960320492
MCF7,4,A199,5,2,70,12,-1.4180079590641328
MCF7,4,A199,5,2,70,13,-0.6933357291085831
MCF7,4,A199,5,2,70,14,-1.0136875745744214
MCF7,4,A199,5,2,70,15,-1.0478897383370542
MCF7,4,A199,6,2,70,1,-0.13453192238551354
MCF7,4,A199,6,2,70,2,-1.1144102027942129
MCF7,4,A199,6,2,70,3,-0.44569080635394404
MCF7,4,A199,6,2,70,4,-0.9450364776762604
MCF7,4,A199,6,2,70,5,-1.2318921444459239
MCF7,4,A199,6,2,70,6,-1.016866691567716
MCF7,4,A199,6,2,70,7,-0.8983182569051417
MCF7,4,A199,6,2,70,8,-0.5886489042525822
MCF7,4,A199,6,2,70,9,-1.215138572324559
MCF7,4,A199,6,2,70,10,-0.8776042503106942
MCF7,4,A199,6,2,70,11,-1.544137954785141
MCF7,4,A199,6,2,70,12,-1.3332828686485465
MCF7,4,A199,6,2,70,13,-1.5159545388197966
MCF7,4,A199,6,2,70,14,-1.2629282072298733
MCF7,4,A199,6,2,70,15,-0.8759856286581352
MCF7,4,A199,7,2,70,1,-0.5269310639042954
MCF7,4,A199,7,2,70,2,-0.3762644542293757
MCF7,4,A199,7,2,70,3,-0.6040722396807239
MCF7,4,A199,7,2,70,4,-0.43386370661198037
MCF7,4,A199,7,2,70,5,-0.402987045431621
MCF7,4,A199,8,2,70,1,-0.6728922059958421
MCF7,4,A199,8,2,70,2,-0.5234299342755611
MCF7,4,A199,8,2,70,3,-0.30205159645786445
MCF7,4,A199,8,2,70,4,-0.7883320419360614
MCF7,4,A199,8,2,70,5,-0.4928724329055213
MCF7,4,A199,8,2,70,6,-0.6715398777380945
MCF7,4,A199,8,2,70,7,-0.7342474701015117
MCF7,4,A199,8,2,70,8,-0.7677433813453315
MCF7,4,A199,8,2,70,9,-0.4298164392743026
MCF7,4,A199,8,2,70,10,-0.2677691969887268
MCF7,4,A199,8,2,70,11,-0.1269100651722569
MCF7,4,A199,9,2,70,1,-2.131783609511292
MCF7,4,A199,9,2,70,2,-1.1297948824419763
MCF7,4,A199,9,2,70,3,-1.2834072123550462
MCF7,4,A199,9,2,70,4,-1.1513490460343154
MCF7,4,A199,9,2,70,5,-1.734912896408677
MCF7,4,A199,9,2,70,6,-1.7378759297292756
MCF7,4,A199,9,2,70,7,-0.9061086804226864
MCF7,4,A199,9,2,70,8,-2.2784184819152817
MCF7,4,A199,9,2,70,9,-1.8171026454796506
MCF7,4,A199,9,2,70,10,-1.4979441189314244
MCF7,4,A199,9,2,70,11,-1.4740750660556339
MCF7,2,control,0,3,0,1,-1.8112749344056913
MCF7,2,control,0,3,0,2,-1.049507039742205
MCF7,2,control,0,3,0,3,-0.8314758119504796
MCF7,2,control,1,3,0,1,-0.8848811048513008
MCF7,2,control,1,3,0,2,-1.071470174350126
MCF7,2,control,1,3,0,3,-0.39638299218109446
MCF7,2,control,1,3,0,4,-0.8857177627985491
MCF7,2,control,1,3,0,5,-0.8694483658246509
MCF7,2,control,1,3,0,6,-1.0046026326309043
MCF7,2,control,10,3,0,1,0.511672512030004
MCF7,2,control,10,3,0,2,-0.1587580535901369
MCF7,2,control,10,3,0,3,-1.1293107639935298
MCF7,2,control,11,3,0,1,0.31871697770679763
MCF7,2,control,11,3,0,2,-0.11317069022180289
MCF7,2,control,12,3,0,1,0.40749332042002845
MCF7,2,control,12,3,0,2,0.5025686426865684
MCF7,2,control,12,3,0,3,-0.18974628044357245
MCF7,2,control,12,3,0,4,0.2837532307312027
MCF7,2,control,12,3,0,5,-0.575681925419016
MCF7,2,control,12,3,0,6,-0.016379807343833454
MCF7,2,control,13,3,0,1,-1.3302231837420166
MCF7,2,control,13,3,0,2,1.4054655090114236
MCF7,2,control,13,3,0,3,0.4070150783415757
MCF7,2,control,13,3,0,4,-0.6161393454258153
MCF7,2,control,13,3,0,5,0.5604138819057364
MCF7,2,control,13,3,0,6,-0.13620973666122124
MCF7,2,control,13,3,0,7,-0.17439152144471468
MCF7,2,control,14,3,0,1,1.031620488004374
MCF7,2,control,14,3,0,2,1.129024583502936
MCF7,2,control,14,3,0,3,2.4810733910984912
MCF7,2,control,14,3,0,4,0.9645024005740516
