ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,70,2,ABT-199,0.2737885148214625,False,-0.02138526685969716
2,0,70,2,ABT-199,0.28717025746480146,False,-0.008003524216358193
3,0,70,2,ABT-199,0.30122849901059806,True,0.006054717329438408
4,0,70,2,ABT-199,0.2954379463772436,False,0.0002641646960839239
1,1,70,2,ABT-199,0.26670074977518843,False,-0.028473031905971224
2,1,70,2,ABT-199,0.2708339614687333,False,-0.024339820212426366
3,1,70,2,ABT-199,0.2894905282301457,False,-0.005683253451013948
4,1,70,2,ABT-199,0.2938518719014474,True,-0.0013219097797122492
1,10,70,2,ABT-199,0.2739488716494256,False,-0.021224910031734046
2,10,70,2,ABT-199,0.28625323765517774,False,-0.008920544025981914
3,10,70,2,ABT-199,0.2890925347541221,True,-0.0060812469270375424
1,2,70,2,ABT-199,0.273299976519424,False,-0.02187380516173565
2,2,70,2,ABT-199,0.30297866769479154,False,0.007804886013631884
3,2,70,2,ABT-199,0.2742402595083913,False,-0.020933522172768337
4,2,70,2,ABT-199,0.25284898696295216,True,-0.04232479471820749
1,3,70,2,ABT-199,0.3168065443046202,False,0.021632762623460533
2,3,70,2,ABT-199,0.28788378309403284,False,-0.007289998587126811
3,3,70,2,ABT-199,0.2907656264201356,False,-0.00440815526102406
4,3,70,2,ABT-199,0.3523379482683021,True,0.05716416658714246
5,3,70,2,ABT-199,0.2648100218719927,False,-0.030363759809166946
6,3,70,2,ABT-199,0.21689352554228733,True,-0.07828025613887232
7,3,70,2,ABT-199,0.2676351382565595,False,-0.027538643424600162
1,4,70,2,ABT-199,0.23891364797641632,True,-0.05626013370474334
2,4,70,2,ABT-199,0.3300407974104518,True,0.03486701572929213
3,4,70,2,ABT-199,0.28601225870299646,False,-0.009161522978163195
4,4,70,2,ABT-199,0.2856360335628535,False,-0.009537748118306155
5,4,70,2,ABT-199,0.30393770019066924,False,0.008763918509509583
6,4,70,2,ABT-199,0.28620489701470425,False,-0.008968884666455401
1,5,70,2,ABT-199,0.2630462064669767,True,-0.03212757521418297
2,5,70,2,ABT-199,0.2864297360020029,False,-0.008744045679156764
3,5,70,2,ABT-199,0.32274784288767366,False,0.02757406120651401
4,5,70,2,ABT-199,0.31897870850299553,False,0.02380492682183588
5,5,70,2,ABT-199,0.2869579041562957,False,-0.008215877524863968
6,5,70,2,ABT-199,0.2754757457789616,False,-0.01969803590219804
7,5,70,2,ABT-199,0.28502226408194214,False,-0.010151517599217508
8,5,70,2,ABT-199,0.26381835587943164,True,-0.03135542580172801
1,6,70,2,ABT-199,0.2874917837771136,False,-0.007681997904046056
2,6,70,2,ABT-199,0.3661896235778954,False,0.07101584189673577
3,6,70,2,ABT-199,0.294823386891163,True,-0.0003503947899966553
4,6,70,2,ABT-199,0.34896574444108575,True,0.05379196275992609
5,6,70,2,ABT-199,0.2931389721307145,False,-0.00203480955044516
1,7,70,2,ABT-199,0.28489848031619386,True,-0.010275301364965794
2,7,70,2,ABT-199,0.2996659694322378,True,0.004492187751078125
1,8,70,2,ABT-199,0.2719143228152866,False,-0.02325945886587305
2,8,70,2,ABT-199,0.2853906695353442,False,-0.009783112145815454
3,8,70,2,ABT-199,0.28508849913980117,False,-0.010085282541358487
4,8,70,2,ABT-199,0.3203848718949921,False,0.025211090213832443
1,9,70,2,ABT-199,0.3418967507270397,False,0.046722969045880025
2,9,70,2,ABT-199,0.32376852991846067,False,0.028594748237301015
3,9,70,2,ABT-199,0.29121888923497163,False,-0.003954892446188019
4,9,70,2,ABT-199,0.2545551242986008,True,-0.040618657382558876
1,0,0,2,control,0.282282587928717,False,-0.012891193752442631
2,0,0,2,control,0.2740483955618954,True,-0.021125386119264233
3,0,0,2,control,0.28465835145236407,False,-0.010515430228795586
1,1,0,2,control,0.2863635395123495,True,-0.008810242168810156
2,1,0,2,control,0.2952345199701468,False,6.073828898717215e-05
3,1,0,2,control,0.30642125542130666,True,0.011247473740147007
4,1,0,2,control,0.29459460992851233,False,-0.0005791717526473228
5,1,0,2,control,0.28131989876540137,True,-0.013853882915758287
6,1,0,2,control,0.2793683584002521,False,-0.01580542328090756
1,10,0,2,control,0.2901714113261037,False,-0.005002370355055963
2,10,0,2,control,0.2979395481918428,False,0.0027657665106831653
3,10,0,2,control,0.29637819263451215,False,0.0012044109533524971
1,11,0,2,control,0.29947923899546414,False,0.004305457314304484
2,11,0,2,control,0.3151255818678787,True,0.01995180018671905
1,12,0,2,control,0.3547664155352194,True,0.05959263385405977
2,12,0,2,control,0.2941802153814795,False,-0.0009935662996801709
3,12,0,2,control,0.3087493725160887,False,0.013575590834929041
4,12,0,2,control,0.3320213958317247,True,0.03684761415056503
5,12,0,2,control,0.2931206783613101,False,-0.0020531033198495363
6,12,0,2,control,0.29408967319627866,False,-0.0010841084848809968
1,13,0,2,control,0.29502583593312687,False,-0.00014794574803278504
2,13,0,2,control,0.2793157015824315,False,-0.015858080098728133
3,13,0,2,control,0.28785366406797114,False,-0.007320117613188515
4,13,0,2,control,0.29352174821473764,False,-0.0016520334664220093
5,13,0,2,control,0.30195724642575217,False,0.006783464744592516
6,13,0,2,control,0.2924197868381044,False,-0.002753994843055274
7,13,0,2,control,0.29649689006594737,False,0.001323108384787719
1,14,0,2,control,0.29508954997355447,False,-8.423170760518683e-05
2,14,0,2,control,0.29603198951581816,False,0.0008582078346585087
3,14,0,2,control,0.28758747344134206,False,-0.007586308239817596
4,14,0,2,control,0.30179736833001874,False,0.006623586648859092
5,14,0,2,control,0.2992958295750436,False,0.004122047893883929
6,14,0,2,control,0.2863583561104603,False,-0.008815425570699364
7,14,0,2,control,0.23272904236382524,True,-0.06244473931733441
8,14,0,2,control,0.32890949551291104,True,0.03373571383175139
1,2,0,2,control,0.41307268569030364,True,0.11789890400914399
2,2,0,2,control,0.3190805622836205,False,0.02390678060246082
1,3,0,2,control,0.28387140664084415,False,-0.011302375040315504
2,3,0,2,control,0.2916509007245585,False,-0.0035228809566011376
3,3,0,2,control,0.29418654420413803,True,-0.0009872374770216186
4,3,0,2,control,0.2941412851391886,False,-0.001032496541971073
5,3,0,2,control,0.3156030180848324,False,0.020429236403672724
6,3,0,2,control,0.27240471538134897,False,-0.02276906629981068
7,3,0,2,control,0.3031730206295372,True,0.007999238948377563
1,4,0,2,control,0.28261801142985254,False,-0.012555770251307108
2,4,0,2,control,0.34297331543170007,False,0.04779953375054041
3,4,0,2,control,0.29139191247223695,True,-0.0037818692089227057
4,4,0,2,control,0.25614886499027023,True,-0.03902491669088942
5,4,0,2,control,0.2901391181780868,False,-0.005034663503072856
1,5,0,2,control,0.30598039781191044,True,0.01080661613075079
2,5,0,2,control,0.29535139437096636,False,0.00017761268980670541
3,5,0,2,control,0.2954206427358838,False,0.00024686105472415676
4,5,0,2,control,0.29718851911519667,True,0.002014737434037017
5,5,0,2,control,0.3444749195557975,True,0.04930113787463786
6,5,0,2,control,0.2997776878338345,False,0.004603906152674864
1,6,0,2,control,0.3103090256718997,False,0.015135243990740066
2,6,0,2,control,0.2956658055412147,False,0.0004920238600550353
3,6,0,2,control,0.28786861116899376,False,-0.007305170512165893
4,6,0,2,control,0.2835722689087022,False,-0.011601512772457467
1,7,0,2,control,0.3052054379593832,True,0.010031656278223555
2,7,0,2,control,0.288605525381609,False,-0.006568256299550657
3,7,0,2,control,0.3003048759172838,True,0.005131094236124123
4,7,0,2,control,0.27834458582266414,True,-0.016829195858495516
5,7,0,2,control,0.2897429332679772,False,-0.005430848413182476
6,7,0,2,control,0.2869026073797005,False,-0.008271174301459128
1,8,0,2,control,0.30517074236430125,False,0.009996960683141598
2,8,0,2,control,0.28503886202462214,False,-0.010134919656537511
3,8,0,2,control,0.296930151644813,False,0.0017563699636533592
4,8,0,2,control,0.2967047594820487,False,0.0015309778008890662
1,9,0,2,control,0.29470472144601373,False,-0.0004690602351459239
2,9,0,2,control,0.2981323622218657,True,0.002958580540706024
3,9,0,2,control,0.30470438558915347,True,0.009530603907993818
4,9,0,2,control,0.26759594182269586,False,-0.027577839858463793
5,9,0,2,control,0.27566700460794097,True,-0.019506777073218684
1,0,0,2,control,0.29615922563664615,False,0.000985443955486498
2,0,0,2,control,0.2993917419541436,False,0.004217960272983934
3,0,0,2,control,0.2897276948985564,False,-0.005446086782603277
4,0,0,2,control,0.29172272264702465,True,-0.0034510590341350067
5,0,0,2,control,0.29675643865006307,False,0.0015826569689034176
1,1,0,2,control,0.30238877534864045,False,0.007214993667480796
2,1,0,2,control,0.3499319562093329,True,0.05475817452817322
3,1,0,2,control,0.294194399134415,False,-0.0009793825467446782
4,1,0,2,control,0.28172373032194586,False,-0.013450051359213788
1,2,0,2,control,0.30916200797090476,True,0.01398822628974511
2,2,0,2,control,0.28570468019384154,False,-0.00946910148731811
1,3,0,2,control,0.2778675679702135,False,-0.01730621371094615
2,3,0,2,control,0.32594932080084166,True,0.030775539119682005
3,3,0,2,control,0.2885172686074366,False,-0.006656513073723058
1,4,0,2,control,0.27640493941746475,False,-0.018768842263694907
2,4,0,2,control,0.3103212766439052,True,0.015147494962745534
3,4,0,2,control,0.28245445406212627,False,-0.012719327619033383
4,4,0,2,control,0.32748171127045345,True,0.03230792958929379
1,5,0,2,control,0.2966266881370033,True,0.0014529064558436722
2,5,0,2,control,0.2955139246079789,False,0.0003401429268192202
3,5,0,2,control,0.27384251444934776,True,-0.02133126723181189
4,5,0,2,control,0.26437388287592933,False,-0.03079989880523032
5,5,0,2,control,0.2982166441906161,False,0.0030428625094564565
6,5,0,2,control,0.2960781500962145,False,0.0009043684150548681
7,5,0,2,control,0.28256444439637196,False,-0.012609337284787692
1,6,0,2,control,0.2699630204207509,True,-0.025210761260408776
2,6,0,2,control,0.3354661881463059,True,0.04029240646514626
3,6,0,2,control,0.2762369499482181,False,-0.018936831732941528
4,6,0,2,control,0.2943579517541942,False,-0.000815829926965439
5,6,0,2,control,0.2650804734188469,True,-0.030093308262312768
6,6,0,2,control,0.2598948272593755,False,-0.03527895442178414
1,7,0,2,control,0.3374521887752661,True,0.04227840709410646
2,7,0,2,control,0.28786057677135385,False,-0.007313204909805804
3,7,0,2,control,0.2936160531322626,False,-0.001557728548897075
4,7,0,2,control,0.29515023311737626,False,-2.3548563783393206e-05
5,7,0,2,control,0.2961900302169294,False,0.0010162485357697593
6,7,0,2,control,0.181930278573305,True,-0.11324350310785467
7,7,0,2,control,0.2969816663349237,True,0.0018078846537640247
8,7,0,2,control,0.31889306622973035,False,0.023719284548570696
9,7,0,2,control,0.29843094398808845,False,0.003257162306928796
10,7,0,2,control,0.33466982448049204,True,0.03949604279933239
11,7,0,2,control,0.2981556422841358,False,0.002981860602976172
12,7,0,2,control,0.27879224536767,False,-0.016381536313489653
1,8,0,2,control,0.29694125937222976,False,0.0017674776910701073
2,8,0,2,control,0.27984640579494274,False,-0.01532737588621691
3,8,0,2,control,0.26363178070120563,True,-0.03154200097995402
4,8,0,2,control,0.29974999108730493,False,0.004576209406145282
5,8,0,2,control,0.33167152199759536,False,0.03649774031643571
6,8,0,2,control,0.2850260538052841,False,-0.010147727875875534
7,8,0,2,control,0.26763660928310296,True,-0.027537172398056697
8,8,0,2,control,0.26743215236657203,False,-0.027741629314587624
9,8,0,2,control,0.2892573216144695,False,-0.005916460066690166
10,8,0,2,control,0.35147315575358,False,0.05629937407242036
1,9,0,2,control,0.29780470284014593,False,0.002630921158986277
2,9,0,2,control,0.3006554136600249,False,0.0054816319788652534
3,9,0,2,control,0.2547441799067697,False,-0.04042960177438998
