Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_agg_mean_value,Cell_Ed_agg_variance,Cell_Ed_agg_max_value,Cell_Ed_agg_min_value,Cell_Ed_agg_top_50_value,Cell_Ed_agg_top_25_value,ObjectNumber
MCF7,2,0509_control,0,3,0,0.02428637631237507,0.00016434030840173364,0.02518353797495365,0.00014781752543058246,0.02409774623811245,7.0744106778875e-05,0.050745680928230286,0,0.03084128350019455,0.034545909613370895,1
MCF7,2,0509_control,0,3,0,0.011434990912675858,0.00013739908172283322,0.01599401794373989,0.00011926169827347621,0.007608476560562849,5.799516293336637e-05,0.03554736077785492,0,0.013679110445082188,0.018383609130978584,2
MCF7,2,0509_control,0,3,0,0.036344412714242935,0.0005058764945715666,0.038606319576501846,0.00045003590639680624,0.03160029649734497,8.375285688089207e-05,0.05642778053879738,0.01649663969874382,0.03892906755208969,0.04471110180020332,3
MCF7,2,0509_control,0,3,0,0.010918516665697098,0.0001365019561490044,0.016528423875570297,0.00011391339648980647,0.009171910583972931,3.706580901052803e-05,0.024539778009057045,0,0.013916962780058384,0.017755625769495964,4
MCF7,2,0509_control,0,3,0,0.017778586596250534,0.00016143734683282673,0.019795961678028107,0.00013982015661895275,0.011242063716053963,5.201420935918577e-05,0.03358808904886246,0,0.01712777465581894,0.020725978538393974,5
MCF7,2,0509_control,0,3,0,0.016961513087153435,0.0002835875784512609,0.021986233070492744,0.00025712355272844434,0.014188925735652447,0.00019428579253144562,0.07476230710744858,0,0.0253010131418705,0.03407777473330498,6
MCF7,2,0509_control,0,3,0,0.01932957023382187,0.0002466338046360761,0.02237764187157154,0.00021731674496550113,0.012128526344895363,9.745069110067561e-05,0.03849896043539047,0,0.020371360704302788,0.02592432126402855,7
MCF7,2,0509_control,0,3,0,0.005409081932157278,9.415808017365634e-05,0.014919780194759369,0.00011781712964875624,0.006969552952796221,4.4248808990232646e-05,0.02746323123574257,0,0.012475889176130295,0.01646362617611885,8
MCF7,2,0509_control,0,3,0,0.04798547178506851,0.0007322223391383886,0.04901820048689842,0.0006973582785576582,0.03639061748981476,0.0004059144121129066,0.07966362684965134,0.002865805057808757,0.05392953008413315,0.06441359966993332,9
MCF7,2,0509_control,1,3,0,0.026158493012189865,0.00028752366779372096,0.027764271944761276,0.00026059045922011137,0.028594281524419785,3.334772918606177e-05,0.04483870044350624,0.012304452247917652,0.03322704881429672,0.03579029440879822,1
MCF7,2,0509_control,1,3,0,0.04630532115697861,0.0017504101851955056,0.053019728511571884,0.0016482289647683501,0.025604648515582085,0.00023857589985709637,0.07210317999124527,0,0.03801656886935234,0.04574967175722122,2
MCF7,2,0509_control,1,3,0,0.02090039663016796,0.0007773085380904377,0.036012984812259674,0.0007951127481646836,0.01028148178011179,0.0002436526119709015,0.06869909167289734,0,0.020559316501021385,0.03357870876789093,3
MCF7,2,0509_control,1,3,0,0.013167873956263065,0.0002208023943239823,0.019939633086323738,0.00019932661962229759,0.012794638983905315,7.424627983709797e-05,0.033950794488191605,0,0.020226579159498215,0.024482404813170433,4
MCF7,2,0509_control,1,3,0,0.01336411852389574,0.00018493583775125444,0.017778296023607254,0.0001675437088124454,0.007094469387084246,4.921783329336904e-05,0.03485541418194771,0,0.012941527180373669,0.016986967995762825,5
MCF7,2,0509_control,1,3,0,0.03413259610533714,0.0003833023947663605,0.03495746850967407,0.0003637301560956985,0.026205793023109436,8.475645154248923e-05,0.04555964842438698,0,0.03330635279417038,0.03678848594427109,6
MCF7,2,0509_control,1,3,0,0.03758123889565468,0.00040778666152618825,0.039054643362760544,0.0003662309900391847,0.028957217931747437,0.00010157575161429122,0.051387157291173935,0,0.03701956570148468,0.04110170155763626,7
