Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean_value,Ed_variance,Ed_not_zero_mean_value,Ed_not_zero_variance,Ed_region_mean_value,Ed_region_variance,Ed_region_max_value,Ed_region_min_value,Ed_region_top_50_value,Ed_region_top_25_value,Ed_not_region_mean_value,Ed_not_region_variance,Ed_not_region_max_value,Ed_not_region_min_value,Ed_not_region_top_50_value,Ed_not_region_top_25_value,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var,Fp_cell_OCC
MCF7,2.0,A133,0,1,80.0,1,0.09085129201412201,0.0009527432266622782,0.09101831912994385,0.0009392924839630723,0.08370442688465118,0.00011864557745866477,0.13578008115291595,0.041848648339509964,0.09231157600879669,0.09745315462350845,0.09252306818962097,0.001133109675720334,0.33178773522377014,0.0,0.118004404,0.13676442,2.2607319355010986,0.7829901576042175,0.8527712821960449,8820,37489,46319,0.9381071329116821,0.932270884513855,0.9924980401992798,0.42162538,0.92182577,0.19920355,0.0034760954,0.4643378257751465,0.5985751152038574,0.3580591380596161,0.0009579297620803118,0.41156536,0.92182577,0.19920355,0.0035383045,
MCF7,2.0,A133,0,1,80.0,2,0.11323598772287369,0.0014962336281314492,0.11341280490159988,0.0014785167295485735,0.11191435903310776,0.00030969755607657135,0.17980365455150604,0.05654255300760269,0.12583573162555695,0.13499121367931366,0.1135702058672905,0.0017957391683012247,0.3791123926639557,0.0,0.14690691,0.16977657,2.2035045623779297,0.636581301689148,0.733128011226654,5852,23004,28863,0.910797119140625,0.892713189125061,0.9850128889083862,0.56985426,1.2281336,0.27573687,0.008204388,0.6399375200271606,0.8556782007217407,0.46940580010414124,0.003337918082252145,0.55200523,1.2281336,0.27573687,0.0078742895,
MCF7,2.0,A133,0,1,80.0,3,0.10218300670385361,0.0019247288582846522,0.10282101482152939,0.001871146378107369,0.08934520930051804,0.00020546710584312677,0.1427331268787384,0.024011356756091118,0.10060800611972809,0.1072857603430748,0.10537712275981903,0.0023012831807136536,0.44676584005355835,0.0,0.14137828,0.16899727,2.466571092605591,0.6533598303794861,0.83309406042099,6204,24896,31103,0.9602950811386108,0.8737955093383789,0.9910274744033813,0.6420007,1.8212988,0.0,0.013805104,0.717752993106842,0.9133650660514832,0.5221872925758362,0.0028294497169554234,0.6231151,1.8212988,0.0,0.01475412,
MCF7,2.0,A133,1,1,80.0,1,0.07988815754652023,0.000704210193362087,0.08009111881256104,0.0006897443090565503,0.08083681762218475,0.00022393101244233549,0.14107319712638855,0.028425244614481926,0.09304792433977127,0.09959665685892105,0.07972388714551926,0.0007871941197663546,0.26187631487846375,0.0,0.101655684,0.11548993,3.639633893966675,0.48006120324134827,0.6593886613845825,7292,42021,49327,0.8640830516815186,0.7433583736419678,0.9695898294448853,0.61672914,1.2139719,0.31543016,0.009195981,0.6753343939781189,1.0304136276245117,0.3707346022129059,0.014187305234372616,0.60653996,1.2139719,0.31543016,0.007627222,
MCF7,2.0,A133,1,1,80.0,2,0.07917372137308121,0.0013046012027189136,0.08032234013080597,0.0012312679318711162,0.07497403025627136,0.00038640014827251434,0.14757651090621948,0.0,0.09063157439231873,0.09992636740207672,0.08101029694080353,0.0016950545832514763,0.4872526526451111,0.0,0.11220285,0.13434911,5.24334716796875,0.6372263431549072,1.0406396389007568,7268,16469,23775,0.8676366209983826,0.5828869342803955,0.9423296451568604,0.3302112,0.87588143,0.0,0.005569068,0.3312813937664032,0.5212982892990112,0.19376511871814728,0.0021586508955806494,0.32973644,0.87588143,0.0,0.0070811766,
MCF7,2.0,A133,1,1,80.0,3,0.0744323879480362,0.005135188344866037,0.11313706636428833,0.0034265415742993355,0.1058158129453659,0.0011563542066141963,0.23007839918136597,0.0,0.1331011950969696,0.14830350875854492,0.06927268952131271,0.0056007904931902885,0.4834814965724945,0.0,0.13182622,0.17524293,4.269474983215332,0.3298708498477936,0.8310379385948181,16260,98219,114543,0.6860499382019043,0.42666494846343994,0.9058286547660828,0.35892192,1.7419376,0.0,0.08368435,0.6468343734741211,1.34089994430542,0.23538225889205933,0.047318316996097565,0.31107137,1.7419376,0.0,0.07366187,
MCF7,2.0,A133,10,1,80.0,1,0.09604371339082718,0.0010153658222407103,0.09643952548503876,0.0009813777869567275,0.11633572727441788,0.00022323799203149974,0.16608835756778717,0.06100548803806305,0.12818506360054016,0.13488243520259857,0.09181716293096542,0.0010767264757305384,0.2972295880317688,0.0,0.11733841,0.13257052,2.849743604660034,0.6985054612159729,0.7022799253463745,349,18897,19247,0.9083687663078308,0.8983113765716553,0.9845741987228394,0.60756475,1.0247412,0.2584597,0.013238468,0.7343783378601074,0.9107875227928162,0.564106285572052,0.004522213712334633,0.6052161,1.0247412,0.2584597,0.013096541,
MCF7,2.0,A133,10,1,80.0,2,0.07358368486166,0.0005383106181398034,0.07371480762958527,0.0005296044400893152,0.06883307546377182,0.00011389087740099058,0.10754634439945221,0.03229433298110962,0.07735134661197662,0.08238238841295242,0.07464010268449783,0.0006265558768063784,0.2312644124031067,0.0,0.09394611,0.106960684,2.245112419128418,0.889349102973938,0.9494593143463135,5235,23429,28671,0.9475117921829224,0.9213587641716003,0.9881347417831421,0.3496814,0.69297945,0.19582278,0.0031068271,0.3324531316757202,0.41303524374961853,0.2355571985244751,0.0007321208831854165,0.35353592,0.69297945,0.19582278,0.0035568574,
MCF7,2.0,A133,10,1,80.0,3,0.07676515728235245,0.0030075281392782927,0.08781637251377106,0.0024700185749679804,0.07261647284030914,0.000771441322285682,0.1922564059495926,0.0,0.09463301301002502,0.10818684101104736,0.07774340361356735,0.003529776819050312,0.43378937244415283,0.0,0.124538325,0.15642256,4.503016948699951,0.5776620507240295,0.9825534820556641,8225,33112,41438,0.8875174522399902,0.7347626090049744,0.9334015846252441,0.29016986,1.04292,0.0,0.013686861,0.32075488567352295,0.5104976296424866,0.14793431758880615,0.00231741345487535,0.2824797,1.04292,0.0,0.01625119,
MCF7,2.0,A133,10,1,80.0,4,0.10371360182762146,0.003288980107754469,0.11006755381822586,0.00279111391864717,0.09834158420562744,0.0008864481351338327,0.224069282412529,0.012768921442329884,0.12197607010602951,0.13741016387939453,0.10464762896299362,0.0037008090876042843,0.40635770559310913,0.0,0.15163332,0.18399937,4.437521457672119,0.5894742608070374,0.8610976934432983,2634,14741,17390,0.818255603313446,0.8029532432556152,0.9537721872329712,0.43854287,1.2066467,0.0,0.018115405,0.45967376232147217,0.736427903175354,0.25873494148254395,0.003864515107125044,0.43474612,1.2066467,0.0,0.020581339,
MCF7,2.0,A133,10,1,80.0,5,0.10784868896007538,0.0050269500352442265,0.12978392839431763,0.003202534979209304,0.12330125272274017,0.0013915449380874634,0.2726474106311798,0.0,0.15306110680103302,0.17111901938915253,0.10138307511806488,0.006406350061297417,0.4796481430530548,0.0,0.16773158,0.20572305,1.5760314464569092,0.3443795144557953,0.33977019786834717,8286,19326,27695,0.8928368091583252,0.6016215682029724,0.9127107858657837,0.96248895,4.30478,0.0,0.26939875,1.2668110132217407,4.304780006408691,0.6399536728858948,0.07435189932584763,0.830711,3.669799,0.0,0.29638982,
MCF7,2.0,A133,10,1,80.0,6,0.11693163216114044,0.0042132968083024025,0.12499908357858658,0.003495560958981514,0.11146906763315201,0.0011484496062621474,0.24893970787525177,0.007786853704601526,0.13825921714305878,0.15589287877082825,0.11816368997097015,0.004896317142993212,0.45947667956352234,0.0,0.17299637,0.20889187,2.7913997173309326,0.5067994594573975,0.6545517444610596,3029,13131,16175,0.9499985575675964,0.7440358996391296,0.9648221731185913,0.58818024,1.5370297,0.0,0.03464258,0.6438396573066711,1.0908052921295166,0.43267911672592163,0.006771101616322994,0.5752784,1.5370297,0.0,0.040218633,
MCF7,2.0,A133,10,1,80.0,7,0.06483250111341476,0.002147792838513851,0.07282640039920807,0.0018304510740563273,0.062047310173511505,0.000626908615231514,0.1517615020275116,0.0,0.08206158131361008,0.09430685639381409,0.06543705612421036,0.0024758668150752783,0.3978957533836365,0.0,0.10460549,0.13181014,4.36818265914917,0.7427323460578918,1.0028235912322998,6116,27028,33215,0.9360162615776062,0.787604808807373,0.9574568271636963,0.35289866,0.9124188,0.0,0.012478331,0.3811439573764801,0.6088967323303223,0.21571919322013855,0.0019598198123276234,0.34643322,0.9124188,0.0,0.014661625,
MCF7,2.0,A133,10,1,80.0,8,0.04800565168261528,0.0018005672609433532,0.059793051332235336,0.0015378777170553803,0.047578051686286926,0.0004991890164092183,0.12701809406280518,0.0,0.06548313796520233,0.07653498649597168,0.048125315457582474,0.0021646784152835608,0.414059579372406,0.0,0.084911674,0.1120134,3.8292036056518555,0.8032988905906677,1.0981799364089966,5606,19790,25423,0.9500899910926819,0.7900192141532898,0.9610259532928467,0.20391119,0.8459664,0.0,0.007923112,0.22180433571338654,0.3274851441383362,0.13217957317829132,0.0007585460552945733,0.19881834,0.8459664,0.0,0.009845257,
MCF7,2.0,A133,11,1,80.0,1,0.07918887585401535,0.0031227157451212406,0.0916021540760994,0.0024751354940235615,0.08808547258377075,0.0005205789930187166,0.16754239797592163,0.012061350047588348,0.1061939224600792,0.11724572628736496,0.07805347442626953,0.0034434145782142878,0.47545745968818665,0.0,0.12433588,0.15535137,3.814420223236084,0.5869002342224121,0.777881920337677,2968,22983,25967,0.9062830805778503,0.8800290822982788,0.9774195551872253,0.5680669,1.5053071,0.0,0.050973978,0.6936801671981812,0.9966378808021545,0.44038766622543335,0.006064622662961483,0.5517586,1.5053071,0.0,0.054490034,
MCF7,2.0,A133,11,1,80.0,2,0.09409172087907791,0.0027618976309895515,0.09966254234313965,0.002370216650888324,0.09651848673820496,0.0004019165353383869,0.18821029365062714,0.019694173708558083,0.1123976781964302,0.12214721739292145,0.09371576458215714,0.0031264438293874264,0.4239944517612457,0.0,0.13624755,0.16589846,2.7028329372406006,0.6227776408195496,0.6732401251792908,5050,32025,37103,0.9318806529045105,0.9069183468818665,0.982951283454895,0.52958345,1.9049969,0.0,0.020692736,0.5514821410179138,0.9038249850273132,0.37285420298576355,0.0025303170550614595,0.52611125,1.9049969,0.0,0.023484452,
MCF7,2.0,A133,11,1,80.0,3,0.1178382933139801,0.005737831350415945,0.13556158542633057,0.004198223818093538,0.11785659193992615,0.0014970904449000955,0.2674695551395416,0.0,0.1481132209300995,0.16685593128204346,0.11783507466316223,0.006482388824224472,0.47764140367507935,0.0,0.18275356,0.22244032,2.4385464191436768,0.34153616428375244,0.5742166042327881,2587,14638,17247,0.8384978771209717,0.6772140860557556,0.9376333355903625,0.45679384,1.718064,0.0,0.04797861,0.6237758994102478,1.162466049194336,0.3146933615207672,0.016478924080729485,0.42703387,1.718064,0.0,0.047737524,
MCF7,2.0,A133,12,1,80.0,1,0.14262747764587402,0.0036508794873952866,0.14624567329883575,0.003214352298527956,0.13778838515281677,0.001599533250555396,0.2984270751476288,0.0,0.1696462333202362,0.18938922882080078,0.14416512846946716,0.004292889032512903,0.534013569355011,0.0,0.19472037,0.22696432,3.644591808319092,0.4156879782676697,0.44307464361190796,12319,38281,50845,0.5221306681632996,0.17058803141117096,0.7406520247459412,0.9008864,3.8725584,0.0,0.112495445,1.0086090564727783,3.872558355331421,0.36435288190841675,0.12249163538217545,0.86553407,3.5378306,0.0,0.10415688,
MCF7,2.0,A133,12,1,80.0,2,0.13711224496364594,0.002975177252665162,0.13866305351257324,0.0027937893755733967,0.1240328848361969,0.0008435726631432772,0.22191222012043,0.014491930603981018,0.14721150696277618,0.16114814579486847,0.14315403997898102,0.003844308201223612,0.4976557791233063,0.0,0.19036604,0.22244671,2.928962230682373,0.339842289686203,0.5812329649925232,11384,23879,35407,0.9410849809646606,0.4946521818637848,0.8952740430831909,0.6450687,2.085123,0.0,0.0239346,0.6140826940536499,1.787489414215088,0.33730900287628174,0.011384843848645687,0.660027,2.085123,0.0,0.029305704,
MCF7,2.0,A133,12,1,80.0,3,0.1288214474916458,0.0013315764954313636,0.12893138825893402,0.0013185376301407814,0.12349986284971237,0.0003460607840679586,0.19444280862808228,0.05419977754354477,0.13821280002593994,0.14717580378055573,0.13009347021579742,0.0015587573871016502,0.3897415101528168,0.0,0.16019888,0.17939657,5.762557029724121,1.0796668529510498,1.0812127590179443,886,19031,19935,0.9552724957466125,0.4515529274940491,0.9438852071762085,0.8909001,1.8640523,0.46908453,0.022876546,0.9153056144714355,1.2717914581298828,0.7195655107498169,0.006923833396285772,0.8897409,1.8640523,0.46908453,0.023604648,
MCF7,2.0,A133,12,1,80.0,4,0.12236163020133972,0.0010530781000852585,0.12242112308740616,0.0010463063372299075,0.11876169592142105,0.00042496409150771797,0.19366365671157837,0.04819565638899803,0.13517723977565765,0.14515654742717743,0.12350747734308243,0.0012475678231567144,0.31858760118484497,0.0,0.15074876,0.16816933,3.425595283508301,1.0780292749404907,1.0778175592422485,60,10225,10287,0.9647100567817688,0.04938963055610657,0.9512417316436768,0.6402516,1.3585072,0.38120198,0.008731749,0.6228211522102356,0.8213164806365967,0.4720897674560547,0.005712330341339111,0.64035714,1.3585072,0.38120198,0.008748203,
MCF7,2.0,A133,12,1,80.0,5,0.12771709263324738,0.001354409847408533,0.1278456449508667,0.001339338137768209,0.12532395124435425,0.0003876143600791693,0.1995648741722107,0.04646269232034683,0.14092260599136353,0.15026576817035675,0.12845781445503235,0.001651332713663578,0.44130533933639526,0.0,0.15958078,0.18020697,4.009433746337891,0.5527886748313904,1.0297595262527466,7604,24191,31823,0.9581720232963562,0.6925027966499329,0.9748904705047607,0.63735765,1.4009211,0.29721054,0.009399746,0.666788637638092,1.0807068347930908,0.431413859128952,0.006090609822422266,0.62807286,1.4009211,0.29721054,0.01008423,
MCF7,2.0,A133,12,1,80.0,6,0.13967110216617584,0.0014847784768790007,0.13968560099601746,0.0014829084975644946,0.13901051878929138,0.00045836123172193766,0.2100534737110138,0.06208852678537369,0.15610316395759583,0.16572526097297668,0.1398734599351883,0.001799017540179193,0.43479669094085693,0.0,0.17236744,0.19546774,2.4293980598449707,0.4129329323768616,0.6645587086677551,4576,14694,19279,0.7395600080490112,0.6999170780181885,0.9512248635292053,0.74728304,1.5581071,0.38224533,0.026806157,0.8944539427757263,1.371044635772705,0.4656132459640503,0.027927733957767487,0.70136416,1.5581071,0.38224533,0.017589742,
MCF7,2.0,A133,13,1,80.0,1,0.10659673064947128,0.005570781417191029,0.13032105565071106,0.0037188432179391384,0.11443159729242325,0.0004324517212808132,0.2120819389820099,0.029167991131544113,0.13083307445049286,0.1408640593290329,0.10549797862768173,0.006281556095927954,0.4624576270580292,0.0,0.16888535,0.20854433,3.193037748336792,0.588829517364502,0.8536906838417053,4334,30480,34831,0.9429827332496643,0.8860810399055481,0.9803369045257568,0.5279384,1.6981906,0.0,0.075868554,0.6412078738212585,0.954480767250061,0.4136046767234802,0.005368447862565517,0.5117698,1.6981906,0.0,0.08383923,
MCF7,2.0,A133,13,1,80.0,2,0.09316368401050568,0.006424117833375931,0.12939339876174927,0.004234457854181528,0.10017155110836029,0.0008045042050071061,0.20345835387706757,0.0,0.1227610856294632,0.13629361987113953,0.09190065413713455,0.007426492404192686,0.5621859431266785,0.0,0.16405794,0.20945653,3.744205951690674,0.6486650109291077,1.0377814769744873,9227,50545,59839,0.9422732591629028,0.8639644384384155,0.9735181331634521,0.24288115,0.95672464,0.0,0.027282517,0.3446478247642517,0.5880948305130005,0.19022348523139954,0.001780979335308075,0.22416909,0.95672464,0.0,0.029717136,
