Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
MCF7,2.0,A133,0,1,80.0,1,0.7542265323095466
MCF7,2.0,A133,0,1,80.0,2,-1.04886048302114
MCF7,2.0,A133,0,1,80.0,3,-0.45630433340083265
MCF7,2.0,A133,0,1,80.0,4,-0.8990261770817147
MCF7,2.0,A133,1,1,80.0,1,-1.4971618176173043
MCF7,2.0,A133,1,1,80.0,2,-1.0317669155320432
MCF7,2.0,A133,1,1,80.0,3,-1.1206674683406497
MCF7,2.0,A133,1,1,80.0,4,-0.16311829289540966
MCF7,2.0,A133,1,1,80.0,5,-0.6798526149475971
MCF7,2.0,A133,1,1,80.0,6,-0.7381064854537981
MCF7,2.0,A133,10,1,80.0,1,-1.2011549459191406
MCF7,2.0,A133,10,1,80.0,2,-0.4331903623691229
MCF7,2.0,A133,10,1,80.0,3,-1.3143212360983962
MCF7,2.0,A133,10,1,80.0,4,-1.015920497107532
MCF7,2.0,A133,10,1,80.0,5,-0.5372592926110117
MCF7,2.0,A133,10,1,80.0,6,0.032296734161262816
MCF7,2.0,A133,10,1,80.0,7,-0.31086507216238796
MCF7,2.0,A133,10,1,80.0,8,-0.2639545723770003
MCF7,2.0,A133,10,1,80.0,9,-1.2310757630224713
MCF7,2.0,A133,10,1,80.0,10,-1.5524767577063907
MCF7,2.0,A133,11,1,80.0,1,-0.7998204373976037
MCF7,2.0,A133,11,1,80.0,2,-0.6900092810887374
MCF7,2.0,A133,11,1,80.0,3,-0.24853817328803185
MCF7,2.0,A133,11,1,80.0,4,-0.08868788408554383
MCF7,2.0,A133,11,1,80.0,5,-0.32340165686894
MCF7,2.0,A133,11,1,80.0,6,-0.6705709989650027
MCF7,2.0,A133,11,1,80.0,7,-0.36610814309468476
MCF7,2.0,A133,12,1,80.0,1,0.3236715656395688
MCF7,2.0,A133,12,1,80.0,2,-0.09021507045606918
MCF7,2.0,A133,12,1,80.0,3,-0.24315476162491426
MCF7,2.0,A133,12,1,80.0,4,-0.183803059858622
MCF7,2.0,A133,12,1,80.0,5,0.07127346355516218
MCF7,2.0,A133,12,1,80.0,6,0.5474511303692733
MCF7,2.0,A133,12,1,80.0,7,0.8245964001833044
MCF7,2.0,A133,13,1,80.0,1,-0.35757285044452186
MCF7,2.0,A133,13,1,80.0,2,-0.4808061363752085
MCF7,2.0,A133,13,1,80.0,3,-1.0662332907460454
MCF7,2.0,A133,13,1,80.0,4,-0.8565497784337147
MCF7,2.0,A133,14,1,80.0,1,-0.5834327682154951
MCF7,2.0,A133,14,1,80.0,2,0.05498878940375885
MCF7,2.0,A133,14,1,80.0,3,-0.11835881970288363
MCF7,2.0,A133,14,1,80.0,4,1.3594320520599081
MCF7,2.0,A133,14,1,80.0,5,0.7735599997110868
MCF7,2.0,A133,14,1,80.0,6,0.6400146189637623
MCF7,2.0,A133,14,1,80.0,7,-0.04282128048140065
MCF7,2.0,A133,15,1,80.0,1,2.1764369067846903
MCF7,2.0,A133,15,1,80.0,2,-0.5927141185080459
MCF7,2.0,A133,15,1,80.0,3,0.28760414222292324
MCF7,2.0,A133,15,1,80.0,4,-0.028737316961009812
MCF7,2.0,A133,15,1,80.0,5,-0.5993183759214354
MCF7,2.0,A133,15,1,80.0,6,-0.9810227741077686
MCF7,2.0,A133,2,1,80.0,1,0.0827746541618645
MCF7,2.0,A133,2,1,80.0,2,-0.41150766360220525
MCF7,2.0,A133,2,1,80.0,3,0.07750548921748887
MCF7,2.0,A133,2,1,80.0,4,-0.2409625530752965
MCF7,2.0,A133,3,1,80.0,1,-0.9104717056242863
MCF7,2.0,A133,3,1,80.0,2,0.006377076269297289
MCF7,2.0,A133,3,1,80.0,3,0.06820182096127898
MCF7,2.0,A133,4,1,80.0,1,-0.9944415826040448
MCF7,2.0,A133,4,1,80.0,2,-0.7645835610572049
MCF7,2.0,A133,4,1,80.0,3,-0.5065898938098796
MCF7,2.0,A133,4,1,80.0,4,-0.9275640775081878
MCF7,2.0,A133,4,1,80.0,5,-1.1428366455773702
MCF7,2.0,A133,4,1,80.0,6,-1.1230249360973779
MCF7,2.0,A133,4,1,80.0,7,-1.1793161542516168
MCF7,2.0,A133,5,1,80.0,1,-0.017596667743453146
MCF7,2.0,A133,5,1,80.0,2,-0.07319656040428395
MCF7,2.0,A133,5,1,80.0,3,0.08942009353200876
MCF7,2.0,A133,5,1,80.0,4,0.004854406629511413
MCF7,2.0,A133,5,1,80.0,5,0.6970944051673623
MCF7,2.0,A133,5,1,80.0,6,0.7006225032561253
MCF7,2.0,A133,5,1,80.0,7,0.26900451072176446
MCF7,2.0,A133,5,1,80.0,8,-0.09857474198742301
MCF7,2.0,A133,5,1,80.0,9,0.39988741154232393
MCF7,2.0,A133,5,1,80.0,10,0.06635793205879999
MCF7,2.0,A133,5,1,80.0,11,0.28491509329179926
MCF7,2.0,A133,5,1,80.0,12,0.7682531067805226
MCF7,2.0,A133,6,1,80.0,1,-0.09720882947335467
MCF7,2.0,A133,6,1,80.0,2,-0.2248984016600681
MCF7,2.0,A133,6,1,80.0,3,1.2360001628216417
MCF7,2.0,A133,6,1,80.0,4,0.05863060283117715
MCF7,2.0,A133,6,1,80.0,5,1.6415757486639022
MCF7,2.0,A133,6,1,80.0,6,0.9837798073763954
MCF7,2.0,A133,6,1,80.0,7,0.2518916807045056
MCF7,2.0,A133,7,1,80.0,1,-0.8372338465750514
MCF7,2.0,A133,7,1,80.0,2,-1.0955232268408857
