Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
MCF7,6.0,A133,0,2,40.0,1,1.3980340580730304
MCF7,6.0,A133,0,2,40.0,2,1.9256406064182923
MCF7,6.0,A133,0,2,40.0,3,-0.1979922195091523
MCF7,6.0,A133,0,2,40.0,4,0.014201878395836066
MCF7,6.0,A133,0,2,40.0,5,-0.5541878776224622
MCF7,6.0,A133,0,2,40.0,6,0.4095155225134256
MCF7,6.0,A133,0,2,40.0,7,-0.5979002109161442
MCF7,6.0,A133,1,2,40.0,1,2.586940615504878
MCF7,6.0,A133,1,2,40.0,2,1.8998744573276505
MCF7,6.0,A133,1,2,40.0,3,0.8441048761404524
MCF7,6.0,A133,1,2,40.0,4,0.5163219305058818
MCF7,6.0,A133,1,2,40.0,5,2.1440071682936837
MCF7,6.0,A133,1,2,40.0,6,-1.1325537114641464
MCF7,6.0,A133,1,2,40.0,7,-0.27310210988224193
MCF7,6.0,A133,1,2,40.0,8,1.1197872252626928
MCF7,6.0,A133,1,2,40.0,9,2.003721235321158
MCF7,6.0,A133,1,2,40.0,10,0.3441520454970179
MCF7,6.0,A133,1,2,40.0,11,1.3544917910965355
MCF7,6.0,A133,10,2,40.0,1,-0.465872500821235
MCF7,6.0,A133,10,2,40.0,2,-0.4144756209205111
MCF7,6.0,A133,10,2,40.0,3,-0.8318889818151802
MCF7,6.0,A133,10,2,40.0,4,-0.3072954020494261
MCF7,6.0,A133,10,2,40.0,5,-0.43918134613187465
MCF7,6.0,A133,10,2,40.0,6,-0.9054169645007173
MCF7,6.0,A133,10,2,40.0,7,-0.7392246151951221
MCF7,6.0,A133,10,2,40.0,8,0.9024336556032068
MCF7,6.0,A133,11,2,40.0,1,0.10537311741201547
MCF7,6.0,A133,11,2,40.0,2,-0.2985214259548359
MCF7,6.0,A133,11,2,40.0,3,0.02431081777443213
MCF7,6.0,A133,11,2,40.0,4,2.0996608552763654
MCF7,6.0,A133,11,2,40.0,5,-0.14617885786535317
MCF7,6.0,A133,11,2,40.0,6,0.23251712943835817
MCF7,6.0,A133,12,2,40.0,1,-0.283995346802413
MCF7,6.0,A133,12,2,40.0,2,0.4042865783597865
MCF7,6.0,A133,12,2,40.0,3,-0.30314081152007066
MCF7,6.0,A133,12,2,40.0,4,-0.26766104568757
MCF7,6.0,A133,12,2,40.0,5,1.434912617160322
MCF7,6.0,A133,12,2,40.0,6,2.365922464953634
MCF7,6.0,A133,12,2,40.0,7,0.1549376187039173
MCF7,6.0,A133,12,2,40.0,8,1.1973667359971336
MCF7,6.0,A133,12,2,40.0,9,0.15340217288736396
MCF7,6.0,A133,12,2,40.0,10,-0.32840531346462903
MCF7,6.0,A133,13,2,40.0,1,2.2002611210541656
MCF7,6.0,A133,13,2,40.0,2,1.8780749353717336
MCF7,6.0,A133,13,2,40.0,3,1.2134480094653581
MCF7,6.0,A133,13,2,40.0,4,0.4884957660874048
MCF7,6.0,A133,13,2,40.0,5,0.7242221404314594
MCF7,6.0,A133,13,2,40.0,6,-0.10604920208931454
MCF7,6.0,A133,13,2,40.0,7,0.14068272876438592
MCF7,6.0,A133,13,2,40.0,8,0.5396477293322729
MCF7,6.0,A133,13,2,40.0,9,1.8157546668243079
MCF7,6.0,A133,14,2,40.0,1,2.2756697074783854
MCF7,6.0,A133,14,2,40.0,2,0.7146774438885276
MCF7,6.0,A133,14,2,40.0,3,3.344726854793722
MCF7,6.0,A133,14,2,40.0,4,-0.4423054881825976
MCF7,6.0,A133,14,2,40.0,5,1.0601118450074465
MCF7,6.0,A133,14,2,40.0,6,-0.2481107367353227
MCF7,6.0,A133,14,2,40.0,7,-0.16740549701718394
MCF7,6.0,A133,14,2,40.0,8,-0.7001117426415403
MCF7,6.0,A133,14,2,40.0,9,-0.7672109716811625
MCF7,6.0,A133,14,2,40.0,10,-0.3619719434324531
MCF7,6.0,A133,15,2,40.0,1,0.40883120174929566
MCF7,6.0,A133,15,2,40.0,2,0.45984157530758907
MCF7,6.0,A133,15,2,40.0,3,-0.15074993013778418
MCF7,6.0,A133,15,2,40.0,4,-0.41359822331105206
MCF7,6.0,A133,15,2,40.0,5,-0.6839550016940457
MCF7,6.0,A133,15,2,40.0,6,-0.6701900332291691
MCF7,6.0,A133,15,2,40.0,7,-0.8360598824890044
MCF7,6.0,A133,15,2,40.0,8,-0.07548099381539145
MCF7,6.0,A133,15,2,40.0,9,0.4863280156431344
MCF7,6.0,A133,15,2,40.0,10,1.0375114508766576
MCF7,6.0,A133,2,2,40.0,1,-0.28204765106405194
MCF7,6.0,A133,2,2,40.0,2,-0.3222829260458916
MCF7,6.0,A133,2,2,40.0,3,-0.26095008246087953
MCF7,6.0,A133,2,2,40.0,4,-1.044014753439287
MCF7,6.0,A133,2,2,40.0,5,-0.1312904290169017
MCF7,6.0,A133,2,2,40.0,6,0.18048882653934792
MCF7,6.0,A133,2,2,40.0,7,4.73064338277104
MCF7,6.0,A133,3,2,40.0,1,-0.03765239085354909
MCF7,6.0,A133,3,2,40.0,2,-0.09173929847330582
MCF7,6.0,A133,3,2,40.0,3,4.201991574572709
MCF7,6.0,A133,3,2,40.0,4,-0.30369570908376997
MCF7,6.0,A133,3,2,40.0,5,3.604857260757946
MCF7,6.0,A133,3,2,40.0,6,-0.7504109939010096
MCF7,6.0,A133,3,2,40.0,7,0.04418539003130099
MCF7,6.0,A133,3,2,40.0,8,0.8159662622517255
MCF7,6.0,A133,3,2,40.0,9,-0.07878692785472985
MCF7,6.0,A133,4,2,40.0,1,-0.8402826229733554
