ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,40,4,A133,0.7325087404975573,False,0.16179186464649797
2,0,40,4,A133,0.7017307478392353,True,0.13101387198817593
3,0,40,4,A133,0.7690242428210917,False,0.19830736697003237
4,0,40,4,A133,0.8180092836005354,False,0.24729240774947603
5,0,40,4,A133,0.7984362922397523,False,0.22771941638869297
6,0,40,4,A133,0.7634578383362105,False,0.19274096248515116
7,0,40,4,A133,0.809368089856469,False,0.23865121400540967
8,0,40,4,A133,0.8109535910149273,True,0.2402367151638679
9,0,40,4,A133,0.8721275009173521,True,0.3014106250662928
1,1,40,4,A133,0.7384397713063764,False,0.16772289545531704
2,1,40,4,A133,0.7558661410599088,False,0.18514926520884945
3,1,40,4,A133,0.8068317148606194,False,0.2361148390095601
4,1,40,4,A133,0.7730830524867536,False,0.20236617663569423
5,1,40,4,A133,0.9058382757250749,True,0.33512139987401557
6,1,40,4,A133,0.787027735911762,True,0.21631086006070266
7,1,40,4,A133,0.8041479429881223,False,0.23343106713706296
8,1,40,4,A133,0.796647694915097,False,0.22593081906403767
9,1,40,4,A133,0.5970346146611852,True,0.02631773881012589
10,1,40,4,A133,0.7753452173378506,False,0.2046283414867912
11,1,40,4,A133,0.8373985693172712,False,0.26668169346621184
12,1,40,4,A133,0.7103486731490667,True,0.13963179729800734
13,1,40,4,A133,0.7583565016750555,True,0.18763962582399618
14,1,40,4,A133,0.8093885257010338,False,0.23867164984997447
15,1,40,4,A133,0.7944138281202158,False,0.22369695226915642
16,1,40,4,A133,0.670316630743219,False,0.09959975489215966
1,10,40,4,A133,0.8211416132425068,False,0.25042473739144744
2,10,40,4,A133,0.7727087154365418,False,0.2019918395854825
3,10,40,4,A133,0.7958076830306544,False,0.22509080717959506
4,10,40,4,A133,0.8173270116468416,False,0.24661013579578228
5,10,40,4,A133,0.8264386803003495,False,0.25572180444929016
6,10,40,4,A133,0.7315429220451033,False,0.16082604619404395
7,10,40,4,A133,0.7904947759112513,False,0.21977790006019193
8,10,40,4,A133,0.7856335939861074,False,0.2149167181350481
9,10,40,4,A133,0.787710929267549,False,0.2169940534164897
10,10,40,4,A133,0.7637222682343162,False,0.19300539238325687
11,10,40,4,A133,0.7633480617268942,False,0.19263118587583483
12,10,40,4,A133,0.7618572183345391,False,0.19114034248347977
1,11,40,4,A133,0.6754399726930267,True,0.10472309684196734
2,11,40,4,A133,0.7746073676289542,False,0.20389049177789487
3,11,40,4,A133,0.8096198591321005,False,0.2389029832810412
4,11,40,4,A133,0.7497478303516303,False,0.17903095450057094
5,11,40,4,A133,0.8053277314842842,False,0.2346108556332248
6,11,40,4,A133,0.7863076180661278,False,0.21559074221506846
7,11,40,4,A133,0.7394181716233819,True,0.1687012957723225
8,11,40,4,A133,0.7653791818523481,False,0.19466230600128875
9,11,40,4,A133,0.7654124034757286,False,0.19469552762466924
10,11,40,4,A133,0.7551004967031814,True,0.184383620852122
11,11,40,4,A133,0.8066262516594762,False,0.23590937580841687
1,12,40,4,A133,0.8034470655309512,True,0.2327301896798919
2,12,40,4,A133,0.7327021357876791,False,0.16198525993661972
3,12,40,4,A133,0.8217793153459683,True,0.2510624394949089
4,12,40,4,A133,0.7878221442532329,False,0.2171052684021736
5,12,40,4,A133,0.8197768631027946,True,0.24905998725173528
6,12,40,4,A133,0.8153577154577665,False,0.24464083960670713
7,12,40,4,A133,0.7957584483291381,True,0.22504157247807877
8,12,40,4,A133,0.7891596863136864,False,0.21844281046262704
9,12,40,4,A133,0.8160764764795418,False,0.2453596006284825
10,12,40,4,A133,0.7266582333930705,True,0.1559413575420111
11,12,40,4,A133,0.806468311334258,True,0.23575143548319866
12,12,40,4,A133,0.7733355151068253,True,0.20261863925576595
13,12,40,4,A133,0.7952809348453463,False,0.224564058994287
14,12,40,4,A133,0.7825009226754099,False,0.2117840468243506
15,12,40,4,A133,0.7331380244571607,False,0.16242114860610135
16,12,40,4,A133,0.714568216465689,True,0.14385134061462967
17,12,40,4,A133,0.752374973912609,False,0.18165809806154964
18,12,40,4,A133,0.8045880767695008,False,0.2338712009184415
1,13,40,4,A133,0.8312540840040612,False,0.26053720815300185
2,13,40,4,A133,0.7523240660800263,False,0.18160719022896699
3,13,40,4,A133,0.8219429189087195,False,0.25122604305766016
4,13,40,4,A133,0.777768953155163,False,0.2070520773041037
5,13,40,4,A133,0.7914572087338536,True,0.22074033288279427
6,13,40,4,A133,0.867089364950828,True,0.29637248909976865
7,13,40,4,A133,0.7926512128618675,True,0.2219343370108081
8,13,40,4,A133,0.7539794708262523,False,0.18326259497519293
9,13,40,4,A133,0.7723314039777243,True,0.20161452812666492
10,13,40,4,A133,0.8056870460529598,False,0.23497017020190047
11,13,40,4,A133,0.7562880520529032,False,0.18557117620184382
12,13,40,4,A133,0.7961142995242686,False,0.22539742367320925
13,13,40,4,A133,0.789306439769603,False,0.21858956391854367
14,13,40,4,A133,0.8208904253775922,False,0.2501735495265328
1,14,40,4,A133,0.7928778558447725,False,0.2221609799937132
2,14,40,4,A133,0.7536933461211172,False,0.1829764702700578
3,14,40,4,A133,0.8262857106007486,False,0.2555688347496893
4,14,40,4,A133,0.8018143459314861,True,0.2310974700804268
5,14,40,4,A133,0.799495255207328,False,0.22877837935626866
6,14,40,4,A133,0.8059500191856644,False,0.2352331433346051
7,14,40,4,A133,0.8165554416666738,False,0.24583856581561447
8,14,40,4,A133,0.5723082819274167,True,0.0015914060763573268
9,14,40,4,A133,0.7781061094120835,True,0.20738923356102412
1,15,40,4,A133,0.8149655118634023,True,0.24424863601234292
2,15,40,4,A133,0.8019056048766311,False,0.23118872902557175
3,15,40,4,A133,0.703100620095266,True,0.13238374424420662
4,15,40,4,A133,0.8607574608427647,True,0.2900405849917054
5,15,40,4,A133,0.7903560705824759,False,0.21963919473141658
6,15,40,4,A133,0.811489303382342,False,0.2407724275312827
7,15,40,4,A133,0.8086342356480072,False,0.23791735979694784
8,15,40,4,A133,0.7970689470738874,False,0.22635207122282808
9,15,40,4,A133,0.8287774361723759,False,0.2580605603213165
10,15,40,4,A133,0.8076116867511253,False,0.23689481090006592
11,15,40,4,A133,0.6917692286340994,True,0.12105235278304005
1,2,40,4,A133,0.8131867465373738,False,0.24246987068631443
2,2,40,4,A133,0.7678869263153519,False,0.1971700504642926
3,2,40,4,A133,0.8074423598882913,True,0.23672548403723193
4,2,40,4,A133,0.8098029721201637,True,0.23908609626910438
5,2,40,4,A133,0.790467843895786,False,0.2197509680447266
6,2,40,4,A133,0.8044827132899177,False,0.23376583743885837
7,2,40,4,A133,0.7829245781074229,True,0.21220770225636354
8,2,40,4,A133,0.8507867130694835,True,0.28006983721842416
9,2,40,4,A133,0.7963527326069488,False,0.22563585675588949
10,2,40,4,A133,0.7905000502858746,False,0.2197831744348152
11,2,40,4,A133,0.7777853395543577,True,0.20706846370329834
1,3,40,4,A133,0.7985874655228427,False,0.2278705896717833
2,3,40,4,A133,0.7991658221550815,False,0.22844894630402213
3,3,40,4,A133,0.7907226914566401,False,0.22000581560558075
4,3,40,4,A133,0.7687542789223315,False,0.19803740307127216
5,3,40,4,A133,0.8088074135780031,False,0.23809053772694377
6,3,40,4,A133,0.7275133026378888,True,0.15679642678682948
7,3,40,4,A133,0.726347358405587,False,0.1556304825545276
8,3,40,4,A133,0.7803739687460793,False,0.20965709289502
9,3,40,4,A133,0.8139013021909676,False,0.24318442633990822
10,3,40,4,A133,0.8204235309224017,False,0.24970665507134238
11,3,40,4,A133,0.6389731756182119,True,0.06825629976715253
1,4,40,4,A133,0.7479577644593022,False,0.17724088860824283
2,4,40,4,A133,0.8112390708197271,False,0.24052219496866778
