ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,40,4,A133,0.8564773360952082,False,0.3593149243023527
2,0,40,4,A133,0.8607310285065009,True,0.3635686167136454
3,0,40,4,A133,0.8657251823749916,False,0.36856277058213616
4,0,40,4,A133,0.8466806939957857,False,0.34951828220293024
5,0,40,4,A133,0.8250771187971042,False,0.32791470700424874
6,0,40,4,A133,0.8705335020792463,False,0.3733710902863908
7,0,40,4,A133,0.8374394804244538,False,0.34027706863159835
8,0,40,4,A133,0.8439897252237465,False,0.346827313430891
9,0,40,4,A133,0.8722402728743155,False,0.37507786108146
10,0,40,4,A133,0.8026054955619607,False,0.30544308376910523
1,1,40,4,A133,0.843492513881371,False,0.34633010208851556
2,1,40,4,A133,0.8682465689623424,False,0.37108415716948695
3,1,40,4,A133,0.874847220499384,False,0.37768480870652854
4,1,40,4,A133,0.7442103095207792,False,0.24704789772792368
5,1,40,4,A133,0.8176060405725991,True,0.32044362877974364
6,1,40,4,A133,0.8503782846178533,False,0.3532158728249978
7,1,40,4,A133,0.8408067692257741,False,0.34364435743291866
8,1,40,4,A133,0.8281372425173228,False,0.3309748307244673
9,1,40,4,A133,0.8515784591196972,False,0.35441604732684173
10,1,40,4,A133,0.8504718910896789,False,0.35330947929682344
11,1,40,4,A133,0.7322699908368046,True,0.23510757904394908
12,1,40,4,A133,0.8124264644008317,True,0.3152640526079762
13,1,40,4,A133,0.827569052990369,False,0.3304066411975135
1,10,40,4,A133,0.7907725875582399,False,0.2936101757653844
2,10,40,4,A133,0.8114805860515707,False,0.3143181742587152
3,10,40,4,A133,0.852899114323594,False,0.3557367025307385
4,10,40,4,A133,0.8588620139698196,False,0.3616996021769642
5,10,40,4,A133,0.844834555674702,False,0.34767214388184653
6,10,40,4,A133,0.8491233158404137,False,0.3519609040475582
7,10,40,4,A133,0.7476745591562736,True,0.2505121473634181
8,10,40,4,A133,0.8530804739817379,False,0.35591806218888244
9,10,40,4,A133,0.8465945608618852,False,0.34943214906902975
10,10,40,4,A133,0.6370596115431179,True,0.13989719975026238
1,11,40,4,A133,0.8706325822786045,False,0.37347017048574904
2,11,40,4,A133,0.8805171150793323,False,0.3833547032864768
3,11,40,4,A133,0.8285446954411781,False,0.3313822836483227
4,11,40,4,A133,0.8443238196376346,False,0.3471614078447791
5,11,40,4,A133,0.7403215307845438,True,0.2431591189916883
6,11,40,4,A133,0.8476309745173374,False,0.3504685627244819
7,11,40,4,A133,0.8777460577096619,False,0.3805836459168064
8,11,40,4,A133,0.8277152713519408,False,0.3305528595590853
9,11,40,4,A133,0.6506317812493075,True,0.15346936945645206
1,12,40,4,A133,0.7995163895592687,False,0.30235397776641326
2,12,40,4,A133,0.8284128916361452,False,0.3312504798432897
3,12,40,4,A133,0.8515860558737082,False,0.3544236440808527
4,12,40,4,A133,0.8655491233471716,False,0.3683867115543161
5,12,40,4,A133,0.7035841587844256,True,0.20642174699157012
6,12,40,4,A133,0.8223399705709916,False,0.32517755877813614
