ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,90,4,A199,0.8025239604384911,False,0.5810719514234812
2,0,90,4,A199,0.7546524993709425,False,0.5332004903559326
3,0,90,4,A199,0.8366380248475508,True,0.615186015832541
1,1,90,4,A199,0.6712929692802717,False,0.4498409602652619
2,1,90,4,A199,0.8183660164183069,False,0.596914007403297
3,1,90,4,A199,0.6929115742264285,True,0.47145956521141863
4,1,90,4,A199,0.7884345650521877,False,0.5669825560371778
5,1,90,4,A199,0.7951860173186495,False,0.5737340083036396
6,1,90,4,A199,0.7067767384857829,False,0.4853247294707731
7,1,90,4,A199,0.6668110651359969,False,0.44535905612098703
8,1,90,4,A199,0.736463266585448,False,0.5150112575704382
1,10,90,4,A199,0.4864568176134684,True,0.26500480859845854
2,10,90,4,A199,0.6346962741226401,False,0.41324426510763024
3,10,90,4,A199,0.3771879050485808,True,0.155735896033571
4,10,90,4,A199,0.31270624161385785,False,0.09125423259884805
5,10,90,4,A199,0.765219670940357,True,0.5437676619253472
6,10,90,4,A199,0.7157559755233558,False,0.49430396650834596
1,11,90,4,A199,0.7959368300617659,False,0.574484821046756
2,11,90,4,A199,0.7353664051959445,False,0.5139143961809347
3,11,90,4,A199,0.6927556960057413,False,0.47130368699073144
4,11,90,4,A199,0.41815244260337325,False,0.19670043358836345
5,11,90,4,A199,0.7327816560368203,True,0.5113296470218105
6,11,90,4,A199,0.706366841434123,False,0.48491483241911315
7,11,90,4,A199,0.7333726328056214,True,0.5119206237906115
8,11,90,4,A199,0.7939261388919567,False,0.5724741298769469
1,12,90,4,A199,0.7975226167253913,False,0.5760706077103814
2,12,90,4,A199,0.5725664271179136,True,0.3511144181029038
3,12,90,4,A199,0.7327817046086617,False,0.5113296955936518
4,12,90,4,A199,0.7651938965301481,False,0.5437418875151383
5,12,90,4,A199,0.7467407887279215,False,0.5252887797129117
6,12,90,4,A199,0.7779543501723885,True,0.5565023411573786
7,12,90,4,A199,0.7118033858025775,False,0.4903513767875677
1,13,90,4,A199,0.6307222918614592,False,0.4092702828464494
2,13,90,4,A199,0.640798875501223,True,0.4193468664862132
3,13,90,4,A199,0.6150179714087101,False,0.39356596239370023
4,13,90,4,A199,0.7885854533803714,False,0.5671334443653616
5,13,90,4,A199,0.8675152158486888,True,0.646063206833679
1,14,90,4,A199,0.3771872311519413,True,0.1557352221369315
2,14,90,4,A199,0.7237171120715443,False,0.5022651030565345
3,14,90,4,A199,0.7282780581643863,False,0.5068260491493765
4,14,90,4,A199,0.7274683419350668,False,0.506016332920057
1,15,90,4,A199,0.775464713822468,False,0.5540127048074581
2,15,90,4,A199,0.6948957126457685,False,0.4734437036307587
3,15,90,4,A199,0.7988986597846456,False,0.5774466507696357
4,15,90,4,A199,0.7024559982052611,False,0.4810039891902512
5,15,90,4,A199,0.5338847268993531,True,0.31243271788434324
6,15,90,4,A199,0.7944649627559379,False,0.5730129537409281
7,15,90,4,A199,0.671136726945174,True,0.4496847179301642
8,15,90,4,A199,0.7920363361340814,False,0.5705843271190716
1,16,90,4,A199,0.752797672051942,False,0.5313456630369322
2,16,90,4,A199,0.5974694371283936,True,0.3760174281133838
3,16,90,4,A199,0.8561800990871765,False,0.6347280900721667
4,16,90,4,A199,0.4503998653338166,True,0.2289478563188068
5,16,90,4,A199,0.3120112201648241,True,0.09055921114981427
1,2,90,4,A199,0.7717645534035802,False,0.5503125443885704
2,2,90,4,A199,0.4640175158678838,True,0.242565506852874
3,2,90,4,A199,0.7131953727151382,False,0.4917433637001284
4,2,90,4,A199,0.6150711651202924,False,0.39361915610528253
1,3,90,4,A199,0.7130228271935262,False,0.49157081817851633
2,3,90,4,A199,0.4886536388546272,True,0.26720162983961737
3,3,90,4,A199,0.39717970548012105,False,0.17572769646511124
4,3,90,4,A199,0.8108818631543574,False,0.5894298541393476
1,4,90,4,A199,0.6992308876830028,False,0.47777887866799296
2,4,90,4,A199,0.7822019158364311,False,0.5607499068214212
3,4,90,4,A199,0.7839249930502274,False,0.5624729840352176
4,4,90,4,A199,0.7064609272884889,True,0.48500891827347903
5,4,90,4,A199,0.6833951881664568,False,0.461943179151447
6,4,90,4,A199,0.7565648125336744,False,0.5351128035186645
1,5,90,4,A199,0.777426598617655,True,0.5559745896026451
2,5,90,4,A199,0.7405543826151211,False,0.5191023736001112
3,5,90,4,A199,0.6569414729120274,False,0.4354894638970176
4,5,90,4,A199,0.8085138278383018,False,0.587061818823292
5,5,90,4,A199,0.8038765943142238,True,0.5824245852992139
1,6,90,4,A199,0.6367021394831649,False,0.41525013046815507
2,6,90,4,A199,0.6988666845745908,False,0.47741467555958095
3,6,90,4,A199,0.6584266986320433,False,0.43697468961703345
4,6,90,4,A199,0.2503540849304978,True,0.028902075915488018
1,7,90,4,A199,0.8082909371256418,False,0.586838928110632
2,7,90,4,A199,0.7205056008177702,False,0.4990535918027603
3,7,90,4,A199,0.7714285349060511,False,0.5499765258910413
4,7,90,4,A199,0.6132454365630766,False,0.3917934275480668
5,7,90,4,A199,0.7884923513229232,True,0.5670403423079133
1,8,90,4,A199,0.7294248455977776,False,0.5079728365827678
2,8,90,4,A199,0.7867704017434254,False,0.5653183927284156
3,8,90,4,A199,0.8100747787786066,False,0.5886227697635967
1,9,90,4,A199,0.6961060339252154,False,0.4746540249102056
2,9,90,4,A199,0.7383816150709828,False,0.5169296060559729
3,9,90,4,A199,0.7901008969402776,True,0.5686488879252678
4,9,90,4,A199,0.7141361069684834,False,0.49268409795347357
1,0,0,2,control,0.09045247694192064,True,-0.13099953207308918
2,0,0,2,control,0.1609188580294839,False,-0.06053315098552589
3,0,0,2,control,0.21847064365915977,False,-0.0029813653558500297
1,1,0,2,control,0.2308450216140375,False,0.009393012599027695
2,1,0,2,control,0.31485779604755304,True,0.09340578703254324
1,10,0,2,control,0.19984318756381897,False,-0.021608821451190835
2,10,0,2,control,0.5739895963837649,True,0.35253758736875507
1,11,0,2,control,0.06999797672259175,True,-0.15145403229241805
2,11,0,2,control,0.13138907438289493,True,-0.09006293463211487
3,11,0,2,control,0.31467969991950157,False,0.09322769090449176
4,11,0,2,control,0.07815180472065941,True,-0.1433002042943504
5,11,0,2,control,0.3091590447159741,True,0.0877070357009643
1,12,0,2,control,0.11831042279431206,False,-0.10314158622069775
2,12,0,2,control,0.22036761082693043,False,-0.0010843981880793718
3,12,0,2,control,0.4231251879807541,True,0.2016731789657443
4,12,0,2,control,0.18577689276418768,False,-0.03567511625082212
5,12,0,2,control,0.16993560255222165,False,-0.051516406462788156
1,13,0,2,control,0.12884623413451296,False,-0.09260577488049684
2,13,0,2,control,0.17961655653241076,False,-0.04183545248259904
1,14,0,2,control,0.183189770666712,False,-0.03826223834829781
2,14,0,2,control,0.24572402135019994,False,0.024272012335190135
3,14,0,2,control,0.17524382326710972,False,-0.04620818574790009
4,14,0,2,control,0.22803876931947126,False,0.006586760304461453
5,14,0,2,control,0.21575757573041887,False,-0.005694433284590933
1,15,0,2,control,0.35355129201542984,False,0.13209928300042004
2,15,0,2,control,0.3632295345417519,False,0.14177752552674208
3,15,0,2,control,0.24058090247363814,False,0.019128893458628338
4,15,0,2,control,0.20344392017310858,True,-0.01800808884190122
5,15,0,2,control,0.2988361046734141,True,0.07738409565840429
6,15,0,2,control,0.18645753441002286,False,-0.03499447460498695
1,16,0,2,control,0.14747953493647564,False,-0.07397247407853416
2,16,0,2,control,0.207337846767114,False,-0.0141141622478958
3,16,0,2,control,0.24131555531437607,True,0.019863546299366264
4,16,0,2,control,0.11668883059404445,True,-0.10476317842096536
5,16,0,2,control,0.17586129641617723,True,-0.04559071259883257
6,16,0,2,control,0.20611568454019508,False,-0.015336324474814728
1,17,0,2,control,0.3157064805219652,False,0.0942544715069554
2,17,0,2,control,0.1650192367296945,False,-0.05643277228531529
3,17,0,2,control,0.14983022604927979,False,-0.07162178296573002
1,18,0,2,control,0.22329441997253863,False,0.0018424109575288228
