Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_region_mean_value,Cell_Ed_region_variance,Cell_Ed_region_max_value,Cell_Ed_region_min_value,Cell_Ed_region_top_50_value,Cell_Ed_region_top_25_value,Cell_Ed_not_region_mean_value,Cell_Ed_not_region_variance,Cell_Ed_not_region_max_value,Cell_Ed_not_region_min_value,Cell_Ed_not_region_top_50_value,Cell_Ed_not_region_top_25_value,Fp_mito_ratio_mean,Fp_non_mito_ratio_mean,Fp_whole_cell_ratio_mean,Fp_mito_pixels,Fp_non_mito_pixels,Fp_whole_cell_pixels
MCF7,2,A199,0,1,90,1,0.11005114763975143,0.0029520848765969276,0.12731634080410004,0.0012170762056484818,0.1391824334859848,0.0002748277329374105,0.20006076991558075,0.07044162601232529,0.15228600800037384,0.16014353930950165,0.10564673691987991,0.003209158545359969,0.4216252863407135,0,0.14746891,0.16595466,1.629539132118225,1.3568474,1.3758659,2301,30691,32992
MCF7,2,A199,0,1,90,2,0.08447632938623428,0.0015999310417100787,0.09181415289640427,0.0010651885531842709,0.07750321924686432,0.00018017100228462368,0.12948182225227356,0.02968735247850418,0.08805891871452332,0.09436831623315811,0.08576057851314545,0.0018508057110011578,0.4056207239627838,0,0.11770618,0.1364864,0.7407692670822144,0.95714086,0.9234892,7428,40332,47760
MCF7,2,A199,0,1,90,3,0.0843033641576767,0.0006121759652160108,0.084389828145504,0.0006055070552974939,0.08549511432647705,8.359564526472241e-05,0.1166173592209816,0.0456208661198616,0.09260087460279465,0.09655626863241196,0.08408118784427643,0.0007104064570739865,0.26329198479652405,0,0.10443196,0.11794042,0.7051910161972046,0.67617387,0.68073344,6288,33728,40016
MCF7,2,A199,0,1,90,4,0.09566361457109451,0.0028388644568622112,0.11176566034555435,0.0015170446131378412,0.11379150301218033,0.00028980037313885987,0.18499097228050232,0.04411185532808304,0.12718108296394348,0.1348903775215149,0.09256751090288162,0.0032085140701383352,0.42302873730659485,0,0.13626453,0.15959477,1.5246049165725708,1.1199383,1.1789701,7665,44879,52544
MCF7,2,A199,0,1,90,5,0.09571544080972672,0.004552758764475584,0.12418892979621887,0.0023710227105766535,0.10612168163061142,0.0010002527851611376,0.2318907231092453,0,0.13130855560302734,0.14609839022159576,0.09158927947282791,0.005901386961340904,0.48367398977279663,0,0.15644875,0.18882865,0.7245691418647766,0.6418631,0.66534555,6946,17518,24464
MCF7,2,A199,0,1,90,6,0.06906180083751678,0.0026393630541861057,0.08763459324836731,0.0017215480329468846,0.07991652190685272,0.0003060883318539709,0.15692514181137085,0,0.09373030066490173,0.10206181555986404,0.06669056415557861,0.0031177091877907515,0.4134553372859955,0,0.111721925,0.13902523,1.4310202598571777,1.1221573,1.1775321,11285,51659,62944
MCF7,2,A199,0,1,90,7,0.09423519670963287,0.001297356327995658,0.09565108269453049,0.0011814177269116044,0.09683172404766083,0.0002484401047695428,0.14852342009544373,0.048179641366004944,0.10946861654520035,0.11674860864877701,0.09368396550416946,0.001518302713520825,0.33497318625450134,0,0.12404765,0.14411773,1.4244308471679688,1.232088,1.2657709,5856,27584,33440
MCF7,2,A199,0,1,90,8,0.061126213520765305,0.0015466364566236734,0.07131277024745941,0.001077948254533112,0.06488464027643204,0.00027611711993813515,0.1251889169216156,0.005580004770308733,0.0780053660273552,0.08622081577777863,0.06035567447543144,0.0018036231631413102,0.3615196943283081,0,0.09360466,0.114571065,0.9852573871612549,0.9546304,0.95984113,5330,25998,31328
MCF7,2,A199,1,1,90,1,0.048553790897130966,0.0003300407843198627,0.04929482191801071,0.00029854924650862813,0.06295233219861984,6.794577348046005e-05,0.08790750801563263,0.03096061572432518,0.06946796178817749,0.0730956420302391,0.04576471447944641,0.0003328724706079811,0.14129014313220978,0,0.059682976,0.06810265,0.5190608501434326,0.51213974,0.51307744,4173,26627,30800
MCF7,2,A199,1,1,90,2,0.06491904705762863,0.0003764570865314454,0.06498430669307709,0.0003725948045030236,0.0627378523349762,8.87260030140169e-05,0.09886151552200317,0.033506426960229874,0.07023296505212784,0.07506980001926422,0.06537003815174103,0.0004347622161731124,0.1960371434688568,0,0.08119317,0.09375335,0.6550268530845642,0.6736943,0.67049587,3583,17329,20912
MCF7,2,A199,1,1,90,3,0.18154968321323395,0.0014713919954374433,0.1816248595714569,0.0014583475422114134,0.16622596979141235,0.0002097137476084754,0.21954183280467987,0.13105033338069916,0.1780470609664917,0.18577130138874054,0.18328584730625153,0.001584721147082746,0.4854810833930969,0,0.21380162,0.23287828,2.3449411392211914,2.369142,2.3666792,3934,34722,38656
MCF7,2,A199,1,1,90,4,0.041406333446502686,0.000830713426694274,0.05021209269762039,0.0005652232212014496,0.051908090710639954,0.00013770711666438729,0.09568355977535248,0.011129614897072315,0.06123686209321022,0.06670283526182175,0.03854494169354439,0.0009812983917072415,0.34690338373184204,0,0.06364421,0.079657495,0.4161006808280945,0.44132692,0.43592533,13382,49114,62496
MCF7,2,A199,1,1,90,5,0.07683952897787094,0.0009356849477626383,0.0773436576128006,0.0009028324857354164,0.06481324136257172,0.00019709367188625038,0.11767875403165817,0.01202804408967495,0.07579735666513443,0.08292044699192047,0.07941053062677383,0.0010560526279732585,0.28463321924209595,0,0.10479573,0.12120179,0.5655038952827454,0.6153793,0.6065948,6242,29198,35440
MCF7,2,A199,1,1,90,6,0.04412873089313507,0.001236799405887723,0.05391392856836319,0.0009834914235398173,0.04307042807340622,0.00029595705564133823,0.10970490425825119,0,0.056716106832027435,0.06519047915935516,0.044423479586839676,0.0014984437730163336,0.3292000889778137,0,0.07561266,0.096732624,0.3921374976634979,0.42759487,0.41987064,5298,19022,24320
MCF7,2,A199,1,1,90,7,0.05771836265921593,0.0006176137831062078,0.05913166329264641,0.000549166405107826,0.07239387184381485,0.00016493911971338093,0.11649176478385925,0.031191566959023476,0.08260153979063034,0.0887848436832428,0.05535769462585449,0.0006502132164314389,0.23613378405570984,0,0.074912414,0.08802916,0.6443076133728027,0.47873396,0.50167716,8824,54856,63680
MCF7,2,A199,1,1,90,8,0.07165070623159409,0.0009041089215315878,0.07310371100902557,0.0008162233862094581,0.06262271851301193,0.000195670232642442,0.12371063232421875,0.008922279812395573,0.07357248663902283,0.08078953623771667,0.07446949183940887,0.0010919090127572417,0.3271186351776123,0,0.09869137,0.1166372,0.6225973963737488,0.6262716,0.6253974,8284,26532,34816
MCF7,2,A199,1,1,90,9,0.05635988339781761,0.0006573391729034483,0.05681827291846275,0.0006366405286826193,0.0583299845457077,0.00018301088130101562,0.11356888711452484,0.004419683013111353,0.06847412884235382,0.07508399337530136,0.056000903248786926,0.0007429312681779265,0.2074669450521469,0,0.07656521,0.09278966,0.4821975827217102,0.4481407,0.4533898,4757,26107,30864
MCF7,2,A199,1,1,90,10,0.06162004545331001,0.001017182832583785,0.06354407221078873,0.0009266830165870488,0.07010041177272797,0.0002720111806411296,0.1390816867351532,0,0.0828360989689827,0.09042396396398544,0.0596921481192112,0.0011665212223306298,0.25205880403518677,0,0.08576783,0.106090456,0.4500499665737152,0.40930372,0.41685107,10106,44454,54560
MCF7,2,A199,1,1,90,11,0.05826165899634361,0.0008421713719144464,0.06003827229142189,0.0007611875189468265,0.07271438837051392,0.0005452939076349139,0.15011027455329895,0,0.0905148908495903,0.10106617957353592,0.0560767725110054,0.0008507004240527749,0.2209102064371109,0,0.07868215,0.09445875,0.5439863204956055,0.44493726,0.45794463,5463,36137,41600
MCF7,2,A199,1,1,90,12,0.09335338324308395,0.001695744227617979,0.09578221291303635,0.0015072255628183484,0.08798231184482574,0.0009281440288759768,0.17864839732646942,0,0.11347741633653641,0.12615607678890228,0.09400670975446701,0.001785176689736545,0.37372034788131714,0,0.12650068,0.14691333,1.0061564445495605,1.2240326,1.2004049,10003,82237,92240
MCF7,2,A199,10,1,90,1,0.12187355756759644,0.000536830339115113,0.12188030034303665,0.0005360377253964543,0.13195036351680756,0.00017269994714297354,0.17167426645755768,0.07788567245006561,0.1419353485107422,0.1468096375465393,0.11958856880664825,0.000591152987908572,0.20716439187526703,0,0.13915491,0.15081005,0.8063197731971741,0.79685193,0.79860204,3339,14725,18064
MCF7,2,A199,10,1,90,2,0.12162195891141891,0.00038326659705489874,0.12162195891141891,0.00038326659705489874,0.12410368770360947,0.00013553837197832763,0.17079472541809082,0.0782557800412178,0.13324305415153503,0.13860481977462769,0.12105081975460052,0.0004385337815620005,0.20856733620166779,0.0441635437309742,0.13799241,0.14794019,0.8393023014068604,0.8294593,0.83130074,3122,13566,16688
MCF7,2,A199,10,1,90,3,0.13812176883220673,0.0008447963045910001,0.1381313055753708,0.0008435349445790052,0.14137108623981476,0.0001846395171014592,0.2001306563615799,0.08085857331752777,0.15178550779819489,0.15731900930404663,0.13720153272151947,0.0010279181879013777,0.3764731287956238,0,0.16177213,0.17955145,0.8403480052947998,0.7596655,0.77747214,15954,56334,72288
MCF7,2,A199,10,1,90,4,0.1709754467010498,0.006097265053540468,0.18885527551174164,0.0033581883180886507,0.17248356342315674,0.001037042704410851,0.2825409471988678,0.025184279307723045,0.19815918803215027,0.2131698578596115,0.17062316834926605,0.007278562989085913,0.5218158960342407,0,0.23416819,0.26858616,1.783025860786438,1.5783359,1.6170939,4914,21038,25952
MCF7,2,A199,10,1,90,5,0.11055530607700348,0.00273806881159544,0.12061163783073425,0.0017742180498316884,0.11297092586755753,0.0004942750674672425,0.2002878487110138,0.029340054839849472,0.13035331666469574,0.14146234095096588,0.10982544720172882,0.003413718193769455,0.49017712473869324,0,0.15236072,0.17845866,1.2922234535217285,1.2255344,1.2372541,7904,37072,44976
MCF7,2,A199,11,1,90,1,0.06792379915714264,0.0017093170899897814,0.07997912168502808,0.0010485181119292974,0.10080201178789139,0.00021827744785696268,0.14879734814167023,0.03690210357308388,0.11210249364376068,0.11826401948928833,0.05937904864549637,0.00174287601839751,0.29794198274612427,0,0.093380384,0.11299317,0.8383964896202087,0.6783864,0.7113934,8073,31063,39136
MCF7,2,A199,11,1,90,2,0.06441599130630493,0.0013662814162671566,0.07383733987808228,0.0008704634383320808,0.09373774379491806,0.00015286318375729024,0.1412065327167511,0.04043963551521301,0.1030791848897934,0.10892052203416824,0.06029485538601875,0.0013990032020956278,0.3429998457431793,0,0.089461654,0.10600909,0.7199485301971436,0.6354642,0.64587504,5079,36137,41216
MCF7,2,A199,11,1,90,3,0.11601873487234116,0.002513560000807047,0.1263350546360016,0.0014337515458464622,0.14164425432682037,0.00021449042833410203,0.21066761016845703,0.09269573539495468,0.15315546095371246,0.1602199673652649,0.11015671491622925,0.002854907186701894,0.4351939260959625,0,0.14874198,0.17093854,1.8062872886657715,1.3628939,1.4454402,8114,35470,43584
MCF7,2,A199,11,1,90,4,0.03125344216823578,0.0011054460192099214,0.05283109471201897,0.0007286845939233899,0.05077841132879257,0.0003913951222784817,0.1278347671031952,0,0.0663163810968399,0.07619766145944595,0.025918707251548767,0.0011679234448820353,0.28672224283218384,0,0.051837415,0.07659549,0.40876996517181396,0.43791315,0.43301407,7644,37828,45472
