Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
MCF7,6.0,A199,0,2,90.0,1,3.9509432852875643
MCF7,6.0,A199,0,2,90.0,2,10.174839710992572
MCF7,6.0,A199,0,2,90.0,3,4.174831604358446
MCF7,6.0,A199,1,2,90.0,1,7.009060002296771
MCF7,6.0,A199,1,2,90.0,2,3.6445991686801733
MCF7,6.0,A199,1,2,90.0,3,3.771845447728863
MCF7,6.0,A199,1,2,90.0,4,6.3683191594059485
MCF7,6.0,A199,10,2,90.0,1,2.511729049624752
MCF7,6.0,A199,10,2,90.0,2,3.5758310845786543
MCF7,6.0,A199,10,2,90.0,3,4.206322873459212
MCF7,6.0,A199,10,2,90.0,4,7.015214198803071
MCF7,6.0,A199,10,2,90.0,5,5.5586869963582695
MCF7,6.0,A199,11,2,90.0,1,8.604571886250028
MCF7,6.0,A199,11,2,90.0,2,3.5013812439016916
MCF7,6.0,A199,11,2,90.0,3,4.744622518713157
MCF7,6.0,A199,12,2,90.0,1,0.9096645429329847
MCF7,6.0,A199,12,2,90.0,2,6.635750786630116
MCF7,6.0,A199,12,2,90.0,3,2.7182652682338984
MCF7,6.0,A199,12,2,90.0,4,1.4662242467342759
MCF7,6.0,A199,12,2,90.0,5,3.6786812008111465
MCF7,6.0,A199,12,2,90.0,6,3.0452209238176065
MCF7,6.0,A199,12,2,90.0,7,2.2170730855637135
MCF7,6.0,A199,12,2,90.0,8,2.5543495969527
MCF7,6.0,A199,12,2,90.0,9,4.793712600604498
MCF7,6.0,A199,13,2,90.0,1,1.6397972027293901
MCF7,6.0,A199,13,2,90.0,2,0.8454232046995931
MCF7,6.0,A199,13,2,90.0,3,7.455452782777913
MCF7,6.0,A199,13,2,90.0,4,5.600664390166897
MCF7,6.0,A199,13,2,90.0,5,7.035352163538972
MCF7,6.0,A199,13,2,90.0,6,7.606325028452999
MCF7,6.0,A199,13,2,90.0,7,1.2746238223666626
MCF7,6.0,A199,13,2,90.0,8,3.225819452921389
MCF7,6.0,A199,13,2,90.0,9,5.039377961722424
MCF7,6.0,A199,14,2,90.0,1,9.361205136669897
MCF7,6.0,A199,14,2,90.0,2,15.359976278731148
MCF7,6.0,A199,14,2,90.0,3,8.938449098755946
MCF7,6.0,A199,14,2,90.0,4,3.287057990177671
MCF7,6.0,A199,14,2,90.0,5,6.273803382650012
MCF7,6.0,A199,14,2,90.0,6,3.9554266438151022
MCF7,6.0,A199,14,2,90.0,7,6.58832587116975
MCF7,6.0,A199,14,2,90.0,8,8.743518568388296
MCF7,6.0,A199,14,2,90.0,9,5.911955230756221
MCF7,6.0,A199,15,2,90.0,1,3.896431770864315
MCF7,6.0,A199,15,2,90.0,2,2.2564872800643885
MCF7,6.0,A199,15,2,90.0,3,4.295027582350106
MCF7,6.0,A199,15,2,90.0,4,6.861609968557822
MCF7,6.0,A199,15,2,90.0,5,3.6422840428725314
MCF7,6.0,A199,15,2,90.0,6,3.7256024828278123
MCF7,6.0,A199,15,2,90.0,7,6.1461793785185455
MCF7,6.0,A199,16,2,90.0,1,6.508489194402395
MCF7,6.0,A199,16,2,90.0,2,6.351768448646857
MCF7,6.0,A199,17,2,90.0,1,4.479781087364419
MCF7,6.0,A199,17,2,90.0,2,7.759845886945743
MCF7,6.0,A199,17,2,90.0,3,5.60278554904014
MCF7,6.0,A199,17,2,90.0,4,6.427716145095005
MCF7,6.0,A199,17,2,90.0,5,1.82208585307442
MCF7,6.0,A199,17,2,90.0,6,4.929339158666839
MCF7,6.0,A199,17,2,90.0,7,3.6702555494151814
MCF7,6.0,A199,17,2,90.0,8,3.969523275845711
MCF7,6.0,A199,17,2,90.0,9,4.949169158357773
