Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Rc,Ed,cell_Ed
MCF7,2.0,A199,0,1,90.0,0.0,,0.0
MCF7,2.0,A199,0,1,90.0,0.01,,
MCF7,2.0,A199,0,1,90.0,0.02,,
MCF7,2.0,A199,0,1,90.0,0.03,,
MCF7,2.0,A199,0,1,90.0,0.04,,
MCF7,2.0,A199,0,1,90.0,0.05,,
MCF7,2.0,A199,0,1,90.0,0.06,,
MCF7,2.0,A199,0,1,90.0,0.07,,
MCF7,2.0,A199,0,1,90.0,0.08,,0.12825344502925873
MCF7,2.0,A199,0,1,90.0,0.09,,0.1619386523962021
MCF7,2.0,A199,0,1,90.0,0.1,,0.11480129510164261
MCF7,2.0,A199,0,1,90.0,0.11,,0.15088067948818207
MCF7,2.0,A199,0,1,90.0,0.12,,0.12392668426036835
MCF7,2.0,A199,0,1,90.0,0.13,,0.13387568295001984
MCF7,2.0,A199,0,1,90.0,0.14,,0.1239917203783989
MCF7,2.0,A199,0,1,90.0,0.15,,0.1377030611038208
MCF7,2.0,A199,0,1,90.0,0.16,,0.12486570328474045
MCF7,2.0,A199,0,1,90.0,0.17,0.13099868595600128,0.12797456979751587
MCF7,2.0,A199,0,1,90.0,0.18,0.11747606098651886,0.12742245197296143
MCF7,2.0,A199,0,1,90.0,0.19,0.08307714760303497,0.1342986822128296
MCF7,2.0,A199,0,1,90.0,0.2,0.09538730978965759,0.12410938739776611
MCF7,2.0,A199,0,1,90.0,0.21,0.1052871122956276,0.11720207333564758
MCF7,2.0,A199,0,1,90.0,0.22,0.1008477732539177,0.11373496055603027
MCF7,2.0,A199,0,1,90.0,0.23,0.0986059382557869,0.11004638671875
MCF7,2.0,A199,0,1,90.0,0.24,0.09593358635902405,0.10188031941652298
MCF7,2.0,A199,0,1,90.0,0.25,0.08871198445558548,0.0935792401432991
MCF7,2.0,A199,0,1,90.0,0.26,0.08308152854442596,0.0901053175330162
MCF7,2.0,A199,0,1,90.0,0.27,0.08348889648914337,0.08754534274339676
MCF7,2.0,A199,0,1,90.0,0.28,0.08418197184801102,0.08736114948987961
MCF7,2.0,A199,0,1,90.0,0.29,0.08528073132038116,0.08764021843671799
MCF7,2.0,A199,0,1,90.0,0.3,0.08454525470733643,0.08834812045097351
MCF7,2.0,A199,0,1,90.0,0.31,0.08613353967666626,0.0913410484790802
MCF7,2.0,A199,0,1,90.0,0.32,0.08783034235239029,0.09356477111577988
MCF7,2.0,A199,0,1,90.0,0.33,0.08979546278715134,0.0964614674448967
MCF7,2.0,A199,0,1,90.0,0.34,0.0941162034869194,0.10171147435903549
MCF7,2.0,A199,0,1,90.0,0.35,0.09642885625362396,0.10200813412666321
MCF7,2.0,A199,0,1,90.0,0.36,0.09973230212926865,0.10448383539915085
MCF7,2.0,A199,0,1,90.0,0.37,0.1019330769777298,0.10400166362524033
MCF7,2.0,A199,0,1,90.0,0.38,0.10121901333332062,0.10567433387041092
MCF7,2.0,A199,0,1,90.0,0.39,0.09146321564912796,0.10363350808620453
MCF7,2.0,A199,0,1,90.0,0.4,0.08133736997842789,0.09859567135572433
MCF7,2.0,A199,0,1,90.0,0.41,0.07413997501134872,0.09477514028549194
MCF7,2.0,A199,0,1,90.0,0.42,0.07015112042427063,0.09022153913974762
MCF7,2.0,A199,0,1,90.0,0.43,0.06955649703741074,0.08881508558988571
MCF7,2.0,A199,0,1,90.0,0.44,0.0710703656077385,0.08901385962963104
MCF7,2.0,A199,0,1,90.0,0.45,0.07131262868642807,0.0881282389163971
MCF7,2.0,A199,0,1,90.0,0.46,0.07321666181087494,0.08854588121175766
MCF7,2.0,A199,0,1,90.0,0.47,0.07338602095842361,0.08675574511289597
MCF7,2.0,A199,0,1,90.0,0.48,0.07135389745235443,0.0868292972445488
MCF7,2.0,A199,0,1,90.0,0.49,0.07832330465316772,0.08631790429353714
MCF7,2.0,A199,0,1,90.0,0.5,0.07767350971698761,0.08762440085411072
MCF7,2.0,A199,0,1,90.0,0.51,0.1177094578742981,0.0869298204779625
