Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
MCF7,6.0,A199,0,2,40.0,1,2.3099813562681377
MCF7,6.0,A199,0,2,40.0,2,2.3091986207712845
MCF7,6.0,A199,0,2,40.0,3,2.5669808988966287
MCF7,6.0,A199,0,2,40.0,4,2.28642955296061
MCF7,6.0,A199,1,2,40.0,1,1.3233588755618013
MCF7,6.0,A199,1,2,40.0,2,2.969239808055535
MCF7,6.0,A199,1,2,40.0,3,1.043081278875347
MCF7,6.0,A199,1,2,40.0,4,2.178449005339426
MCF7,6.0,A199,11,2,40.0,1,3.9515702544250777
MCF7,6.0,A199,11,2,40.0,2,3.4425715166772313
MCF7,6.0,A199,11,2,40.0,3,5.025510418768886
MCF7,6.0,A199,11,2,40.0,4,1.8438868283773027
MCF7,6.0,A199,12,2,40.0,1,2.749656999832722
MCF7,6.0,A199,12,2,40.0,2,1.77308361467739
MCF7,6.0,A199,12,2,40.0,3,2.4954782194335734
MCF7,6.0,A199,12,2,40.0,4,2.769576681443092
MCF7,6.0,A199,12,2,40.0,5,1.817295159353614
MCF7,6.0,A199,13,2,40.0,1,4.8181037273574665
MCF7,6.0,A199,13,2,40.0,2,0.8531864726805571
MCF7,6.0,A199,13,2,40.0,3,1.1191918972274468
MCF7,6.0,A199,14,2,40.0,1,0.3514176295618761
MCF7,6.0,A199,14,2,40.0,2,2.9745373244268474
MCF7,6.0,A199,14,2,40.0,3,2.3279124525504002
MCF7,6.0,A199,14,2,40.0,4,4.473877577362742
MCF7,6.0,A199,14,2,40.0,5,1.0236737061272796
MCF7,6.0,A199,14,2,40.0,6,1.8294317230414976
MCF7,6.0,A199,14,2,40.0,7,1.98033365490227
MCF7,6.0,A199,15,2,40.0,1,2.410913641366807
MCF7,6.0,A199,15,2,40.0,2,1.8252401328209886
MCF7,6.0,A199,15,2,40.0,3,2.319932089446195
MCF7,6.0,A199,15,2,40.0,4,1.1003401499518806
MCF7,6.0,A199,15,2,40.0,5,1.3599897518556174
MCF7,6.0,A199,16,2,40.0,1,1.2348296172988824
MCF7,6.0,A199,16,2,40.0,2,1.0705066861077823
MCF7,6.0,A199,16,2,40.0,3,1.6915838832469006
MCF7,6.0,A199,16,2,40.0,4,4.078189170629205
MCF7,6.0,A199,16,2,40.0,5,4.150924242151132
MCF7,6.0,A199,17,2,40.0,1,1.651310996975049
MCF7,6.0,A199,17,2,40.0,2,2.6789115545105706
MCF7,6.0,A199,18,2,40.0,1,0.6114760338145352
MCF7,6.0,A199,19,2,40.0,1,0.8709564940716787
MCF7,6.0,A199,19,2,40.0,2,2.8803930839328538
MCF7,6.0,A199,19,2,40.0,3,2.3873103149115473
MCF7,6.0,A199,4,2,40.0,1,1.1424251938035443
MCF7,6.0,A199,4,2,40.0,2,1.3434456170754225
MCF7,6.0,A199,5,2,40.0,1,4.093721578144851
MCF7,6.0,A199,5,2,40.0,2,2.987379078672068
MCF7,6.0,A199,5,2,40.0,3,4.0033676718420645
MCF7,6.0,A199,6,2,40.0,1,2.911326749133563
MCF7,6.0,A199,6,2,40.0,2,2.3302388007358568
MCF7,6.0,A199,6,2,40.0,3,2.5589526556955438
MCF7,6.0,A199,6,2,40.0,4,2.4045081171013476
MCF7,6.0,A199,7,2,40.0,1,-0.33703623173508607
MCF7,6.0,A199,7,2,40.0,2,1.3314209470922054
MCF7,6.0,A199,7,2,40.0,3,2.665270931257591
MCF7,6.0,A199,7,2,40.0,4,1.126867284931948
MCF7,6.0,A199,8,2,40.0,1,1.122025670352684
MCF7,6.0,A199,8,2,40.0,2,2.398748453707959
MCF7,6.0,A199,8,2,40.0,3,1.1362902961726349
MCF7,6.0,A199,8,2,40.0,4,0.7733844029460307
MCF7,6.0,A199,8,2,40.0,5,3.1504904352377214
MCF7,6.0,A199,9,2,40.0,1,2.003024136901761
MCF7,6.0,A199,9,2,40.0,2,2.386903334088051
MCF7,6.0,A199,9,2,40.0,3,2.8269927241419968
MCF7,2.0,control,0,3,0.0,1,-2.0861401476582
MCF7,2.0,control,0,3,0.0,2,-2.1021400366632434
MCF7,2.0,control,0,3,0.0,3,-1.795748661159201
MCF7,2.0,control,1,3,0.0,1,0.6136839828473761
MCF7,2.0,control,1,3,0.0,2,0.3333840074199858
MCF7,2.0,control,10,3,0.0,1,-0.27584650879171546
MCF7,2.0,control,10,3,0.0,2,-0.9067693110700838
MCF7,2.0,control,11,3,0.0,1,-0.21886919350228215
MCF7,2.0,control,11,3,0.0,2,0.6248395249850175
MCF7,2.0,control,11,3,0.0,3,-1.101673312183223
MCF7,2.0,control,11,3,0.0,4,-0.44620727633037
MCF7,2.0,control,11,3,0.0,5,-1.464871300022597
MCF7,2.0,control,12,3,0.0,1,-0.26560511219943345
MCF7,2.0,control,12,3,0.0,2,-0.7601856955558056
MCF7,2.0,control,12,3,0.0,3,-1.2076296246215568
MCF7,2.0,control,12,3,0.0,4,-0.279328224532367
MCF7,2.0,control,12,3,0.0,5,-0.8519773058546407
MCF7,2.0,control,13,3,0.0,1,1.0129116134814053
MCF7,2.0,control,13,3,0.0,2,1.1655195340115125
MCF7,2.0,control,14,3,0.0,1,-0.40155856555218217
MCF7,2.0,control,14,3,0.0,2,-0.7724942632873801
MCF7,2.0,control,14,3,0.0,3,-0.4496775424826353
MCF7,2.0,control,14,3,0.0,4,0.6217169099709815
MCF7,2.0,control,14,3,0.0,5,-0.29345883812462925
MCF7,2.0,control,15,3,0.0,1,1.4295189386298055
MCF7,2.0,control,15,3,0.0,2,1.1279602001868605
MCF7,2.0,control,15,3,0.0,3,0.7246271114631271
MCF7,2.0,control,15,3,0.0,4,2.556698127655412
MCF7,2.0,control,15,3,0.0,5,0.542826643820552
MCF7,2.0,control,15,3,0.0,6,2.0325442983727804
MCF7,2.0,control,16,3,0.0,1,0.2957679460892402
MCF7,2.0,control,16,3,0.0,2,0.8994612852273044
MCF7,2.0,control,16,3,0.0,3,0.5092106523227888
MCF7,2.0,control,16,3,0.0,4,0.4504893565480162
MCF7,2.0,control,16,3,0.0,5,0.8375944752617238
MCF7,2.0,control,16,3,0.0,6,1.9110292964090954
MCF7,2.0,control,17,3,0.0,1,0.5745784341549385
MCF7,2.0,control,17,3,0.0,2,1.697493432160961
MCF7,2.0,control,17,3,0.0,3,2.4602358659493326
MCF7,2.0,control,18,3,0.0,1,1.3253740031175267
MCF7,2.0,control,18,3,0.0,2,3.0362058483390344
MCF7,2.0,control,18,3,0.0,3,-0.008261821701478286
MCF7,2.0,control,18,3,0.0,4,-0.24133692896410336
MCF7,2.0,control,18,3,0.0,5,0.04351139544914989
MCF7,2.0,control,19,3,0.0,1,0.3134354416207373
MCF7,2.0,control,19,3,0.0,2,-0.5563260345824133
MCF7,2.0,control,19,3,0.0,3,-0.21342907771199612
MCF7,2.0,control,19,3,0.0,4,0.6765562748474727
MCF7,2.0,control,19,3,0.0,5,0.05428727964466814
MCF7,2.0,control,2,3,0.0,1,-0.5836978369237767
MCF7,2.0,control,2,3,0.0,2,-0.9833805886961046
MCF7,2.0,control,2,3,0.0,3,-0.526504280544623
MCF7,2.0,control,2,3,0.0,4,0.8863046673015005
MCF7,2.0,control,2,3,0.0,5,-0.08765378799749322
MCF7,2.0,control,3,3,0.0,1,1.004621070619141
MCF7,2.0,control,3,3,0.0,2,-0.2158386956311597
MCF7,2.0,control,3,3,0.0,3,-0.020689569239422296
MCF7,2.0,control,3,3,0.0,4,-0.5874218155459324
MCF7,2.0,control,4,3,0.0,1,-0.04138964438538158
MCF7,2.0,control,4,3,0.0,2,-1.0650369713131334
MCF7,2.0,control,4,3,0.0,3,0.1683983011921563
MCF7,2.0,control,4,3,0.0,4,-0.5557660456232291
MCF7,2.0,control,5,3,0.0,1,0.057922784174758025
MCF7,2.0,control,5,3,0.0,2,-0.061919276795158094
MCF7,2.0,control,5,3,0.0,3,-0.2882284579761188
MCF7,2.0,control,6,3,0.0,1,-0.7196689850949423
MCF7,2.0,control,6,3,0.0,2,-0.3858806962204624
MCF7,2.0,control,6,3,0.0,3,-0.543142614211075
MCF7,2.0,control,6,3,0.0,4,-0.41142576877861853
MCF7,2.0,control,7,3,0.0,1,-0.8272631091081368
MCF7,2.0,control,7,3,0.0,2,-0.022433549724758223
MCF7,2.0,control,7,3,0.0,3,-0.5054474466333091
MCF7,2.0,control,8,3,0.0,1,-0.7626109265500389
MCF7,2.0,control,8,3,0.0,2,0.2540685451918113
MCF7,2.0,control,8,3,0.0,3,-0.14291678764422247
MCF7,2.0,control,8,3,0.0,4,-1.070135160759381
MCF7,2.0,control,8,3,0.0,5,-1.0362560889466848
MCF7,2.0,control,8,3,0.0,6,-0.9571511430140428
MCF7,2.0,control,9,3,0.0,1,-1.1117060140054011
MCF7,2.0,control,9,3,0.0,2,1.6494644906300817
MCF7,2.0,control,9,3,0.0,3,-0.3784811395088705
MCF7,2.0,control,9,3,0.0,4,-0.6805980453855734
MCF7,2.0,control,9,3,0.0,5,-0.6200625102876481
