ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,40,6,A199,0.7697651310461827,False,0.44483816898714834
2,0,40,6,A199,0.817464790506711,True,0.4925378284476766
3,0,40,6,A199,0.8031130822181127,True,0.47818612015907835
4,0,40,6,A199,0.6498766794658698,False,0.3249497174068354
1,1,40,6,A199,0.7851166481242232,False,0.46018968606518884
2,1,40,6,A199,0.6499021884536546,False,0.3249752263946202
3,1,40,6,A199,0.5926539240151668,False,0.26772696195613244
4,1,40,6,A199,0.6207309592651062,True,0.29580399720607187
1,11,40,6,A199,0.6182960940872202,False,0.2933691320281858
2,11,40,6,A199,0.6517293300292943,False,0.32680236797025997
3,11,40,6,A199,0.7005073761055606,True,0.3755804140465262
4,11,40,6,A199,0.7055848641680065,False,0.3806579021089721
1,12,40,6,A199,0.7009546497581312,False,0.3760276876990968
2,12,40,6,A199,0.7050625983542611,False,0.38013563629522673
3,12,40,6,A199,0.7095797486076463,True,0.3846527865486119
4,12,40,6,A199,0.6041554465230913,False,0.2792284844640569
5,12,40,6,A199,0.6491008122888753,False,0.3241738502298409
1,13,40,6,A199,0.6706432773463721,False,0.3457163152873377
2,13,40,6,A199,0.8394714784639078,True,0.5145445164048734
3,13,40,6,A199,0.6070277203455599,False,0.2821007582865255
1,14,40,6,A199,0.7732843374990205,True,0.4483573754399861
2,14,40,6,A199,0.5729794649114928,True,0.2480525028524584
3,14,40,6,A199,0.7786425789665529,True,0.4537156169075185
4,14,40,6,A199,0.8012998566258842,True,0.47637289456684984
5,14,40,6,A199,0.7218525480752993,False,0.39692558601626493
6,14,40,6,A199,0.652163006692837,False,0.3272360446338026
7,14,40,6,A199,0.7509668524565564,False,0.426039890397522
1,15,40,6,A199,0.7595246399289368,False,0.43459767786990244
2,15,40,6,A199,0.8400925764481816,True,0.5151656143891472
3,15,40,6,A199,0.774656713881754,False,0.4497297518227197
4,15,40,6,A199,0.6255202178490601,False,0.3005932557900257
5,15,40,6,A199,0.68699415213105,False,0.3620671900720156
1,16,40,6,A199,0.588398180681946,False,0.2634712186229117
2,16,40,6,A199,0.589726172178447,False,0.26479921011941265
3,16,40,6,A199,0.6953531071423493,False,0.37042614508331495
4,16,40,6,A199,0.8994146621914796,True,0.5744877001324452
5,16,40,6,A199,0.6560132760520562,False,0.3310863139930218
1,17,40,6,A199,0.7163206732974352,False,0.39139371123840083
2,17,40,6,A199,0.6845832756267081,True,0.3596563135676737
1,18,40,6,A199,0.20120816977725875,True,-0.12371879228177562
1,19,40,6,A199,0.6253344539185864,False,0.30040749185955207
2,19,40,6,A199,0.5693195985957132,False,0.24439263653667886
3,19,40,6,A199,0.40869970038815573,True,0.08377273832912135
1,4,40,6,A199,0.6323986566410422,True,0.30747169458200785
2,4,40,6,A199,0.6694956528914362,False,0.3445686908324018
1,5,40,6,A199,0.56285288128582,False,0.23792591922678563
2,5,40,6,A199,0.7538000833006111,False,0.4288731212415767
3,5,40,6,A199,0.6104204574236465,False,0.2854934953646121
1,6,40,6,A199,0.6812219203804311,False,0.3562949583213967
2,6,40,6,A199,0.766673531087767,True,0.44174656902873266
3,6,40,6,A199,0.662448769003529,False,0.33752180694449463
4,6,40,6,A199,0.5713141822610286,True,0.24638722020199422
1,7,40,6,A199,0.6461119861480402,True,0.32118502408900584
2,7,40,6,A199,0.6160542940526418,False,0.2911273319936074
3,7,40,6,A199,0.5769250088650237,True,0.25199804680598936
4,7,40,6,A199,0.7267480105676553,False,0.4018210485086209
1,8,40,6,A199,0.652098393071199,False,0.3271714310121646
2,8,40,6,A199,0.6220452276628319,False,0.2971182656037975
3,8,40,6,A199,0.6903796626540484,False,0.365452700595014
4,8,40,6,A199,0.6399123132493554,False,0.314985351190321
5,8,40,6,A199,0.6456910843469401,False,0.32076412228790574
1,9,40,6,A199,0.6017835309876078,False,0.27685656892857347
2,9,40,6,A199,0.6511650621668148,False,0.3262381001077804
3,9,40,6,A199,0.6515840868485638,False,0.32665712478952946
1,0,0,2,control,0.39707642203201543,True,0.07214945997298106
2,0,0,2,control,0.6360593097964348,False,0.3111323477374004
3,0,0,2,control,0.23007597626503545,False,-0.09485098579399892
1,1,0,2,control,0.25558113766469487,True,-0.0693458243943395
2,1,0,2,control,0.392896107253972,False,0.06796914519493763
1,10,0,2,control,0.21753934128700597,False,-0.1073876207720284
2,10,0,2,control,0.20135230764537382,True,-0.12357465441366056
1,11,0,2,control,0.19052368464064948,False,-0.1344032774183849
2,11,0,2,control,0.23605160168040956,False,-0.08887536037862481
3,11,0,2,control,0.3240496762800545,False,-0.000877285778979886
4,11,0,2,control,0.3237355186913189,False,-0.0011914433677154834
5,11,0,2,control,0.25419319577664395,False,-0.07073376628239042
1,12,0,2,control,0.25192905909063273,True,-0.07299790296840164
2,12,0,2,control,0.30801297505732905,True,-0.016913987001705322
3,12,0,2,control,0.4801112334163121,False,0.15518427135727775
4,12,0,2,control,0.33919447955409676,True,0.014267517495062387
5,12,0,2,control,0.3911317332063306,True,0.06620477114729623
1,13,0,2,control,0.3111164510816309,False,-0.01381051097740349
2,13,0,2,control,0.18885118424147593,False,-0.13607577781755845
1,14,0,2,control,0.4457905799404043,True,0.1208636178813699
2,14,0,2,control,0.3734120724272641,False,0.04848511036822972
