Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
MCF7,2.0,A133,0,2,40.0,1,-0.34307619310122794
MCF7,2.0,A133,0,2,40.0,2,-1.3851258001780908
MCF7,2.0,A133,10,2,40.0,1,-0.3754562469507808
MCF7,2.0,A133,10,2,40.0,2,-0.6797975004434973
MCF7,2.0,A133,10,2,40.0,3,0.5313113888265332
MCF7,2.0,A133,11,2,40.0,1,2.1650310714892482
MCF7,2.0,A133,11,2,40.0,2,-0.32370657951315174
MCF7,2.0,A133,11,2,40.0,3,0.010649460513066698
MCF7,2.0,A133,11,2,40.0,4,0.5950124918180636
MCF7,2.0,A133,12,2,40.0,1,-0.7652268692347921
MCF7,2.0,A133,13,2,40.0,1,-0.29616731203510893
MCF7,2.0,A133,14,2,40.0,1,-1.396036165307364
MCF7,2.0,A133,14,2,40.0,2,-0.45700593053354716
MCF7,2.0,A133,14,2,40.0,3,-1.2016203060717465
MCF7,2.0,A133,14,2,40.0,4,-0.8303003858784458
MCF7,2.0,A133,14,2,40.0,5,-1.2432767942725778
MCF7,2.0,A133,2,2,40.0,1,-1.3849426352883574
MCF7,2.0,A133,2,2,40.0,2,-0.9228474599634551
MCF7,2.0,A133,2,2,40.0,3,-1.5887905308301358
MCF7,2.0,A133,4,2,40.0,1,-0.29523766936843865
MCF7,2.0,A133,5,2,40.0,1,-0.8156580728714478
MCF7,2.0,A133,5,2,40.0,2,-0.5681624692140118
MCF7,2.0,A133,5,2,40.0,3,-0.8986770446346938
MCF7,2.0,A133,6,2,40.0,1,-0.8958444569458821
MCF7,2.0,A133,6,2,40.0,2,-1.0166687501513574
MCF7,2.0,A133,7,2,40.0,1,-0.844343223427714
MCF7,2.0,A133,7,2,40.0,2,-1.250125191317505
MCF7,2.0,A133,8,2,40.0,1,-0.5422941770984016
MCF7,2.0,A133,8,2,40.0,2,-0.8269876886151007
MCF7,2.0,A133,9,2,40.0,1,-0.7069602949820498
MCF7,2.0,A133,9,2,40.0,2,-0.5440535008546791
MCF7,2.0,control,1,3,0.0,1,-1.39097208241298
MCF7,2.0,control,4,3,0.0,1,0.9658667086641156
MCF7,2.0,control,5,3,0.0,1,-0.14949927610132946
MCF7,2.0,control,6,3,0.0,1,0.3190191655613498
MCF7,2.0,control,7,3,0.0,1,-0.8660666381509442
MCF7,2.0,control,8,3,0.0,1,1.1216521224397902
