Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
MCF7,2,A133,0,1,60,1,-0.14948642481454483
MCF7,2,A133,0,1,60,2,-0.1748064622447544
MCF7,2,A133,0,1,60,3,-1.0139734559169469
MCF7,2,A133,1,1,60,1,-1.7135824550664116
MCF7,2,A133,1,1,60,2,-1.734790968687919
MCF7,2,A133,1,1,60,3,-1.780565507703447
MCF7,2,A133,10,1,60,1,-1.8131711589318567
MCF7,2,A133,10,1,60,2,-2.1330089315413523
MCF7,2,A133,10,1,60,3,-1.9608574126337865
MCF7,2,A133,10,1,60,4,-2.097537756941422
MCF7,2,A133,10,1,60,5,-1.5427252082433367
MCF7,2,A133,10,1,60,6,-1.7380719477673046
MCF7,2,A133,10,1,60,7,-1.846111594856896
MCF7,2,A133,10,1,60,8,-2.0179132425410553
MCF7,2,A133,10,1,60,9,-1.5797395826195706
MCF7,2,A133,10,1,60,10,-1.9129778578708463
MCF7,2,A133,2,1,60,1,-2.083474966250903
MCF7,2,A133,2,1,60,2,-2.0463557981357225
MCF7,2,A133,2,1,60,3,-2.041996944340299
MCF7,2,A133,2,1,60,4,-1.924354120543997
MCF7,2,A133,3,1,60,1,-0.9039018422521305
MCF7,2,A133,3,1,60,2,-1.7784001720408145
MCF7,2,A133,3,1,60,3,-1.5109521185195245
MCF7,2,A133,4,1,60,1,-0.7857532007386238
MCF7,2,A133,4,1,60,2,-1.0606228039504242
MCF7,2,A133,4,1,60,3,-0.9195165546172465
MCF7,2,A133,4,1,60,4,-0.6250979295374792
MCF7,2,A133,5,1,60,1,-1.8781519204013712
MCF7,2,A133,5,1,60,2,-1.8907206211032699
MCF7,2,A133,5,1,60,3,-2.2823944100890454
MCF7,2,A133,5,1,60,4,-1.8270601140699165
MCF7,2,A133,5,1,60,5,-1.64779503586831
MCF7,2,A133,5,1,60,6,-1.2906908705481281
MCF7,2,A133,6,1,60,1,-1.960823258413445
MCF7,2,A133,6,1,60,2,-2.119090327187474
MCF7,2,A133,6,1,60,3,-1.9191781846490539
MCF7,2,A133,6,1,60,4,-2.0651765284003027
MCF7,2,A133,6,1,60,5,-1.9542992784904831
MCF7,2,A133,7,1,60,1,-2.304162015725437
MCF7,2,A133,7,1,60,2,-2.0007310505206037
MCF7,2,A133,7,1,60,3,-2.14853700114505
MCF7,2,A133,7,1,60,4,-1.9102959658174357
MCF7,2,A133,7,1,60,5,-1.857480838104394
MCF7,2,A133,7,1,60,6,-2.0900545515494673
MCF7,2,A133,7,1,60,7,-2.2721430627605623
MCF7,2,A133,8,1,60,1,-2.0436580076070454
MCF7,2,A133,8,1,60,2,-1.8132041345172936
MCF7,2,A133,8,1,60,3,-1.5825748281699903
MCF7,2,A133,8,1,60,4,-1.7958831778807613
MCF7,2,A133,8,1,60,5,-1.407731280948836
MCF7,2,A133,8,1,60,6,-2.2973276619443106
MCF7,2,A133,8,1,60,7,-2.0091999351871843
MCF7,2,A133,9,1,60,1,-1.5897642653599895
MCF7,2,A133,9,1,60,2,-2.0658776852090006
MCF7,2,A133,9,1,60,3,-1.9601903838535433
MCF7,2,A133,9,1,60,4,-1.7518849726256331
MCF7,2,control,0,3,0,1,-2.366833444493069
MCF7,2,control,0,3,0,2,-1.0704721458492552
MCF7,2,control,0,3,0,3,-0.9024815811937589
MCF7,2,control,1,3,0,1,-1.099095394299887
MCF7,2,control,1,3,0,2,-0.7331630564238131
MCF7,2,control,1,3,0,3,-1.3198080245188937
MCF7,2,control,1,3,0,4,-1.0019197419398351
MCF7,2,control,1,3,0,5,-0.9437788965882405
MCF7,2,control,1,3,0,6,-1.2266954812760884
MCF7,2,control,10,3,0,1,0.8547769126624415
MCF7,2,control,10,3,0,2,0.022922401918290293
MCF7,2,control,10,3,0,3,-1.1783717835332268
MCF7,2,control,11,3,0,1,0.6452386618811123
MCF7,2,control,11,3,0,2,0.1081120677699869
MCF7,2,control,12,3,0,1,0.8081579995720105
MCF7,2,control,12,3,0,2,0.8341544043634864
MCF7,2,control,12,3,0,3,0.17334427867614996
MCF7,2,control,12,3,0,4,0.4915211803601717
MCF7,2,control,12,3,0,5,0.23036870083674582
MCF7,2,control,13,3,0,1,2.3695471575941767
MCF7,2,control,13,3,0,2,0.9741539896015354
MCF7,2,control,13,3,0,3,-0.4294727262454322
MCF7,2,control,13,3,0,4,1.1513149921200962
MCF7,2,control,13,3,0,5,0.10564934085678937
MCF7,2,control,13,3,0,6,-0.15901398810366477
MCF7,2,control,2,3,0,1,-0.3488997952045439
MCF7,2,control,2,3,0,2,0.812138952743899
MCF7,2,control,3,3,0,1,0.16001667191991467
MCF7,2,control,3,3,0,2,-1.2680829535512281
MCF7,2,control,3,3,0,3,-0.6433383121535556
MCF7,2,control,3,3,0,4,-0.5621126218793359
MCF7,2,control,3,3,0,5,-0.42171494132409676
MCF7,2,control,3,3,0,6,-0.262016272807162
MCF7,2,control,3,3,0,7,-0.4598676940023149
MCF7,2,control,4,3,0,1,-1.1777235126294514
MCF7,2,control,5,3,0,1,-0.4722660213955843
MCF7,2,control,5,3,0,2,-1.118690660564684
MCF7,2,control,5,3,0,3,0.6038874865319505
MCF7,2,control,5,3,0,4,0.6286622851049959
MCF7,2,control,5,3,0,5,-0.09906922455986984
MCF7,2,control,6,3,0,1,1.044535680522394
MCF7,2,control,6,3,0,2,1.8301077077480916
MCF7,2,control,6,3,0,3,0.024780375209933897
MCF7,2,control,6,3,0,4,-0.16962888750488106
MCF7,2,control,7,3,0,1,-1.5000179688196897
MCF7,2,control,8,3,0,1,1.4883323401243658
MCF7,2,control,8,3,0,2,-0.4160130064844222
MCF7,2,control,9,3,0,1,1.634248714586513
MCF7,2,control,9,3,0,2,1.5801694171940603
MCF7,2,control,9,3,0,3,0.7349876899831985
MCF7,2,control,9,3,0,4,1.2316791182642242
MCF7,2,control,9,3,0,5,0.8077396091994357
