Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
MCF7,2.0,A199,0,2,70.0,1,56.77322523768493
MCF7,2.0,A199,0,2,70.0,2,-0.4647742751592088
MCF7,2.0,A199,1,2,70.0,1,-2.718300863428517
MCF7,2.0,A199,10,2,70.0,1,3.1065612673934035
MCF7,2.0,A199,10,2,70.0,2,3.914907066173231
MCF7,2.0,A199,10,2,70.0,3,2.31402924081308
MCF7,2.0,A199,10,2,70.0,4,1.8117571239900583
MCF7,2.0,A199,11,2,70.0,1,0.11051465930270608
MCF7,2.0,A199,11,2,70.0,2,-0.6278630688324434
MCF7,2.0,A199,11,2,70.0,3,0.7163944067588276
MCF7,2.0,A199,11,2,70.0,4,2.252650577457492
MCF7,2.0,A199,12,2,70.0,1,1.1001551490016974
MCF7,2.0,A199,12,2,70.0,2,2.5498235533982165
MCF7,2.0,A199,13,2,70.0,1,0.08893221191693607
MCF7,2.0,A199,13,2,70.0,2,1.272746171271943
MCF7,2.0,A199,14,2,70.0,1,2.1224225891269515
MCF7,2.0,A199,14,2,70.0,2,2.1293397179365035
MCF7,2.0,A199,14,2,70.0,3,1.459940303155838
MCF7,2.0,A199,14,2,70.0,4,1.8088569167636126
MCF7,2.0,A199,14,2,70.0,5,1.5914337995249497
MCF7,2.0,A199,14,2,70.0,6,0.747241926941447
MCF7,2.0,A199,2,2,70.0,1,-1.5094130738812759
MCF7,2.0,A199,2,2,70.0,2,-0.3338970283907455
MCF7,2.0,A199,2,2,70.0,3,-0.585502574034062
MCF7,2.0,A199,2,2,70.0,4,-1.386693834290043
MCF7,2.0,A199,3,2,70.0,1,-2.5993035606764496
MCF7,2.0,A199,3,2,70.0,2,0.5099195591042732
MCF7,2.0,A199,4,2,70.0,1,2.462886909077425
MCF7,2.0,A199,4,2,70.0,2,2.7354906456866144
MCF7,2.0,A199,5,2,70.0,1,-1.2217342012853045
MCF7,2.0,A199,5,2,70.0,2,-0.6354200612570025
MCF7,2.0,A199,5,2,70.0,3,0.5581104302232174
MCF7,2.0,A199,5,2,70.0,4,12.659947976083773
MCF7,2.0,A199,6,2,70.0,1,1.4321463543359618
MCF7,2.0,A199,6,2,70.0,2,-0.6939818012217562
MCF7,2.0,A199,6,2,70.0,3,0.15150681083866763
MCF7,2.0,A199,6,2,70.0,4,-0.5967631580016863
MCF7,2.0,A199,6,2,70.0,5,-0.048753742326316886
MCF7,2.0,A199,7,2,70.0,1,-0.27102788907479786
MCF7,2.0,A199,7,2,70.0,2,-0.004956601363760946
MCF7,2.0,A199,7,2,70.0,3,0.10356553731239736
MCF7,2.0,A199,8,2,70.0,1,-0.24785695487336035
MCF7,2.0,A199,8,2,70.0,2,1.8914881930462821
MCF7,2.0,A199,8,2,70.0,3,-0.5968964629214804
MCF7,2.0,A199,8,2,70.0,4,-0.2304795794432145
MCF7,2.0,A199,8,2,70.0,5,0.018061222615518464
MCF7,2.0,A199,9,2,70.0,1,-1.1179648273495164
MCF7,2.0,A199,9,2,70.0,2,-1.385708647454238
MCF7,2.0,A199,9,2,70.0,3,-0.96428228273105
MCF7,2.0,control,0,3,0.0,1,-0.562258258648202
MCF7,2.0,control,0,3,0.0,2,-0.790889907457242
MCF7,2.0,control,0,3,0.0,3,-0.5994262094279631
MCF7,2.0,control,0,3,0.0,4,0.1520344444069165
MCF7,2.0,control,0,3,0.0,5,2.7773224912602146
MCF7,2.0,control,0,3,0.0,6,0.1776023280233157
MCF7,2.0,control,0,3,0.0,7,-0.9151156195992098
MCF7,2.0,control,0,3,0.0,8,2.001851970928658
MCF7,2.0,control,0,3,0.0,9,-1.9490209600936355
MCF7,2.0,control,0,3,0.0,10,-1.575096470489664
MCF7,2.0,control,1,3,0.0,1,-0.4163020671809672
MCF7,2.0,control,1,3,0.0,2,-0.40681228037646167
MCF7,2.0,control,1,3,0.0,3,0.3442969562984275
MCF7,2.0,control,1,3,0.0,4,0.19291817460812255
MCF7,2.0,control,2,3,0.0,1,1.2783845885080125
MCF7,2.0,control,2,3,0.0,2,-0.6123143829877301
MCF7,2.0,control,2,3,0.0,3,0.5838598624446687
MCF7,2.0,control,2,3,0.0,4,2.349608196948894
MCF7,2.0,control,2,3,0.0,5,0.8697661604785839
MCF7,2.0,control,2,3,0.0,6,0.2234985771228881
MCF7,2.0,control,2,3,0.0,7,-0.33288568839924354
MCF7,2.0,control,2,3,0.0,8,1.5986256634263396
MCF7,2.0,control,3,3,0.0,1,-0.42143646486314046
MCF7,2.0,control,3,3,0.0,2,0.4676161949858
MCF7,2.0,control,3,3,0.0,3,-0.10944150532617644
MCF7,2.0,control,3,3,0.0,4,-0.08860480374885217
MCF7,2.0,control,4,3,0.0,1,-0.4135473527526949
MCF7,2.0,control,4,3,0.0,2,-0.4679680071233316
MCF7,2.0,control,5,3,0.0,1,-0.689041901765407
MCF7,2.0,control,5,3,0.0,2,1.2175452387707872
MCF7,2.0,control,5,3,0.0,3,0.04855961086533775
MCF7,2.0,control,5,3,0.0,4,-0.7785745641813857
MCF7,2.0,control,5,3,0.0,5,-0.7544499284966204
MCF7,2.0,control,5,3,0.0,6,-0.6773651525338996
MCF7,2.0,control,6,3,0.0,1,0.6866458269435765
MCF7,2.0,control,6,3,0.0,2,1.9803469673534322
MCF7,2.0,control,6,3,0.0,3,-1.0506034391935997
MCF7,2.0,control,6,3,0.0,4,-0.5117339166475369
MCF7,2.0,control,6,3,0.0,5,0.9489360793010103
MCF7,2.0,control,7,3,0.0,1,-0.7673386098846533
MCF7,2.0,control,7,3,0.0,2,-2.0905525708373274
MCF7,2.0,control,7,3,0.0,3,-1.5246557931957998
MCF7,2.0,control,7,3,0.0,4,-1.0109758222080487
MCF7,2.0,control,8,3,0.0,1,0.13370082835211952
MCF7,2.0,control,8,3,0.0,2,0.050085634804310504
MCF7,2.0,control,8,3,0.0,3,1.317328414733553
MCF7,2.0,control,8,3,0.0,4,0.14707448573407017
MCF7,2.0,control,8,3,0.0,5,0.5364647582183533
MCF7,2.0,control,8,3,0.0,6,-0.029796767075147005
MCF7,2.0,control,8,3,0.0,7,-0.5667837702395927
MCF7,2.0,control,8,3,0.0,8,-0.3556630556946321
MCF7,2.0,control,8,3,0.0,9,-0.9673754646985209
MCF7,2.0,control,8,3,0.0,10,-0.4408672438863745
MCF7,2.0,control,8,3,0.0,11,-0.9005097169301033
MCF7,2.0,control,8,3,0.0,12,-1.06868136371653
MCF7,2.0,control,9,3,0.0,1,0.31100068821773896
MCF7,2.0,control,9,3,0.0,2,-0.03798930657445775
MCF7,2.0,control,9,3,0.0,3,1.2004497080282053
