ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,1,70,2,A199,0.6585754901607729,False,0.344477659781329
1,10,70,2,A199,0.6979571229245873,False,0.38385929254514345
2,10,70,2,A199,0.6118637512706753,False,0.2977659208912314
3,10,70,2,A199,0.6096964254903444,False,0.29559859511090053
4,10,70,2,A199,0.600257725143232,False,0.28615989476378806
1,11,70,2,A199,0.6822627381928749,False,0.368164907813431
2,11,70,2,A199,0.7324246604109017,True,0.4183268300314578
3,11,70,2,A199,0.758957492767337,True,0.44485966238789315
4,11,70,2,A199,0.6429916618832577,False,0.32889383150381385
1,12,70,2,A199,0.36987997153855445,False,0.055782141159110565
2,12,70,2,A199,0.37791822816963555,True,0.06382039779019166
1,13,70,2,A199,0.7065198832458505,False,0.3924220528664066
2,13,70,2,A199,0.7104531146041289,False,0.39635528422468497
1,14,70,2,A199,0.6944610350352531,False,0.38036320465580925
2,14,70,2,A199,0.5551265454825296,True,0.2410287151030857
3,14,70,2,A199,0.5967235463597763,False,0.2826257159803324
4,14,70,2,A199,0.7313876218733876,False,0.4172897914939437
5,14,70,2,A199,0.6605006743062832,False,0.34640284392683934
6,14,70,2,A199,0.5101964040151928,True,0.19609857363574895
1,2,70,2,A199,0.7429729013601672,False,0.42887507098072336
1,3,70,2,A199,0.3896423777566476,True,0.07554454737720373
1,4,70,2,A199,0.6566278222254732,False,0.34252999184602934
2,4,70,2,A199,0.6892078571588461,True,0.37511002677940225
1,5,70,2,A199,0.44690621219536386,False,0.13280838181591997
1,6,70,2,A199,0.7042883586899474,False,0.39019052831050355
2,6,70,2,A199,0.49127523248456767,True,0.17717740210512378
3,6,70,2,A199,0.7313365720666003,False,0.4172387416871564
4,6,70,2,A199,0.7519555697750361,False,0.4378577393955922
1,7,70,2,A199,0.5522416950737619,True,0.23814386469431797
2,7,70,2,A199,0.7101314623954057,False,0.3960336320159618
3,7,70,2,A199,0.6992834904610454,False,0.38518566008160154
1,8,70,2,A199,0.3304024064419557,True,0.01630457606251179
2,8,70,2,A199,0.6468944565365977,False,0.33279662615715383
3,8,70,2,A199,0.5113052164300749,False,0.19720738605063098
1,9,70,2,A199,0.3689593742692721,True,0.054861543889828224
1,0,0,2,control,0.24240847974645963,False,-0.07168935063298426
2,0,0,2,control,0.2017390936848896,False,-0.11235873669455429
3,0,0,2,control,0.2830302102579363,False,-0.0310676201215076
4,0,0,2,control,0.43789855625612717,False,0.12380072587668328
5,0,0,2,control,0.25171215869757746,False,-0.06238567168186643
6,0,0,2,control,0.5436612603489205,True,0.2295634299694766
7,0,0,2,control,0.37584118219114193,False,0.061743351811698044
8,0,0,2,control,0.21283232613919978,False,-0.10126550424024411
1,1,0,2,control,0.317685209566232,False,0.0035873791867880866
2,1,0,2,control,0.29109339386361077,False,-0.023004436515833115
1,2,0,2,control,0.27244409259999086,False,-0.041653737779453026
2,2,0,2,control,0.26888219245764233,False,-0.045215637921801555
3,2,0,2,control,0.2353592828836022,False,-0.0787385474958417
1,3,0,2,control,0.23664667208966428,False,-0.07745115828977961
2,3,0,2,control,0.27634230884594,False,-0.037755521533503866
3,3,0,2,control,0.4791646871261081,True,0.16506685674666421
1,4,0,2,control,0.33814050780472354,False,0.024042677425279657
2,4,0,2,control,0.40819056213098304,False,0.09409273175153915
1,5,0,2,control,0.28831828270853915,False,-0.025779547670904734
2,5,0,2,control,0.3168753936314812,False,0.0027775632520373184
3,5,0,2,control,0.37876132404451796,False,0.06466349366507407
4,5,0,2,control,0.32414026096669574,True,0.01004243058725185
5,5,0,2,control,0.2361389635684771,True,-0.07795886681096678
1,6,0,2,control,0.3262848541363256,False,0.012187023756881687
2,6,0,2,control,0.30424061843488504,True,-0.009857211944558852
3,6,0,2,control,0.2477495293641979,False,-0.066348301015246
4,6,0,2,control,0.2927210533070952,True,-0.021376777072348696
1,7,0,2,control,0.3459568453616388,False,0.0318590149821949
2,7,0,2,control,0.34353763597454573,False,0.029439805595101842
1,8,0,2,control,0.3188287743699288,False,0.004730943990484904
2,8,0,2,control,0.26423734810318145,False,-0.04986048227626244
3,8,0,2,control,0.46926101201790066,True,0.15516318163845677
4,8,0,2,control,0.2674548273245674,False,-0.04664300305487651
1,9,0,2,control,0.33899338138792734,False,0.024895551008483452
2,9,0,2,control,0.29203378827288756,False,-0.022064042106556325
3,9,0,2,control,0.2814953262656913,True,-0.032602504113752595
4,9,0,2,control,0.3161779860528383,False,0.0020801556733944238
5,9,0,2,control,0.4324151788209646,True,0.1183173484415207
6,9,0,2,control,0.2897593494674303,False,-0.02433848091201357
7,9,0,2,control,0.21545930490528925,True,-0.09863852547415464
