Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean_value,Ed_variance,Ed_not_zero_mean_value,Ed_not_zero_variance,Ed_region_mean_value,Ed_region_variance,Ed_region_max_value,Ed_region_min_value,Ed_region_top_50_value,Ed_region_top_25_value,Ed_not_region_mean_value,Ed_not_region_variance,Ed_not_region_max_value,Ed_not_region_min_value,Ed_not_region_top_50_value,Ed_not_region_top_25_value,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
MCF7,2.0,A133,0,2,40.0,1,0.052399829030036926,0.0005340334610082209,0.05982409790158272,0.00016554773901589215,0.04279424622654915,0.0007355423294939101,0.10347792506217957,0.0,0.06341882,0.07156341,0.05601804703474045,0.0004102827806491405,0.10777465999126434,0.0,0.069994345,0.076991804,0.7051138,0.8743563,0.8186927,7688.0,15687.0,23375.0,0.6521965,0.9131667,0.94234854,0.9745952,0.97402364,1117154300000.0,24334640000000.0,0.05256381,2.1516488e+25,3396799800000.0,24334640000000.0,0.05256381,5.7679155e+25,0.09708945,0.14431146,0.054113656,0.00026462594
MCF7,2.0,A133,0,2,40.0,2,0.06954892724752426,0.00011899766104761511,0.06954892724752426,0.00011899766104761511,0.06678196787834167,0.00010629117605276406,0.10023342072963715,0.03569112718105316,0.075390756,0.08037166,0.07173791527748108,0.00011820142390206456,0.11104187369346619,0.02607055939733982,0.08042133,0.086383946,0.73360586,0.7648566,0.7510526,6643.0,8396.0,15039.0,0.92906415,0.7936052,0.9545864,0.98685634,0.98722667,0.09421774,0.12774833,0.06434862,9.203985e-05,0.095304675,0.12774833,0.06434862,0.00013514825,0.09335784,0.1184208,0.071803555,5.6262023e-05
MCF7,2.0,A133,10,2,40.0,1,0.0919368639588356,0.0007347156060859561,0.09194611012935638,0.0007339399307966232,0.08225631713867188,0.0003722312394529581,0.1563166379928589,0.0038403926882892847,0.09759654,0.10688877,0.09841873496770859,0.0008726635132916272,0.3047807812690735,0.0,0.121430665,0.13656016,0.8934983,1.299222,1.1366929,19933.0,29826.0,49759.0,0.8656711,0.3795061,0.610282,0.96743554,0.94759005,0.26374653,0.6652917,0.03641147,0.005191868,0.23950075,0.4058014,0.03641147,0.002805236,0.2799497,0.6652917,0.06318933,0.006131422
MCF7,2.0,A133,10,2,40.0,2,0.0793939009308815,0.0002580168657004833,0.0793939009308815,0.0002580168657004833,0.08033017814159393,0.0001917077461257577,0.12820568680763245,0.03198917955160141,0.09130771,0.09867707,0.07908312976360321,0.00027963932370767,0.19089265167713165,0.02295498549938202,0.09184124,0.10131639,0.63340914,0.70857626,0.6898436,15144.0,45623.0,60767.0,0.8154218,0.9105518,0.9472853,0.97865826,0.9740143,0.115150265,0.2621418,0.049548633,0.0007551482,0.11510234,0.21482903,0.056807414,0.0005383975,0.11516617,0.2621418,0.049548633,0.00082709343
MCF7,2.0,A133,10,2,40.0,3,0.0878118947148323,0.000500753172673285,0.0878118947148323,0.000500753172673285,0.09448573738336563,0.0003413055674172938,0.15998074412345886,0.04257502406835556,0.108428046,0.11942244,0.08536535501480103,0.0005368911661207676,0.17159970104694366,0.021766802296042442,0.103691295,0.11814547,0.63912505,0.6023088,0.61218494,12597.0,34362.0,46959.0,0.8787006,0.8738516,0.94914925,0.98171794,0.9765545,0.19393307,0.34075102,0.087013684,0.0012283622,0.20535856,0.34075102,0.10870651,0.0011423657,0.18974462,0.2993033,0.087013684,0.0011944893
MCF7,2.0,A133,11,2,40.0,1,0.05514441058039665,0.0005335715250112116,0.05514441058039665,0.0005335715250112116,0.033246856182813644,4.9647147534415126e-05,0.0651458203792572,0.00917073991149664,0.038722035,0.042604543,0.06241997703909874,0.0004821067850571126,0.18737483024597168,0.0007878594333305955,0.07967477,0.092773214,1.1543244,3.1227326,2.6330538,11467.0,34628.0,46095.0,0.9830978,0.60575294,0.82105356,0.9851923,0.909481,0.12331377,0.3325208,0.041627217,0.0024897035,0.06561953,0.10793843,0.041627217,0.0001347656,0.14241855,0.3325208,0.046300616,0.0018022852
MCF7,2.0,A133,11,2,40.0,2,0.04671221971511841,0.00021589008974842727,0.04671318084001541,0.00021584989735856652,0.037846144288778305,2.950363705167547e-05,0.06213175877928734,0.01365995779633522,0.042076588,0.04443315,0.04874945804476738,0.00023650513321626931,0.1407320499420166,0.0,0.06051848,0.07001867,0.76682913,1.2971756,1.1980809,9136.0,39759.0,48895.0,0.8633771,0.9321202,0.9725584,0.9909609,0.9833642,0.065289095,0.13463745,0.028053802,0.00022597972,0.052378565,0.07558159,0.032322742,5.2123414e-05,0.06825566,0.13463745,0.028053802,0.00021882774
MCF7,2.0,A133,11,2,40.0,3,0.05033547803759575,0.000562917732167989,0.05129922181367874,0.0005242560291662812,0.04347031190991402,0.00018548719526734203,0.11280430853366852,0.0,0.05371176,0.061625436,0.05398429557681084,0.0007251579663716257,0.23865412175655365,0.0,0.07366286,0.08940965,0.58775604,0.68736863,0.6527978,16958.0,31905.0,48863.0,0.63090056,0.824108,0.8660864,0.94319797,0.9335213,0.026785513,0.13066292,0.0,0.00017847486,0.030915296,0.10324217,0.0052262074,0.00018276347,0.024590539,0.13066292,0.0,0.00016231279
MCF7,2.0,A133,12,2,40.0,1,0.0677642822265625,0.000660056946799159,0.0677642822265625,0.000660056946799159,0.042204421013593674,0.00013905068044550717,0.09928809106349945,0.007267931941896677,0.051166926,0.058573224,0.07379447668790817,0.0005924808792769909,0.20040760934352875,0.00029443087987601757,0.09294664,0.107025415,1.1980059,2.9631252,2.6261766,9688.0,41063.0,50751.0,1.0,0.7259854,0.7975839,0.98316115,0.9009948,0.074282594,0.1711985,0.02486853,0.0006098428,0.041248363,0.067026444,0.026696514,5.919717e-05,0.082076184,0.1711985,0.02486853,0.00042155856
MCF7,2.0,A133,12,2,40.0,2,0.16172388195991516,0.0030852160416543484,0.16585798561573029,0.002478410955518484,0.1288416087627411,0.000994548317976296,0.23694880306720734,0.03611589968204498,0.15431081,0.17079651,0.17179082334041595,0.0032929086592048407,0.3761594593524933,0.0,0.21467301,0.24283315,0.50795937,0.34566802,0.38370854,10692.0,34923.0,45615.0,0.65924937,0.8246004,0.9072987,0.94997275,0.93576884,0.31766683,0.8321705,0.0,0.011783848,0.38654166,0.8321705,0.12939054,0.014922825,0.2965808,0.6998282,0.0,0.008925927
