ObjectNumber,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Rc,Region_Ed,Region_pixels_sum,Cell_Ed,Cell_pixels_sum
1,MCF7,2.0,A133,0,2,40.0,1,0.05,0.052180297672748566,3417,0.052641890943050385,5050
1,MCF7,2.0,A133,0,2,40.0,1,0.1,0.0321468710899353,2968,0.056079816073179245,16389
1,MCF7,2.0,A133,0,2,40.0,1,0.15,0.0,11,0.061960916966199875,645
2,MCF7,2.0,A133,0,2,40.0,2,0.06,0.05706748738884926,1269,0.06368221342563629,2392
2,MCF7,2.0,A133,0,2,40.0,2,0.11,0.06907591223716736,5374,0.07065844535827637,12648
1,MCF7,2.0,A133,10,2,40.0,1,0.04,0.0600229911506176,23,0.0599660724401474,24
1,MCF7,2.0,A133,10,2,40.0,1,0.09,0.058112770318984985,450,0.06097516044974327,667
1,MCF7,2.0,A133,10,2,40.0,1,0.14,0.06278616189956665,1316,0.071316197514534,3808
1,MCF7,2.0,A133,10,2,40.0,1,0.19,0.07347796857357025,3966,0.08342473208904266,8260
1,MCF7,2.0,A133,10,2,40.0,1,0.24,0.08379174023866653,7423,0.08944813162088394,12291
1,MCF7,2.0,A133,10,2,40.0,1,0.29,0.09015064686536789,5704,0.09391779452562332,12945
1,MCF7,2.0,A133,10,2,40.0,1,0.34,0.09717363119125366,1013,0.10202478617429733,7927
1,MCF7,2.0,A133,10,2,40.0,1,0.39,0.09827742725610733,38,0.11268717795610428,2902
1,MCF7,2.0,A133,10,2,40.0,1,0.44,,0,0.126131072640419,706
1,MCF7,2.0,A133,10,2,40.0,1,0.49,,0,0.13532258570194244,177
1,MCF7,2.0,A133,10,2,40.0,1,0.54,,0,0.14932172000408173,44
1,MCF7,2.0,A133,10,2,40.0,1,0.59,,0,,7
2,MCF7,2.0,A133,10,2,40.0,2,0.05,0.06842843443155289,856,0.06641022861003876,3808
2,MCF7,2.0,A133,10,2,40.0,2,0.1,0.0776483491063118,9737,0.07676071673631668,39490
2,MCF7,2.0,A133,10,2,40.0,2,0.15,0.08819031715393066,4453,0.08671992272138596,15302
