ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,60,2,A1331852,0.28812090604250506,False,-0.0029821067775466226
2,0,60,2,A1331852,0.3373903963557111,False,0.04628738353565942
3,0,60,2,A1331852,0.2581795216842212,True,-0.032923491135830485
4,0,60,2,A1331852,0.3443752190339494,False,0.05327220621389772
1,1,60,2,A1331852,0.3375538552688087,False,0.046450842448757024
2,1,60,2,A1331852,0.3679724394532009,False,0.07686942663314922
1,10,60,2,A1331852,0.3195929363684084,False,0.02848992354835672
2,10,60,2,A1331852,0.3122551711872135,True,0.021152158367161833
3,10,60,2,A1331852,0.3383520474259077,False,0.047249034605856
4,10,60,2,A1331852,0.3410408680390053,False,0.04993785521895361
5,10,60,2,A1331852,0.3078986764498163,True,0.01679566362976459
6,10,60,2,A1331852,0.34201943681929203,False,0.050916423999240346
7,10,60,2,A1331852,0.4639631668834358,False,0.17286015406338412
8,10,60,2,A1331852,0.3406388234980875,False,0.04953581067803581
1,2,60,2,A1331852,0.372274827112489,True,0.0811718142924373
2,2,60,2,A1331852,0.35477971814184733,False,0.06367670532179565
3,2,60,2,A1331852,0.3380669216311196,False,0.046963908811067934
4,2,60,2,A1331852,0.33367411353082954,False,0.042571100710777854
5,2,60,2,A1331852,0.45166266570040126,True,0.16055965288034957
1,3,60,2,A1331852,0.32632858483106386,False,0.035225572011012174
2,3,60,2,A1331852,0.36693501142087254,True,0.07583199860082085
3,3,60,2,A1331852,0.2885266263553959,True,-0.0025763864646558
1,4,60,2,A1331852,0.2970172955364519,True,0.00591428271640021
2,4,60,2,A1331852,0.3040138445661185,True,0.012910831746066831
3,4,60,2,A1331852,0.3314042922979306,False,0.040301279477878926
4,4,60,2,A1331852,0.33757140059548046,False,0.04646838777542878
5,4,60,2,A1331852,0.34141602751961403,False,0.05031301469956234
6,4,60,2,A1331852,0.3388959778567518,False,0.04779296503670011
1,5,60,2,A1331852,0.32360228271159663,True,0.032499269891544946
2,5,60,2,A1331852,0.3969063426295209,False,0.10580332980946922
3,5,60,2,A1331852,0.33674613790703234,False,0.04564312508698065
4,5,60,2,A1331852,0.33401154615908585,False,0.04290853333903416
1,6,60,2,A1331852,0.3306840187172638,False,0.039581005897212085
2,6,60,2,A1331852,0.33809996055226055,False,0.04699694773220886
3,6,60,2,A1331852,0.2986447951233749,False,0.007541782303323197
4,6,60,2,A1331852,0.3140199913633167,True,0.02291697854326502
5,6,60,2,A1331852,0.3370719986825413,False,0.0459689858624896
1,7,60,2,A1331852,0.3337772473483736,False,0.04267423452832192
2,7,60,2,A1331852,0.31899011610762257,True,0.02788710328757088
3,7,60,2,A1331852,0.32103509953891607,True,0.02993208671886438
4,7,60,2,A1331852,0.3436962068984902,False,0.05259319407843849
5,7,60,2,A1331852,0.3332616730640237,False,0.042158660243972024
6,7,60,2,A1331852,0.29872565836125364,True,0.007622645541201956
7,7,60,2,A1331852,0.33860802723091055,False,0.04750501441085886
8,7,60,2,A1331852,0.3273759352965247,False,0.03627292247647301
9,7,60,2,A1331852,0.3393651690794921,False,0.048262156259440414
1,8,60,2,A1331852,0.4069861825819029,True,0.1158831697618512
2,8,60,2,A1331852,0.3376340807236421,False,0.046531067903590406
3,8,60,2,A1331852,0.3319059779558989,True,0.04080296513584719
4,8,60,2,A1331852,0.3559529256792967,False,0.06484991285924502
5,8,60,2,A1331852,0.3371845419017566,False,0.04608152908170493
6,8,60,2,A1331852,0.32722706335329954,True,0.03612405053324785
7,8,60,2,A1331852,0.3420774914484198,False,0.050974478628368125
8,8,60,2,A1331852,0.34932888507234405,False,0.058225872252292366
9,8,60,2,A1331852,0.349341890390399,False,0.05823887757034729
1,9,60,2,A1331852,0.33773382434820814,False,0.04663081152815646
2,9,60,2,A1331852,0.3525216709814306,False,0.061418658161378925
3,9,60,2,A1331852,0.33094849297601403,False,0.03984548015596234
4,9,60,2,A1331852,0.3801880766072457,True,0.089085063787194
1,0,0,2,control,0.28645190265929754,False,-0.004651110160754146
2,0,0,2,control,0.3179252590800627,True,0.026822246260011007
3,0,0,2,control,0.2788895174258278,False,-0.012213495394223894
1,1,0,2,control,0.33395828622385093,True,0.04285527340379924
2,1,0,2,control,0.2848976445210114,False,-0.006205368299040281
3,1,0,2,control,0.3363914831016393,True,0.04528847028158761
4,1,0,2,control,0.3449211791744603,False,0.053818166354408614
5,1,0,2,control,0.2814344884876523,True,-0.009668524332399397
6,1,0,2,control,0.28051457971526156,False,-0.01058843310479013
1,10,0,2,control,0.28568615188864105,False,-0.005416860931410639
2,10,0,2,control,0.28264261200557156,False,-0.008460400814480129
3,10,0,2,control,0.29992158312303535,False,0.008818570302983664
1,11,0,2,control,0.301088048151253,False,0.00998503533120132
2,11,0,2,control,0.2601127467170904,True,-0.030990266102961295
1,12,0,2,control,0.2809622631902771,True,-0.01014074962977457
2,12,0,2,control,0.2916372875924435,False,0.0005342747723918184
3,12,0,2,control,0.29051820166789233,False,-0.0005848111521593591
4,12,0,2,control,0.2579590149477573,True,-0.033143997872294384
5,12,0,2,control,0.2922624582327636,False,0.0011594454127119014
6,12,0,2,control,0.2853647121729688,False,-0.005738300647082861
1,13,0,2,control,0.28725036339136273,False,-0.003852649428688959
2,13,0,2,control,0.2864892524151631,False,-0.004613760404888589
3,13,0,2,control,0.28597292946874775,False,-0.005130083351303938
4,13,0,2,control,0.29634978431946796,True,0.0052467714994162695
5,13,0,2,control,0.2942216001850431,False,0.003118587364991432
6,13,0,2,control,0.32824415080179437,True,0.03714113798174268
7,13,0,2,control,0.3001621019950734,False,0.00905908917502174
1,14,0,2,control,0.24343015350381653,False,-0.04767285931623516
2,14,0,2,control,0.2947959021936569,False,0.003692889373605235
3,14,0,2,control,0.28606451207287026,False,-0.005038500747181429
4,14,0,2,control,0.2861987021188085,False,-0.0049043107012431975
5,14,0,2,control,0.2856770255939102,False,-0.00542598722614146
6,14,0,2,control,0.30854819832789804,False,0.01744518550784635
