ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,1,2,Trysin,0.9339152761618816,False,0.8602941097419639
2,0,1,2,Trysin,0.916000828243168,True,0.8423796618232502
3,0,1,2,Trysin,0.9608172036990856,False,0.8871960372791678
4,0,1,2,Trysin,0.9291535706638641,False,0.8555324042439463
5,0,1,2,Trysin,0.9550763250197442,False,0.8814551585998264
6,0,1,2,Trysin,0.9558062885618919,False,0.8821851221419741
7,0,1,2,Trysin,0.8411320409761052,False,0.7675108745561874
1,1,1,2,Trysin,0.9573829303103778,False,0.88376176389046
2,1,1,2,Trysin,0.9139512236739383,True,0.8403300572540205
3,1,1,2,Trysin,0.9526425958010926,False,0.8790214293811748
4,1,1,2,Trysin,0.9442490990871658,False,0.870627932667248
5,1,1,2,Trysin,0.8864587483427627,False,0.8128375819228449
6,1,1,2,Trysin,0.8978469449119952,False,0.8242257784920775
7,1,1,2,Trysin,0.9409885337463916,True,0.8673673673264738
8,1,1,2,Trysin,0.951967594878257,True,0.8783464284583392
9,1,1,2,Trysin,0.9230672232285766,False,0.8494460568086588
10,1,1,2,Trysin,0.9678216311705994,False,0.8942004647506816
11,1,1,2,Trysin,0.9158187928574794,True,0.8421976264375616
12,1,1,2,Trysin,0.9380908896077376,False,0.8644697231878198
1,10,1,2,Trysin,0.9459247642061097,False,0.8723035977861919
2,10,1,2,Trysin,0.896323184957853,True,0.8227020185379352
3,10,1,2,Trysin,0.977981431507588,True,0.9043602650876702
4,10,1,2,Trysin,0.9684321214910836,False,0.8948109550711658
5,10,1,2,Trysin,0.9517583306055242,False,0.8781371641856064
6,10,1,2,Trysin,0.8995442524140772,False,0.8259230859941594
7,10,1,2,Trysin,0.9508489289145805,False,0.8772277624946627
1,11,1,2,Trysin,0.9688680817887502,False,0.8952469153688324
2,11,1,2,Trysin,0.968440092253392,False,0.8948189258334742
3,11,1,2,Trysin,0.9797363533000885,False,0.9061151868801707
4,11,1,2,Trysin,0.9633835661472124,False,0.8897623997272947
5,11,1,2,Trysin,0.9474671230777616,False,0.8738459566578438
6,11,1,2,Trysin,0.9548525128136083,False,0.8812313463936905
7,11,1,2,Trysin,0.9718991571720392,False,0.8982779907521214
8,11,1,2,Trysin,0.9714830988868485,False,0.8978619324669307
9,11,1,2,Trysin,0.970293859045228,False,0.8966726926253102
10,11,1,2,Trysin,0.9693359909141115,False,0.8957148244941937
11,11,1,2,Trysin,0.9778622651323735,False,0.9042410987124557
1,12,1,2,Trysin,0.9440908493750333,True,0.8704696829551155
2,12,1,2,Trysin,0.9487220471365105,False,0.8751008807165928
3,12,1,2,Trysin,0.8999928114947473,False,0.8263716450748295
4,12,1,2,Trysin,0.9547926616123996,False,0.8811714951924818
5,12,1,2,Trysin,0.9496764911118707,False,0.8760553246919529
6,12,1,2,Trysin,0.942232805861828,False,0.8686116394419102
7,12,1,2,Trysin,0.9704070045871646,True,0.8967858381672468
8,12,1,2,Trysin,0.9464711228192133,False,0.8728499563992955
9,12,1,2,Trysin,0.9631373193228525,False,0.8895161529029347
10,12,1,2,Trysin,0.9239709209104655,False,0.8503497544905477
1,13,1,2,Trysin,0.8053038395758378,False,0.7316826731559201
2,13,1,2,Trysin,0.9620384238972461,True,0.8884172574773284
3,13,1,2,Trysin,0.9257194443882437,False,0.8520982779683259
4,13,1,2,Trysin,0.9462140850020774,True,0.8725929185821596
5,13,1,2,Trysin,0.8909439746188056,False,0.8173228081988878
6,13,1,2,Trysin,0.963579006794328,True,0.8899578403744102
7,13,1,2,Trysin,0.9635615852810769,False,0.8899404188611592
8,13,1,2,Trysin,0.9492770578284638,True,0.875655891408546
9,13,1,2,Trysin,0.9503315205719787,False,0.8767103541520609
10,13,1,2,Trysin,0.9474409188605188,False,0.8738197524406011
11,13,1,2,Trysin,0.9568210490130896,True,0.8831998825931718
12,13,1,2,Trysin,0.9122938950613302,True,0.8386727286414124
13,13,1,2,Trysin,0.794314827533203,True,0.7206936611132853
14,13,1,2,Trysin,0.965686659972852,False,0.8920654935529342
15,13,1,2,Trysin,0.9605509494094981,False,0.8869297829895804
16,13,1,2,Trysin,0.950622853813951,False,0.8770016873940332
17,13,1,2,Trysin,0.8869656715407898,True,0.813344505120872
18,13,1,2,Trysin,0.9207757860929415,False,0.8471546196730237
1,14,1,2,Trysin,0.954920469487595,False,0.8812993030676772
2,14,1,2,Trysin,0.8876836708837581,False,0.8140625044638403
3,14,1,2,Trysin,0.9329037922340332,False,0.8592826258141154
4,14,1,2,Trysin,0.9390962101417946,False,0.8654750437218768
5,14,1,2,Trysin,0.8975037253399876,False,0.8238825589200698
1,15,1,2,Trysin,0.9785610498066202,True,0.9049398833867024
2,15,1,2,Trysin,0.989417711887624,True,0.9157965454677062
3,15,1,2,Trysin,0.9817136030257547,True,0.9080924366058369
4,15,1,2,Trysin,0.968789175321594,False,0.8951680089016762
5,15,1,2,Trysin,0.9614064750403122,True,0.8877853086203944
6,15,1,2,Trysin,0.9049021170044288,False,0.831280950584511
1,16,1,2,Trysin,0.9403272469177848,False,0.866706080497867
2,16,1,2,Trysin,0.950024558987287,False,0.8764033925673692
3,16,1,2,Trysin,0.9511062362983939,False,0.8774850698784761
4,16,1,2,Trysin,0.9609622986605173,False,0.8873411322405995
5,16,1,2,Trysin,0.9761260071071078,False,0.9025048406871901
6,16,1,2,Trysin,0.9463456490539869,False,0.8727244826340691
1,17,1,2,Trysin,0.92392054743285,False,0.8502993810129322
