ObjectNumber,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Rc,Region_Ed,Region_pixels_sum,Cell_Ed,Cell_pixels_sum
1,MCF7,2.0,A133,0,1,60.0,1,0.0,,0,0.0,24
1,MCF7,2.0,A133,0,1,60.0,1,0.15,0.08099663257598877,5,,6
1,MCF7,2.0,A133,0,1,60.0,1,0.2,0.09537491202354431,68,0.09430211782455444,81
1,MCF7,2.0,A133,0,1,60.0,1,0.25,0.09853260219097137,526,0.09737417846918106,706
1,MCF7,2.0,A133,0,1,60.0,1,0.3,0.10408761352300644,1474,0.10277119278907776,2233
1,MCF7,2.0,A133,0,1,60.0,1,0.35,0.10885008424520493,1817,0.10549845546483994,3647
1,MCF7,2.0,A133,0,1,60.0,1,0.4,0.11230369657278061,1385,0.10657484084367752,3887
1,MCF7,2.0,A133,0,1,60.0,1,0.45,0.12330684810876846,1064,0.10822442919015884,3642
1,MCF7,2.0,A133,0,1,60.0,1,0.5,0.13249711692333221,735,0.11080041527748108,2900
1,MCF7,2.0,A133,0,1,60.0,1,0.55,0.14182299375534058,425,0.11300236731767654,2086
1,MCF7,2.0,A133,0,1,60.0,1,0.6,0.14852608740329742,212,0.1158827394247055,1388
1,MCF7,2.0,A133,0,1,60.0,1,0.65,0.15864960849285126,112,0.11670161038637161,973
1,MCF7,2.0,A133,0,1,60.0,1,0.7,0.15938353538513184,72,0.11962290853261948,608
1,MCF7,2.0,A133,0,1,60.0,1,0.75,0.1614343822002411,49,0.12017623335123062,399
1,MCF7,2.0,A133,0,1,60.0,1,0.8,0.1626983880996704,17,0.11773644387722015,236
1,MCF7,2.0,A133,0,1,60.0,1,0.85,0.1610034853219986,18,0.12958166003227234,147
1,MCF7,2.0,A133,0,1,60.0,1,0.9,0.1722053736448288,11,0.13129395246505737,99
1,MCF7,2.0,A133,0,1,60.0,1,0.95,0.18197087943553925,5,0.13048765063285828,56
1,MCF7,2.0,A133,0,1,60.0,1,1.0,,4,0.14298349618911743,43
1,MCF7,2.0,A133,0,1,60.0,1,1.05,0.1649894118309021,9,0.1616804152727127,35
1,MCF7,2.0,A133,0,1,60.0,1,1.1,,3,0.16874627768993378,28
1,MCF7,2.0,A133,0,1,60.0,1,1.15,,3,0.15121398866176605,18
1,MCF7,2.0,A133,0,1,60.0,1,1.2,,2,,7
1,MCF7,2.0,A133,0,1,60.0,1,1.25,,1,,6
2,MCF7,2.0,A133,0,1,60.0,2,0.0,,2,0.0,121
2,MCF7,2.0,A133,0,1,60.0,2,0.05,0.10540542751550674,29,0.10716947913169861,33
2,MCF7,2.0,A133,0,1,60.0,2,0.1,0.11773185431957245,1295,0.12117568403482437,1598
2,MCF7,2.0,A133,0,1,60.0,2,0.15,0.12269517779350281,5538,0.12885552644729614,7532
2,MCF7,2.0,A133,0,1,60.0,2,0.2,0.12622132897377014,3644,0.13743449747562408,7074
2,MCF7,2.0,A133,0,1,60.0,2,0.25,0.13101129233837128,837,0.14902180433273315,3416
2,MCF7,2.0,A133,0,1,60.0,2,0.3,0.1346779763698578,123,0.16275589168071747,1500
2,MCF7,2.0,A133,0,1,60.0,2,0.35,0.13001933693885803,14,0.16979269683361053,669
2,MCF7,2.0,A133,0,1,60.0,2,0.4,,1,0.1871258020401001,303
2,MCF7,2.0,A133,0,1,60.0,2,0.45,,0,0.20168891549110413,161
2,MCF7,2.0,A133,0,1,60.0,2,0.5,,0,0.2248692363500595,53
2,MCF7,2.0,A133,0,1,60.0,2,0.55,,0,0.23750708997249603,23
2,MCF7,2.0,A133,0,1,60.0,2,0.6,,0,,8
