Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean_value,Ed_variance,Ed_not_zero_mean_value,Ed_not_zero_variance,Ed_region_mean_value,Ed_region_variance,Ed_region_max_value,Ed_region_min_value,Ed_region_top_50_value,Ed_region_top_25_value,Ed_not_region_mean_value,Ed_not_region_variance,Ed_not_region_max_value,Ed_not_region_min_value,Ed_not_region_top_50_value,Ed_not_region_top_25_value,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
MCF7,4.0,A133,0,1,60.0,1,0.034506283700466156,0.0003827317850664258,0.03799618035554886,0.0002888378221541643,0.03932736814022064,0.00020544807193800807,0.1523825079202652,0.0,0.04984889,0.057140596,0.03096863254904747,0.00048325027455575764,0.15319238603115082,0.0,0.048676807,0.0598628,0.12435675,0.061365582,0.08802642,9460,12891,22351,0.31165093,0.49184114,0.59658754,0.71255374,0.69251734,0.07644513,1.7069654,0.0,0.011304895,0.12925951,1.7069654,0.0,0.020638289,0.03769055,0.19193844,0.0,0.00090744405
MCF7,4.0,A133,0,1,60.0,2,0.051074523478746414,0.0008962020510807633,0.052956487983465195,0.000829562428407371,0.06862735003232956,0.0009336618240922689,0.20909272134304047,0.0,0.09402111,0.1101278,0.042166098952293396,0.0006414622184820473,0.1809781789779663,0.0,0.06223283,0.07583322,0.31554016,0.09722297,0.1704079,16026,31781,47807,0.43494394,0.7435171,0.75943863,0.8276582,0.7803616,0.16672455,1.3051611,0.0,0.037755128,0.33520412,1.3051611,0.014293601,0.06624491,0.081769116,0.385462,0.0,0.0018585388
MCF7,4.0,A133,0,1,60.0,3,0.10355427861213684,0.003393925493583083,0.1037270724773407,0.0033816653303802013,0.14660011231899261,0.0034184004180133343,0.3468516767024994,0.006795113906264305,0.19447286,0.22259094,0.08338664472103119,0.0021075932309031487,0.38287076354026794,0.0,0.113827094,0.14156635,0.39351538,0.10708522,0.20568421,5579,10628,16207,0.5522618,0.65171605,0.8189133,0.895877,0.82928,0.9596735,4.652444,0.15197052,0.59043205,1.7472011,4.652444,0.3509112,0.61649173,0.5463125,3.3289213,0.15197052,0.08035319
MCF7,4.0,A133,0,1,60.0,4,0.046836014837026596,0.00038208963815122843,0.047105129808187485,0.00037160853389650583,0.04577018320560455,0.00020547406165860593,0.10704446583986282,0.0,0.057039466,0.06438146,0.04797595366835594,0.0005684691132046282,0.16312925517559052,0.0,0.06736455,0.08015413,0.23857519,0.22846518,0.2336903,9046,8457,17503,0.18661812,0.27335957,0.56103516,0.7883356,0.7919299,0.0808561,0.59172696,0.0,0.0028965543,0.09500018,0.59172696,0.025008895,0.004736439,0.06572874,0.16885287,0.0,0.00048596127
MCF7,4.0,A133,0,1,60.0,5,0.03441184014081955,0.000448572012828663,0.03932981565594673,0.00031925670919008553,0.03669283911585808,0.0001323483302257955,0.07834387570619583,0.0,0.045704838,0.051081773,0.03284495696425438,0.0006597656756639481,0.16232383251190186,0.0,0.054032087,0.066579655,0.13475478,0.14718546,0.14212339,9154,13325,22479,0.35023388,0.60307455,0.66695315,0.80281705,0.80272317,0.0308385,0.55312824,0.0,0.0007909561,0.04063506,0.55312824,0.0,0.0013573272,0.02410898,0.086496055,0.0,0.00029068734
MCF7,4.0,A133,0,1,60.0,6,0.04423494264483452,0.000361866841558367,0.044647544622421265,0.000346820626873523,0.04355807229876518,0.0003254117036703974,0.1154063493013382,0.0,0.057965863,0.06757885,0.044520992785692215,0.0003769970207940787,0.12260135263204575,0.0,0.059931666,0.06965069,0.5566408,0.7885846,0.7196756,2443,5780,8223,0.21971348,-0.1293723,0.3687385,0.7485501,0.7789662,0.14033952,0.44777507,0.04468499,0.0034654818,0.13436955,0.40174782,0.04468499,0.0066824346,0.14286238,0.44777507,0.056849044,0.0020845989
MCF7,4.0,A133,0,1,60.0,7,0.039039142429828644,0.0006356114754453301,0.04084749519824982,0.0005911872140131891,0.03536325693130493,0.00030126882484182715,0.1101340726017952,0.0,0.048472505,0.05776927,0.04053737595677376,0.0007641324773430824,0.15191228687763214,0.0,0.062243015,0.078744285,0.49144086,0.85195184,0.7475506,2891,7092,9983,0.6869611,0.70317584,0.8967723,0.9560315,0.95416623,0.034973487,0.11912783,0.0,0.00012365676,0.03797953,0.11912783,0.015536546,0.00014510856,0.033748273,0.08386829,0.0,0.00010972913
MCF7,4.0,A133,1,1,60.0,1,0.07975911349058151,0.00047704222379252315,0.08002998679876328,0.00045698441681452096,0.07554672658443451,0.00024307049170602113,0.14365193247795105,0.018907906487584114,0.08789087,0.09554527,0.08172550797462463,0.0005741131026297808,0.1987304389476776,0.0,0.100410454,0.112325035,0.49162355,0.80869323,0.70901626,6780,14787,21567,0.8560173,0.6308399,0.81867814,0.96031237,0.9381757,0.077728026,0.5982438,0.0,0.001503059,0.06792438,0.1955473,0.02731811,0.00032609882,0.0822228,0.5982438,0.0,0.0019784037
MCF7,4.0,A133,1,1,60.0,2,0.10071425139904022,0.0014922446571290493,0.10150276124477386,0.00142389175016433,0.09691008180379868,0.000929751549847424,0.31087806820869446,0.0,0.120511994,0.13623056,0.10246004909276962,0.0017406929982826114,0.3865213096141815,0.0,0.13493067,0.15569352,0.28038293,0.2573206,0.26457554,5345,11646,16991,0.3574452,0.23680028,0.60975313,0.85180014,0.87631834,0.25990903,1.7740868,0.0,0.012955786,0.28383693,1.7740868,0.047200676,0.02514868,0.24892813,1.2988302,0.0,0.006976937
MCF7,4.0,A133,1,1,60.0,3,0.09261506795883179,0.0003478887665551156,0.09261506795883179,0.0003478887665551156,0.09648453444242477,0.0002072974166367203,0.15106292068958282,0.03713885694742203,0.10786578,0.11477793,0.08961063623428345,0.0004363984044175595,0.19056366384029388,0.020023932680487633,0.106165566,0.11651354,0.67177224,0.7534156,0.71772796,5189,6682,11871,0.59870064,0.44763407,0.7492063,0.9324409,0.9328233,0.1980238,0.43782994,0.045156907,0.0055600447,0.21423064,0.43782994,0.059205122,0.0064817574,0.18544002,0.432217,0.045156907,0.004482088
