Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean_value,Ed_variance,Ed_not_zero_mean_value,Ed_not_zero_variance,Ed_region_mean,Ed_region_variance,Ed_region_max_value,Ed_region_min_value,Ed_region_top_50_value,Ed_region_top_25_value,Ed_not_region_mean_value,Ed_not_region_variance,Ed_not_region_max_value,Ed_not_region_min_value,Ed_not_region_top_50_value,Ed_not_region_top_25_value,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
MCF7,2,A133,0,1,80,1,0.15055589377880096,0.004645291715860367,0.1523580551147461,0.004426322877407074,0.15396438539028168,0.0035672613885253668,0.4329116940498352,0,0.2012695074081421,0.2317565679550171,0.14820711314678192,0.005374634638428688,0.4859403669834137,0,0.20637643,0.24389406,0.5925917,0.46997914,0.52468365,5846,7257,13103,0.5803083,0.3573934,0.6695582,0.9212208,0.9022793,1.8269871,6.6780057,0,0.4741705,1.9917495,6.1720986,0.6200784,0.47724786,1.6942786,6.6780057,0,0.4322149
MCF7,2,A133,0,1,80,2,0.08527415245771408,0.00039460245170630515,0.08527415245771408,0.00039460245170630515,0.08899529278278351,9.399060945725068e-05,0.13578008115291595,0.05902419239282608,0.09651599824428558,0.10153301060199738,0.08518406003713608,0.00040153757436200976,0.21533267199993134,0.0009242816595360637,0.1002727,0.11071287,0.8946957,0.77750987,0.8286298,11865,15334,27199,0.9251423,0.96185726,0.98961216,0.99684143,0.99526906,0.42305747,0.6255995,0.2532787,0.002467028,0.4556337,0.5985751,0.32338712,0.001241482,0.39785266,0.6255995,0.2532787,0.001958896
MCF7,2,A133,0,1,80,3,0.10812278836965561,0.0008666230132803321,0.1081354096531868,0.0008653594995848835,0.11167621612548828,0.0003642930823843926,0.19682763516902924,0.04442085325717926,0.12661334872245789,0.13680103421211243,0.10583192855119705,0.0011770805576816201,0.2574292719364166,0,0.13351455,0.15179391,0.88802665,0.76450825,0.813375,6779,10356,17135,0.92887104,0.91835976,0.9793455,0.99443513,0.9913035,0.57284886,0.8630316,0.32041627,0.006837802,0.63327754,0.8556782,0.43493807,0.003607909,0.5332963,0.8630316,0.32041627,0.004997358
MCF7,2,A133,0,1,80,4,0.09074295312166214,0.0004965743282809854,0.09074295312166214,0.0004965743282809854,0.08932391554117203,0.00021634859149344265,0.14525391161441803,0.024011356756091118,0.10085074603557587,0.10771912336349487,0.09201326966285706,0.0007440164336003363,0.21398641169071198,0.004547531716525555,0.11392688,0.12757397,0.98653257,0.80704993,0.891835,6492,7251,13743,0.9692026,0.8886702,0.98123324,0.9957368,0.99330646,0.6825276,0.9394146,0.39294556,0.005750686,0.71670896,0.91336507,0.5221873,0.002909395,0.6519285,0.9394146,0.39294556,0.006311986
MCF7,2,A133,1,1,80,1,0.07956696301698685,0.00043967028614133596,0.07957378029823303,0.00043916478171013296,0.08160623908042908,0.0002317956241313368,0.14107319712638855,0.022438837215304375,0.09397157281637192,0.10067957639694214,0.07849906384944916,0.0005452078185044229,0.19695386290550232,0,0.09680209,0.108441666,0.8532066,0.7928325,0.814821,8490,14821,23311,0.8188488,0.7822684,0.9448353,0.9809445,0.97933215,0.6290796,1.157551,0.31543016,0.011876286,0.6709633,1.0514662,0.34157237,0.014348818,0.6050888,1.157551,0.31543016,0.008879644
MCF7,2,A133,1,1,80,2,0.07602208852767944,0.0005961036658845842,0.07615744322538376,0.0005868570297025144,,,,,,,0.07602208852767944,0.0005961036658845842,0.19692520797252655,0,0.09505344,0.106848136,1.0908352,1.0130333,1.0594218,8051,5452,13503,0.88034683,0.63324773,0.8996309,0.9850692,0.98355705,0.31378913,0.5212983,0.15021613,0.002548534,0.33008733,0.5212983,0.19376512,0.002185016,0.28972587,0.5041444,0.15021613,0.002114017
MCF7,2,A133,10,1,80,1,0.07930094003677368,0.0022823300678282976,0.08411278575658798,0.00201608007773757,,,,,,,0.07930094003677368,0.0022823300678282976,0.43378937244415283,0,0.115629025,0.14129695,0.8482365,0.8744937,0.86487645,11902,20593,32495,0.87881464,0.7823503,0.92028356,0.98720974,0.98293865,0.3121041,0.8189785,0,0.006921345,0.32189837,0.70124453,0.14793432,0.002479517,0.30644366,0.8189785,0,0.009400955
MCF7,2,A133,10,1,80,2,0.10217718780040741,0.0016689514741301537,0.10277174413204193,0.0016175602795556188,0.11176781356334686,0.0009032305679284036,0.22643473744392395,0.037224505096673965,0.13565845787525177,0.15086810290813446,0.10170089453458786,0.0017021852545440197,0.35796114802360535,0,0.13361253,0.15570311,0.990015,0.96708167,0.97412586,2973,6706,9679,0.8368015,0.817065,0.924842,0.986903,0.9809018,0.4441285,0.97134775,0.2089058,0.005728428,0.4594022,0.7364279,0.25710687,0.003879505,0.43735823,0.97134775,0.2089058,0.006398751
MCF7,2,A133,10,1,80,3,0.12300509959459305,0.0027666448149830103,0.12511876225471497,0.002549726516008377,0.12398490309715271,0.0014663421316072345,0.3081420660018921,0,0.15445227921009064,0.17317500710487366,0.1221022754907608,0.003963089548051357,0.4796481430530548,0,0.17200182,0.20355698,0.4568584,0.35467896,0.403734,9463,10248,19711,0.83590734,0.6274024,0.86262965,0.97003734,0.9606308,1.181266,4.30478,0,0.113975205,1.2667398,4.30478,0.6399537,0.073230274,1.1023469,3.669799,0,0.13862167
MCF7,2,A133,10,1,80,4,0.11883068084716797,0.002051115967333317,0.11912790685892105,0.002020838437601924,0.11255232244729996,0.001171605777926743,0.24893970787525177,0.00367823732085526,0.13946063816547394,0.1572328507900238,0.12339172512292862,0.002640614751726389,0.39392003417015076,0,0.16407867,0.19079949,0.7882295,0.7354509,0.75807035,3435,4580,8015,0.8945934,0.7694354,0.92913973,0.9851327,0.9816688,0.6393539,1.2966095,0.32098794,0.009295172,0.6444994,1.0908053,0.43267912,0.006803783,0.6354954,1.2966095,0.32098794,0.011128567
MCF7,2,A133,10,1,80,5,0.06587657332420349,0.0011336317984387279,0.06772320717573166,0.0010403491323813796,,,,,,,0.06587657332420349,0.0011336317984387279,0.26710695028305054,0,0.09231066,0.1094841,0.9519748,1.0738931,1.0272213,6584,10615,17199,0.8705784,0.7964572,0.9211608,0.9903193,0.9853585,0.38277572,0.6982885,0,0.003239939,0.3829352,0.60889673,0.2157192,0.001922075,0.3826768,0.6982885,0,0.004057248
MCF7,2,A133,10,1,80,6,0.051290396600961685,0.0009471029043197632,0.05395504832267761,0.0008525355951860547,,,,,,,0.051290396600961685,0.0009471029043197632,0.22691385447978973,0,0.07540134,0.09187515,0.98339796,1.25413,1.1233423,6299,6740,13039,0.9077315,0.8036251,0.9289893,0.99023575,0.98543376,0.22381584,0.4703602,0,0.001405518,0.22247897,0.32817978,0.1181447,0.000783179,0.22506507,0.4703602,0,0.00198382
MCF7,2,A133,11,1,80,1,0.07849850505590439,0.0024036637041717768,0.08762449771165848,0.0018834458896890283,0.08612661063671112,0.0006400889251381159,0.18282738327980042,0,0.10602742433547974,0.11813241243362427,0.07578658312559128,0.003002605400979519,0.3866097033023834,0,0.11952667,0.14733174,0.9273068,0.9171017,0.9198041,4940,13715,18655,0.8674979,0.9287257,0.9761469,0.99328876,0.9903935,0.59489745,1.4020046,0,0.04002489,0.6822984,0.9966379,0.41224673,0.006671066,0.56341887,1.4020046,0,0.048295557
MCF7,2,A133,11,1,80,2,0.09138276427984238,0.0013205665163695812,0.09263230115175247,0.0012228760169818997,0.09758558124303818,0.0004398921155370772,0.18821029365062714,0.019694173708558083,0.11421137303113937,0.12427917122840881,0.0893888771533966,0.001587315578944981,0.31044596433639526,0,0.120359994,0.13977933,0.8518435,0.8329023,0.8384043,6460,15779,22239,0.92362195,0.9277243,0.97853863,0.9948946,0.99260634,0.5374997,1.9049969,0,0.006378858,0.5501597,0.903825,0.3728542,0.002604855,0.53231704,1.9049969,0,0.007831384
MCF7,2,A133,11,1,80,3,0.0981416329741478,0.00461161183193326,0.11259781569242477,0.0036631643306463957,0.10491670668125153,0.0009992456762120128,0.20397931337356567,0.037156425416469574,0.1305341273546219,0.14650556445121765,0.09812379628419876,0.00462100375443697,0.43937867879867554,0,0.15051097,0.18797131,0.7834833,0.93322504,0.8982148,9524,31211,40735,0.95387423,0.8147352,0.96069944,0.99005187,0.9854556,0.36189604,1.1474992,0,0.025201771,0.40383685,0.6860815,0.19751361,0.003169524,0.34909824,1.1474992,0,0.031224139
MCF7,2,A133,12,1,80,1,0.1432710587978363,0.0026093358173966408,0.14375244081020355,0.0025489036925137043,0.13897669315338135,0.0017675805138424039,0.34273943305015564,0,0.1723303496837616,0.19326725602149963,0.1472371220588684,0.003353977808728814,0.469858855009079,0,0.19282001,0.22136061,0.50381035,0.40113324,0.4515445,20086,20825,40911,0.5294281,0.28408504,0.63790536,0.9150479,0.9065845,0.9394832,3.8725584,0,0.106256194,1.006584,3.8725584,0.3561391,0.12497298,0.87476665,3.2766361,0,0.07967372
MCF7,2,A133,12,1,80,2,0.1334163248538971,0.0017176956171169877,0.13351444900035858,0.0017058596713468432,0.127554252743721,0.0009492511162534356,0.2540411651134491,0.014491930603981018,0.15211209654808044,0.16712625324726105,0.1394030600786209,0.002431544242426753,0.3949713408946991,0,0.1783305,0.20330942,0.5520853,0.5783319,0.5636945,14419,11436,25855,0.8401345,0.5225668,0.8037977,0.97383887,0.96861726,0.64452755,2.085123,0.3113651,0.017302,0.6218887,1.7874894,0.34154493,0.01242509,0.6730691,2.085123,0.3113651,0.021989709
MCF7,2,A133,12,1,80,3,0.12938018143177032,0.0007134217885322869,0.12938018143177032,0.0007134217885322869,0.1235523521900177,0.00034635429619811475,0.19444280862808228,0.05419977754354477,0.13826824724674225,0.14722537994384766,0.13239793479442596,0.0008768030093051493,0.28086400032043457,0.01141786202788353,0.15541334,0.16933131,1.0118221,1.2835867,1.1908631,3821,7378,11199,0.9652234,0.6331806,0.8335768,0.98981786,0.97316366,0.9263677,1.8640523,0.57219136,0.024021802,0.8359682,1.176256,0.57219136,0.007786918,0.9731786,1.8640523,0.5877328,0.026005639
MCF7,2,A133,12,1,80,4,0.12758584320545197,0.0007082968368194997,0.12758584320545197,0.0007082968368194997,0.12547524273395538,0.0004189873579889536,0.20854797959327698,0.04646269232034683,0.14168860018253326,0.1513642966747284,0.1299203783273697,0.0010179199744015932,0.2726849317550659,0.016399884596467018,0.15496236,0.17067727,1.0108683,0.93983287,0.97727287,10254,9201,19455,0.91581875,0.7929295,0.9465358,0.9898635,0.98798966,0.6494024,1.4009211,0.38267988,0.007621912,0.6644971,1.3015875,0.43141386,0.006094312,0.632582,1.4009211,0.38267988,0.008787328
MCF7,2,A133,12,1,80,5,0.13601936399936676,0.0007077254704199731,0.13601936399936676,0.0007077254704199731,0.13876450061798096,0.00046700218808837235,0.2100534737110138,0.06208852678537369,0.15601949393749237,0.16575829684734344,0.13376964628696442,0.0008937661186791956,0.2615988254547119,0.040577322244644165,0.15760191,0.17347667,0.8781708,0.6233283,0.73863703,4698,5685,10383,0.83253175,0.7114293,0.91824263,0.97968006,0.9692056,0.7804393,1.5581071,0.40471596,0.03364004,0.892957,1.3710446,0.46561325,0.028056914,0.6874729,1.5581071,0.40471596,0.019149913
