Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
MCF7,6.0,A133,0,1,80.0,1,0.4767108636921725
MCF7,6.0,A133,0,1,80.0,2,-0.9661190690940058
MCF7,6.0,A133,0,1,80.0,3,-1.0303006205944127
MCF7,6.0,A133,1,1,80.0,1,-0.6614742858781876
MCF7,6.0,A133,1,1,80.0,2,-0.7290429650356747
MCF7,6.0,A133,1,1,80.0,3,-0.34431096609489004
MCF7,6.0,A133,10,1,80.0,1,-0.6091456321575489
MCF7,6.0,A133,10,1,80.0,2,-0.16769246601837862
MCF7,6.0,A133,10,1,80.0,3,-0.9378142968971256
MCF7,6.0,A133,10,1,80.0,4,-1.2578419515165475
MCF7,6.0,A133,11,1,80.0,1,-0.57970277570094
MCF7,6.0,A133,11,1,80.0,2,-0.4218499815003203
MCF7,6.0,A133,11,1,80.0,3,-1.0544810082183593
MCF7,6.0,A133,11,1,80.0,4,-0.41753747737553965
MCF7,6.0,A133,11,1,80.0,5,-0.7538257645440144
MCF7,6.0,A133,11,1,80.0,6,-0.01667305599520885
MCF7,6.0,A133,11,1,80.0,7,0.16643029971144607
MCF7,6.0,A133,12,1,80.0,1,-0.6114988828585187
MCF7,6.0,A133,12,1,80.0,2,-1.0187092167975045
MCF7,6.0,A133,12,1,80.0,3,-1.3514261596523167
MCF7,6.0,A133,12,1,80.0,4,-0.9707406825238994
MCF7,6.0,A133,13,1,80.0,1,-1.709327997800307
MCF7,6.0,A133,13,1,80.0,2,0.14175931815249251
MCF7,6.0,A133,13,1,80.0,3,0.439524467881954
MCF7,6.0,A133,13,1,80.0,4,-1.4947285700096902
MCF7,6.0,A133,13,1,80.0,5,-1.4740920112877756
MCF7,6.0,A133,14,1,80.0,1,0.15586438164582722
MCF7,6.0,A133,14,1,80.0,2,-1.1348478663891726
MCF7,6.0,A133,14,1,80.0,3,-0.9752637478483112
MCF7,6.0,A133,14,1,80.0,4,-0.8325317456341449
MCF7,6.0,A133,14,1,80.0,5,-0.7515773065809503
MCF7,6.0,A133,14,1,80.0,6,-0.7350471791137433
MCF7,6.0,A133,14,1,80.0,7,-0.23194290362023987
MCF7,6.0,A133,14,1,80.0,8,-0.9821488453880407
MCF7,6.0,A133,15,1,80.0,1,0.28630733753418586
MCF7,6.0,A133,15,1,80.0,2,0.031016616411600705
MCF7,6.0,A133,15,1,80.0,3,0.2702652671200616
MCF7,6.0,A133,15,1,80.0,4,-0.2989872287986663
MCF7,6.0,A133,15,1,80.0,5,-0.26148196644516974
MCF7,6.0,A133,2,1,80.0,1,-0.3367731093218264
MCF7,6.0,A133,2,1,80.0,2,-0.27490636500401605
MCF7,6.0,A133,2,1,80.0,3,-0.26200514955565013
MCF7,6.0,A133,2,1,80.0,4,0.26511578710536765
MCF7,6.0,A133,3,1,80.0,1,-0.14156180162973567
MCF7,6.0,A133,3,1,80.0,2,1.481650973717548
MCF7,6.0,A133,3,1,80.0,3,0.3082373157474371
MCF7,6.0,A133,3,1,80.0,4,0.16838213763425
MCF7,6.0,A133,3,1,80.0,5,-0.8656946467140724
MCF7,6.0,A133,4,1,80.0,1,-1.2814367097057493
MCF7,6.0,A133,4,1,80.0,2,-1.1472395588604885
