Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff
MCF7,2,A133,0,1,80,1,0.1539643853902816,1.9917495,0.3573934,0.6695582,True,0.13635396482075324,0.10864108439710407
MCF7,2,A133,0,1,80,2,0.0889952927827835,0.4556337,0.96185726,0.98961216,True,0.07393815533425394,0.04125098984698225
MCF7,2,A133,0,1,80,3,0.1116762161254882,0.63327754,0.91835976,0.9793455,True,0.0887072053671897,0.05397897564770385
MCF7,2,A133,0,1,80,4,0.089323915541172,0.71670896,0.8886702,0.98123324,True,0.09433322329834969,0.05930312591718649
MCF7,2,A133,1,1,80,1,0.081606239080429,0.6709633,0.7822684,0.9448353,True,0.09133546081075487,0.05643229351395114
MCF7,2,A133,1,1,80,2,,0.33008733,0.63324773,0.8996309,False,0.09132643752045966,0.0
MCF7,2,A133,10,1,80,1,,0.32189837,0.7823503,0.92028356,False,0.08961248674510432,0.0
MCF7,2,A133,10,1,80,2,0.1117678135633468,0.4594022,0.817065,0.924842,False,0.11584195885137077,0.0
MCF7,2,A133,10,1,80,3,0.1239849030971527,1.2667398,0.6274024,0.86262965,True,0.11926253776966707,0.08638975915475279
MCF7,2,A133,10,1,80,4,0.1125523224472999,0.6444994,0.7694354,0.92913973,True,0.08950564556679443,0.05471804901162862
MCF7,2,A133,10,1,80,5,,0.3829352,0.7964572,0.9211608,False,0.10189931791453424,0.0
MCF7,2,A133,10,1,80,6,,0.22247897,0.8036251,0.9289893,False,0.06697232669777542,0.0
MCF7,2,A133,11,1,80,1,0.0861266106367111,0.6822984,0.9287257,0.9761469,True,0.09209722938228482,0.057154420146716706
MCF7,2,A133,11,1,80,2,0.0975855812430381,0.5501597,0.9277243,0.97853863,True,0.08233432126955752,0.04827078322386984
MCF7,2,A133,11,1,80,3,0.1049167066812515,0.40383685,0.8147352,0.96069944,False,0.10586127640117154,0.0
MCF7,2,A133,12,1,80,1,0.1389766931533813,1.006584,0.28408504,0.63790536,True,0.10951574965727288,0.07508799082904614
MCF7,2,A133,12,1,80,2,0.127554252743721,0.6218887,0.5225668,0.8037977,False,0.14110403605376867,0.0
MCF7,2,A133,12,1,80,3,0.1235523521900177,0.8359682,0.6331806,0.8335768,True,0.10128944020795218,0.06627135828518076
MCF7,2,A133,12,1,80,4,0.1254752427339553,0.6644971,0.7929295,0.9465358,False,0.1469122011687494,0.0
MCF7,2,A133,12,1,80,5,0.1387645006179809,0.892957,0.7114293,0.91824263,True,0.104237541239988,0.06935762019262771
MCF7,2,A133,12,1,80,6,0.1426942497491836,0.8917916,0.1493007,0.24655387,False,0.17347540225889577,0.0
MCF7,2,A133,13,1,80,1,,0.34502885,0.8833643,0.965857,False,0.09439992071545528,0.0
MCF7,2,A133,13,1,80,2,,0.17633693,0.78961164,0.94085264,False,0.055164458910594606,0.0
MCF7,2,A133,14,1,80,1,0.1038182005286216,0.571776,0.7778214,0.9291145,True,0.08407410248036498,0.04979584336433554
MCF7,2,A133,14,1,80,2,0.1477922052145004,0.5689817,0.69937015,0.9216405,False,0.13345296863564438,0.0
MCF7,2,A133,14,1,80,3,0.1387555748224258,0.46717784,0.839944,0.96405905,False,0.11717832728444154,0.0
MCF7,2,A133,14,1,80,4,0.1666421294212341,0.8107005,0.8592137,0.96860087,False,0.1647637386746179,0.0
MCF7,2,A133,14,1,80,5,0.1268476396799087,0.7765048,0.7434849,0.9256834,True,0.0979648723044895,0.06288679913484463
MCF7,2,A133,15,1,80,1,0.14750836789608,0.37944663,0.48930532,0.8230065,False,0.10122635903644929,0.0
MCF7,2,A133,15,1,80,2,0.1458427459001541,0.6982132,0.9048989,0.9716171,False,0.15130164905089655,0.0
MCF7,2,A133,15,1,80,3,0.1300462484359741,1.1799217,0.91490746,0.9804312,True,0.11631543094794516,0.08287116625873434
MCF7,2,A133,15,1,80,4,0.0994342565536499,0.64150935,0.84125453,0.96265656,True,0.08929424232004461,0.054521838167099726
MCF7,2,A133,15,1,80,5,,0.31670997,0.9035138,0.98175496,False,0.08851552096928378,0.0
MCF7,2,A133,2,1,80,1,0.1491054743528366,0.49616575,0.87791646,0.9666117,False,0.122037946664666,0.0
MCF7,2,A133,2,1,80,2,,0.33472687,0.8081093,0.9633455,False,0.09228816091789627,0.0
MCF7,2,A133,2,1,80,3,0.137326568365097,1.4078386,0.7141107,0.93919086,True,0.12352567326661132,0.09164016251656784
MCF7,2,A133,2,1,80,4,0.1174383908510208,1.293747,0.8582296,0.9573121,True,0.1201260507277263,0.08743777213503932
MCF7,2,A133,3,1,80,1,0.0881273373961448,0.5809997,0.7994522,0.94728535,True,0.0847980990687874,0.050437783392164356
MCF7,2,A133,3,1,80,2,0.1327167451381683,0.60841614,0.819339,0.9332595,False,0.13920348966406168,0.0
MCF7,2,A133,4,1,80,1,,0.25162175,0.8108671,0.9657945,False,0.07398145965424457,0.0
MCF7,2,A133,4,1,80,2,0.0831797868013382,0.8683145,0.34877843,0.65818495,True,0.10298964149726023,0.0680413792436268
MCF7,2,A133,4,1,80,3,,0.2827276,0.9163488,0.981104,False,0.08111134180008289,0.0
MCF7,2,A133,4,1,80,4,0.0782164335250854,0.7352909,0.7508422,0.9240581,True,0.09549499051436075,0.06043681965072453
MCF7,2,A133,4,1,80,5,0.0759947448968887,0.57047707,0.75212115,0.5784267,True,0.0839712773057037,0.04970502129826129
MCF7,2,A133,4,1,80,6,0.0789244100451469,0.8311264,0.7974057,0.9572466,True,0.10102861868782856,0.06600218552099066
MCF7,2,A133,4,1,80,7,0.0750082433223724,0.5923404,0.91273177,0.9845495,True,0.0856737098776407,0.05121992618158383
MCF7,2,A133,5,1,80,1,0.1312533915042877,0.84152,0.5444133,0.8293727,True,0.10158644562721493,0.06657863539281202
MCF7,2,A133,5,1,80,2,0.1297833174467086,0.7460795,0.5465956,0.80143684,False,0.15724212786416653,0.0
MCF7,2,A133,5,1,80,3,0.1472971439361572,0.63047826,0.78910255,0.9453984,False,0.14229935189690907,0.0
MCF7,2,A133,5,1,80,4,,0.23796369,0.8300891,0.96290344,False,0.07073764652984289,0.0
MCF7,2,A133,5,1,80,5,0.1637406796216964,0.4766739,0.8843988,0.9769623,False,0.11879128844899337,0.0
MCF7,2,A133,5,1,80,6,0.1366895884275436,0.6331527,0.6957139,0.92686146,False,0.14266895777718763,0.0
MCF7,2,A133,5,1,80,7,0.1451857686042785,0.81662726,0.8521284,0.95132977,False,0.16542679849470054,0.0
MCF7,2,A133,5,1,80,8,0.1662043035030365,1.5167056,0.83524764,0.9457226,True,0.12643814875635517,0.09533894777809845
MCF7,2,A133,6,1,80,1,0.1367258131504058,0.55533445,0.70076674,0.8805135,False,0.13139494055442544,0.0
MCF7,2,A133,6,1,80,2,0.1173325479030609,0.5541601,0.799624,0.9293708,False,0.13121615771759937,0.0
MCF7,2,A133,6,1,80,3,0.1346043646335601,0.62393194,0.71065253,0.93579847,False,0.1413895177897665,0.0
MCF7,2,A133,6,1,80,4,0.1383174508810043,1.0088657,0.82521015,0.9281975,True,0.10961440126864386,0.07519764345888569
MCF7,2,A133,7,1,80,1,0.1015121862292289,0.7945621,0.8375795,0.9436253,True,0.09900308117458492,0.06393296478336771
MCF7,2,A133,7,1,80,2,,0.28990543,0.7425325,0.9211824,False,0.0827077673748532,0.0
MCF7,2,A133,7,1,80,3,0.1141158267855644,0.35829034,0.49219763,0.81083333,False,0.09707117928851648,0.0
MCF7,2,A133,7,1,80,4,0.1265824437141418,0.7651356,0.50780606,0.86037326,True,0.09729775016785097,0.06221968339362724
MCF7,2,A133,7,1,80,5,0.1522744596004486,0.7377145,0.92125595,0.98516375,False,0.1562275828394135,0.0
MCF7,2,A133,7,1,80,6,0.0905080288648605,0.7054435,0.8060951,0.9549488,True,0.09361355545366438,0.05860679544039925
MCF7,2,A133,7,1,80,7,0.0987391024827957,0.4307427,0.857872,0.96490014,False,0.1107909294941711,0.0
MCF7,2,A133,7,1,80,8,0.0852791666984558,0.65369904,0.7238821,0.90998054,True,0.09015006968920918,0.05531850766450326
MCF7,2,A133,7,1,80,9,0.1331169605255127,0.5212147,0.95568794,0.9801226,False,0.1260880594961382,0.0
MCF7,2,A133,7,1,80,10,,0.32024354,0.5582787,0.78582466,False,0.08926354808749908,0.0
MCF7,2,A133,8,1,80,1,,0.4294242,0.9386266,0.9877381,False,0.11055368000625707,0.0
MCF7,2,A133,8,1,80,2,0.1037812829017639,0.83618796,0.8607949,0.9672302,True,0.10130123848878549,0.06628354911650956
MCF7,2,A133,8,1,80,3,0.0817009434103965,0.53192824,0.74873114,0.93199027,True,0.08081812942868773,0.046961741200239396
MCF7,2,A133,8,1,80,4,0.086694411933422,0.6385202,0.88742495,0.9755399,True,0.08908193352120176,0.05432516857006327
MCF7,2,A133,8,1,80,5,0.0888997316360473,0.51403,0.87516165,0.9631543,True,0.07928404856995074,0.04565603848248548
MCF7,2,A133,8,1,80,6,0.0904977843165397,0.47742644,0.8394061,0.965269,True,0.07599707716222966,0.042921147910282245
MCF7,2,A133,8,1,80,7,0.1218097060918808,1.4318287,0.3538216,0.81171215,True,0.12419344627251538,0.09248010544599175
MCF7,2,A133,8,1,80,8,0.1059101074934005,0.3647821,0.7437993,0.92426383,False,0.0983598867540833,0.0
MCF7,2,A133,8,1,80,9,,0.32064825,0.82409894,0.9445565,False,0.08934896631256657,0.0
MCF7,2,A133,8,1,80,10,0.1265738904476165,1.0009559,0.84057987,0.94726706,True,0.10927125792022702,0.0748166428675914
MCF7,2,A133,8,1,80,11,0.1121009886264801,0.62859267,0.90402365,0.96987957,True,0.08836977697153196,0.053668257965712354
MCF7,2,A133,8,1,80,12,0.1198226064443588,0.5249396,0.70409894,0.9324213,False,0.12667896669481205,0.0
MCF7,2,A133,9,1,80,1,0.1645329743623733,1.1415106,0.37562957,0.77921134,False,0.19615868387483112,0.0
MCF7,2,A133,9,1,80,2,0.1387874037027359,0.48145247,0.8714043,0.9708913,False,0.11959513554964069,0.0
MCF7,2,A133,9,1,80,3,0.1375221163034439,0.54291254,0.75092614,0.9128603,False,0.12949004531391,0.0
MCF7,2,A133,9,1,80,4,0.164562702178955,1.2032927,0.40325102,0.6793954,False,0.20097725263647448,0.0
MCF7,2,A133,9,1,80,5,0.1386125832796096,0.66585296,0.937744,0.989147,False,0.14709214748461352,0.0
MCF7,2,A133,9,1,80,6,0.1566284894943237,0.779708,0.9445763,0.98802197,False,0.16122450649207623,0.0
MCF7,2,A133,9,1,80,7,0.135204330086708,0.40251505,0.7517053,0.9156826,False,0.105614223818846,0.0
MCF7,2,A133,9,1,80,8,0.1077566593885421,0.6170338,0.353275,0.6935617,True,0.08752670187746747,0.05289611327951935
MCF7,2,A133,0,2,40,1,0.0989870727062225,0.85384583,0.8753058,0.95139635,True,0.10223808235513507,0.06725565890165541
MCF7,2,A133,0,2,40,2,,0.257534,0.75966483,0.92008203,False,0.07536377704300638,0.0
MCF7,2,A133,0,2,40,3,,0.3638211,0.7719995,0.9473982,False,0.0981698881180237,0.0
MCF7,2,A133,0,2,40,4,,0.40185675,0.89377856,0.9751691,False,0.10549100969125413,0.0
MCF7,2,A133,1,2,40,1,0.156071737408638,0.8058895,0.5319934,0.6822976,False,0.16422230485309317,0.0
MCF7,2,A133,1,2,40,2,0.1672932356595993,0.7539816,0.7905115,0.96010125,False,0.1581916416911101,0.0
MCF7,2,A133,1,2,40,3,0.1487241983413696,0.6219562,0.8387884,0.96289456,False,0.14111347865003998,0.0
MCF7,2,A133,1,2,40,4,0.1612707376480102,0.6276652,0.87370425,0.9721897,False,0.14190927814884782,0.0
MCF7,2,A133,1,2,40,5,0.1386036127805709,0.51932436,0.8161861,0.9515788,False,0.12578707319614094,0.0
MCF7,2,A133,1,2,40,6,0.1253629177808761,0.59423196,0.8121782,0.96853113,False,0.13716784430792617,0.0
MCF7,2,A133,10,2,40,1,,0.3357788,0.8333273,0.97109926,False,0.0925052848570437,0.0
MCF7,2,A133,10,2,40,2,0.0693533048033714,0.4651254,0.30010328,0.7646025,True,0.07484466490225716,0.04198229557498254
MCF7,2,A133,10,2,40,3,0.191679447889328,1.0645326,0.90268135,0.9790169,False,0.18975142208943566,0.0
MCF7,2,A133,10,2,40,4,0.0856118351221084,0.9959533,0.4790433,0.8081302,True,0.10905254801901673,0.07457440076781108
MCF7,2,A133,10,2,40,5,0.0610084906220436,0.51300424,0.74324316,0.92714214,True,0.07919471736433707,0.0455805842038859
MCF7,2,A133,11,2,40,1,0.0494594871997833,0.6819965,0.74882454,0.9143635,True,0.09207710652406505,0.05713528006532441
MCF7,2,A133,11,2,40,2,0.0547203719615936,0.60258573,0.7119289,0.9308466,True,0.08645128002742013,0.05191981893400645
MCF7,2,A133,11,2,40,3,0.0771505311131477,0.5567842,0.9000143,0.9770833,True,0.08287403272213159,0.04874124549048128
MCF7,2,A133,11,2,40,4,0.0640564560890197,0.5444014,0.8774178,0.97438765,True,0.08186037865212027,0.047859599068697675
MCF7,2,A133,11,2,40,5,0.0558146871626377,0.8098773,0.88229424,0.97578347,True,0.0998637118873779,0.06480758732169002
MCF7,2,A133,11,2,40,6,0.0435064807534217,0.47351015,0.86881864,0.9636076,True,0.07563288427399423,0.04262333214908233
MCF7,2,A133,11,2,40,7,0.0586924813687801,0.559555,0.8366587,0.9635391,True,0.08309804385008839,0.04893720979598372
MCF7,2,A133,12,2,40,1,0.0999927595257759,0.8913606,0.6387563,0.90329945,True,0.10415789616567672,0.06927317816250794
MCF7,2,A133,12,2,40,2,,0.3892799,0.95020425,0.97958195,False,0.10311457266458689,0.0
MCF7,2,A133,12,2,40,3,0.0635120570659637,1.3414713,0.71931785,0.82142925,True,0.12159513616225227,0.0892387264607916
MCF7,2,A133,12,2,40,4,0.1014687642455101,0.8143827,0.5402477,0.86766416,True,0.10011349942119346,0.06506269719928798
MCF7,2,A133,12,2,40,5,0.1199464276432991,0.97995883,0.7244143,0.91023433,True,0.10834435769416294,0.07379319182246007
MCF7,2,A133,12,2,40,6,0.0594620034098625,0.44999194,0.953444,0.9843147,True,0.0733920249490909,0.040813460855195716
MCF7,2,A133,13,2,40,1,,0.25589085,0.85883844,0.9726931,False,0.07498090522755221,0.0
MCF7,2,A133,13,2,40,2,0.0921322107315063,1.2611519,0.2401991,0.80154663,True,0.1190808504536241,0.08617024267284831
MCF7,2,A133,13,2,40,3,0.0985096469521522,1.1366878,-0.2605139,0.4454437,True,0.11474190381311129,0.08102891043499742
MCF7,2,A133,13,2,40,4,0.0667496174573898,1.0264183,0.7477654,0.8769461,True,0.11036440805186065,0.0760343894718293
MCF7,2,A133,13,2,40,5,0.0882321670651435,0.5567244,0.89240134,0.9696063,True,0.08286918686729987,0.048737010864296035
MCF7,2,A133,13,2,40,6,0.082203708589077,0.7468914,0.92338395,0.94519925,True,0.09620476775315301,0.06113531371957048
MCF7,2,A133,13,2,40,7,0.0890068933367729,1.0600259,0.8060839,0.934209,True,0.1117578488852454,0.07760362040501934
MCF7,2,A133,14,2,40,1,0.0855497419834137,0.46013013,0.91248554,0.9832274,True,0.07436949519647214,0.04159817395915305
