ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,90,6,A199,0.8485726627929895,False,0.6129617180844676
2,0,90,6,A199,0.7829887847911421,False,0.5473778400826202
3,0,90,6,A199,0.6331750480327394,True,0.39756410332421754
4,0,90,6,A199,0.7209853383514692,False,0.4853743936429473
5,0,90,6,A199,0.8769868369170087,False,0.6413758922084869
6,0,90,6,A199,0.8787081294622651,False,0.6430971847537432
1,1,90,6,A199,0.7740301320889541,False,0.5384191873804323
2,1,90,6,A199,0.6290211813829082,True,0.39341023667438635
3,1,90,6,A199,0.8610098088844325,False,0.6253988641759106
4,1,90,6,A199,0.7708331362055743,False,0.5352221914970524
5,1,90,6,A199,0.7163467806489348,True,0.4807358359404129
1,10,90,6,A199,0.8073469900289396,False,0.5717360453204178
2,10,90,6,A199,0.8246050787535802,False,0.5889941340450584
1,11,90,6,A199,0.8349603576882011,False,0.5993494129796793
2,11,90,6,A199,0.9683298800196971,True,0.7327189353111753
3,11,90,6,A199,0.7717573826024922,False,0.5361464378939703
1,12,90,6,A199,0.8041918204881601,False,0.5685808757796382
2,12,90,6,A199,0.7930359085896928,False,0.5574249638811709
3,12,90,6,A199,0.7362768623192555,True,0.5006659176107336
4,12,90,6,A199,0.7772805841447472,False,0.5416696394362254
5,12,90,6,A199,0.915878794448538,True,0.6802678497400162
1,2,90,6,A199,0.7768568075437402,False,0.5412458628352184
2,2,90,6,A199,0.7461656884502921,True,0.5105547437417702
3,2,90,6,A199,0.7183446415686873,True,0.48273369686016543
4,2,90,6,A199,0.8542361831596426,False,0.6186252384511207
1,3,90,6,A199,0.7549684937875705,False,0.5193575490790486
2,3,90,6,A199,0.8273361817768017,False,0.5917252370682798
3,3,90,6,A199,0.8196708966530913,False,0.5840599519445695
4,3,90,6,A199,0.6665243824117983,True,0.4309134377032765
5,3,90,6,A199,0.8515694360068908,False,0.615958491298369
6,3,90,6,A199,0.715452374491544,False,0.47984142978302213
1,4,90,6,A199,0.8856106755797988,False,0.6499997308712769
2,4,90,6,A199,0.746520752511676,False,0.5109098078031542
3,4,90,6,A199,0.7845770611947869,False,0.548966116486265
1,5,90,6,A199,0.6829848583691891,False,0.44737391366066726
2,5,90,6,A199,0.6388028751561989,True,0.4031919304476771
3,5,90,6,A199,0.8300215884414877,False,0.5944106437329658
1,6,90,6,A199,0.8456425577977409,False,0.610031613089219
2,6,90,6,A199,0.8851384470990462,True,0.6495275023905244
3,6,90,6,A199,0.8849336595706386,False,0.6493227148621168
4,6,90,6,A199,0.9203731878088572,True,0.6847622431003354
1,7,90,6,A199,0.8225521308157788,False,0.586941186107257
2,7,90,6,A199,0.8882706767804521,True,0.6526597320719303
3,7,90,6,A199,0.869337247513732,True,0.6337263028052101
4,7,90,6,A199,0.826858331917007,False,0.5912473872084851
5,7,90,6,A199,0.7201113271639292,False,0.4845003824554074
1,8,90,6,A199,0.7719570050645492,False,0.5363460603560274
2,8,90,6,A199,0.8196417975588899,False,0.584030852850368
1,9,90,6,A199,0.7199459013990841,False,0.48433495669056226
2,9,90,6,A199,0.9511856325075179,True,0.715574687798996
1,0,0,2,control,0.026615470452325818,True,-0.20899547425619602
2,0,0,2,control,0.08488843350134474,False,-0.1507225112071771
3,0,0,2,control,0.10115703243345082,False,-0.13445391227507103
1,1,0,2,control,0.12737780157544937,False,-0.10823314313307247
