Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean,Ed_variance,Ed_not_zero_mean,Ed_not_zero_variance,Ed_region_mean,Ed_region_variance,Ed_region_max,Ed_region_min,Ed_region_top_50,Ed_region_top_25,Ed_not_region_mean,Ed_not_region_variance,Ed_not_region_max,Ed_not_region_min,Ed_not_region_top_50,Ed_not_region_top_25,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
MCF7,2.0,A199,0,1,90.0,1,0.12766283750534058,0.0007172070327214897,0.12768572568893433,0.0007144137634895742,0.138962984085083,0.00028325896710157394,0.20006076991558075,0.07044162601232529,0.1522497832775116,0.16023871302604675,0.12472135573625565,0.0007882743375375867,0.338911771774292,0.0,0.14652021,0.15929629,1.0487654,1.0505601,1.0501895,4610.0,17709.0,22319.0,0.97656596,0.9333472,0.98743975,0.9965946,0.99511486,0.7734579,1.702639,0.0,0.0086521255,0.6897694,0.90900207,0.50995135,0.002821456,0.79524237,1.702639,0.0,0.007872199
MCF7,2.0,A199,0,1,90.0,2,0.0890830010175705,0.0007291039219126105,0.08940328657627106,0.0007030911510810256,0.07766705751419067,0.00018977046420332044,0.12948182225227356,0.02968735247850418,0.08850008249282837,0.09501063078641891,0.09251151978969574,0.0008401860250160098,0.24709856510162354,0.0,0.114927016,0.12945086,1.1213479,1.9457493,1.7553376,7801.0,25974.0,33775.0,0.9873095,0.9242287,0.954175,0.9959138,0.9679971,0.48531824,1.0485524,0.0,0.023240015,0.3118264,0.44519743,0.24241777,0.0008970823,0.53742254,1.0485524,0.0,0.018195666
MCF7,2.0,A199,0,1,90.0,3,0.08218491077423096,0.00025779049610719085,0.08218491077423096,0.00025779049610719085,0.08488859981298447,9.939293522620574e-05,0.11973357200622559,0.0456208661198616,0.09257592260837555,0.09669063985347748,0.08044750988483429,0.00035186082823202014,0.1531614363193512,0.020402880385518074,0.095769666,0.103866585,0.99403924,0.9774108,0.98391634,8037.0,12506.0,20543.0,0.96645314,0.97584,0.9946495,0.9988686,0.9984079,0.2873216,0.3911466,0.22231415,0.0003243527,0.28278798,0.33198035,0.24049868,0.00013154093,0.2902349,0.3911466,0.22231415,0.00042655846
MCF7,2.0,A199,0,1,90.0,4,0.105477474629879,0.001211540773510933,0.10704224556684494,0.001062018214724958,0.11359554529190063,0.0003181469801347703,0.18499097228050232,0.041677601635456085,0.12760967016220093,0.13578678667545319,0.10308443754911423,0.00144974107388407,0.34805572032928467,0.0,0.13234566,0.1498576,0.9873479,1.0387158,1.0270207,8706.0,29533.0,38239.0,0.9828105,0.9557522,0.99130833,0.99814343,0.99655354,0.6923017,1.6851437,0.0,0.014981224,0.66228163,0.81997925,0.51098263,0.0013244398,0.7011509,1.6851437,0.0,0.018662991
MCF7,2.0,A199,0,1,90.0,5,0.11351083219051361,0.0016785534098744392,0.1150192841887474,0.0015273590106517076,0.10618351399898529,0.000997123192064464,0.2318907231092453,0.0,0.131327286362648,0.14608290791511536,0.11995398253202438,0.002189032034948468,0.3276675045490265,0.0,0.15665618,0.17758532,0.89938736,0.8978725,0.8985764,6802.0,7837.0,14639.0,0.777744,0.6100302,0.8225858,0.982957,0.9767269,0.3354857,0.6204435,0.0,0.0042281128,0.34387204,0.52162296,0.18241009,0.0021728228,0.32820785,0.6204435,0.0,0.00589774
MCF7,2.0,A199,0,1,90.0,6,0.07965070754289627,0.001353769563138485,0.08267621695995331,0.0011550545459613204,0.07986994832754135,0.0003426463808864355,0.15692514181137085,0.0,0.09438207745552063,0.10315868258476257,0.07956454157829285,0.0017511347541585565,0.33964288234710693,0.0,0.11197444,0.13232999,1.0269097,1.098428,1.0782497,12590.0,32033.0,44623.0,0.9829585,0.9525031,0.9874508,0.9981081,0.99542797,0.70510864,1.3993925,0.0,0.025504434,0.6553264,0.8076005,0.53417844,0.0012682879,0.724674,1.3993925,0.0,0.03367291
MCF7,2.0,A199,0,1,90.0,7,0.09483304619789124,0.0007695985841564834,0.09484658390283585,0.0007684246520511806,0.09550966322422028,0.000287719740299508,0.16142471134662628,0.03914830833673477,0.10907887667417526,0.11718818545341492,0.09443986415863037,0.001049201819114387,0.21410050988197327,0.0,0.12076417,0.13787416,1.076898,1.0728517,1.0743304,7683.0,13340.0,21023.0,0.99973863,0.9769207,0.9920474,0.99837047,0.9973803,0.64088404,1.0919354,0.4398477,0.0026790525,0.6058693,0.7361533,0.509168,0.0011650524,0.6610488,1.0919354,0.4398477,0.0024382721
MCF7,2.0,A199,0,1,90.0,8,0.06663684546947479,0.0007669063634239137,0.0674298107624054,0.0007225634180940688,0.06493892520666122,0.00031285881414078176,0.13394847512245178,0.005580004770308733,0.07884979993104935,0.08785507082939148,0.06732002645730972,0.0009479725849814713,0.2503478527069092,0.0,0.0913009,0.10743602,1.0102715,1.1694595,1.1237835,6124.0,15219.0,21343.0,0.9858353,0.9457044,0.98932827,0.9982521,0.995764,0.4925774,0.89785177,0.0,0.0043389206,0.432978,0.5259891,0.35613176,0.0005185339,0.5165582,0.89785177,0.0,0.0038717974
MCF7,2.0,A199,1,1,90.0,1,0.05052408576011658,0.00021829236357007176,0.05060143023729324,0.00021471246145665646,0.06229417398571968,7.634512439835817e-05,0.08844400197267532,0.03096061572432518,0.06920981407165527,0.07301252335309982,0.04650231450796127,0.0002032836782746017,0.10995771735906601,0.0,0.057621334,0.06446839,0.9853859,1.0276927,1.0169177,5831.0,17064.0,22895.0,0.9810821,0.96784055,0.993621,0.9984111,0.9977131,0.20829633,0.31137708,0.1495854,0.00024305725,0.21020165,0.26333264,0.16411094,0.00012710127,0.2076453,0.31137708,0.1495854,0.0002810144
MCF7,2.0,A199,1,1,90.0,2,0.06254439055919647,0.00020079851674381644,0.06254439055919647,0.00020079851674381644,0.06287029385566711,0.00010212109191343188,0.10471273213624954,0.030638566240668297,0.07086508721113205,0.076161690056324,0.06239309161901474,0.0002465366560500115,0.13092799484729767,0.017431380227208138,0.07437219,0.08398474,1.0416758,1.019826,1.026767,4325.0,9290.0,13615.0,0.97982043,0.95984054,0.986675,0.99819076,0.99649584,0.27487737,0.38382903,0.19928989,0.00044988966,0.2701823,0.31684616,0.21033397,0.00017436314,0.27706292,0.38382903,0.19928989,0.0005631102
MCF7,2.0,A199,1,1,90.0,3,0.18236258625984192,0.0007174122147262096,0.18236258625984192,0.0007174122147262096,0.16849273443222046,0.00024951156228780746,0.21955280005931854,0.1293312907218933,0.18139520287513733,0.18974654376506805,0.18676087260246277,0.0007854400319047272,0.2900000512599945,0.08642055839300156,0.20885526,0.22197045,1.1715659,1.5905924,1.4897014,4900.0,15451.0,20351.0,0.9998624,0.95213664,0.96391344,0.9958765,0.98202175,1.1873757,2.1553717,0.74526846,0.05306491,0.91691005,1.1646261,0.74526846,0.0060939286,1.2731435,2.1553717,0.8636599,0.037406623
