Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
MCF7,2.0,A199,0,1,40.0,1,4.017999696266236
MCF7,2.0,A199,0,1,40.0,2,0.3753295931612339
MCF7,2.0,A199,0,1,40.0,3,0.6329287415602706
MCF7,2.0,A199,0,1,40.0,4,2.594161593815326
MCF7,2.0,A199,0,1,40.0,5,2.8282535945141554
MCF7,2.0,A199,0,1,40.0,6,0.6969846201809489
MCF7,2.0,A199,0,1,40.0,7,1.5895909602330907
MCF7,2.0,A199,0,1,40.0,8,-0.19486252648410085
MCF7,2.0,A199,1,1,40.0,1,-0.6790655877510726
MCF7,2.0,A199,1,1,40.0,2,-0.6356779635846058
MCF7,2.0,A199,1,1,40.0,3,5.570734498172559
MCF7,2.0,A199,1,1,40.0,4,-1.145896244415221
MCF7,2.0,A199,1,1,40.0,5,-0.32009064196740405
MCF7,2.0,A199,1,1,40.0,6,-1.4022930246829002
MCF7,2.0,A199,1,1,40.0,7,0.06581167841088212
MCF7,2.0,A199,1,1,40.0,8,-0.44627520726991415
MCF7,2.0,A199,1,1,40.0,9,-0.7354311311466841
MCF7,2.0,A199,1,1,40.0,10,0.07911486090574979
MCF7,2.0,A199,1,1,40.0,11,0.5146211054050985
MCF7,2.0,A199,1,1,40.0,12,2.34469436735224
MCF7,2.0,A199,10,1,40.0,1,3.430957067845661
MCF7,2.0,A199,10,1,40.0,2,2.9379691193457433
MCF7,2.0,A199,10,1,40.0,3,3.989613599580181
MCF7,2.0,A199,10,1,40.0,4,6.7102068660096466
MCF7,2.0,A199,10,1,40.0,5,2.774076701410482
MCF7,2.0,A199,10,1,40.0,6,6.088215592955875
MCF7,2.0,A199,11,1,40.0,1,1.7389721559943367
MCF7,2.0,A199,11,1,40.0,2,1.2272111007340427
MCF7,2.0,A199,11,1,40.0,3,4.067310968521364
MCF7,2.0,A199,11,1,40.0,4,-0.8578089535729349
MCF7,2.0,A199,11,1,40.0,5,-0.45118812882702336
MCF7,2.0,A199,11,1,40.0,6,4.585469246110738
MCF7,2.0,A199,11,1,40.0,7,0.009980394817033887
MCF7,2.0,A199,11,1,40.0,8,1.7908183265339477
MCF7,2.0,A199,12,1,40.0,1,0.9841634424983258
MCF7,2.0,A199,12,1,40.0,2,-0.33977635748257534
MCF7,2.0,A199,12,1,40.0,3,0.4848772401782544
MCF7,2.0,A199,12,1,40.0,4,2.580913425334015
MCF7,2.0,A199,12,1,40.0,5,1.2932120933845805
MCF7,2.0,A199,13,1,40.0,1,1.7849400508276014
MCF7,2.0,A199,13,1,40.0,2,2.809064479723426
MCF7,2.0,A199,14,1,40.0,1,5.74098585548932
MCF7,2.0,A199,14,1,40.0,2,0.12306538619031718
MCF7,2.0,A199,14,1,40.0,3,0.36262220676164464
MCF7,2.0,A199,14,1,40.0,4,1.431588444677144
MCF7,2.0,A199,14,1,40.0,5,2.234993815406817
MCF7,2.0,A199,14,1,40.0,6,1.508457767641074
MCF7,2.0,A199,15,1,40.0,1,11.737165667365584
MCF7,2.0,A199,15,1,40.0,2,1.8423338458374345
MCF7,2.0,A199,15,1,40.0,3,-0.06385691869867065
MCF7,2.0,A199,15,1,40.0,4,0.41934250547148433
MCF7,2.0,A199,2,1,40.0,1,0.7086577998411366
MCF7,2.0,A199,2,1,40.0,2,-1.1082747127398256
MCF7,2.0,A199,2,1,40.0,3,0.32766760700326963
