ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_std,E_Ed_diff,E_Fp,E
1,0,40,2,A199,0.7820174380026224,False,0.1433364419963679,0.0820357352495193,0.4071953,0.96186614,0.99221945,True,0.0690621442070655,0.0374247594942188,0.10380626555862497,0.0374247594942188,0.038133859999999964,0.037779309747109385
2,0,40,2,A199,0.8297596838855312,True,0.1910786878792768,0.0738310813903808,0.37582073,0.9653429,0.9949406,True,0.0656617324169503,0.0348615593348754,0.0,0.0348615593348754,0.034657099999999996,0.034759329667437694
3,0,40,2,A199,0.8458693665735518,True,0.2071883705672974,0.0534726977348327,0.17334917,0.8182889,0.9519536,False,0.0543678695063976,0.0,0.23730200921926636,0.0,0.18171110000000001,0.09085555000000001
1,1,40,2,A199,0.7987672295230446,False,0.1600862335167902,0.1440511792898178,0.4687196,0.96664923,0.99214697,False,0.1174416224853266,0.0,1.0,0.0,0.033350769999999974,0.016675384999999987
2,1,40,2,A199,0.8258773300068519,False,0.1871963340005975,0.1130733862519264,0.656962,0.9663285,0.99394053,True,0.0903764819680214,0.0555303137219219,0.9091218758372885,0.0555303137219219,0.033671499999999965,0.04460090686096094
1,10,40,2,A199,0.7841225374999563,False,0.1454415414937019,0.0880973637104034,0.3385888,0.9724846,0.99098283,False,0.0930836104410854,0.0,0.2610837612969722,0.0,0.027515399999999968,0.013757699999999984
2,10,40,2,A199,0.7714941787898059,False,0.1328131827835514,0.0859811604022979,0.26879698,0.97452915,0.98983866,False,0.0779614786283618,0.0,0.20617588317151309,0.0,0.025470850000000045,0.012735425000000022
3,10,40,2,A199,0.787941107093985,False,0.1492601110877306,0.1264884024858474,0.41704974,0.96085775,0.9625577,False,0.1083055167280155,0.0,1.0,0.0,0.039142250000000045,0.019571125000000023
4,10,40,2,A199,0.8055870169600636,False,0.1669060209538092,0.1240775436162948,0.44866705,0.9762759,0.95199156,False,0.1139733760079654,0.0,1.0,0.0,0.023724100000000026,0.011862050000000013
1,11,40,2,A199,0.7841994394056091,False,0.1455184433993547,0.0558238215744495,0.23576723,0.9255061,0.97637904,True,0.0475947384492053,0.0226145522114637,0.176298786726853,0.0226145522114637,0.0744939,0.04855422610573185
2,11,40,2,A199,0.8110692207375857,False,0.1723882247313313,0.0582624562084674,0.20891468,0.9206009,0.9765364,False,0.0635947296462642,0.0,0.113024973306227,0.0,0.07939909999999994,0.03969954999999997
3,11,40,2,A199,0.7947759393752853,False,0.1560949433690309,0.065824493765831,0.26161173,0.73464096,0.92458254,False,0.0763096239125804,0.0,0.0,0.0,0.26535904,0.13267952
4,11,40,2,A199,0.8192762813985744,False,0.18059528539232,0.0784598439931869,0.32210204,0.9536282,0.97850275,False,0.0896553723795782,0.0,0.011024725835785131,0.0,0.04637179999999996,0.02318589999999998
5,11,40,2,A199,0.782239005822609,False,0.1435580098163545,0.0725658312439918,0.36112273,0.8666787,0.9670797,True,0.0639972427218169,0.033637718263663,0.0,0.033637718263663,0.13332129999999998,0.08347950913183148
6,11,40,2,A199,0.8304097761274882,True,0.1917287801212338,0.0519205927848815,0.28120065,0.8171712,0.9036387,True,0.0540415880696965,0.026727836454089,0.2775735602103368,0.026727836454089,0.1828288,0.1047783182270445
