ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,40,6,A199,0.6857906641342236,False,0.36009837731956257
2,0,40,6,A199,0.8581376033378953,True,0.5324453165232343
3,0,40,6,A199,0.4879055640323,True,0.16221327721763895
1,1,40,6,A199,0.6985627440892785,False,0.3728704572746175
2,1,40,6,A199,0.6834644416349807,False,0.3577721548203196
3,1,40,6,A199,0.5692932485426652,False,0.2436009617280041
4,1,40,6,A199,0.7537570350473966,False,0.4280647482327355
1,10,40,6,A199,0.7285851861676429,False,0.40289289935298184
1,11,40,6,A199,0.7843526139330687,False,0.4586603271184076
2,11,40,6,A199,0.8124620585680503,False,0.48676977175338926
3,11,40,6,A199,0.6466062990808182,False,0.3209140122661572
4,11,40,6,A199,0.3900931776070239,True,0.06440089079236283
5,11,40,6,A199,0.7855129530267673,False,0.4598206662121062
1,12,40,6,A199,0.7680899408637453,False,0.4423976540490842
2,12,40,6,A199,0.5336995447966729,True,0.20800725798201186
3,12,40,6,A199,0.691500414645693,False,0.36580812783103195
4,12,40,6,A199,0.7782139411899236,False,0.45252165437526254
5,12,40,6,A199,0.660755256901174,False,0.3350629700865129
6,12,40,6,A199,0.7141433164029027,False,0.3884510295882417
1,13,40,6,A199,0.6992394401098684,False,0.3735471532952073
2,13,40,6,A199,0.6234019633744131,True,0.29770967655975206
3,13,40,6,A199,0.5008762191997997,True,0.17518393238513869
4,13,40,6,A199,0.7498236382730066,False,0.4241313514583455
1,14,40,6,A199,0.8500148040671144,True,0.5243225172524533
2,14,40,6,A199,0.47502312905485233,True,0.14933084224019127
3,14,40,6,A199,0.7890734521104525,False,0.4633811652957915
4,14,40,6,A199,0.810717935531277,True,0.48502564871661596
5,14,40,6,A199,0.7449801309142217,False,0.4192878440995606
6,14,40,6,A199,0.8448304666519741,False,0.5191381798373131
7,14,40,6,A199,0.7004297799791426,True,0.3747374931644815
1,15,40,6,A199,0.8130240855397304,False,0.4873317987250693
2,15,40,6,A199,0.7172913819527473,False,0.3915990951380863
3,15,40,6,A199,0.3844080740778158,True,0.05871578726315474
4,15,40,6,A199,0.7654847711068952,False,0.4397924842922341
5,15,40,6,A199,0.6540963325904873,False,0.3284040457758262
6,15,40,6,A199,0.7561242746394852,False,0.4304319878248241
1,16,40,6,A199,0.6526772673936231,False,0.326984980578962
2,16,40,6,A199,0.47847322666547454,True,0.15278093985081348
3,16,40,6,A199,0.6519881529491258,False,0.32629586613446476
4,16,40,6,A199,0.7911713251518678,False,0.4654790383372068
5,16,40,6,A199,0.7164539702874597,False,0.39076168347279866
6,16,40,6,A199,0.7318539708227045,False,0.4061616840080435
1,17,40,6,A199,0.7541170288389976,False,0.4284247420243365
2,17,40,6,A199,0.3873897068541612,True,0.06169742003950013
1,18,40,6,A199,0.653853152344319,False,0.3281608655296579
1,19,40,6,A199,0.7710116861099543,False,0.44531939929529324
2,19,40,6,A199,0.7846423575879602,False,0.45895007077329913
3,19,40,6,A199,0.5632292953494911,False,0.23753700853483
4,19,40,6,A199,0.48993234356097093,True,0.16424005674630987
1,3,40,6,A199,0.7576682411121641,False,0.4319759542975031
2,3,40,6,A199,0.6425162938718313,False,0.31682400705717023
1,4,40,6,A199,0.7533082735626886,True,0.42761598674802753
2,4,40,6,A199,0.7708918572798025,True,0.4451995704651414
3,4,40,6,A199,0.7164527488494741,False,0.390760462034813
1,5,40,6,A199,0.627395273659017,False,0.301702986844356
2,5,40,6,A199,0.7621338750921081,False,0.436441588277447
3,5,40,6,A199,0.7251024451516916,False,0.3994101583370306
1,6,40,6,A199,0.7712068800623061,False,0.44551459324764503
2,6,40,6,A199,0.7648001747022484,False,0.4391078878875873
3,6,40,6,A199,0.6673384411147187,False,0.3416461543000577
4,6,40,6,A199,0.5925226795531235,True,0.2668303927384625
1,7,40,6,A199,0.602226982600216,False,0.27653469578555495
2,7,40,6,A199,0.5242528376387448,True,0.1985605508240837
3,7,40,6,A199,0.694175415573526,False,0.36848312875886496
4,7,40,6,A199,0.6587357732424299,True,0.3330434864277689
1,8,40,6,A199,0.7489293460303632,False,0.42323705921570215
2,8,40,6,A199,0.6191450414820894,True,0.2934527546674283
