Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean_value,Ed_variance,Ed_not_zero_mean_value,Ed_not_zero_variance,Ed_region_mean_value,Ed_region_variance,Ed_region_max_value,Ed_region_min_value,Ed_region_top_50_value,Ed_region_top_25_value,Ed_not_region_mean_value,Ed_not_region_variance,Ed_not_region_max_value,Ed_not_region_min_value,Ed_not_region_top_50_value,Ed_not_region_top_25_value,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
MCF7,2.0,A133,0,1,80.0,1,0.08468551188707352,0.00244649825617671,0.09850326180458069,0.0014845882542431355,0.10554394125938416,0.000621527899056673,0.18225997686386108,0.03808976337313652,0.12523630261421204,0.1381319761276245,0.08439958095550537,0.0024654685985296965,0.31730136275291443,0.0,0.12303964,0.14468826,0.9477488,0.979417,0.96971583,10126.0,22929.0,33055.0,0.9655027,0.93434805,0.98223585,0.99499285,0.9925871,0.40511486,0.9758201,0.0,0.031111296,0.44408017,0.6912376,0.317459,0.0017293048,0.38790756,0.9758201,0.0,0.043119952
MCF7,2.0,A133,0,1,80.0,2,0.06043696030974388,0.0009872271912172437,0.06386993825435638,0.0008240400347858667,,,,,,,0.06043696030974388,0.0009872271912172437,0.29419848322868347,0.0,0.08468592,0.09980276,0.920718,0.87400067,0.88498443,10559.0,34352.0,44911.0,0.9439257,0.94255173,0.9820193,0.9954346,0.992051,0.11326527,0.25538802,0.0,0.0011235009,0.13305657,0.19343781,0.07960574,0.00018854879,0.10718207,0.25538802,0.0,0.0012534749
MCF7,2.0,A133,0,1,80.0,3,0.07803507894277573,0.0008121409919112921,0.07838879525661469,0.0007880948251113296,,,,,,,0.07803507894277573,0.0008121409919112921,0.23007068037986755,0.0,0.09946099,0.115022145,0.904909,0.9651456,0.9470251,10733.0,24946.0,35679.0,0.93691885,0.8829905,0.95770794,0.9929449,0.9874109,0.20204812,0.72419995,0.0,0.0020115841,0.20019755,0.31286493,0.13495652,0.00047982752,0.2028443,0.72419995,0.0,0.0026684871
MCF7,2.0,A133,0,1,80.0,4,0.11470870673656464,0.0007470590062439442,0.11470870673656464,0.0007470590062439442,0.11989293247461319,0.0003880673903040588,0.20262518525123596,0.051635850220918655,0.13525642454624176,0.14399407804012299,0.11290814727544785,0.0008591663208790123,0.23968562483787537,0.024542825296521187,0.13679692,0.15149471,0.9576441,0.93176186,0.9384343,5663.0,16304.0,21967.0,0.97697854,0.9655509,0.9929432,0.9974427,0.9968072,0.7860346,1.3066018,0.58966464,0.004699468,0.7355562,0.8845343,0.6124563,0.0016478492,0.8035666,1.3066018,0.58966464,0.004566989
MCF7,2.0,A133,1,1,80.0,1,0.1461942344903946,0.003612043336033821,0.15453305840492249,0.0025294478982686996,0.13446475565433502,0.000894468801561743,0.23216576874256134,0.019547423347830772,0.15766987204551697,0.16969658434391022,0.14707700908184052,0.003805441316217184,0.3871634304523468,0.0,0.19345436,0.22366989,0.48129332,0.40916753,0.4222362,6769.0,30589.0,37358.0,0.5868781,0.7688244,0.88482845,0.92554605,0.92134714,0.48175204,1.4739807,0.0,0.030790634,0.49438345,1.3856649,0.19886169,0.037447933,0.478957,1.4739807,0.0,0.029274426
MCF7,2.0,A133,1,1,80.0,2,0.16206708550453186,0.003517602337524295,0.1694255918264389,0.002430593129247427,0.16373874247074127,0.0015370637411251664,0.3315541446208954,0.05356089025735855,0.1945614069700241,0.21768169105052948,0.16155987977981567,0.004117403645068407,0.41281530261039734,0.0,0.2096596,0.2370188,0.6407958,0.3577027,0.42366418,8578.0,28237.0,36815.0,0.7159243,0.75164145,0.91523206,0.9553699,0.9329119,0.898088,3.376932,0.0,0.1303592,1.2514589,3.376932,0.5756448,0.113389514,0.79074264,2.229361,0.0,0.08605844
MCF7,2.0,A133,10,1,80.0,1,0.06013765186071396,0.00046540165203623474,0.060412682592868805,0.0004509151913225651,,,,,,,0.06013765186071396,0.00046540165203623474,0.17191755771636963,0.0,0.07759442,0.08727019,0.8966743,0.7724783,0.7994935,11993.0,43142.0,55135.0,0.94950914,0.98311955,0.99449986,0.99791,0.99591106,0.28472936,0.4091774,0.14456367,0.0011058841,0.32083204,0.4091774,0.2309544,0.00045900035,0.2746935,0.40908208,0.14456367,0.0008226639
MCF7,2.0,A133,10,1,80.0,2,0.061052557080984116,0.0004415877629071474,0.061081282794475555,0.0004400412435643375,,,,,,,0.061052557080984116,0.0004415877629071474,0.16019417345523834,0.0,0.07793221,0.08860415,0.9689808,0.92951936,0.9378608,5844.0,21803.0,27647.0,0.969183,0.93862665,0.9901822,0.9959532,0.994713,0.22825107,0.35288745,0.13320851,0.0008257896,0.24567941,0.32647225,0.19884256,0.00039529445,0.22357985,0.35288745,0.13320851,0.00083794066
MCF7,2.0,A133,10,1,80.0,3,0.19480536878108978,0.001458692830055952,0.1948167234659195,0.001456561265513301,0.20637275278568268,0.0009791306219995022,0.32372158765792847,0.10093335062265396,0.23152266442775726,0.2472924441099167,0.18822279572486877,0.0016121191438287497,0.3899229168891907,0.0,0.22024545,0.23963177,0.88580793,0.55228174,0.6732505,6209.0,10910.0,17119.0,0.87583774,0.8041843,0.92704964,0.9831384,0.9600165,1.3626949,2.176204,0.0,0.03865671,1.4605488,2.0175395,1.0139288,0.02440132,1.3070102,2.176204,0.0,0.038219128
MCF7,2.0,A133,10,1,80.0,4,0.06915274262428284,0.0006682507810182869,0.06940986961126328,0.0006528886151500046,,,,,,,0.06915274262428284,0.0006682507810182869,0.19389620423316956,0.0,0.08957854,0.10017236,0.952643,0.96509814,0.9605737,3824.0,6703.0,10527.0,0.9631292,0.93447596,0.9875785,0.99653834,0.9955681,0.2769384,0.44541678,0.20160234,0.00068484194,0.26848158,0.33727708,0.20941456,0.00027445387,0.28176224,0.44541678,0.20160234,0.0008548663
