Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
MCF7,4.0,A133,0,2,40.0,1,-1.1013095985024224
MCF7,4.0,A133,0,2,40.0,2,-0.9197107244762032
MCF7,4.0,A133,1,2,40.0,1,-0.4038945806130979
MCF7,4.0,A133,1,2,40.0,2,-0.373749844029418
MCF7,4.0,A133,10,2,40.0,1,-0.47417153834974274
MCF7,4.0,A133,10,2,40.0,2,-0.08886052542353458
MCF7,4.0,A133,2,2,40.0,1,-1.1671491442314677
MCF7,4.0,A133,2,2,40.0,2,-1.2663530713394764
MCF7,4.0,A133,3,2,40.0,1,0.9993605990863033
MCF7,4.0,A133,3,2,40.0,2,-0.25559158488509276
MCF7,4.0,A133,3,2,40.0,3,-0.018543142049104334
MCF7,4.0,A133,4,2,40.0,1,-1.0524667549248061
MCF7,4.0,A133,4,2,40.0,2,-1.2069247377580357
MCF7,4.0,A133,5,2,40.0,1,-0.04822467432496113
MCF7,4.0,A133,5,2,40.0,2,-0.02934751850622864
MCF7,4.0,A133,5,2,40.0,3,1.9782240522958194
MCF7,4.0,A133,6,2,40.0,1,-0.6162173803606753
MCF7,4.0,A133,6,2,40.0,2,-0.8412457375596891
MCF7,4.0,A133,6,2,40.0,3,-1.0215561362580556
MCF7,4.0,A133,7,2,40.0,1,-1.611735093819025
MCF7,4.0,A133,7,2,40.0,2,-1.6583434286435261
MCF7,4.0,A133,7,2,40.0,3,-1.2502051605791555
MCF7,4.0,A133,7,2,40.0,4,-2.179917873853474
MCF7,4.0,A133,8,2,40.0,1,-0.6275386169721338
MCF7,4.0,A133,8,2,40.0,2,-1.6207240651350943
MCF7,4.0,A133,8,2,40.0,3,-0.664324918337615
MCF7,4.0,A133,8,2,40.0,4,-1.1250084303911656
MCF7,4.0,A133,8,2,40.0,5,-1.8201050747042677
MCF7,4.0,A133,9,2,40.0,1,-1.8725592507567004
MCF7,4.0,A133,9,2,40.0,2,-1.750161224222947
MCF7,2.0,control,1,3,0.0,1,-1.39097208241298
MCF7,2.0,control,4,3,0.0,1,0.9658667086641156
MCF7,2.0,control,5,3,0.0,1,-0.14949927610132946
MCF7,2.0,control,6,3,0.0,1,0.3190191655613498
MCF7,2.0,control,7,3,0.0,1,-0.8660666381509442
MCF7,2.0,control,8,3,0.0,1,1.1216521224397902
