ObjectNumber,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Rc,Region_Ed,Region_pixels_sum,Cell_Ed,Cell_pixels_sum
1,MCF7,2.0,A133,0,1,80.0,1,0.0,,0,0.0,4538
1,MCF7,2.0,A133,0,1,80.0,1,0.1,,0,,0
1,MCF7,2.0,A133,0,1,80.0,1,0.2,,0,0.07066627591848373,20
1,MCF7,2.0,A133,0,1,80.0,1,0.3,0.07813965529203415,46,0.07998055964708328,817
1,MCF7,2.0,A133,0,1,80.0,1,0.4,0.0924147367477417,5914,0.09193559736013412,11860
1,MCF7,2.0,A133,0,1,80.0,1,0.5,0.10122227668762207,4023,0.10023502260446548,11987
1,MCF7,2.0,A133,0,1,80.0,1,0.6,0.1077415943145752,138,0.1116439700126648,3097
1,MCF7,2.0,A133,0,1,80.0,1,0.7,0.1265636533498764,5,0.12679322063922882,634
1,MCF7,2.0,A133,0,1,80.0,1,0.8,,0,0.14328458905220032,86
1,MCF7,2.0,A133,0,1,80.0,1,0.9,,0,0.13067267835140228,13
1,MCF7,2.0,A133,0,1,80.0,1,1.0,,0,,4
2,MCF7,2.0,A133,0,1,80.0,2,0.0,,0,0.005544036161154509,1843
2,MCF7,2.0,A133,0,1,80.0,2,0.1,0.06314049661159515,9428,0.0616275891661644,39376
2,MCF7,2.0,A133,0,1,80.0,2,0.2,0.0652124360203743,1131,0.07511788606643677,3692
2,MCF7,2.0,A133,0,1,80.0,2,0.3,,0,,1
3,MCF7,2.0,A133,0,1,80.0,3,0.0,,0,0.0,67
3,MCF7,2.0,A133,0,1,80.0,3,0.1,0.0667823851108551,16,0.057206518948078156,1283
3,MCF7,2.0,A133,0,1,80.0,3,0.2,0.07673797756433487,10381,0.07572634518146515,31310
3,MCF7,2.0,A133,0,1,80.0,3,0.3,0.12013465911149979,336,0.10974808037281036,2505
3,MCF7,2.0,A133,0,1,80.0,3,0.4,,0,0.12535107135772705,332
3,MCF7,2.0,A133,0,1,80.0,3,0.5,,0,0.12403604388237,141
3,MCF7,2.0,A133,0,1,80.0,3,0.6,,0,0.1369273066520691,37
3,MCF7,2.0,A133,0,1,80.0,3,0.7,,0,,5
3,MCF7,2.0,A133,0,1,80.0,3,0.8,,0,,0
4,MCF7,2.0,A133,0,1,80.0,4,0.6,0.1042480543255806,113,0.09752091765403748,172
4,MCF7,2.0,A133,0,1,80.0,4,0.7,0.11692849546670914,3419,0.10740319639444351,6809
4,MCF7,2.0,A133,0,1,80.0,4,0.8,0.1254817098379135,2124,0.11444796621799469,11409
4,MCF7,2.0,A133,0,1,80.0,4,0.9,0.12456335127353668,7,0.12809306383132935,3118
4,MCF7,2.0,A133,0,1,80.0,4,1.0,,0,0.14367981255054474,417
4,MCF7,2.0,A133,0,1,80.0,4,1.1,,0,0.15664920210838318,35
4,MCF7,2.0,A133,0,1,80.0,4,1.2,,0,,6
4,MCF7,2.0,A133,0,1,80.0,4,1.3,,0,,2
4,MCF7,2.0,A133,0,1,80.0,4,1.4,,0,,0
1,MCF7,2.0,A133,1,1,80.0,1,0.0,,0,0.0,2015
1,MCF7,2.0,A133,1,1,80.0,1,0.1,,0,,0
1,MCF7,2.0,A133,1,1,80.0,1,0.2,0.08939231187105179,54,0.09314858168363571,62
1,MCF7,2.0,A133,1,1,80.0,1,0.3,0.11304911971092224,1542,0.12042097747325897,3257
1,MCF7,2.0,A133,1,1,80.0,1,0.4,0.12732431292533875,1902,0.14040511846542358,9207
1,MCF7,2.0,A133,1,1,80.0,1,0.5,0.12359903007745743,1248,0.1551329344511032,11163
1,MCF7,2.0,A133,1,1,80.0,1,0.6,0.12774161994457245,937,0.16997236013412476,7157
1,MCF7,2.0,A133,1,1,80.0,1,0.7,0.13980050384998322,462,0.18588656187057495,2863
1,MCF7,2.0,A133,1,1,80.0,1,0.8,0.1430523842573166,192,0.18884974718093872,932
1,MCF7,2.0,A133,1,1,80.0,1,0.9,0.14138853549957275,145,0.17114520072937012,326
1,MCF7,2.0,A133,1,1,80.0,1,1.0,0.1498725265264511,116,0.1541639268398285,163
1,MCF7,2.0,A133,1,1,80.0,1,1.1,0.15568910539150238,86,0.15170831978321075,106
1,MCF7,2.0,A133,1,1,80.0,1,1.2,0.16721363365650177,60,0.16170373558998108,71
1,MCF7,2.0,A133,1,1,80.0,1,1.3,0.17260611057281494,23,0.16833968460559845,30
1,MCF7,2.0,A133,1,1,80.0,1,1.4,,2,,7
1,MCF7,2.0,A133,1,1,80.0,1,1.5,,0,,1
2,MCF7,2.0,A133,1,1,80.0,2,0.0,,0,0.0,1599
2,MCF7,2.0,A133,1,1,80.0,2,0.1,,0,,0
2,MCF7,2.0,A133,1,1,80.0,2,0.2,,0,,0
2,MCF7,2.0,A133,1,1,80.0,2,0.3,,0,0.12974447011947632,53
2,MCF7,2.0,A133,1,1,80.0,2,0.4,,0,0.14166465401649475,595
2,MCF7,2.0,A133,1,1,80.0,2,0.5,,0,0.15122419595718384,2246
2,MCF7,2.0,A133,1,1,80.0,2,0.6,0.126329243183136,27,0.15848056972026825,3420
2,MCF7,2.0,A133,1,1,80.0,2,0.7,0.13343575596809387,122,0.1622828245162964,3876
2,MCF7,2.0,A133,1,1,80.0,2,0.8,0.13326683640480042,258,0.16418373584747314,4226
2,MCF7,2.0,A133,1,1,80.0,2,0.9,0.13562403619289398,767,0.16542649269104004,4851
2,MCF7,2.0,A133,1,1,80.0,2,1.0,0.14612823724746704,1418,0.16960911452770233,4922
2,MCF7,2.0,A133,1,1,80.0,2,1.1,0.15518403053283691,1453,0.17741140723228455,4198
2,MCF7,2.0,A133,1,1,80.0,2,1.2,0.1632584035396576,1139,0.18285733461380005,2510
2,MCF7,2.0,A133,1,1,80.0,2,1.3,0.17402000725269318,835,0.1893099993467331,1420
2,MCF7,2.0,A133,1,1,80.0,2,1.4,0.1806543469429016,654,0.1908423900604248,860
2,MCF7,2.0,A133,1,1,80.0,2,1.5,0.18774130940437317,518,0.1947687566280365,603
2,MCF7,2.0,A133,1,1,80.0,2,1.6,0.1918029487133026,337,0.1969410926103592,365
2,MCF7,2.0,A133,1,1,80.0,2,1.7,0.19162428379058838,263,0.19355182349681854,274
2,MCF7,2.0,A133,1,1,80.0,2,1.8,0.19392438232898712,214,0.1950647532939911,218
2,MCF7,2.0,A133,1,1,80.0,2,1.9,0.19158776104450226,167,0.19271643459796906,170
2,MCF7,2.0,A133,1,1,80.0,2,2.0,0.19857124984264374,138,0.19857124984264374,138
2,MCF7,2.0,A133,1,1,80.0,2,2.1,0.1887776255607605,98,0.18945463001728058,100
2,MCF7,2.0,A133,1,1,80.0,2,2.2,0.1995241343975067,71,0.1982445865869522,73
2,MCF7,2.0,A133,1,1,80.0,2,2.3,0.18983323872089386,30,0.18983323872089386,30
2,MCF7,2.0,A133,1,1,80.0,2,2.4,0.19233421981334686,22,0.19233421981334686,22
2,MCF7,2.0,A133,1,1,80.0,2,2.5,0.16981245577335358,13,0.16981245577335358,13
2,MCF7,2.0,A133,1,1,80.0,2,2.6,0.20390532910823822,11,0.20390532910823822,11
2,MCF7,2.0,A133,1,1,80.0,2,2.7,,4,,4
2,MCF7,2.0,A133,1,1,80.0,2,2.8,,4,,4
2,MCF7,2.0,A133,1,1,80.0,2,2.9,0.17173661291599274,5,,5
2,MCF7,2.0,A133,1,1,80.0,2,3.0,,3,,3
2,MCF7,2.0,A133,1,1,80.0,2,3.1,,3,,3
2,MCF7,2.0,A133,1,1,80.0,2,3.2,,2,,2
2,MCF7,2.0,A133,1,1,80.0,2,3.3,,1,,1
2,MCF7,2.0,A133,1,1,80.0,2,3.4,,1,,1
1,MCF7,2.0,A133,10,1,80.0,1,0.1,,0,,1
1,MCF7,2.0,A133,10,1,80.0,1,0.2,0.03682988882064819,10,0.041850775480270386,8075
1,MCF7,2.0,A133,10,1,80.0,1,0.3,0.07449767738580704,11049,0.06293128430843353,45864
1,MCF7,2.0,A133,10,1,80.0,1,0.4,0.07590744644403458,934,0.07648500800132751,1196
2,MCF7,2.0,A133,10,1,80.0,2,0.1,,0,0.05574178323149681,26
2,MCF7,2.0,A133,10,1,80.0,2,0.2,0.06273992359638214,3706,0.057499960064888,21574
2,MCF7,2.0,A133,10,1,80.0,2,0.3,0.07892947643995285,2138,0.07373739778995514,6047
2,MCF7,2.0,A133,10,1,80.0,2,0.4,,0,,1
3,MCF7,2.0,A133,10,1,80.0,3,0.0,,0,,1
3,MCF7,2.0,A133,10,1,80.0,3,0.1,,0,,0
3,MCF7,2.0,A133,10,1,80.0,3,0.2,,0,,0
3,MCF7,2.0,A133,10,1,80.0,3,0.3,,0,,0
