ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,80,6,A133,0.6444242144118506,False,0.43270610504565754
1,1,80,6,A133,0.7104553871917002,True,0.49873727782550714
2,1,80,6,A133,0.8245832728964675,False,0.6128651635302744
1,3,80,6,A133,0.33204687503877306,True,0.12032876567258
2,3,80,6,A133,0.38586741751550974,False,0.17414930814931667
1,4,80,6,A133,0.7887564414592678,False,0.5770383320930748
2,4,80,6,A133,0.7965057620803143,False,0.5847876527141213
3,4,80,6,A133,0.6506952344171081,False,0.438977125050915
1,5,80,6,A133,0.2857344597709136,True,0.07401635040472054
2,5,80,6,A133,0.7230609147985716,True,0.5113428054323785
3,5,80,6,A133,0.5877252848843894,False,0.3760071755181963
1,6,80,6,A133,0.6897321631951996,False,0.4780140538290065
2,6,80,6,A133,0.6698110504545468,False,0.45809294108835374
1,7,80,6,A133,0.5258903042177565,True,0.31417219485156345
2,7,80,6,A133,0.8488801133513835,False,0.6371620039851904
3,7,80,6,A133,0.7110341968865704,False,0.49931608752037737
4,7,80,6,A133,0.6646740672850848,False,0.45295595791889176
1,8,80,6,A133,0.797020315498558,False,0.5853022061323649
2,8,80,6,A133,0.7210559035096464,False,0.5093377941434534
1,9,80,6,A133,0.7637679873614309,False,0.5520498779952379
2,9,80,6,A133,0.7335579396008913,False,0.5218398302346983
1,0,0,2,control,0.18438573072731174,False,-0.027332378638881327
2,0,0,2,control,0.2353331455968452,False,0.023615036230652142
1,1,0,2,control,0.16593398527193312,True,-0.04578412409425994
2,1,0,2,control,0.1293489820465171,False,-0.08236912731967597
1,4,0,2,control,0.30783533017579995,False,0.09611722080960688
1,5,0,2,control,0.044440314108774095,True,-0.16727779525741898
2,5,0,2,control,0.2209418233555307,False,0.009223713989337634
1,6,0,2,control,0.21877559439165598,True,0.007057485025462912
2,6,0,2,control,0.24133520892163557,False,0.029617099555442505
1,7,0,2,control,0.3624264990500408,False,0.15070838968384775
1,8,0,2,control,0.16270134182163004,False,-0.04901676754456302
2,8,0,2,control,0.30001224687105027,False,0.0882941375048572
1,9,0,2,control,0.26036518290813676,False,0.0486470735419437
2,9,0,2,control,0.13021814587984157,True,-0.0814999634863515
