Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean_value,Ed_variance,Ed_not_zero_mean_value,Ed_not_zero_variance,Ed_region_mean_value,Ed_region_variance,Ed_region_max_value,Ed_region_min_value,Ed_region_top_50_value,Ed_region_top_25_value,Ed_not_region_mean_value,Ed_not_region_variance,Ed_not_region_max_value,Ed_not_region_min_value,Ed_not_region_top_50_value,Ed_not_region_top_25_value,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
MCF7,2.0,A133,0,1,80.0,1,0.1324332356452942,0.006590450648218393,0.14858494699001312,0.004994329065084457,0.15048173069953918,0.003287167754024267,0.44137898087501526,0.0,0.19572995603084564,0.22488431632518768,0.12780055403709412,0.0073332590982317924,0.4914521872997284,0.0,0.19756639,0.23934835,0.5341812,0.2845924,0.35788858,6451,15516,21967,0.5983944,0.41002095,0.78659004,0.928325,0.8868912,1.5246872,6.6780057,0.0,0.6287713,1.9463513,6.1720986,0.23148593,0.49212217,1.3493857,6.6780057,0.0,0.58093256
MCF7,2.0,A133,0,1,80.0,2,0.08796529471874237,0.0006364635191857815,0.08800964802503586,0.0006328803137876093,,,,,,,0.08796529471874237,0.0006364635191857815,0.2513395845890045,0.0,0.10642011,0.12051207,0.917855,0.7997894,0.8259112,7901,27810,35711,0.9313972,0.9139596,0.9914884,0.997736,0.9952891,0.4192955,0.77424926,0.22969683,0.0027529595,0.46713942,0.5985751,0.35805914,0.0008650909,0.40570328,0.77424926,0.22969683,0.0024542385
MCF7,2.0,A133,0,1,80.0,3,0.10811073333024979,0.0010576768545433879,0.10819611698389053,0.0010492729488760233,,,,,,,0.10811073333024979,0.0010576768545433879,0.3074592649936676,0.0,0.13316336,0.1500372,0.9053555,0.7386682,0.7787797,4878,15393,20271,0.9295808,0.8477746,0.9823853,0.9954852,0.99112016,0.5637373,0.886017,0.27573687,0.0070878025,0.6473849,0.8556782,0.4867193,0.0030806637,0.5372313,0.886017,0.27573687,0.0054378435
MCF7,2.0,A133,0,1,80.0,4,0.09939680993556976,0.0014698209706693888,0.09964190423488617,0.0014490236062556505,,,,,,,0.09939680993556976,0.0014698209706693888,0.40297436714172363,0.0,0.12698627,0.1499039,0.9943966,0.84626794,0.87918293,5962,20869,26831,0.959137,0.85898495,0.9902788,0.9968658,0.9943959,0.6428436,1.4211524,0.26679206,0.012030459,0.71852595,0.91336507,0.5221873,0.0027797243,0.62122315,1.4211524,0.26679206,0.012569418
MCF7,2.0,A133,1,1,80.0,1,0.0792773962020874,0.0008593365782871842,0.0798567533493042,0.0008193511166609824,,,,,,,0.0792773962020874,0.0008593365782871842,0.26274430751800537,0.0,0.10171997,0.11595713,0.85383123,0.7192085,0.7375158,7835,49780,57615,0.8712744,0.76163125,0.97200674,0.9837863,0.98213756,0.61157733,1.2919432,0.0,0.009507575,0.6734123,1.0304136,0.3707346,0.01426627,0.60184526,1.2919432,0.0,0.008062104
MCF7,2.0,A133,1,1,80.0,2,0.07687007635831833,0.000794944993685931,0.07728641480207443,0.000767073652241379,,,,,,,0.07687007635831833,0.000794944993685931,0.34969672560691833,0.0,0.09825252,0.112359196,1.0531793,0.9815705,1.003529,5009,11326,16335,0.88399714,0.49161208,0.9280485,0.98836505,0.98456925,0.3122366,0.5541364,0.0,0.002758216,0.33045134,0.49068525,0.19376512,0.0019388205,0.30418175,0.5541364,0.0,0.0029089698
MCF7,2.0,A133,1,1,80.0,3,0.09503096342086792,0.0039230575785040855,0.1099991500377655,0.0028944837395101786,0.12692199647426605,0.0007980294758453965,0.20125499367713928,0.051329437643289566,0.15031464397907257,0.1625690758228302,0.09497632086277008,0.003926665522158146,0.4834814965724945,0.0,0.1441376,0.17457767,1.1457472,0.83603495,0.9053792,14272,49471,63743,0.6796051,0.33608767,0.88228106,0.9415017,0.9393107,0.49434072,1.7419376,0.0,0.062162723,0.65597546,1.3409,0.23538226,0.047282103,0.44771126,1.7419376,0.0,0.056744333
MCF7,2.0,A133,1,1,80.0,4,0.09693899750709534,0.004030216485261917,0.1056687980890274,0.0034706885926425457,0.08955975621938705,0.0017676143907010555,0.18245023488998413,0.0002387018466833979,0.12253420799970627,0.14293938875198364,0.09694590419530869,0.004032279830425978,0.4596630334854126,0.0,0.14652166,0.18104596,0.7808646,0.87526155,0.84879524,12614,32376,44990,0.7561954,0.0006989911,0.71461886,0.9613057,0.9527015,0.661362,3.3337564,0.0,0.06526668,0.65090877,1.4745089,0.08036978,0.027685685,0.6654345,3.3337564,0.0,0.079848535
MCF7,2.0,A133,10,1,80.0,1,0.08215833455324173,0.0009181727073155344,0.08259250223636627,0.0008871664758771658,,,,,,,0.08215833455324173,0.0009181727073155344,0.3259931206703186,0.0,0.105678536,0.12205285,0.76175183,1.0135765,0.9827024,5924,42395,48319,0.91423315,0.9259491,0.87849337,0.99566877,0.9355291,0.43486536,1.0073444,0.0,0.020400845,0.33060926,0.7773746,0.2355572,0.00097604556,0.44943306,1.0073444,0.0,0.021384083
MCF7,2.0,A133,10,1,80.0,2,0.07849506288766861,0.0026234220713377,0.0857023075222969,0.002246621297672391,,,,,,,0.07849506288766861,0.0026234220713377,0.43378937244415283,0.0,0.117555656,0.14522006,0.844095,0.88994306,0.8804166,7716,29419,37135,0.88422465,0.7264522,0.9275017,0.98809415,0.9823993,0.30389938,0.9698804,0.0,0.0096912,0.32069957,0.5104976,0.14793432,0.002269406,0.2994932,0.9698804,0.0,0.011544279
