Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean_value,Ed_variance,Ed_not_zero_mean_value,Ed_not_zero_variance,Ed_region_mean_value,Ed_region_variance,Ed_region_max_value,Ed_region_min_value,Ed_region_top_50_value,Ed_region_top_25_value,Ed_not_region_mean_value,Ed_not_region_variance,Ed_not_region_max_value,Ed_not_region_min_value,Ed_not_region_top_50_value,Ed_not_region_top_25_value,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
MCF7,2.0,A133,0,1,80.0,1,0.12287293374538422,0.00729216355830431,0.14862611889839172,0.004992945119738579,0.15455308556556702,0.0036907338071614504,0.44137898087501526,0.0,0.2027326,0.23339264,0.11163928359746933,0.00808713585138321,0.4914521872997284,0.0,0.18669339,0.23161197,0.53081036,0.2668067,0.3402136,6802,17661,24463,0.5931025,0.42891002,0.80303776,0.92740375,0.88345,1.4028307,6.6780057,0.0,0.7321006,1.9363474,6.1720986,0.23148593,0.49820372,1.1973624,6.6780057,0.0,0.6703411
MCF7,2.0,A133,0,1,80.0,2,0.0895003229379654,0.0007967354031279683,0.08959214389324188,0.000789325509686023,0.0837668851017952,0.00011480761168058962,0.13578008115291595,0.042880427092313766,0.09223546,0.09731758,0.09097851812839508,0.0009618898038752377,0.33178773522377014,0.0,0.114491865,0.131628,0.9129741,0.7537273,0.7865327,8441,32534,40975,0.9368847,0.9251312,0.992083,0.99763715,0.9949671,0.4200716,0.86770487,0.19920355,0.0030577565,0.4655452,0.5985751,0.35805914,0.0009233305,0.4082738,0.86770487,0.19920355,0.0029358414
MCF7,2.0,A133,0,1,80.0,3,0.1096128597855568,0.0011688490631058812,0.10971073061227798,0.0011591536458581686,0.1119755357503891,0.0002852186153177172,0.17980365455150604,0.05654255300760269,0.12543201,0.13401656,0.10889546573162079,0.001434940262697637,0.3210987448692322,0.0,0.13881417,0.15930156,0.89870864,0.7188915,0.7609919,5248,17167,22415,0.92672634,0.8691647,0.9832307,0.9952758,0.99068564,0.5644384,0.88975894,0.27573687,0.007272894,0.64412826,0.8556782,0.47270888,0.0032185738,0.5400784,0.88975894,0.27573687,0.0059775864
MCF7,2.0,A133,0,1,80.0,4,0.1013784185051918,0.0017376345349475741,0.10177553445100784,0.0017040235688909888,0.08936291933059692,0.00020356041204649955,0.1427331268787384,0.024011356756091118,0.10057867,0.107230105,0.10456163436174393,0.0020956697408109903,0.40297436714172363,0.0,0.13897334,0.1652918,0.99257225,0.81895906,0.8553872,6130,23085,29215,0.96179897,0.8694499,0.9907453,0.9968454,0.99420893,0.64090866,1.4211524,0.0,0.01306723,0.7179407,0.91336507,0.5221873,0.0028164797,0.62045443,1.4211524,0.0,0.013795092
MCF7,2.0,A133,1,1,80.0,1,0.05253764986991882,0.003216993995010853,0.0754196047782898,0.002892357064411044,0.037075821310281754,0.0014513320056721568,0.1992238312959671,0.0,0.06801489,0.09185123,0.0564868189394474,0.0035913116298615932,0.3563908338546753,0.0,0.104327284,0.14225878,0.7958211,1.0198137,0.95626706,4144,10463,14607,0.5887456,0.47453094,0.51210606,0.95983636,0.9470772,0.4308342,1.4782186,0.0,0.053880338,0.42065877,0.84865564,0.0,0.022018638,0.43486392,1.4782186,0.0,0.066441104
MCF7,2.0,A133,1,1,80.0,2,0.07972384244203568,0.0008832805324345827,0.08023211359977722,0.0008481320692226291,0.08080444484949112,0.00023017094645183533,0.14107319712638855,0.028425244614481926,0.093178675,0.09985585,0.07955978810787201,0.0009822254069149494,0.27522408962249756,0.0,0.103868425,0.11943221,0.8556307,0.7730598,0.7839774,7931,52052,59983,0.8724177,0.76534,0.97248065,0.9839587,0.9827677,0.6096115,1.2919432,0.22375183,0.009771403,0.6728855,1.0304136,0.3707346,0.014266246,0.5999709,1.2919432,0.22375183,0.008383606
MCF7,2.0,A133,1,1,80.0,3,0.07794652879238129,0.0009253147291019559,0.07841803878545761,0.0008939371327869594,0.07355057448148727,0.00033957420964725316,0.14046914875507355,1.415169481333578e-05,0.08819271,0.09699279,0.07990796118974686,0.0011741970665752888,0.34969672560691833,0.0,0.1061505,0.12350958,1.0627266,1.047418,1.0522443,5715,12412,18127,0.88024116,0.5110457,0.93573403,0.9886575,0.98592156,0.31428444,0.6210295,0.0,0.0029611366,0.33131626,0.5212983,0.19376512,0.002044219,0.30644295,0.6210295,0.0,0.0031882443
MCF7,2.0,A133,1,1,80.0,4,0.09474095702171326,0.003963974770158529,0.1097198948264122,0.0029472089372575283,0.10647188127040863,0.001118474523536861,0.23007839918136597,0.0,0.13331045,0.14796828,0.0916052907705307,0.004677961114794016,0.4834814965724945,0.0,0.14642128,0.18216781,1.1428224,0.8275563,0.8947151,14516,53627,68143,0.6796051,0.34841308,0.88424104,0.94131184,0.9386202,0.48947042,1.7419376,0.0,0.060990393,0.65442294,1.3409,0.23538226,0.04738978,0.44482115,1.7419376,0.0,0.055313233
MCF7,2.0,A133,1,1,80.0,5,0.09591564536094666,0.004219279624521732,0.10653811693191528,0.0035548582673072815,0.08186904340982437,0.0015318640507757664,0.2231670618057251,0.0,0.113431826,0.13232686,0.10126407444477081,0.005138815846294165,0.4596630334854126,0.0,0.15886006,0.19603328,0.6973286,0.5837141,0.617176,13821,33106,46927,0.76106906,0.03232044,0.73364,0.96417904,0.9502731,0.6462573,3.3337564,0.0,0.07234938,0.65602684,1.4745089,0.08036978,0.028347772,0.6421788,3.3337564,0.0,0.09066201
MCF7,2.0,A133,10,1,80.0,1,0.06194595992565155,0.0034887162037193775,0.0851692482829094,0.0028187113348394632,0.05870821699500084,0.0012716148048639297,0.21043245494365692,0.0,0.08795897,0.10565451,0.06301401555538177,0.0042154802940785885,0.4096335470676422,0.0,0.11653165,0.154114,0.67376465,0.94328576,0.8722561,3917,10946,14863,0.7582057,0.2747099,0.74978733,0.9712824,0.9602498,0.1936288,1.057694,0.0,0.016065368,0.22547978,0.6348686,0.0,0.0038036306,0.18223205,1.057694,0.0,0.019959917
