Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Rc,Ed,cell_Ed
MCF7,2.0,A133,0,1,80.0,0.0,,0.0
MCF7,2.0,A133,0,1,80.0,0.01,,
MCF7,2.0,A133,0,1,80.0,0.02,,
MCF7,2.0,A133,0,1,80.0,0.03,,
MCF7,2.0,A133,0,1,80.0,0.04,,
MCF7,2.0,A133,0,1,80.0,0.05,,
MCF7,2.0,A133,0,1,80.0,0.06,,
MCF7,2.0,A133,0,1,80.0,0.07,,
MCF7,2.0,A133,0,1,80.0,0.08,,
MCF7,2.0,A133,0,1,80.0,0.09,,
MCF7,2.0,A133,0,1,80.0,0.1,,
MCF7,2.0,A133,0,1,80.0,0.11,,
MCF7,2.0,A133,0,1,80.0,0.12,,
MCF7,2.0,A133,0,1,80.0,0.13,,
MCF7,2.0,A133,0,1,80.0,0.14,,
MCF7,2.0,A133,0,1,80.0,0.15,,
MCF7,2.0,A133,0,1,80.0,0.16,,
MCF7,2.0,A133,0,1,80.0,0.17,,
MCF7,2.0,A133,0,1,80.0,0.18,,
MCF7,2.0,A133,0,1,80.0,0.19,,
MCF7,2.0,A133,0,1,80.0,0.2,,
MCF7,2.0,A133,0,1,80.0,0.21,,
MCF7,2.0,A133,0,1,80.0,0.22,,
MCF7,2.0,A133,0,1,80.0,0.23,,
MCF7,2.0,A133,0,1,80.0,0.24,,
MCF7,2.0,A133,0,1,80.0,0.25,,
MCF7,2.0,A133,0,1,80.0,0.26,,
MCF7,2.0,A133,0,1,80.0,0.27,,
MCF7,2.0,A133,0,1,80.0,0.28,,0.08769974112510681
MCF7,2.0,A133,0,1,80.0,0.29,,0.08550961315631866
MCF7,2.0,A133,0,1,80.0,0.3,,0.08260270953178406
MCF7,2.0,A133,0,1,80.0,0.31,,0.08548647165298462
MCF7,2.0,A133,0,1,80.0,0.32,,0.08496609330177307
MCF7,2.0,A133,0,1,80.0,0.33,,0.0838828980922699
MCF7,2.0,A133,0,1,80.0,0.34,,0.08505532890558243
MCF7,2.0,A133,0,1,80.0,0.35,,0.08629998564720154
MCF7,2.0,A133,0,1,80.0,0.36,0.07856620848178864,0.08547921478748322
MCF7,2.0,A133,0,1,80.0,0.37,0.0697934553027153,0.08705873787403107
MCF7,2.0,A133,0,1,80.0,0.38,0.07854095846414566,0.08755911141633987
MCF7,2.0,A133,0,1,80.0,0.39,0.08076454699039459,0.08784662932157516
MCF7,2.0,A133,0,1,80.0,0.4,0.07784727960824966,0.08799576759338379
MCF7,2.0,A133,0,1,80.0,0.41,0.08010641485452652,0.08863282948732376
MCF7,2.0,A133,0,1,80.0,0.42,0.07951036095619202,0.0885649174451828
MCF7,2.0,A133,0,1,80.0,0.43,0.08076941221952438,0.08918691426515579
MCF7,2.0,A133,0,1,80.0,0.44,0.08095093816518784,0.08862845599651337
MCF7,2.0,A133,0,1,80.0,0.45,0.08185939490795135,0.08956319838762283
MCF7,2.0,A133,0,1,80.0,0.46,0.08274974673986435,0.09031876921653748
MCF7,2.0,A133,0,1,80.0,0.47,0.08379911631345749,0.09119010716676712
MCF7,2.0,A133,0,1,80.0,0.48,0.0846530944108963,0.09295009076595306
MCF7,2.0,A133,0,1,80.0,0.49,0.08590193837881088,0.09466579556465149
MCF7,2.0,A133,0,1,80.0,0.5,0.08646959811449051,0.09632618725299835
MCF7,2.0,A133,0,1,80.0,0.51,0.08778465539216995,0.09856676310300827
MCF7,2.0,A133,0,1,80.0,0.52,0.09041362255811691,0.10392248630523682
MCF7,2.0,A133,0,1,80.0,0.53,0.09173857420682907,0.10255606472492218
MCF7,2.0,A133,0,1,80.0,0.54,0.09318031370639801,0.10402772575616837
MCF7,2.0,A133,0,1,80.0,0.55,0.09297115355730057,0.10647384077310562
MCF7,2.0,A133,0,1,80.0,0.56,0.09727125614881516,0.1064898818731308
MCF7,2.0,A133,0,1,80.0,0.57,0.09944088011980057,0.1069745123386383
MCF7,2.0,A133,0,1,80.0,0.58,0.09886837750673294,0.10785987228155136
MCF7,2.0,A133,0,1,80.0,0.59,0.10296045243740082,0.10815113037824631
MCF7,2.0,A133,0,1,80.0,0.6,0.10234814137220383,0.10797132551670074
MCF7,2.0,A133,0,1,80.0,0.61,0.10396071523427963,0.10689424723386765
