Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_region_mean_value,Cell_Ed_region_variance,Cell_Ed_region_max_value,Cell_Ed_region_min_value,Cell_Ed_region_top_50_value,Cell_Ed_region_top_25_value,Cell_Ed_not_region_mean_value,Cell_Ed_not_region_variance,Cell_Ed_not_region_max_value,Cell_Ed_not_region_min_value,Cell_Ed_not_region_top_50_value,Cell_Ed_not_region_top_25_value,Fp_mito_ratio_mean,Fp_non_mito_ratio_mean,Fp_whole_cell_ratio_mean,Fp_mito_pixels,Fp_non_mito_pixels,Fp_whole_cell_pixels
MCF7,2,A133,0,1,80,1,0.09085129201412201,0.0009527432266622782,0.09101831912994385,0.0009392924839630723,0.08875849097967148,8.839042857289314e-05,0.13578008115291595,0.05902419239282608,0.09608867764472961,0.10072038322687149,0.09088508784770966,0.0009666270925663412,0.33178773522377014,0,0.113550425,0.13170363,1.2886152267456055,1.007866,1.012327,736,45584,46320
MCF7,2,A133,0,1,80,2,0.11323598772287369,0.0014962336281314492,0.11341280490159988,0.0014785167295485735,0.11195413023233414,0.00030944906757213175,0.17980365455150604,0.05654255300760269,0.12587112188339233,0.13501611351966858,0.11355925351381302,0.0017949978355318308,0.3791123926639557,0,0.14688733,0.16976124,1.6018682718276978,1.2278494,1.3031743,5813,23051,28864
MCF7,2,A133,0,1,80,3,0.10218300670385361,0.0019247288582846522,0.10282101482152939,0.001871146378107369,0.08934520930051804,0.00020546710584312677,0.1427331268787384,0.024011356756091118,0.10060800611972809,0.1072857603430748,0.10537712275981903,0.0023012831807136536,0.44676584005355835,0,0.14137828,0.16899727,1.7398960590362549,1.3033746,1.390345,6197,24907,31104
MCF7,2,A133,1,1,80,1,0.07988815754652023,0.000704210193362087,0.08009111881256104,0.0006897443090565503,0.08167997002601624,0.0002149774372810498,0.14107319712638855,0.03613181784749031,0.09361269325017929,0.0999985933303833,0.07959862053394318,0.0007826617802493274,0.26187631487846375,0,0.101456925,0.11531926,1.6887773275375366,1.3430227,1.3911204,6862,42466,49328
MCF7,2,A133,1,1,80,3,0.0744323879480362,0.005135188344866037,0.11313706636428833,0.0034265415742993355,0.11704171448945999,0.0008797479094937444,0.23007839918136597,0,0.14046382904052734,0.15425296127796173,0.07030794024467468,0.0053543513640761375,0.4834814965724945,0,0.1312817,0.17270678,1.7400171756744385,0.98743206,1.0538509,10109,104435,114544
MCF7,2,A133,10,1,80,1,0.09604371339082718,0.0010153658222407103,0.09643952548503876,0.0009813777869567275,0.11636082828044891,0.00022260253899730742,0.16608835756778717,0.06100548803806305,0.1281987875699997,0.13489247858524323,0.09181655943393707,0.0010765548795461655,0.2972295880317688,0,0.11733646,0.13256551,1.7930353879928589,1.3496857,1.3577243,349,18899,19248
MCF7,2,A133,10,1,80,4,0.10371360182762146,0.003288980107754469,0.11006755381822586,0.00279111391864717,0.1102820560336113,0.0008221822790801525,0.224069282412529,0.037224505096673965,0.1332024484872818,0.14784452319145203,0.10353238135576248,0.0033558218274265528,0.40635770559310913,0,0.14763896,0.17887507,1.2677751779556274,0.9920645,0.9994677,467,16925,17392
MCF7,2,A133,10,1,80,5,0.10784868896007538,0.0050269500352442265,0.12978392839431763,0.003202534979209304,0.10243339091539383,0.0010825819335877895,0.20226219296455383,0.0032172582577914,0.12872104346752167,0.14413052797317505,0.10799074172973633,0.005129637662321329,0.4796481430530548,0,0.16484873,0.19672267,1.743762731552124,1.796198,1.7948577,708,26988,27696
MCF7,2,A133,10,1,80,6,0.11693163216114044,0.0042132968083024025,0.12499908357858658,0.003495560958981514,0.11180193722248077,0.0011381828226149082,0.24893970787525177,0.007786853704601526,0.1384972333908081,0.15597614645957947,0.11805923283100128,0.004882204812020063,0.45947667956352234,0,0.17279851,0.20870194,1.4721808433532715,1.1706206,1.2249633,2915,13261,16176
MCF7,2,A133,11,1,80,1,0.07918887585401535,0.0031227157451212406,0.0916021540760994,0.0024751354940235615,0.08806472271680832,0.000521147798281163,0.16754239797592163,0.012061350047588348,0.10618329048156738,0.11724449694156647,0.07805872708559036,0.0034426599740982056,0.47545745968818665,0,0.12433497,0.1553449,1.5520095825195312,1.1507705,1.1960893,2933,23035,25968
