Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
MCF7,2,A133,0,1,60,1,-0.9774706775246784
MCF7,2,A133,0,1,60,2,-1.905302181967943
MCF7,2,A133,0,1,60,3,-2.7486921330669847
MCF7,2,A133,1,1,60,1,-2.7850528929617644
MCF7,2,A133,1,1,60,2,-2.7740809614001196
MCF7,2,A133,1,1,60,3,-2.166338610450425
MCF7,2,A133,10,1,60,1,-2.701003466569263
MCF7,2,A133,10,1,60,2,-3.089980628231476
MCF7,2,A133,10,1,60,3,-2.972175747271586
MCF7,2,A133,10,1,60,4,-3.0454565706107815
MCF7,2,A133,10,1,60,5,-2.705830197065949
MCF7,2,A133,10,1,60,6,-2.852655371536106
MCF7,2,A133,10,1,60,7,-2.6882499041812005
MCF7,2,A133,10,1,60,8,-3.025419241431903
MCF7,2,A133,10,1,60,9,-2.433331048850025
MCF7,2,A133,10,1,60,10,-2.8676686246778824
MCF7,2,A133,2,1,60,1,-3.040068861795446
MCF7,2,A133,2,1,60,2,-2.814262435370528
MCF7,2,A133,2,1,60,3,-3.033975072674154
MCF7,2,A133,2,1,60,4,-2.404466901562447
MCF7,2,A133,3,1,60,1,-1.2071083055442877
MCF7,2,A133,3,1,60,2,-2.6322890568714405
MCF7,2,A133,3,1,60,3,-1.691903691807279
MCF7,2,A133,4,1,60,1,-2.1342822610225602
MCF7,2,A133,4,1,60,2,-2.628989738815093
MCF7,2,A133,4,1,60,3,-2.638863668711395
MCF7,2,A133,4,1,60,4,-2.514128766826679
MCF7,2,A133,5,1,60,1,-2.6971788485493136
MCF7,2,A133,5,1,60,2,-2.849121216213708
MCF7,2,A133,5,1,60,3,-2.9190386413690694
MCF7,2,A133,5,1,60,4,-2.7152103126560987
MCF7,2,A133,5,1,60,5,-1.7500219881100272
MCF7,2,A133,5,1,60,6,-0.9659118838005313
MCF7,2,A133,6,1,60,1,-2.8904122188803236
MCF7,2,A133,6,1,60,2,-3.025627409445183
MCF7,2,A133,6,1,60,3,-2.9495337826729218
MCF7,2,A133,6,1,60,4,-2.932793253621805
MCF7,2,A133,6,1,60,5,-2.8170317179095123
MCF7,2,A133,7,1,60,1,-3.0195997887150847
MCF7,2,A133,7,1,60,2,-2.442878364138351
MCF7,2,A133,7,1,60,3,-2.712671755536483
MCF7,2,A133,7,1,60,4,-2.5584393202735134
MCF7,2,A133,7,1,60,5,-2.6495628323763727
MCF7,2,A133,7,1,60,6,-2.7471784883829486
