ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,60,2,A133,0.8687554913644349,False,0.6312269685287222
2,0,60,2,A133,0.7640739853244332,False,0.5265454624887205
3,0,60,2,A133,0.8229352632678928,False,0.5854067404321801
1,1,60,2,A133,0.7486139258712988,False,0.5110854030355861
2,1,60,2,A133,0.6858351471629182,False,0.44830662432720547
3,1,60,2,A133,0.7922793784304669,False,0.5547508555947542
1,10,60,2,A133,0.7748893506853397,False,0.537360827849627
2,10,60,2,A133,0.8343374173146296,False,0.5968088944789169
3,10,60,2,A133,0.7564582114782729,True,0.5189296886425602
4,10,60,2,A133,0.8625601473011543,False,0.6250316244654416
5,10,60,2,A133,0.841411753179484,False,0.6038832303437713
6,10,60,2,A133,0.7905964263246952,False,0.5530679034889825
7,10,60,2,A133,0.7817354576926541,False,0.5442069348569414
8,10,60,2,A133,0.7331803863910703,False,0.4956518635553576
9,10,60,2,A133,0.7726128921404288,False,0.5350843693047161
10,10,60,2,A133,0.5394127246723416,True,0.3018842018366289
1,2,60,2,A133,0.7688729318140839,False,0.5313444089783712
2,2,60,2,A133,0.8005967664237975,False,0.5630682435880848
3,2,60,2,A133,0.8799501964634423,False,0.6424216736277296
4,2,60,2,A133,0.8788414964825085,False,0.6413129736467958
1,3,60,2,A133,0.8908288525279782,False,0.6533003296922655
2,3,60,2,A133,0.7225669612115979,True,0.48503843837588523
3,3,60,2,A133,0.8300873945263664,False,0.5925588716906537
1,4,60,2,A133,0.803769443482009,False,0.5662409206462963
2,4,60,2,A133,0.7312505715435746,False,0.49372204870786196
3,4,60,2,A133,0.8905659314496397,False,0.653037408613927
4,4,60,2,A133,0.8612605426298112,True,0.6237320197940985
1,5,60,2,A133,0.7357667200295498,False,0.4982381971938371
2,5,60,2,A133,0.5249076086603738,False,0.2873790858246611
3,5,60,2,A133,0.6913584721082676,True,0.45382994927255493
4,5,60,2,A133,0.7327968414138336,False,0.4952683185781209
5,5,60,2,A133,0.8145351768290331,False,0.5770066539933204
6,5,60,2,A133,0.8059903787268041,False,0.5684618558910914
1,6,60,2,A133,0.4888854589640962,True,0.2513569361283835
2,6,60,2,A133,0.8023748019047373,False,0.5648462790690246
3,6,60,2,A133,0.7937787331991865,True,0.5562502103634738
4,6,60,2,A133,0.8647903967681309,False,0.6272618739324182
5,6,60,2,A133,0.8886443028104205,False,0.6511157799747078
1,7,60,2,A133,0.7394870706417171,False,0.5019585478060045
2,7,60,2,A133,0.8104002486861566,False,0.5728717258504439
3,7,60,2,A133,0.7470549682279539,False,0.5095264453922412
4,7,60,2,A133,0.5696424319767054,True,0.3321139091409927
5,7,60,2,A133,0.9139113196909368,True,0.6763827968552241
6,7,60,2,A133,0.9015716155616541,True,0.6640430927259414
7,7,60,2,A133,0.8629369146287245,False,0.6254083917930118
1,8,60,2,A133,0.8610831700816955,False,0.6235546472459829
2,8,60,2,A133,0.8798303976213262,True,0.6423018747856135
3,8,60,2,A133,0.9097890860597537,True,0.672260563224041
4,8,60,2,A133,0.8951569602326211,False,0.6576284373969085
5,8,60,2,A133,0.8499072570997319,False,0.6123787342640192
6,8,60,2,A133,0.899062077728247,False,0.6615335548925343
7,8,60,2,A133,0.8607408111596726,False,0.6232122883239599
1,9,60,2,A133,0.42823242550192353,True,0.19070390266621082
2,9,60,2,A133,0.48778980913322584,True,0.2502612862975131
3,9,60,2,A133,0.590382082681497,True,0.35285355984578426
4,9,60,2,A133,0.8440231868538813,True,0.6064946640181686
1,0,0,2,control,0.18878955583844276,False,-0.048738966997269956
2,0,0,2,control,0.10951884801168994,True,-0.12800967482402276
3,0,0,2,control,0.21173848413288318,False,-0.025790038702829532
1,1,0,2,control,0.4224203668539387,True,0.18489184401822598
2,1,0,2,control,0.263716215498762,False,0.026187692663049295
3,1,0,2,control,0.17448815406691348,True,-0.06304036876879923
4,1,0,2,control,0.25857271770253504,True,0.021044194866822324
5,1,0,2,control,0.10573140608176475,True,-0.13179711675394795
6,1,0,2,control,0.2655518390424828,False,0.028023316206770094
1,10,0,2,control,0.24559564452997193,False,0.008067121694259216
2,10,0,2,control,0.20011123913339168,False,-0.03741728370232103
3,10,0,2,control,0.2407807632394118,False,0.0032522404036990915
1,11,0,2,control,0.1339984251807115,False,-0.10353009765500121
2,11,0,2,control,0.5393159316400481,True,0.3017874088043354
