Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_region_mean_value,Cell_Ed_region_variance,Cell_Ed_region_max_value,Cell_Ed_region_min_value,Cell_Ed_region_top_50_value,Cell_Ed_region_top_25_value,Cell_Ed_not_region_mean_value,Cell_Ed_not_region_variance,Cell_Ed_not_region_max_value,Cell_Ed_not_region_min_value,Cell_Ed_not_region_top_50_value,Cell_Ed_not_region_top_25_value,Fp_mito_ratio_mean,Fp_non_mito_ratio_mean,Fp_whole_cell_ratio_mean,Fp_mito_pixels,Fp_non_mito_pixels,Fp_whole_cell_pixels
MCF7,2,A199,0,2,40,1,0.0794377401471138,0.00038010990829207003,0.07944635301828384,0.0003794674121309072,0.08192577213048935,0.00013914363807998598,0.14045926928520203,0.032499462366104126,0.091096856,0.09698466,0.07878579944372177,0.00044120318489149213,0.18500296771526337,0,0.09523543,0.10637232,1.0120544,1.1049696,1.0856782,9584,36576,46160
MCF7,2,A199,0,2,40,2,0.07209152728319168,0.000276539329206571,0.07209324091672897,0.0002764222153928131,0.0740177184343338,0.00011161542352056131,0.12166489660739899,0.024840697646141052,0.082030416,0.0871685,0.07150845974683762,0.00032499886583536863,0.16595135629177094,0,0.08574364,0.09490768,0.9355529,0.9374546,0.9370127,9763,32253,42016
MCF7,2,A199,0,2,40,3,0.054853618144989014,0.0016396266873925924,0.062315795570611954,0.001397666521370411,0.05344536155462265,0.0003494152333587408,0.14282555878162384,0,0.06810844,0.07743823,0.05528485029935837,0.0020339153707027435,0.412992388010025,0,0.08975353,0.11541982,0.49432144,0.73661834,0.67981684,15131,49413,64544
MCF7,2,A199,1,2,40,1,0.1418369710445404,0.0010987607529386878,0.14184589684009552,0.0010975670302286744,0.1452302187681198,0.0002525950549170375,0.1962430328130722,0.07512605935335159,0.15773872,0.16457808,0.14129862189292908,0.0012308978475630283,0.48750606179237366,0,0.1678636,0.1866511,1.2575725,1.2307222,1.2343991,10911,68769,79680
MCF7,2,A199,1,2,40,2,0.11473142355680466,0.0010636069346219301,0.11476880311965942,0.0010596620850265026,0.11359521001577377,0.00030206760857254267,0.18058042228221893,0.010261417366564274,0.12700687,0.13526413,0.11504465341567993,0.0012731063179671764,0.3401004672050476,0,0.1429014,0.16157721,1.6703235,1.4783655,1.5198505,18572,67364,85936
MCF7,2,A199,10,2,40,1,0.07271738350391388,0.0005331504507921636,0.07281873375177383,0.000526513671502471,0.08908053487539291,0.00021163152996450663,0.15076537430286407,0.029603006318211555,0.10061916,0.1076635,0.06820806860923767,0.0005276331212371588,0.19237329065799713,0,0.08618581,0.098342925,0.85518414,0.7121847,0.74256724,9923,36781,46704
MCF7,2,A199,10,2,40,2,0.07668552547693253,0.00034995764144696295,0.07668552547693253,0.00034995764144696295,0.0864281952381134,0.00014831685984972864,0.15053033828735352,0.034942228347063065,0.09566855,0.10202149,0.07464350014925003,0.00036815606290474534,0.16402706503868103,0.0032586492598056793,0.08985215,0.09991621,0.68662053,0.6241751,0.63499546,8248,39352,47600
MCF7,2,A199,10,2,40,3,0.09811081737279892,0.0006616654573008418,0.09811081737279892,0.0006616654573008418,0.12962527573108673,0.0006023772875778377,0.18536685407161713,0.07071613520383835,0.15051743,0.1596533,0.0906183272600174,0.0003835019306279719,0.1752820909023285,0.029610170051455498,0.10661469,0.117514186,1.1269931,0.8125812,0.87297356,18744,78840,97584
MCF7,2,A199,10,2,40,4,0.09466078877449036,0.0007225133012980223,0.09466078877449036,0.0007225133012980223,0.1301368921995163,0.0007495686295442283,0.20069631934165955,0.06541799008846283,0.15293042,0.16643366,0.08871836960315704,0.0004718555719591677,0.1803382933139801,0.02220434509217739,0.10632659,0.11815921,1.2273833,0.8797145,0.92959523,8528,50912,59440
MCF7,2,A199,11,2,40,1,0.05332072451710701,0.00123732746578753,0.06091632694005966,0.0009508898365311325,0.05616439878940582,0.0002488242171239108,0.11636952310800552,0,0.06865,0.076073065,0.052693694829940796,0.0014531129272654653,0.3645797073841095,0,0.082922354,0.1023168,0.60213923,0.6198404,0.6166424,17436,79076,96512
MCF7,2,A199,11,2,40,2,0.05837860330939293,0.0006625227979384363,0.05950882285833359,0.0006080915336497128,0.058188844472169876,0.0001431918062735349,0.10148151963949203,0.020826630294322968,0.06773123,0.07348935,0.05841560661792755,0.0007637879461981356,0.24028325080871582,0,0.07940314,0.09371875,0.53856754,0.55027205,0.5483621,8953,45911,54864
MCF7,2,A199,11,2,40,3,0.05502048134803772,0.0015894044190645218,0.06757041066884995,0.001103936112485826,0.06585073471069336,0.0004536910855676979,0.1646035760641098,0,0.08276864,0.0929741,0.05055582523345947,0.0019893026910722256,0.4138347804546356,0,0.08691689,0.11008116,0.6636276,0.67107934,0.6689041,31521,76463,107984
MCF7,2,A199,11,2,40,4,0.07598117738962173,0.0005266476655378938,0.07613615691661835,0.0005159231368452311,0.08012158423662186,0.00022111873840913177,0.15109705924987793,0.020001394674181938,0.09184697,0.099112645,0.07504022121429443,0.000591302290558815,0.2315213978290558,0,0.093466565,0.1057472,0.8110929,0.71379566,0.7274174,9836,60420,70256
MCF7,2,A199,11,2,40,5,0.07278565317392349,0.0004992269678041339,0.0728595033288002,0.0004943532403558493,0.07256654649972916,0.00016663456335663795,0.12074744701385498,0.017714286223053932,0.08280389,0.08893485,0.07286561280488968,0.0006205814424902201,0.24034127593040466,0,0.09233543,0.10523824,0.8768007,0.795117,0.81695676,9497,26023,35520
MCF7,2,A199,11,2,40,6,0.08955489099025726,0.00450273510068655,0.1107010617852211,0.003225041087716818,0.07737285643815994,0.0007623287383466959,0.1809759885072708,0,0.09933196,0.11270184,0.0924152135848999,0.005337951704859734,0.45369067788124084,0,0.15188311,0.18810573,0.846122,0.8930559,0.8841314,8534,36346,44880
MCF7,2,A199,11,2,40,7,0.0473269559442997,0.002242603339254856,0.07276898622512817,0.0015967917861416936,0.06623946875333786,0.0006435145041905344,0.1832493245601654,0,0.0863021,0.09871096,0.04176226258277893,0.002576900413259864,0.40920042991638184,0,0.0822645,0.114069626,0.6814093,0.73119795,0.72810334,2702,40770,43472
MCF7,2,A199,11,2,40,8,0.05007217451930046,0.0019112256122753024,0.06938686966896057,0.001308270264416933,0.07399309426546097,0.00046106503577902913,0.16014772653579712,0,0.09087614,0.10136752,0.04540589079260826,0.0020607144106179476,0.47056686878204346,0,0.08243563,0.10692778,0.7250859,0.74311244,0.74016994,9214,47234,56448
MCF7,2,A199,12,2,40,1,0.047681815922260284,0.0035137683153152466,0.08911172300577164,0.002874930389225483,0.06286760419607162,0.0012411322677507997,0.18946656584739685,0,0.09140937,0.108694196,0.043899133801460266,0.0040081157349050045,0.38829120993614197,0,0.08780504,0.13869628,0.7985063,0.7985928,0.7985755,3229,12963,16192
MCF7,2,A199,12,2,40,2,0.13929547369480133,0.0040579624474048615,0.15189938247203827,0.0025106158573180437,0.13675837218761444,0.0005487169255502522,0.2378511279821396,0.045529935508966446,0.15533121,0.16651218,0.1397121101617813,0.004632978234440088,0.49323734641075134,0,0.1896166,0.22025438,1.4341743,1.3504758,1.3622812,6434,39182,45616
MCF7,2,A199,12,2,40,3,0.15285776555538177,0.003225762164220214,0.15767696499824524,0.002567583927884698,0.13715499639511108,0.0004277561092749238,0.2059715837240219,0.0551673099398613,0.15374622,0.16363087,0.1559690684080124,0.003721613436937332,0.47931450605392456,0,0.20034204,0.23206669,1.6306639,1.4641281,1.4916682,5784,29192,34976
MCF7,2,A199,12,2,40,4,0.10759896039962769,0.0008057678351178765,0.10769465565681458,0.000796179345343262,0.10948331654071808,0.00026840606005862355,0.17021077871322632,0.03709361329674721,0.12252389,0.1301681,0.10684235394001007,0.001019529765471816,0.30593636631965637,0,0.13150032,0.14797382,1.771815,1.3934189,1.5018246,24505,61031,85536
MCF7,2,A199,12,2,40,5,0.08550740033388138,0.0006773791392333806,0.08565028756856918,0.000666273117531091,0.09475749731063843,0.00031921660411171615,0.15498758852481842,0.04480551928281784,0.10942826,0.116475575,0.08457038551568985,0.0007041149074211717,0.26369959115982056,0,0.10503401,0.11857454,1.0523734,0.79689884,0.82039773,6396,63140,69536
MCF7,2,A199,13,2,40,1,0.09358934313058853,0.0016503753140568733,0.09514927119016647,0.0015294572804123163,0.09389500319957733,0.0006197674665600061,0.17330044507980347,0,0.11356605,0.12518686,0.09350878745317459,0.001921960385516286,0.3057251274585724,0,0.12821785,0.14990701,0.97583103,0.9083778,0.9224472,3117,11827,14944
MCF7,2,A199,13,2,40,2,0.07975040376186371,0.0028656399808824062,0.09260422736406326,0.0021371941547840834,0.077305369079113,0.0006759103271178901,0.16761571168899536,0,0.098054074,0.11033191,0.0804779976606369,0.0035149450413882732,0.4403730034828186,0,0.12721878,0.15716866,0.76079583,0.791776,0.78467125,5981,20099,26080
MCF7,2,A199,13,2,40,3,0.09614440053701401,0.0004750674415845424,0.09614440053701401,0.0004750674415845424,0.11531000584363937,0.0001901517971418798,0.15769660472869873,0.06274960190057755,0.12612554,0.1319155,0.09282003343105316,0.00044972251635044813,0.22768734395503998,0.01138235442340374,0.109473675,0.120592676,1.032038,0.7871693,0.82336473,5021,28947,33968
MCF7,2,A199,13,2,40,4,0.09964732825756073,0.0006585048977285624,0.09964732825756073,0.0006585048977285624,0.12444599717855453,0.00034069386310875416,0.17969174683094025,0.06007150188088417,0.13898085,0.14524846,0.09669457376003265,0.0006144031649455428,0.25158917903900146,0.007843575440347195,0.115941346,0.13070224,0.9799051,0.7051569,0.7343902,5955,50013,55968
MCF7,2,A199,13,2,40,5,0.06951674818992615,0.0017255540005862713,0.07308083027601242,0.0015535562997683883,0.05948125198483467,0.0006083337357267737,0.15646065771579742,0,0.07916145,0.09074402,0.07367432117462158,0.0021293938625603914,0.39005884528160095,0,0.10991713,0.13415052,0.72667086,0.6974536,0.7060121,3712,8960,12672
MCF7,2,A199,14,2,40,1,0.0903395265340805,0.0014735088916495442,0.093409962952137,0.0012367808958515525,0.13797053694725037,0.0002254397259093821,0.18403232097625732,0.08006766438484192,0.14986962,0.15611325,0.08391660451889038,0.0012946233619004488,0.27193763852119446,0,0.11169991,0.1261101,1.8589108,1.2957804,1.362694,5426,40238,45664
MCF7,2,A199,14,2,40,2,0.1398281306028366,0.0055990940891206264,0.16661544144153595,0.002208548132330179,0.1504105031490326,0.00033648687531240284,0.22151492536067963,0.09007720649242401,0.16488996,0.17394708,0.13807988166809082,0.006446933373808861,0.4922276735305786,0,0.19878547,0.2255667,2.2142222,2.173924,2.1796372,5830,35290,41120
MCF7,2,A199,14,2,40,3,0.07795882970094681,0.0009894442046061158,0.08146248757839203,0.0007484956877306104,0.10148165374994278,0.00011754770821426064,0.14871032536029816,0.06400316953659058,0.109942496,0.115196936,0.07426685839891434,0.0010258147958666086,0.44027265906333923,0,0.0982355,0.11141933,0.7740177,0.79526836,0.7923854,6668,42484,49152
MCF7,2,A199,14,2,40,4,0.14815887808799744,0.007906856015324593,0.18515968322753906,0.003030436811968684,0.16391250491142273,0.0006185309612192214,0.27667519450187683,0.07070097327232361,0.18349956,0.1958335,0.14504601061344147,0.009288277477025986,0.4890463054180145,0,0.22169097,0.25611284,2.2353537,1.9043696,1.95898,5887,29793,35680
MCF7,2,A199,14,2,40,5,0.09478724002838135,0.004602340050041676,0.12278574705123901,0.002523974049836397,0.1071292906999588,0.001347293145954609,0.22338655591011047,0,0.13630709,0.1535886,0.08961669355630875,0.005875452421605587,0.4501066505908966,0,0.15479481,0.18812798,1.0392137,0.98693407,1.0023694,5442,12990,18432
MCF7,2,A199,14,2,40,6,0.09766874462366104,0.0022903967183083296,0.10741277784109116,0.0014722663909196854,0.11778703331947327,0.00037474086275324225,0.19746634364128113,0.04460146650671959,0.13284384,0.14203434,0.09465163201093674,0.0025078831240534782,0.4241968095302582,0,0.13142806,0.15486546,0.75041515,0.7029711,0.7091583,10122,67494,77616
MCF7,2,A199,15,2,40,1,0.09684799611568451,0.0018264137906953692,0.10375256091356277,0.001240256940945983,0.10747253149747849,0.0002956415992230177,0.16805391013622284,0.021961504593491554,0.12106243,0.12945244,0.09378120303153992,0.002226285869255662,0.3519802689552307,0,0.12996009,0.15039904,0.93206555,0.9461967,0.9430314,7580,26260,33840
MCF7,2,A199,15,2,40,2,0.11651071906089783,0.0006744220154359937,0.11661616712808609,0.0006627346156165004,0.12876710295677185,0.0002009132003877312,0.18255124986171722,0.07301554083824158,0.14003913,0.14687665,0.11456954479217529,0.0007218568352982402,0.28309017419815063,0,0.13479228,0.14763781,0.78857785,0.7289595,0.73711085,9223,58233,67456
MCF7,2,A199,15,2,40,3,0.12804058194160461,0.0009770009201020002,0.12806269526481628,0.0009743365226313472,0.16657955944538116,0.00018698417989071459,0.21956050395965576,0.11173791438341141,0.17712337,0.18253928,0.12275518476963043,0.0008537177927792072,0.26699256896972656,0,0.14523728,0.16114874,1.3057516,0.97631097,1.0160428,6283,45813,52096
MCF7,2,A199,15,2,40,4,0.12443562597036362,0.0007880631019361317,0.12447567284107208,0.0007833334966562688,0.13364745676517487,0.0002320757193956524,0.18543565273284912,0.08283713459968567,0.14585494,0.15183283,0.12268766015768051,0.0008744057267904282,0.38808751106262207,0,0.14517668,0.16128816,0.73937017,0.7086102,0.7135161,10414,54882,65296
MCF7,2,A199,15,2,40,5,0.12370413541793823,0.0008356382022611797,0.12372668087482452,0.0008330003474839032,0.14550089836120605,0.00035997090162709355,0.21451368927955627,0.060562457889318466,0.15993932,0.16782975,0.11951415985822678,0.0008181916200555861,0.30804890394210815,0,0.14129306,0.15635465,1.2013612,0.8923308,0.911082,3329,51535,54864
MCF7,2,A199,15,2,40,6,0.11261818557977676,0.0006963254418224096,0.11286107450723648,0.0006704141269437969,0.13036492466926575,0.000294604804366827,0.18117475509643555,0.05077267065644264,0.1431785,0.14983366,0.10996528714895248,0.0007022590725682676,0.29829084873199463,0,0.12956454,0.14391677,0.70409244,0.6227448,0.6333238,10333,69123,79456
MCF7,2,A199,15,2,40,7,0.13971349596977234,0.004066706635057926,0.15269936621189117,0.002461759140715003,0.1581878513097763,0.0007863526116125286,0.26526492834091187,0.04778748378157616,0.18044941,0.19330284,0.13598118722438812,0.004646542482078075,0.5029159784317017,0,0.18765432,0.21742591,1.107288,1.0988433,1.1002626,13279,65729,79008
MCF7,2,A199,15,2,40,8,0.16050025820732117,0.0030048214830458164,0.16361849009990692,0.002552999649196863,0.17878717184066772,0.0008511014748364687,0.2817913889884949,0.0664040595293045,0.2008635,0.21322472,0.15693646669387817,0.0033466701861470938,0.4401277005672455,0,0.20099726,0.23004086,1.7197868,1.3116808,1.3782414,8421,43211,51632
MCF7,2,A199,16,2,40,1,0.0879647359251976,0.00042490949272178113,0.08796677738428116,0.00042474025394767523,0.11039844900369644,0.0001060320355463773,0.14658601582050323,0.06567429006099701,0.118234575,0.12274,0.08283638954162598,0.0003564571379683912,0.1629657745361328,0,0.09781784,0.1072845,0.84213704,0.70146465,0.72763896,8041,35175,43216
MCF7,2,A199,16,2,40,2,0.08115360885858536,0.00036532789818011224,0.0811597928404808,0.00036485405871644616,0.10070887953042984,0.0001863837387645617,0.14788499474525452,0.056164368987083435,0.111472555,0.11726223,0.07741522043943405,0.000312456046231091,0.16682687401771545,0,0.09106947,0.10023628,0.6826136,0.60328525,0.6160166,6322,33070,39392
MCF7,2,A199,16,2,40,3,0.08380778878927231,0.0003055813431274146,0.08380778878927231,0.0003055813431274146,0.11597856879234314,0.0002069805923383683,0.1537621021270752,0.07474112510681152,0.1282082,0.13438314,0.07919061183929443,0.00014987573376856744,0.1615774929523468,0.034109797328710556,0.08877818,0.09531394,0.76181906,0.5520705,0.5783956,13587,94669,108256
MCF7,2,A199,16,2,40,4,0.0923454761505127,0.00035858756746165454,0.0923454761505127,0.00035858756746165454,0.11850066483020782,0.0001430509437341243,0.15823867917060852,0.07493797689676285,0.12796605,0.13357368,0.08589493483304977,0.0002014202473219484,0.141700878739357,0.03947599232196808,0.097573996,0.10437283,0.8373381,0.621762,0.6644103,12386,50222,62608
MCF7,2,A199,16,2,40,5,0.07932059466838837,0.0006448450731113553,0.07962952554225922,0.0006227571866475046,0.08041725307703018,0.00023809215053915977,0.13726939260959625,0.018028901889920235,0.09264587,0.10009974,0.07903985679149628,0.0007485865498892963,0.21971763670444489,0,0.10041024,0.113600776,0.6330921,0.62981606,0.6304838,7618,29758,37376
MCF7,2,A199,16,2,40,6,0.08117251843214035,0.0007357894792221487,0.08122043311595917,0.0007323321187868714,0.09571509063243866,0.0003485048364382237,0.16031450033187866,0.03466732054948807,0.11071249,0.119832285,0.07874289155006409,0.0007592570618726313,0.23747524619102478,0,0.10054326,0.11503625,0.6625164,0.589122,0.5996286,8493,50835,59328
MCF7,2,A199,16,2,40,7,0.09312006086111069,0.000797684770077467,0.0931745246052742,0.000793076993431896,0.10983763635158539,0.0004685550811700523,0.1809074431657791,0.008756455965340137,0.12679851,0.13639885,0.08922687917947769,0.0007940907380543649,0.25365200638771057,0,0.11126922,0.12609261,0.9622859,0.7467877,0.78749335,9372,40244,49616
MCF7,2,A199,17,2,40,1,0.03041457012295723,0.0013872543349862099,0.052713844925165176,0.0012288773432374,0.045984476804733276,0.0005930743063800037,0.13644365966320038,0,0.06565161,0.07752534,0.026076093316078186,0.0015221762005239725,0.35004350543022156,0,0.052156277,0.08309858,0.752944,0.7208456,0.7278405,3553,12751,16304
MCF7,2,A199,17,2,40,2,0.08980550616979599,0.0037022288888692856,0.1089494526386261,0.0024057147093117237,0.10059090703725815,0.0006565447547473013,0.20028966665267944,0,0.12082606,0.1328837,0.08666250109672546,0.004546000622212887,0.4311462640762329,0,0.14161052,0.17433187,1.6793327,1.326835,1.4063774,10492,36004,46496
MCF7,2,A199,17,2,40,3,0.07461091130971909,0.0017085481667891145,0.07897458970546722,0.0014638539869338274,0.06490333378314972,0.00041861794306896627,0.14730364084243774,0,0.08112089,0.09113951,0.0779377892613411,0.002107255859300494,0.36012640595436096,0,0.11360927,0.13732968,0.5345021,0.5846596,0.5718575,12329,35975,48304
MCF7,2,A199,17,2,40,4,0.11908542364835739,0.00111297273542732,0.1190982237458229,0.0011115686502307653,0.12373264878988266,0.0005773321609012783,0.1844782531261444,0.04167276993393898,0.1436372,0.15207162,0.11832595616579056,0.0011964025907218456,0.38839206099510193,0,0.14494024,0.16399768,1.7115142,1.3543487,1.4045188,9154,56014,65168
MCF7,2,A199,17,2,40,5,0.07487377524375916,0.0008744626538828015,0.07515566051006317,0.0008565694442950189,0.08132419735193253,0.00033045001327991486,0.14139968156814575,0.014485971070826054,0.09544269,0.1030513,0.07366731762886047,0.0009669740684330463,0.27045273780822754,0,0.09689637,0.11501409,0.5705145,0.5185993,0.5259849,8117,48939,57056
