Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
MCF7,4,A199,0,2,40,1,1.5392502923509068
MCF7,4,A199,0,2,40,2,1.38117483797533
MCF7,4,A199,0,2,40,3,0.7776420420618642
MCF7,4,A199,0,2,40,4,1.9592100191123898
MCF7,4,A199,0,2,40,5,1.8000616588280365
MCF7,4,A199,1,2,40,1,-1.6523102105616643
MCF7,4,A199,1,2,40,2,-0.5625838964827733
MCF7,4,A199,1,2,40,3,-0.7692851326948422
MCF7,4,A199,1,2,40,4,1.3333994970174183
MCF7,4,A199,1,2,40,5,-0.15582024890704346
MCF7,4,A199,1,2,40,6,0.05574497053097263
MCF7,4,A199,1,2,40,7,0.28748249929894654
MCF7,4,A199,1,2,40,8,-0.45815490841458684
MCF7,4,A199,1,2,40,9,-1.3064281189660858
MCF7,4,A199,10,2,40,1,-0.05922866482362918
MCF7,4,A199,10,2,40,2,2.146744136670404
MCF7,4,A199,10,2,40,3,-0.5167283897064795
MCF7,4,A199,10,2,40,4,0.30133582604758624
MCF7,4,A199,10,2,40,5,-0.9446654392480379
MCF7,4,A199,11,2,40,1,-0.6432493261414778
MCF7,4,A199,11,2,40,2,-0.029352001558144367
MCF7,4,A199,11,2,40,3,-0.6301260359524479
MCF7,4,A199,12,2,40,1,-1.3348583692457878
MCF7,4,A199,12,2,40,2,-1.0601101540613143
MCF7,4,A199,12,2,40,3,-1.1063430708098825
MCF7,4,A199,12,2,40,4,-0.310357923868249
MCF7,4,A199,12,2,40,5,-1.182430014031391
MCF7,4,A199,13,2,40,1,0.9426182055582359
MCF7,4,A199,13,2,40,2,2.0523096828008147
MCF7,4,A199,13,2,40,3,1.4938869406677275
MCF7,4,A199,13,2,40,4,0.5656668234760953
MCF7,4,A199,13,2,40,5,0.868157598794302
MCF7,4,A199,13,2,40,6,1.2880146794102745
MCF7,4,A199,14,2,40,1,2.6250412195601496
MCF7,4,A199,14,2,40,2,0.8595021479616601
MCF7,4,A199,14,2,40,3,-1.1992776420285327
MCF7,4,A199,14,2,40,4,0.055946555071489885
MCF7,4,A199,14,2,40,5,1.2079686392303708
MCF7,4,A199,14,2,40,6,0.12497257532150867
MCF7,4,A199,2,2,40,1,1.1452346715843302
MCF7,4,A199,2,2,40,2,0.48489094188134574
MCF7,4,A199,2,2,40,3,3.2591836424701635
MCF7,4,A199,2,2,40,4,2.149330195074023
MCF7,4,A199,3,2,40,1,1.0360148795764481
MCF7,4,A199,3,2,40,2,0.901133160901434
MCF7,4,A199,3,2,40,3,0.32448194642589784
MCF7,4,A199,4,2,40,1,2.0993099087587885
MCF7,4,A199,4,2,40,2,-0.03933619308428414
MCF7,4,A199,4,2,40,3,0.2694343407178118
MCF7,4,A199,4,2,40,4,-0.044519042853507135
MCF7,4,A199,5,2,40,1,0.9735115730406618
MCF7,4,A199,5,2,40,2,1.0141044158395305
MCF7,4,A199,5,2,40,3,1.4453544380281027
MCF7,4,A199,5,2,40,4,0.3441404395940135
MCF7,4,A199,5,2,40,5,0.03571043340392387
MCF7,4,A199,6,2,40,1,-1.0480515737009999
MCF7,4,A199,6,2,40,2,0.35575662677586406
MCF7,4,A199,6,2,40,3,-0.6691124470596009
MCF7,4,A199,6,2,40,4,0.502466459845702
MCF7,4,A199,6,2,40,5,-0.7129368871391786
MCF7,4,A199,6,2,40,6,-0.4540274015254417
MCF7,4,A199,7,2,40,1,0.12528519723236053
MCF7,4,A199,7,2,40,2,0.9426943120159338
MCF7,4,A199,7,2,40,3,0.7121163334316561
MCF7,4,A199,7,2,40,4,-0.2582009975393391
MCF7,4,A199,7,2,40,5,0.671717074238008
MCF7,4,A199,7,2,40,6,-0.44757123217550554
