Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
A549,2.0,AFA,0,1,25.0,1,-1.4816693847347813
A549,2.0,AFA,0,1,25.0,2,-0.41110547798774344
A549,2.0,AFA,0,1,25.0,3,-0.2144044682202097
A549,2.0,AFA,1,1,25.0,1,-0.6478909535890138
A549,2.0,AFA,1,1,25.0,2,-0.1670172218396767
A549,2.0,AFA,1,1,25.0,3,0.9305380567820929
A549,2.0,AFA,1,1,25.0,4,-0.21463332718377073
A549,2.0,AFA,1,1,25.0,5,-0.5286176536809605
A549,2.0,AFA,10,1,25.0,1,0.13150753030717066
A549,2.0,AFA,10,1,25.0,2,-1.8886443755159403
A549,2.0,AFA,10,1,25.0,3,-2.6965887164427955
A549,2.0,AFA,10,1,25.0,4,-1.2121726978766172
A549,2.0,AFA,11,1,25.0,1,7.045411622482805
A549,2.0,AFA,12,1,25.0,1,1.1207866968499713
A549,2.0,AFA,12,1,25.0,2,2.2007877664301647
A549,2.0,AFA,12,1,25.0,3,-0.825909080029597
A549,2.0,AFA,12,1,25.0,4,0.23873736943658558
A549,2.0,AFA,13,1,25.0,1,1.641057954274165
A549,2.0,AFA,13,1,25.0,2,-0.0360594004031098
A549,2.0,AFA,13,1,25.0,3,1.7988689240368358
A549,2.0,AFA,14,1,25.0,1,-0.23996256542711195
A549,2.0,AFA,14,1,25.0,2,-0.028944792781909326
A549,2.0,AFA,2,1,25.0,1,-0.002699392147930329
A549,2.0,AFA,3,1,25.0,1,-0.15007330336759772
A549,2.0,AFA,3,1,25.0,2,0.7948185158306583
A549,2.0,AFA,3,1,25.0,3,-0.7673269976489345
A549,2.0,AFA,3,1,25.0,4,-0.007090578102746328
A549,2.0,AFA,4,1,25.0,1,-1.2129704348353183
A549,2.0,AFA,4,1,25.0,2,-0.7819859591673569
A549,2.0,AFA,5,1,25.0,1,-1.6662628471594094
A549,2.0,AFA,5,1,25.0,2,-1.8200213785601544
A549,2.0,AFA,5,1,25.0,3,-1.099826922468757
A549,2.0,AFA,5,1,25.0,4,-0.29584665491511897
A549,2.0,AFA,6,1,25.0,1,0.9599649602777772
A549,2.0,AFA,6,1,25.0,2,3.1698042265333957
A549,2.0,AFA,6,1,25.0,3,0.5613758341701729
A549,2.0,AFA,7,1,25.0,1,1.4798526064868573
A549,2.0,AFA,7,1,25.0,2,-0.9541160530509702
A549,2.0,AFA,8,1,25.0,1,1.872751862838482
A549,2.0,AFA,8,1,25.0,2,0.32683353968000284
A549,2.0,AFA,8,1,25.0,3,0.13150753030717066
A549,2.0,AFA,8,1,25.0,4,-1.3966635370358391
A549,2.0,AFA,8,1,25.0,5,0.13788213034050434
A549,2.0,AFA,8,1,25.0,6,-0.9968320336974722
A549,2.0,AFA,9,1,25.0,1,1.9834429516129708
A549,2.0,AFA,9,1,25.0,2,2.930454804003841
A549,2.0,AFA,9,1,25.0,3,-1.530194750373788
A549,2.0,control,0,1,0.0,1,-0.7949168538767902
A549,2.0,control,0,1,0.0,2,0.6057047256074898
A549,2.0,control,0,1,0.0,3,-1.8584963846509395
A549,2.0,control,1,1,0.0,1,1.8816119741420858
A549,2.0,control,1,1,0.0,2,1.3933500938198617
A549,2.0,control,1,1,0.0,3,-0.18375444070815722
A549,2.0,control,2,1,0.0,1,0.0
A549,2.0,control,2,1,0.0,2,-0.8866698634165473
A549,2.0,control,2,1,0.0,3,-0.27424345855948024
A549,2.0,control,2,1,0.0,4,0.7178572423350097
A549,2.0,control,2,1,0.0,5,-0.086946009316961
A549,2.0,control,3,1,0.0,1,-0.6706751348502702
A549,2.0,control,3,1,0.0,2,0.22990050729753414
A549,2.0,control,3,1,0.0,3,-0.8118956460956963
A549,2.0,control,3,1,0.0,4,-0.6275813552797943
A549,2.0,control,3,1,0.0,5,0.021105209476254463
A549,2.0,control,3,1,0.0,6,-1.430060598647025
A549,2.0,control,3,1,0.0,7,-0.6015975077470274
A549,2.0,control,4,1,0.0,1,1.6381267431995936
A549,2.0,control,5,1,0.0,1,-0.6690455137224323
A549,2.0,control,5,1,0.0,2,-0.7646173801740029
A549,2.0,control,5,1,0.0,3,0.0
A549,2.0,control,6,1,0.0,1,-0.7786420754219823
A549,2.0,control,7,1,0.0,1,0.7648401712132503
A549,2.0,control,7,1,0.0,2,1.0113630508117784
A549,2.0,control,7,1,0.0,3,0.658730257660152
A549,2.0,control,7,1,0.0,4,0.0
A549,2.0,control,7,1,0.0,5,0.0
A549,2.0,control,8,1,0.0,1,2.882993814179494
A549,2.0,control,8,1,0.0,2,-0.8770815810138015
A549,2.0,control,9,1,0.0,1,-0.48935998626161376
A549,2.0,control,9,1,0.0,2,0.0
