Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
A549,4.0,DAC,0,3,22.0,1,-1.384279179327483
A549,4.0,DAC,0,3,22.0,2,-2.014373496171514
A549,4.0,DAC,1,3,22.0,1,-0.12873665505086987
A549,4.0,DAC,1,3,22.0,2,-0.534740902394923
A549,4.0,DAC,10,3,22.0,1,-1.0275216574429018
A549,4.0,DAC,10,3,22.0,2,-0.2322049730987612
A549,4.0,DAC,10,3,22.0,3,2.0454455673283913
A549,4.0,DAC,11,3,22.0,1,-0.2024104421885942
A549,4.0,DAC,11,3,22.0,2,-0.8407227937995699
A549,4.0,DAC,11,3,22.0,3,0.915187069350044
A549,4.0,DAC,12,3,22.0,1,-1.590175960211844
A549,4.0,DAC,12,3,22.0,2,1.087554195731632
A549,4.0,DAC,13,3,22.0,1,2.48313288611724
A549,4.0,DAC,13,3,22.0,2,-1.4298782380125667
A549,4.0,DAC,13,3,22.0,3,2.3873412424070106
A549,4.0,DAC,13,3,22.0,4,1.3271052321100385
A549,4.0,DAC,14,3,22.0,1,-0.5422060638253879
A549,4.0,DAC,14,3,22.0,2,-1.0570530005449728
A549,4.0,DAC,15,3,22.0,1,1.6006919555884265
A549,4.0,DAC,15,3,22.0,2,-1.9354950747707904
A549,4.0,DAC,15,3,22.0,3,-0.12873665505086987
A549,4.0,DAC,15,3,22.0,4,0.9190398918381958
A549,4.0,DAC,15,3,22.0,5,-1.218599638802544
A549,4.0,DAC,2,3,22.0,1,-1.0759565693010729
A549,4.0,DAC,3,3,22.0,1,-0.9095868192034878
A549,4.0,DAC,3,3,22.0,2,-1.6210072585537656
A549,4.0,DAC,3,3,22.0,3,0.3549123548998492
A549,4.0,DAC,3,3,22.0,4,-1.4836753517138088
A549,4.0,DAC,3,3,22.0,5,-1.5030758713622148
A549,4.0,DAC,4,3,22.0,1,1.2610129430425903
A549,4.0,DAC,4,3,22.0,2,3.0762372372562647
A549,4.0,DAC,5,3,22.0,1,1.9798426005211298
A549,4.0,DAC,5,3,22.0,2,-1.5486896424092418
A549,4.0,DAC,5,3,22.0,3,-0.31547149267463387
A549,4.0,DAC,6,3,22.0,1,-0.722514959510765
A549,4.0,DAC,6,3,22.0,2,0.33505139281284996
A549,4.0,DAC,6,3,22.0,3,-0.2930120731807188
A549,4.0,DAC,6,3,22.0,4,0.04708142837690134
A549,4.0,DAC,7,3,22.0,1,0.02287505212779776
A549,4.0,DAC,7,3,22.0,2,-0.9460880075506023
A549,4.0,DAC,8,3,22.0,1,-1.0942683741656782
A549,4.0,DAC,9,3,22.0,1,0.5310305886746732
A549,2.0,control,0,1,0.0,1,-0.7949168538767902
A549,2.0,control,0,1,0.0,2,0.6057047256074898
A549,2.0,control,0,1,0.0,3,-1.8584963846509395
A549,2.0,control,1,1,0.0,1,1.8816119741420858
A549,2.0,control,1,1,0.0,2,1.3933500938198617
A549,2.0,control,1,1,0.0,3,-0.18375444070815722
A549,2.0,control,2,1,0.0,1,0.0
A549,2.0,control,2,1,0.0,2,-0.8866698634165473
A549,2.0,control,2,1,0.0,3,-0.27424345855948024
A549,2.0,control,2,1,0.0,4,0.7178572423350097
A549,2.0,control,2,1,0.0,5,-0.086946009316961
A549,2.0,control,3,1,0.0,1,-0.6706751348502702
A549,2.0,control,3,1,0.0,2,0.22990050729753414
A549,2.0,control,3,1,0.0,3,-0.8118956460956963
A549,2.0,control,3,1,0.0,4,-0.6275813552797943
A549,2.0,control,3,1,0.0,5,0.021105209476254463
A549,2.0,control,3,1,0.0,6,-1.430060598647025
A549,2.0,control,3,1,0.0,7,-0.6015975077470274
A549,2.0,control,4,1,0.0,1,1.6381267431995936
A549,2.0,control,5,1,0.0,1,-0.6690455137224323
A549,2.0,control,5,1,0.0,2,-0.7646173801740029
A549,2.0,control,5,1,0.0,3,0.0
A549,2.0,control,6,1,0.0,1,-0.7786420754219823
A549,2.0,control,7,1,0.0,1,0.7648401712132503
A549,2.0,control,7,1,0.0,2,1.0113630508117784
A549,2.0,control,7,1,0.0,3,0.658730257660152
A549,2.0,control,7,1,0.0,4,0.0
A549,2.0,control,7,1,0.0,5,0.0
A549,2.0,control,8,1,0.0,1,2.882993814179494
A549,2.0,control,8,1,0.0,2,-0.8770815810138015
A549,2.0,control,9,1,0.0,1,-0.48935998626161376
A549,2.0,control,9,1,0.0,2,0.0
