Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
A549,6.0,GEF,1,3,81.0,1,-1.402697966675848
A549,6.0,GEF,1,3,81.0,2,-0.5334580766477051
A549,6.0,GEF,1,3,81.0,3,-0.5334580766477051
A549,6.0,GEF,10,3,81.0,1,-2.2909626312909137
A549,6.0,GEF,10,3,81.0,2,-0.21980771936944307
A549,6.0,GEF,11,3,81.0,1,-0.6074257826857332
A549,6.0,GEF,12,3,81.0,1,-1.0486576908983174
A549,6.0,GEF,12,3,81.0,2,-1.4180585807150945
A549,6.0,GEF,13,3,81.0,1,-1.5831441777393613
A549,6.0,GEF,13,3,81.0,2,-2.1590752065404515
A549,6.0,GEF,13,3,81.0,3,-2.023623394249565
A549,6.0,GEF,14,3,81.0,1,-1.7268156595040751
A549,6.0,GEF,14,3,81.0,2,-1.5478236110296693
A549,6.0,GEF,14,3,81.0,3,2.2050045836508385
A549,6.0,GEF,14,3,81.0,4,4.4716230322297275
A549,6.0,GEF,15,3,81.0,1,2.549418433865029
A549,6.0,GEF,2,3,81.0,1,-1.0235073622415707
A549,6.0,GEF,2,3,81.0,2,-0.4387338406443889
A549,6.0,GEF,3,3,81.0,1,-0.13783770398555734
A549,6.0,GEF,3,3,81.0,2,-1.7310762505423825
A549,6.0,GEF,3,3,81.0,3,1.3091445259569938
A549,6.0,GEF,5,3,81.0,1,-1.0433390812387828
A549,6.0,GEF,5,3,81.0,2,-0.871114900892371
A549,6.0,GEF,5,3,81.0,3,-1.6328539793318495
A549,6.0,GEF,6,3,81.0,1,-0.95705307641668
A549,6.0,GEF,8,3,81.0,1,-1.4661509306643152
A549,6.0,GEF,8,3,81.0,2,1.0578515716750858
A549,6.0,GEF,9,3,81.0,1,-0.13319259356164598
A549,2.0,control,0,1,0.0,1,-0.7949168538767902
A549,2.0,control,0,1,0.0,2,0.6057047256074898
A549,2.0,control,0,1,0.0,3,-1.8584963846509395
A549,2.0,control,1,1,0.0,1,1.8816119741420858
A549,2.0,control,1,1,0.0,2,1.3933500938198617
A549,2.0,control,1,1,0.0,3,-0.18375444070815722
A549,2.0,control,2,1,0.0,1,0.0
A549,2.0,control,2,1,0.0,2,-0.8866698634165473
A549,2.0,control,2,1,0.0,3,-0.27424345855948024
A549,2.0,control,2,1,0.0,4,0.7178572423350097
A549,2.0,control,2,1,0.0,5,-0.086946009316961
A549,2.0,control,3,1,0.0,1,-0.6706751348502702
A549,2.0,control,3,1,0.0,2,0.22990050729753414
A549,2.0,control,3,1,0.0,3,-0.8118956460956963
A549,2.0,control,3,1,0.0,4,-0.6275813552797943
A549,2.0,control,3,1,0.0,5,0.021105209476254463
A549,2.0,control,3,1,0.0,6,-1.430060598647025
A549,2.0,control,3,1,0.0,7,-0.6015975077470274
A549,2.0,control,4,1,0.0,1,1.6381267431995936
A549,2.0,control,5,1,0.0,1,-0.6690455137224323
A549,2.0,control,5,1,0.0,2,-0.7646173801740029
A549,2.0,control,5,1,0.0,3,0.0
A549,2.0,control,6,1,0.0,1,-0.7786420754219823
A549,2.0,control,7,1,0.0,1,0.7648401712132503
A549,2.0,control,7,1,0.0,2,1.0113630508117784
A549,2.0,control,7,1,0.0,3,0.658730257660152
A549,2.0,control,7,1,0.0,4,0.0
A549,2.0,control,7,1,0.0,5,0.0
A549,2.0,control,8,1,0.0,1,2.882993814179494
A549,2.0,control,8,1,0.0,2,-0.8770815810138015
A549,2.0,control,9,1,0.0,1,-0.48935998626161376
A549,2.0,control,9,1,0.0,2,0.0
