ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,25,6,AFA,0.8540588717573107,True,0.5958503689977097
2,0,25,6,AFA,0.8685233672062278,False,0.6103148644466267
3,0,25,6,AFA,0.7540784901807486,False,0.4958699874211476
4,0,25,6,AFA,0.7896257549495644,False,0.5314172521899634
1,1,25,6,AFA,0.6431678377396356,False,0.3849593349800346
1,10,25,6,AFA,0.6076810858909989,False,0.3494725831313979
2,10,25,6,AFA,0.4316562365215869,True,0.1734477337619859
3,10,25,6,AFA,0.4426447433846298,False,0.18443624062502878
1,11,25,6,AFA,0.840752951526347,False,0.5825444487667459
2,11,25,6,AFA,0.7323474184832783,True,0.47413891572367733
3,11,25,6,AFA,0.7464348112018127,False,0.48822630844221165
1,12,25,6,AFA,0.774272601976177,False,0.5160640992165759
2,12,25,6,AFA,0.7291850293504624,True,0.47097652659086137
3,12,25,6,AFA,0.8361176499185408,False,0.5779091471589397
4,12,25,6,AFA,0.8340148498788299,False,0.575806347119229
1,13,25,6,AFA,0.6970916029536995,False,0.43888310019409854
1,14,25,6,AFA,0.7178280324870117,False,0.45961952972741066
2,14,25,6,AFA,0.7105652097205216,True,0.4523567069609206
1,15,25,6,AFA,0.8102382480486477,False,0.5520297452890468
2,15,25,6,AFA,0.7700217344488969,False,0.5118132316892958
3,15,25,6,AFA,0.5729473347756353,False,0.3147388320160343
1,2,25,6,AFA,0.8172387675272482,True,0.5590302647676473
2,2,25,6,AFA,0.7008233974301616,False,0.44261489467056064
3,2,25,6,AFA,0.5437006650900891,True,0.2854921623304881
1,4,25,6,AFA,0.8217750039719227,False,0.5635665012123217
2,4,25,6,AFA,0.7819527949802187,False,0.5237442922206177
3,4,25,6,AFA,0.734572616700554,False,0.47636411394095296
4,4,25,6,AFA,0.7773628080807438,True,0.5191543053211427
5,4,25,6,AFA,0.8055415984809594,False,0.5473330957213585
1,5,25,6,AFA,0.7883473196496578,False,0.5301388168900567
2,5,25,6,AFA,0.8583684563230328,False,0.6001599535634319
3,5,25,6,AFA,0.8190284284621725,False,0.5608199257025714
4,5,25,6,AFA,0.8215619297755243,False,0.5633534270159233
5,5,25,6,AFA,0.8337932877111385,True,0.5755847849515374
1,6,25,6,AFA,0.753239536530923,False,0.495031033771322
2,6,25,6,AFA,0.7505664587457092,False,0.49235795598610815
1,7,25,6,AFA,0.7366802921399236,True,0.4784717893803226
2,7,25,6,AFA,0.5215023742537465,True,0.26329387149414546
3,7,25,6,AFA,0.7605694158834805,False,0.5023609131238795
1,8,25,6,AFA,0.7274174342451016,False,0.46920893148550064
2,8,25,6,AFA,0.7839673421590205,False,0.5257588393994195
1,9,25,6,AFA,0.8143031692367767,False,0.5560946664771758
2,9,25,6,AFA,0.7067619943572083,False,0.4485534915976073
3,9,25,6,AFA,0.800626930156227,True,0.5424184273966259
4,9,25,6,AFA,0.58028075068621,False,0.322072247926609
1,0,0,2,control,0.182452604648473,False,-0.07575589811112801
2,0,0,2,control,0.2767367284336356,False,0.018528225674034615
3,0,0,2,control,0.24681680549882018,False,-0.01139169726078082
4,0,0,2,control,0.2736870070084066,True,0.015478504248805591
1,1,0,2,control,0.2448285156669719,False,-0.013379987092629109
2,1,0,2,control,0.19194475716569462,False,-0.06626374559390638
3,1,0,2,control,0.2461459950396701,True,-0.012062507719930893
1,2,0,2,control,0.26312326670221836,False,0.004914763942617362
2,2,0,2,control,0.21980271592559797,True,-0.03840578683400303
3,2,0,2,control,0.22296988639032947,False,-0.03523861636927153
4,2,0,2,control,0.2632154699317482,False,0.005006967172147214
5,2,0,2,control,0.2465876269485226,False,-0.011620875811078402
1,3,0,2,control,0.24938213798351866,False,-0.00882636477608234
2,3,0,2,control,0.3679277177185799,True,0.1097192149589789
3,3,0,2,control,0.2731063059284221,False,0.014897803168821111
4,3,0,2,control,0.2621050306884861,False,0.0038965279288851185
5,3,0,2,control,0.28092490695405037,False,0.02271640419444937
6,3,0,2,control,0.33265943496954875,True,0.07445093220994775
7,3,0,2,control,0.23982943384684546,False,-0.018379068912755536
1,4,0,2,control,0.3359997590449762,False,0.0777912562853752
2,4,0,2,control,0.15158892904978405,True,-0.10661957370981695
1,5,0,2,control,0.3942562454057251,False,0.13604774264612413
2,5,0,2,control,0.217332125428103,False,-0.04087637733149799
3,5,0,2,control,0.22495393213970014,False,-0.033254570619900864
1,6,0,2,control,0.050549242221202294,True,-0.2076592605383987
2,6,0,2,control,0.017307916187243744,True,-0.24090058657235724
1,7,0,2,control,0.2728465478543588,False,0.014638045094757801
2,7,0,2,control,0.35592004738970956,True,0.09771154463010856
3,7,0,2,control,0.2516114778211396,False,-0.006597024938461427
4,7,0,2,control,0.34875124703975363,False,0.09054274428015263
5,7,0,2,control,0.18853285003154022,False,-0.06967565272806078
1,8,0,2,control,0.24323681894617452,False,-0.014971683813426478
2,8,0,2,control,0.3546454102090647,False,0.0964369074494637
3,8,0,2,control,0.29040018404759704,False,0.03219168128799604
4,8,0,2,control,0.3167751101797255,True,0.058566607420124484
5,8,0,2,control,0.29057316651968346,True,0.03236466376008246
1,9,0,2,control,0.3795386379238451,False,0.12133013516424412
2,9,0,2,control,0.24285710997596963,False,-0.015351392783631373
