ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,22,2,DAC,0.8081488128856394,False,0.5447349695607723
2,0,22,2,DAC,0.650831004029933,True,0.3874171607050658
3,0,22,2,DAC,0.7899513678580099,True,0.5265375245331427
4,0,22,2,DAC,0.790575112720066,False,0.5271612693951988
1,1,22,2,DAC,0.8665808579064815,False,0.6031670145816144
2,1,22,2,DAC,0.8003846224088498,False,0.5369707790839826
3,1,22,2,DAC,0.8612311021264158,False,0.5978172588015487
1,10,22,2,DAC,0.8325465266565519,False,0.5691326833316848
2,10,22,2,DAC,0.8357988227598174,False,0.5723849794349503
3,10,22,2,DAC,0.8382631065694612,False,0.5748492632445941
4,10,22,2,DAC,0.8264418134959792,False,0.5630279701711121
5,10,22,2,DAC,0.8569987476920445,True,0.5935849043671774
6,10,22,2,DAC,0.817308733946423,False,0.5538948906215558
7,10,22,2,DAC,0.8434739106273212,False,0.5800600673024541
8,10,22,2,DAC,0.7922222878713697,True,0.5288084445465026
1,11,22,2,DAC,0.7403199447460475,False,0.4769061014211803
2,11,22,2,DAC,0.8498452907179276,False,0.5864314473930604
3,11,22,2,DAC,0.7862407858247549,False,0.5228269424998877
4,11,22,2,DAC,0.8343598690982352,False,0.5709460257733681
1,12,22,2,DAC,0.8617607214427048,False,0.5983468781178376
2,12,22,2,DAC,0.8788459726846923,True,0.6154321293598252
3,12,22,2,DAC,0.8732210032589383,True,0.6098071599340711
4,12,22,2,DAC,0.8903730795960503,False,0.6269592362711831
5,12,22,2,DAC,0.9091844767095802,True,0.6457706333847131
1,13,22,2,DAC,0.8436180352032373,True,0.5802041918783701
2,13,22,2,DAC,0.8361822113892898,False,0.5727683680644227
3,13,22,2,DAC,0.8432338146163254,False,0.5798199712914582
4,13,22,2,DAC,0.8382497498034234,False,0.5748359064785562
1,14,22,2,DAC,0.8884806201323965,False,0.6250667768075293
2,14,22,2,DAC,0.8480969846793887,True,0.5846831413545215
3,14,22,2,DAC,0.821251816232096,False,0.5578379729072288
4,14,22,2,DAC,0.8120033862010347,False,0.5485895428761676
1,15,22,2,DAC,0.6882704386475249,True,0.42485659532265774
2,15,22,2,DAC,0.7887304564460027,False,0.5253166131211355
3,15,22,2,DAC,0.8784789226005858,False,0.6150650792757186
4,15,22,2,DAC,0.8401247461938613,False,0.5767109028689942
1,16,22,2,DAC,0.7946962781809337,False,0.5312824348560665
2,16,22,2,DAC,0.9102757789938007,True,0.6468619356689336
3,16,22,2,DAC,0.8377398860212623,False,0.5743260426963951
4,16,22,2,DAC,0.8649519713874032,False,0.601538128062536
5,16,22,2,DAC,0.8785493957837248,False,0.6151355524588576
1,2,22,2,DAC,0.858835048241709,False,0.5954212049168418
2,2,22,2,DAC,0.7747451960099061,False,0.5113313526850389
3,2,22,2,DAC,0.8569866318793575,True,0.5935727885544904
1,3,22,2,DAC,0.863881710134088,False,0.6004678668092208
2,3,22,2,DAC,0.8382315612748188,False,0.5748177179499516
3,3,22,2,DAC,0.8096647289202832,False,0.546250885595416
1,4,22,2,DAC,0.8768843316174528,False,0.6134704882925857
2,4,22,2,DAC,0.5654978524859627,True,0.30208400916109557
3,4,22,2,DAC,0.8443216669587809,False,0.5809078236339137
4,4,22,2,DAC,0.8733063741447851,False,0.6098925308199179
5,4,22,2,DAC,0.8719114450340374,True,0.6084976017091702
6,4,22,2,DAC,0.6520542354597637,True,0.38864039213489654
7,4,22,2,DAC,0.8662812625694427,False,0.6028674192445755
8,4,22,2,DAC,0.7782702172514165,False,0.5148563739265494
1,5,22,2,DAC,0.8408898407149035,False,0.5774759973900363
2,5,22,2,DAC,0.8582811222904331,False,0.5948672789655659
3,5,22,2,DAC,0.757824596877467,False,0.4944107535525998
4,5,22,2,DAC,0.5844474434007896,True,0.3210336000759224
5,5,22,2,DAC,0.8692848047528059,False,0.6058709614279387
1,6,22,2,DAC,0.7833791898940982,True,0.519965346569231
2,6,22,2,DAC,0.8776265971365456,False,0.6142127538116784
3,6,22,2,DAC,0.8732781167614758,True,0.6098642734366087
