ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,81,6,GEF,0.6985952702319137,True,0.41936397070821313
2,0,81,6,GEF,0.9560128866380774,True,0.6767815871143767
1,1,81,6,GEF,0.7091640335562225,True,0.4299327340325219
2,1,81,6,GEF,0.8231129473899236,False,0.543881647866223
3,1,81,6,GEF,0.7690121398819064,False,0.48978084035820585
4,1,81,6,GEF,0.8954353306574998,False,0.6162040311337993
1,10,81,6,GEF,0.8893993919384293,True,0.6101680924147288
2,10,81,6,GEF,0.47381696225176695,False,0.19458566272806638
3,10,81,6,GEF,0.8130088560718269,False,0.5337775565481264
4,10,81,6,GEF,0.8609235042852177,True,0.5816922047615172
1,11,81,6,GEF,0.8654455600784899,True,0.5862142605547893
2,11,81,6,GEF,0.8432626261323743,False,0.5640313266086738
3,11,81,6,GEF,0.8785057551148112,True,0.5992744555911107
1,12,81,6,GEF,0.7153664455522752,False,0.43613514602857467
2,12,81,6,GEF,0.720468135931619,False,0.4412368364079184
3,12,81,6,GEF,0.8246472402812948,False,0.5454159407575943
1,13,81,6,GEF,0.8171084429171522,False,0.5378771433934517
2,13,81,6,GEF,0.7346799995047062,True,0.4554486999810056
3,13,81,6,GEF,0.7338233846962675,False,0.45459208517256694
1,14,81,6,GEF,0.8121525696022545,False,0.5329212700785539
2,14,81,6,GEF,0.7884111392443861,False,0.5091798397206855
3,14,81,6,GEF,0.7612055175334509,False,0.4819742180097503
4,14,81,6,GEF,0.6474215389276535,False,0.36819023940395296
5,14,81,6,GEF,0.7538210008435581,False,0.4745897013198575
1,15,81,6,GEF,0.7711045330342539,False,0.4918732335105533
2,15,81,6,GEF,0.8397446511147584,False,0.5605133515910579
1,2,81,6,GEF,0.882730469626058,False,0.6034991701023573
2,2,81,6,GEF,0.8291492087424597,False,0.5499179092187592
1,3,81,6,GEF,0.6898387963113585,False,0.4106074967876579
2,3,81,6,GEF,0.8779481503471505,True,0.5987168508234499
3,3,81,6,GEF,0.614468646661886,True,0.3352373471381855
4,3,81,6,GEF,0.7562741057058229,False,0.4770428061821223
1,4,81,6,GEF,0.7739280263983399,False,0.49469672687463934
2,4,81,6,GEF,0.8236132696143414,False,0.5443819700906409
1,5,81,6,GEF,0.8705967805763993,False,0.5913654810526987
2,5,81,6,GEF,0.7841426692695663,True,0.5049113697458658
3,5,81,6,GEF,0.8845304556229374,True,0.6052991560992369
1,6,81,6,GEF,0.777943911005194,False,0.49871261148149343
2,6,81,6,GEF,0.7947781774639779,False,0.5155468779402774
3,6,81,6,GEF,0.8460673126713528,False,0.5668360131476522
4,6,81,6,GEF,0.6635136719984057,False,0.38428237247470515
1,8,81,6,GEF,0.8209869491330286,False,0.5417556496093281
2,8,81,6,GEF,0.8455760199445427,False,0.566344720420842
1,9,81,6,GEF,0.38796104131616627,False,0.1087297417924657
1,0,0,2,control,0.12577065744756732,False,-0.15346064207613325
2,0,0,2,control,0.3266544768578111,False,0.047423177334110556
3,0,0,2,control,0.16556606733849966,False,-0.11366523218520092
4,0,0,2,control,0.4502071917527507,True,0.17097589222905013
1,1,0,2,control,0.2764187696054302,False,-0.0028125299182703567
2,1,0,2,control,0.28064522370701167,False,0.0014139241833110994
3,1,0,2,control,0.5010276771471979,True,0.2217963776234973
1,2,0,2,control,0.191755238388166,False,-0.08747606113553458
2,2,0,2,control,0.2614834540636708,True,-0.017747845460029776
3,2,0,2,control,0.30319426561589224,False,0.023962966092191673
4,2,0,2,control,0.266342369967661,False,-0.012888929556039597
5,2,0,2,control,0.19350476874112707,False,-0.0857265307825735
1,3,0,2,control,0.20758661142497722,False,-0.07164468809872335
2,3,0,2,control,0.3693196347027228,True,0.0900883351790222
3,3,0,2,control,0.25887979152442375,False,-0.02035150799927682
4,3,0,2,control,0.2079249720022748,False,-0.07130632752142577
5,3,0,2,control,0.22215964609771302,False,-0.05707165342598755
6,3,0,2,control,0.4143075470121878,True,0.13507624748848723
7,3,0,2,control,0.22637892504792756,False,-0.05285237447577301
1,4,0,2,control,0.36489387453510863,False,0.08566257501140806
2,4,0,2,control,0.28290413207155424,True,0.003672832547853666
1,5,0,2,control,0.2640904870430891,False,-0.015140812480611499
2,5,0,2,control,0.16760971546218886,False,-0.11162158406151171
3,5,0,2,control,0.15483378957369526,False,-0.12439750995000531
1,6,0,2,control,0.6653658359359815,True,0.38613453641228096
2,6,0,2,control,0.5972722914710096,True,0.318040991947309
1,7,0,2,control,0.1310507257848174,False,-0.14818057373888316
2,7,0,2,control,0.40608773911202567,True,0.1268564395883251
3,7,0,2,control,0.1705011710514574,False,-0.10873012847224317
4,7,0,2,control,0.2708888010437172,False,-0.008342498479983362
5,7,0,2,control,0.13312127493668,False,-0.14611002458702058
1,8,0,2,control,0.17174776475500014,False,-0.10748353476870043
2,8,0,2,control,0.23140659130096447,False,-0.0478247082227361
3,8,0,2,control,0.29103156208729436,False,0.011800262563593789
4,8,0,2,control,0.2619712654965852,True,-0.017260034027115345
5,8,0,2,control,0.3795139784902608,True,0.10028267896656023
1,9,0,2,control,0.26322918417639113,False,-0.016002115347309442
2,9,0,2,control,0.15414190912778786,False,-0.12508939039591271
