ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,25,1,6,0,AFA,0.21051245375327596,-0.03212585838851478
2,A549,25,1,6,0,AFA,0.46612920921467965,0.2234908970728889
3,A549,25,1,6,0,AFA,0.650092536465167,0.4074542243233762
4,A549,25,1,6,0,AFA,0.21845916131413806,-0.02417915082765268
1,A549,25,1,6,1,AFA,0.36787189133249437,0.12523357919070363
1,A549,25,1,6,10,AFA,0.18452454930237738,-0.05811376283941336
2,A549,25,1,6,10,AFA,0.5533635041385144,0.31072519199672366
3,A549,25,1,6,10,AFA,0.5355428903616908,0.2929045782199
1,A549,25,1,6,11,AFA,0.10095642566456016,-0.14168188647723057
2,A549,25,1,6,11,AFA,0.15354047602013032,-0.08909783612166042
3,A549,25,1,6,11,AFA,0.12078436384789866,-0.12185394829389208
1,A549,25,1,6,12,AFA,0.10729031067686054,-0.1353480014649302
2,A549,25,1,6,12,AFA,0.19391859375274245,-0.04871971838904829
3,A549,25,1,6,12,AFA,0.03612977813481606,-0.20650853400697466
4,A549,25,1,6,12,AFA,0.013399261519991424,-0.2292390506217993
1,A549,25,1,6,13,AFA,0.6592957907141621,0.41665747857237134
1,A549,25,1,6,14,AFA,0.09619319387260383,-0.1464451182691869
2,A549,25,1,6,14,AFA,0.06807237637540664,-0.1745659357663841
1,A549,25,1,6,15,AFA,0.2883791067968381,0.04574079465504735
2,A549,25,1,6,15,AFA,0.16345477707234296,-0.07918353506944778
3,A549,25,1,6,15,AFA,0.2314507616347748,-0.011187550507015948
1,A549,25,1,6,2,AFA,0.5052074166980334,0.2625691045562426
2,A549,25,1,6,2,AFA,0.1902726472280853,-0.05236566491370545
3,A549,25,1,6,2,AFA,0.08722969796626531,-0.15540861417552543
1,A549,25,1,6,4,AFA,0.4638311052926234,0.22119279315083265
2,A549,25,1,6,4,AFA,0.6208383172811508,0.37820000513936003
3,A549,25,1,6,4,AFA,0.5341305326892556,0.2914922205474648
4,A549,25,1,6,4,AFA,0.0534918239230872,-0.18914648821870356
5,A549,25,1,6,4,AFA,0.16107432226391577,-0.08156398987787497
1,A549,25,1,6,5,AFA,0.3347208718268859,0.09208255968509518
2,A549,25,1,6,5,AFA,0.17218641633965465,-0.0704518958021361
3,A549,25,1,6,5,AFA,0.3244048164702334,0.08176650432844265
4,A549,25,1,6,5,AFA,0.40170671194022656,0.15906839979843582
5,A549,25,1,6,5,AFA,0.15594604970241713,-0.08669226243937361
1,A549,25,1,6,6,AFA,0.15459890994833841,-0.08803940219345233
2,A549,25,1,6,6,AFA,0.3677750231561704,0.12513671101437965
1,A549,25,1,6,7,AFA,0.3693201616931042,0.12668184955131348
2,A549,25,1,6,7,AFA,0.2806656206213864,0.03802730847959565
3,A549,25,1,6,7,AFA,0.24572437424404062,0.0030860621022498758
1,A549,25,1,6,8,AFA,0.12037125286702613,-0.12226705927476461
2,A549,25,1,6,8,AFA,0.2533398539251078,0.010701541783317087
1,A549,25,1,6,9,AFA,0.11846748367480116,-0.12417082846698958
2,A549,25,1,6,9,AFA,0.684999562209718,0.44236125006792726
3,A549,25,1,6,9,AFA,0.09088020944078848,-0.15175810270100226
4,A549,25,1,6,9,AFA,0.10570222621242038,-0.13693608592937034
1,A549,0,1,2,0,control,0.21797589937404868,-0.02466241276774206
2,A549,0,1,2,0,control,0.12794170946084446,-0.11469660268094628
1,A549,0,1,2,1,control,0.35983740102729644,0.1171990888855057
2,A549,0,1,2,1,control,0.14575680247617628,-0.09688150966561446
1,A549,0,1,2,10,control,0.19072234116917447,-0.05191597097261627
2,A549,0,1,2,10,control,0.17700442728342486,-0.06563388485836588
3,A549,0,1,2,10,control,0.2901595897249002,0.04752127758310945
4,A549,0,1,2,10,control,0.22651268894511398,-0.016125623196676764
5,A549,0,1,2,10,control,0.21284214751982802,-0.029796164621962717
6,A549,0,1,2,10,control,0.5507305528483775,0.3080922407065867
1,A549,0,1,2,11,control,0.7325190286935774,0.48988071655178667
1,A549,0,1,2,12,control,0.19617680738652188,-0.04646150475526886
2,A549,0,1,2,12,control,0.10927426923174717,-0.13336404291004356
3,A549,0,1,2,12,control,0.15721548326740162,-0.08542282887438912
1,A549,0,1,2,13,control,0.3734652517768316,0.13082693963504086
2,A549,0,1,2,13,control,0.14672403562484554,-0.0959142765169452
3,A549,0,1,2,13,control,0.20666549263870962,-0.03597281950308112
4,A549,0,1,2,13,control,0.1638798474041686,-0.07875846473762213
5,A549,0,1,2,13,control,0.23073686928305034,-0.011901442858740396
6,A549,0,1,2,13,control,0.321675681192713,0.07903736905092226
1,A549,0,1,2,14,control,0.39692943826814836,0.15429112612635762
2,A549,0,1,2,14,control,0.18504782756954058,-0.05759048457225016
3,A549,0,1,2,14,control,0.13214966868202596,-0.11048864345976478
4,A549,0,1,2,14,control,0.12957166794596214,-0.1130666441958286
5,A549,0,1,2,14,control,0.266936013777221,0.02429770163543024
1,A549,0,1,2,15,control,0.12368977358262993,-0.11894853855916081
2,A549,0,1,2,15,control,0.2218786189505524,-0.020759693191238354
3,A549,0,1,2,15,control,0.09074661362648415,-0.1518916985153066
4,A549,0,1,2,15,control,0.2225109038118161,-0.020127408329974644
5,A549,0,1,2,15,control,0.1462669768261249,-0.09637133531566583
1,A549,0,1,2,16,control,0.3302083356784689,0.08757002353667817
2,A549,0,1,2,16,control,0.11852280013310061,-0.12411551200869013
1,A549,0,1,2,17,control,0.2852276174691746,0.042589305327383836
2,A549,0,1,2,17,control,0.2693025932074828,0.026664281065692047
3,A549,0,1,2,17,control,0.7696062836735688,0.526967971531778
4,A549,0,1,2,17,control,0.17159776494797943,-0.07104054719381131
1,A549,0,1,2,18,control,0.17484146164686615,-0.0677968504949246
1,A549,0,1,2,19,control,0.15660008013150684,-0.0860382320102839
2,A549,0,1,2,19,control,0.22045281717062165,-0.02218549497116909
3,A549,0,1,2,19,control,0.45138565664082425,0.2087473444990335
4,A549,0,1,2,19,control,0.5086487481675684,0.2660104360257777
1,A549,0,1,2,2,control,0.15786681963932264,-0.0847714925024681
2,A549,0,1,2,2,control,0.13885689774221224,-0.1037814143995785
3,A549,0,1,2,2,control,0.15566398267425455,-0.0869743294675362
4,A549,0,1,2,2,control,0.12685675786048764,-0.1157815542813031
5,A549,0,1,2,2,control,0.24529108699392524,0.0026527748521344985
1,A549,0,1,2,3,control,0.20929908339193942,-0.03333922874985132
2,A549,0,1,2,3,control,0.2729031567652873,0.030264844623496573
3,A549,0,1,2,3,control,0.23616558110934766,-0.006472731032443085
4,A549,0,1,2,3,control,0.34761068509835547,0.10497237295656472
1,A549,0,1,2,4,control,0.12758769805434733,-0.11505061408744341
2,A549,0,1,2,4,control,0.31562087916986614,0.0729825670280754
3,A549,0,1,2,4,control,0.15828489805212972,-0.08435341408966102
1,A549,0,1,2,5,control,0.35732049810954136,0.11468218596775062
2,A549,0,1,2,5,control,0.39523622160202715,0.1525979094602364
1,A549,0,1,2,6,control,0.05138561148192693,-0.19125270065986383
1,A549,0,1,2,7,control,0.21319352211031087,-0.029444790031479873
2,A549,0,1,2,7,control,0.19468238365593868,-0.04795592848585206
1,A549,0,1,2,8,control,0.14768693225136725,-0.09495137989042349
2,A549,0,1,2,8,control,0.2778201299883027,0.03518181784651195
1,A549,0,1,2,9,control,0.23794397345418034,-0.004694338687610405
2,A549,0,1,2,9,control,0.047955073630665736,-0.194683238511125
3,A549,0,1,2,9,control,0.12038817107920323,-0.12225014106258751
