ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,E
1,A549,6,1,2,0,ALM,0.4302294713684876,0.1051118022592571,,6.178431034088135,0.2643969655036926,0.20124076,,,,,,,0.7356030344963074,
2,A549,6,1,2,0,ALM,0.4642838412119879,0.1391661721027574,,5.120520114898682,0.0521351099014282,0.4412186,,,,,,,0.9478648900985718,
3,A549,6,1,2,0,ALM,0.1851531365373465,-0.1399645325718839,,7.154414176940918,0.2049466967582702,0.4481495,,,,,,,0.7950533032417297,
1,A549,6,1,2,1,ALM,0.2599429932173593,-0.0651746758918712,0.2850839793682098,2.249101161956787,-0.061907619,0.1002222,control,0.3080027623119842,0.0,0.0,0.22149522474084585,0.20603960143332412,0.938092381,0.5720659912166621
2,A549,6,1,2,1,ALM,0.2251550353696786,-0.0999626337395518,0.1684708446264267,0.9737866520881652,0.2983248233795166,0.025873855,control,0.2195191763848459,0.0,0.0,0.0,0.0006102497996888001,0.7016751766204834,0.3511427132100861
3,A549,6,1,2,1,ALM,0.2568764059687806,-0.0682412631404499,0.2210409939289093,1.7363795042037964,-0.245308399,-0.13185115,ALM,0.1652452044764046,0.1170978944128447,0.1170978944128447,0.0,0.3727165183136358,0.754691601,0.5637040596568179
4,A549,6,1,2,1,ALM,0.0829881789975395,-0.2421294901116909,0.1647203266620636,0.6236546635627747,0.3128186464309692,0.28496444,control,0.1709068087823144,0.0,0.0,0.0,0.33390015057794525,0.6871813535690308,0.510540752073488
1,A549,6,1,2,10,ALM,0.3545164118040936,0.029398742694863,0.0930991470813751,1.803569793701172,-0.098353408,0.3071025,ALM,0.1716394708795397,0.1146006034279782,0.1146006034279782,0.258273003668271,0.328876966361024,0.901646592,0.615261779180512
2,A549,6,1,2,10,ALM,0.3605479075904509,0.0354302384812204,0.1245326623320579,1.0562124252319336,0.0054971724748611,0.232274,ALM,0.1005160667673288,0.1280396812924889,0.1280396812924889,0.11422929096784559,0.816504158136316,0.9945028275251389,0.9055034928307275
3,A549,6,1,2,10,ALM,0.3926140069098306,0.0674963378006001,0.1611286550760269,1.304849624633789,0.1028173416852951,0.08643122,ALM,0.1241780051604797,0.1277211575886958,0.1277211575886958,0.0,0.6542762007622793,0.8971826583147049,0.7757294295384921
4,A549,6,1,2,10,ALM,0.4106084852101457,0.0854908161009151,0.1453689634799957,1.055530309677124,-0.433094561,0.34943268,ALM,0.1004511521999441,0.1280327875104817,0.1280327875104817,0.01874718683926262,0.8169492170953777,0.566905439,0.6919273280476889
5,A549,6,1,2,10,ALM,0.4998353323052225,0.1747176631959919,0.111926332116127,0.5329517722129822,0.4191823601722717,0.6084887,control,0.1546921493903665,0.0,0.0,0.17199765041949164,0.4450690256280493,0.5808176398277283,0.5129433327278887
6,A549,6,1,2,10,ALM,0.5789017265426482,0.2537840574334176,0.0976516902446746,1.0672283172607422,0.2414819896221161,0.6618569,ALM,0.1015644109377037,0.1281444507399441,0.1281444507399441,0.23741102834540745,0.8093166348421919,0.7585180103778839,0.7839173226100379
1,A549,6,1,2,11,ALM,0.5695600926064502,0.2444424234972197,0.1211790740489959,0.5080954432487488,0.4419859051704407,0.44058704,control,0.1499081785542498,0.0,0.0,0.12959706970046453,0.47786827495349,0.5580140948295593,0.5179411848915246
2,A549,6,1,2,11,ALM,0.529512268212721,0.2043945991034905,0.2754682004451751,2.0561110973358154,-0.285462677,0.11524933,control,0.299354846856311,0.0,0.0,0.17743103129845564,0.14674886892413466,0.7145373230000001,0.43064309596206735
3,A549,6,1,2,11,ALM,0.3063688366126402,-0.0187488324965903,0.1603527218103408,0.5039271116256714,-0.315312684,0.31238213,control,0.1490904380646795,0.0,0.0,0.0,0.48347476276868234,0.684687316,0.5840810393843412
4,A549,6,1,2,11,ALM,0.5242432019064742,0.1991255327972437,0.2889715731143951,3.198160409927368,0.0375448912382125,0.41429448,ALM,0.3043578144105777,0.0346034484801547,0.0346034484801547,0.23931007720661715,0.181049575554839,0.9624551087617875,0.5717523421583133
5,A549,6,1,2,11,ALM,0.5492855568016848,0.2241678876924542,0.1833796203136444,3.794402837753296,0.3644528985023498,0.32561687,control,0.3521419539604767,0.0,0.0,0.0,0.508661085028631,0.6355471014976501,0.5721040932631406
6,A549,6,1,2,11,ALM,0.4585434248961606,0.1334257557869301,0.1444532424211502,3.5180583000183105,-0.04649885,0.4089833,ALM,0.3348013851459323,0.0116641636398965,0.0116641636398965,0.022943467785320814,0.3897728937170629,0.95350115,0.6716370218585315
1,A549,6,1,2,12,ALM,0.3862908568492769,0.0611731877400464,0.1217597872018814,4.282999038696289,0.0450556278228759,0.5633311,control,0.3607250483276607,0.0,0.0,0.12693595853015788,0.5675073994768128,0.9549443721771241,0.7612258858269685
2,A549,6,1,2,12,ALM,0.4770574762621987,0.1519398071529681,,3.3263893127441406,0.0928812623023986,0.48768055,,,,,,,0.9071187376976014,
1,A549,6,1,2,13,ALM,0.4033636567366213,0.0782459876273908,0.1345956772565841,1.1175525188446045,0.5773429870605469,0.5170145,ALM,0.106353590354245,0.1284704771377723,0.1284704771377723,0.06811564382629469,0.776481675113442,0.4226570129394531,0.5995693440264476
2,A549,6,1,2,13,ALM,0.4381300078926326,0.1130123387834021,0.2345778197050094,2.2962231636047363,0.3836499452590942,0.35380843,ALM,0.2185235804008817,0.0914369116800098,0.0914369116800098,0.0,0.007436127720791541,0.6163500547409058,0.31189309123084863
3,A549,6,1,2,13,ALM,0.4338685200222199,0.1087508509129893,0.1757715940475464,1.479856014251709,-0.206720054,0.6371897,ALM,0.1408327552119963,0.1246900644746774,0.1246900644746774,0.0,0.5400900323875554,0.793279946,0.6666849891937776
4,A549,6,1,2,13,ALM,0.4395781406875755,0.1144604715783449,0.1432577818632125,1.16560161113739,-0.204516426,0.4439242,ALM,0.1109262555242752,0.1285599087664759,0.1285599087664759,0.02842165168486188,0.745131152685232,0.795483574,0.7703073633426161
5,A549,6,1,2,13,ALM,0.6131066350135375,0.2879889659043069,0.1168925240635871,0.6862059831619263,0.0586795061826705,0.5578411,ALM,0.0653038392390607,0.115768757363098,0.115768757363098,0.1492401344245356,1.0,0.9413204938173295,0.9706602469086647
1,A549,6,1,2,15,ALM,0.6457583116608905,0.3206406425516599,0.1734413504600525,1.2484771013259888,0.0918116122484207,0.26708347,ALM,0.1188132279799752,0.1282459358478768,0.1282459358478768,0.0,0.691057500303318,0.9081883877515793,0.7996229440274487
2,A549,6,1,2,15,ALM,0.5786007369073901,0.2534830677981596,0.1811010092496872,2.1578152179718018,-0.000978947,0.27379245,ALM,0.2053517771044814,0.0986921919752518,0.0986921919752518,0.0,0.09774296176808775,0.999021053,0.5483820073840439
3,A549,6,1,2,15,ALM,0.5845152431105675,0.2593975740013369,0.2714711725711822,3.540783166885376,0.2292982339859008,0.58100635,ALM,0.3369640317695857,0.0099943815958926,0.0099943815958926,0.15911469823339947,0.4046001550532986,0.7707017660140992,0.5876509605336989
4,A549,6,1,2,15,ALM,0.7363164332111195,0.411198764101889,0.2277283519506454,2.662761926651001,0.0654930919408798,0.30545935,ALM,0.2534058009646874,0.0700630772632817,0.0700630772632817,0.0,0.0,0.9345069080591202,0.4672534540295601
1,A549,6,1,2,16,ALM,0.4165075355760258,0.0913898664667953,0.1977748870849609,1.6359872817993164,0.1612669974565506,0.39275756,ALM,0.1556912254764763,0.1204590416199085,0.1204590416199085,0.0,0.438219287875467,0.8387330025434494,0.6384761452094582
1,A549,6,1,2,17,ALM,0.592290379563633,0.2671727104544024,0.2555174231529236,3.7862257957458496,-0.391137183,0.39535043,control,0.3519833998961804,0.0,0.0,0.08600682978880023,0.5075740269205096,0.608862817,0.5582184219602548
2,A549,6,1,2,17,ALM,0.5349802544983632,0.2098625853891326,0.1594129502773285,1.1190367937088013,-0.24603796,0.475985,ALM,0.1064948436360533,0.1284764044325244,0.1284764044325244,0.0,0.775513232418706,0.75396204,0.764737636209353
3,A549,6,1,2,17,ALM,0.6635615689961865,0.3384438998869559,0.1616253554821014,1.299956440925598,-0.575830579,-0.041375734,ALM,0.1237123378680226,0.1277761121462344,0.1277761121462344,0.0,0.6574688493279217,0.424169421,0.5408191351639609
1,A549,6,1,2,18,ALM,0.3826202279379077,0.0575025588286771,0.1173583716154098,1.1363366842269895,-0.167634934,0.50037485,ALM,0.1081412141093147,0.1285304062302738,0.1285304062302738,0.14710539351561075,0.7642255976307026,0.8323650659999999,0.7982953318153513
2,A549,6,1,2,18,ALM,0.4232196929168401,0.0981020238076095,0.282967060804367,3.057790756225586,0.022896621376276,0.5335626,ALM,0.2909993221730935,0.0442955950679567,0.0442955950679567,0.21179447040304583,0.08946278865359032,0.977103378623724,0.5332830836386572
3,A549,6,1,2,18,ALM,0.4625025268604483,0.1373848577512178,,0.1620099544525146,0.3774847686290741,0.32088694,,,,,,,0.6225152313709259,
4,A549,6,1,2,18,ALM,0.409605421048993,0.0844877519397624,0.1099769249558448,4.099426746368408,-0.416055799,0.43986732,control,0.3576931537453781,0.0,0.0,0.18093078572721838,0.5467205114000738,0.583944201,0.565332356200037
5,A549,6,1,2,18,ALM,0.2955075142167761,-0.0296101548924543,0.1787987649440765,1.3599239587783811,-0.159074873,0.4252895,ALM,0.1294192381887963,0.126985160135584,0.126985160135584,0.0,0.6183419288451798,0.840925127,0.7296335279225898
6,A549,6,1,2,18,ALM,0.4024597644192876,0.077342095310057,0.1900173872709274,4.378082752227783,0.4241098463535309,0.6469179,control,0.3622140904312604,0.0,0.0,0.0,0.5777163796075716,0.5758901536464691,0.5768032666270204
1,A549,6,1,2,2,ALM,0.3963893605239313,0.0712716914147008,0.1502598971128463,1.138986587524414,0.4436213374137878,0.06586703,ALM,0.1083933961992124,0.1285362487449573,0.1285362487449573,0.0,0.7624966190216524,0.5563786625862122,0.6594376408039323
2,A549,6,1,2,2,ALM,0.3696116507458056,0.044493981636575,0.1153519973158836,1.3441736698150637,0.2913342118263244,0.32339472,ALM,0.1279203379115212,0.1272172559402152,0.1272172559402152,0.15629958006667405,0.6286184973261504,0.7086657881736755,0.668642142749913
3,A549,6,1,2,2,ALM,0.3466281976977921,0.0215105285885615,0.1129220575094223,1.4857088327407837,-0.220585033,0.31458816,ALM,0.1413897476123609,0.1245555433535094,0.1245555433535094,0.16743475055492016,0.5362712522909019,0.779414967,0.6578431096454509
4,A549,6,1,2,2,ALM,0.5014767537980029,0.1763590846887724,0.151821568608284,1.9715123176574707,0.042382501065731,0.3476664,ALM,0.1876219773789857,0.1075878528145662,0.1075878528145662,0.0,0.2192997482970595,0.957617498934269,0.5884586236156643
1,A549,6,1,2,3,ALM,0.519813040743345,0.1946953716341145,0.2758049368858337,4.451709747314453,0.2229977548122406,0.3276538,control,0.3633314314053127,0.0,0.0,0.17897412206406554,0.585376949967407,0.7770022451877594,0.6811895975775832
2,A549,6,1,2,3,ALM,0.5297818958572427,0.2046642267480121,0.0926844030618667,4.35663652420044,0.2597174644470215,0.5813853,control,0.3618828524602583,0.0,0.0,0.2601735632434202,0.575445388171978,0.7402825355529785,0.6578639618624782
1,A549,6,1,2,4,ALM,0.7661019360040134,0.4409842668947829,0.1217221245169639,0.8168330788612366,0.1582011133432388,0.6429676,ALM,0.0777351660813395,0.1223095771132651,0.1223095771132651,0.1271085473393482,0.972691657403011,0.8417988866567612,0.907245272029886
2,A549,6,1,2,4,ALM,0.4965768015695359,0.1714591324603054,0.151947483420372,2.063817262649536,0.4586700201034546,0.69285274,ALM,0.1964063182862986,0.1033147259052087,0.1033147259052087,0.0,0.15907367304520878,0.5413299798965454,0.3502018264708771
1,A549,6,1,2,5,ALM,0.5309450026890065,0.2058273335797759,0.2076826244592666,2.751744031906128,-0.090873688,0.20429607,ALM,0.2618739187592284,0.0644761344845338,0.0644761344845338,0.0,0.0,0.909126312,0.454563156
2,A549,6,1,2,5,ALM,0.5277568794099001,0.2026392103006696,0.1646222472190857,1.9635367393493648,-0.110102296,0.33803245,ALM,0.186862969302036,0.1079438811740459,0.1079438811740459,0.0,0.22450356245243688,0.889897704,0.5572006332262185
3,A549,6,1,2,5,ALM,0.5915624163087692,0.2664447471995386,0.1590399891138076,1.082955241203308,0.3507773876190185,0.13599518,ALM,0.1030610876471341,0.1282728896266484,0.1282728896266484,0.0,0.7990553113028463,0.6492226123809814,0.7241389618419138
1,A549,6,1,2,6,ALM,0.519085899538272,0.1939682304290415,0.1348654329776764,1.0663113594055176,0.5536450147628784,0.2928818,ALM,0.1014771472445329,0.1281361988961114,0.1281361988961114,0.06687949141768143,0.8099149210206443,0.4463549852371216,0.6281349531288829
2,A549,6,1,2,6,ALM,0.4943167687168223,0.1691990996075918,0.1162460148334503,0.9571654200553894,0.3364711701869964,0.4052834,ALM,0.0910901074171126,0.1265146176565118,0.1265146176565118,0.15220275534241004,0.8811292157401723,0.6635288298130035,0.772329022776588
3,A549,6,1,2,6,ALM,0.6438398112897281,0.3187221421804976,0.1087200194597244,1.3550796508789062,0.0337130390107631,0.5757593,ALM,0.1289582222372389,0.127058350030555,0.127058350030555,0.1866905403308916,0.6215026874819133,0.9662869609892369,0.7938948242355751
4,A549,6,1,2,6,ALM,0.6912319546479729,0.3661142855387424,0.1158290654420852,1.062829613685608,-0.108719006,0.5418677,ALM,0.1011458016014702,0.1281040927720653,0.1281040927720653,0.1541134210080679,0.8121866506636565,0.8912809939999999,0.8517338223318283
5,A549,6,1,2,6,ALM,0.5024186896287224,0.1773010205194918,0.1252970993518829,1.1834973096847534,-0.099381343,0.4426159,ALM,0.1126293269775766,0.1285407760345795,0.1285407760345795,0.11072626734534921,0.7334547718858003,0.900618657,0.8170367144429002
6,A549,6,1,2,6,ALM,0.4727308302759265,0.147613161166696,0.0975332632660865,0.6435002684593201,-0.175790533,0.47684142,ALM,0.0612396847490669,0.1129762229708118,0.1129762229708118,0.23795371857727243,1.0,0.824209467,0.9121047335
1,A549,6,1,2,7,ALM,0.410088238585593,0.0849705694763625,0.1152649819850921,1.4457635879516602,0.0463302433490753,0.7553688,ALM,0.1375882974529584,0.1254334523610668,0.1254334523610668,0.15669832679318887,0.5623342689454284,0.9536697566509247,0.7580020127981766
2,A549,6,1,2,7,ALM,0.4876135272529857,0.1624958581437551,0.1142740845680236,1.0181236267089844,0.0496064163744449,0.4704561,ALM,0.0968912881489752,0.1275804161921373,0.1275804161921373,0.16123910251367427,0.8413559019545147,0.9503935836255551,0.8958747427900349
3,A549,6,1,2,7,ALM,0.5999362951852032,0.2748186260759727,0.238927274942398,1.295512080192566,-0.278187186,0.27888104,control,0.2511138921126465,0.0,0.0,0.009982671388555265,0.0,0.721812814,0.360906407
4,A549,6,1,2,7,ALM,0.4195010846244996,0.0943834155152691,0.4830546975135803,3.105829954147339,0.5978245139122009,0.6037052,control,0.3365778798383636,0.0,0.0,1.0,0.401952669543137,0.4021754860877991,0.40206407781546805
5,A549,6,1,2,7,ALM,0.6558379652020422,0.3307202960928116,0.2393277883529663,1.2152286767959597,0.570091187953949,0.33391544,control,0.2440890513774783,0.0,0.0,0.011818019366167087,0.0,0.429908812046051,0.2149544060230255
6,A549,6,1,2,7,ALM,0.4704032563192951,0.1452855872100646,0.1746049970388412,1.0979641675949097,0.3510158658027649,0.16528381,control,0.2328621782701013,0.0,0.0,0.0,0.0,0.6489841341972351,0.32449206709861755
7,A549,6,1,2,7,ALM,0.6923426273813625,0.367224958272132,,4.017192363739014,0.1816551089286804,0.605307,,,,,,,0.8183448910713196,
1,A549,6,1,2,8,ALM,0.413200243648846,0.0880825745396155,0.2420857399702072,1.801719307899475,0.4047525227069855,0.46568874,control,0.2861352508170376,0.0,0.0,0.02445630010655897,0.05611436438236015,0.5952474772930145,0.32568092083768735
1,A549,6,1,2,9,ALM,0.552920491768534,0.2278028226593034,0.0991829484701156,0.9533444046974182,0.0745865851640701,0.33023483,ALM,0.090726474661366,0.1264335359208309,0.1264335359208309,0.23039405559716233,0.8836223081579998,0.9254134148359299,0.9045178614969649
2,A549,6,1,2,9,ALM,0.4571043301410588,0.1319866610318283,0.2761376798152923,2.404671192169189,-0.227626547,0.3776594,control,0.3142601978093023,0.0,0.0,0.18049891261172765,0.24894103082017188,0.7723734529999999,0.5106572419100859
3,A549,6,1,2,9,ALM,0.4463859421838299,0.1212682730745993,0.1848762333393097,1.757984280586243,0.2126346975564956,0.18812235,ALM,0.167301255980319,0.1163156114397232,0.1163156114397232,0.0,0.3586200808116094,0.7873653024435043,0.5729926916275568
1,A549,0,1,2,0,control,0.3100975860900048,-0.0150200830192256,0.0719919204711914,0.5512294769287109,-0.106580667,0.16744292,control,0.1581121483288017,0.0,0.0,0.3549966205304999,0.4216212660749134,0.893419333,0.6575202995374567
2,A549,0,1,2,0,control,0.4731916797470923,0.1480740106378618,0.0871041193604469,0.2996302545070648,0.0214366763830184,0.3641222,control,0.1025828369291581,0.0,0.0,0.2857451474542164,0.8023342327420286,0.9785633236169816,0.8904487781795052
1,A549,0,1,2,1,control,0.2214045555554429,-0.1037131135537875,0.1803322732448578,0.900122880935669,0.8659645915031433,0.8409896,control,0.2107797906580868,0.0,0.0,0.0,0.06052810908911712,0.1340354084968567,0.09728175879298691
2,A549,0,1,2,1,control,0.2053940566780451,-0.1197236124311853,0.1606992334127426,0.5886202454566956,0.6700303554534912,0.7753854,control,0.1648632881874965,0.0,0.0,0.0,0.375334963954394,0.3299696445465088,0.35265230425045135
1,A549,0,1,2,10,control,0.4580537273813758,0.1329360582721452,0.2842575013637543,3.436669111251831,0.5334648489952087,0.4608319,control,0.3446589292421325,0.0,0.0,0.21770789903840396,0.4573569274881061,0.46653515100479126,0.46194603924644867
2,A549,0,1,2,10,control,0.3257644628304186,0.000646793721188,0.3538559079170227,2.469810485839844,0.5460246205329895,0.6344923,control,0.3167136125418488,0.0,0.0,0.5366417757625045,0.2657618192965546,0.4539753794670105,0.35986859938178256
3,A549,0,1,2,10,control,0.3395490253587148,0.0144313562494843,0.2587241530418396,1.8389252424240112,0.2702276706695556,0.17307627,control,0.2882165882400996,0.0,0.0,0.10070163166326931,0.07038416397102036,0.7297723293304443,0.4000782466507323
4,A549,0,1,2,10,control,0.419236206280732,0.0941185371715015,0.1740394681692123,0.6295086741447449,0.7563236355781555,0.50167346,control,0.1718913003875326,0.0,0.0,0.0,0.3271504050789602,0.24367636442184448,0.28541338475040234
5,A549,0,1,2,10,control,0.4707495290938744,0.1456318599846439,0.2102793902158737,1.3468512296676636,0.7691181898117065,0.7419396,control,0.2553541510874271,0.0,0.0,0.0,0.0,0.23088181018829346,0.11544090509414673
6,A549,0,1,2,10,control,0.3492602332439663,0.0241425641347358,0.218018501996994,2.005140781402588,0.9049978256225586,0.7449694,control,0.2968854424400838,0.0,0.0,0.0,0.12981845402241565,0.0950021743774414,0.11241031419992853
1,A549,0,1,2,11,control,0.2664333147348446,-0.0586843543743858,0.142116516828537,0.7876526117324829,0.1255473047494888,0.7730518,control,0.1960471100357236,0.0,0.0,0.0336514852385962,0.16153643073625035,0.8744526952505112,0.5179945629933808
1,A549,0,1,2,12,control,0.4467554907077439,0.1216378215985133,0.1631021797657013,0.6886587738990784,0.4021762907505035,0.65504044,control,0.1814558771914746,0.0,0.0,0.0,0.2615749762079368,0.5978237092494965,0.4296993427287166
2,A549,0,1,2,12,control,0.2978364001683908,-0.0272812689408397,0.163287803530693,1.4752013683319092,-0.096314803,0.26632324,control,0.2651854092571244,0.0,0.0,0.0,0.0,0.9036851969999999,0.45184259849999997
3,A549,0,1,2,12,control,0.5212655066908441,0.1961478375816136,0.1372209787368774,0.7480493187904358,0.6565118432044983,0.85058326,control,0.1904080938128165,0.0,0.0,0.056085230773107585,0.2001979329446268,0.3434881567955017,0.2718430448700643
1,A549,0,1,2,13,control,0.3185864675225439,-0.0065312015866866,0.1603882312774658,0.5880008339881897,0.7688176035881042,0.8616213,control,0.1647540392358814,0.0,0.0,0.0,0.37608398265148024,0.23118239641189575,0.303633189531688
2,A549,0,1,2,13,control,0.2785511206287273,-0.0465665484805031,,0.3451697826385498,0.1634506285190582,0.74576277,,,,,,,0.8365493714809418,
3,A549,0,1,2,13,control,0.2899023810928695,-0.0352152880163609,0.1781845092773437,1.4353246688842771,0.5450327396392822,0.7296368,control,0.2622419321964609,0.0,0.0,0.0,0.0,0.4549672603607178,0.2274836301803589
4,A549,0,1,2,13,control,0.3084051729109447,-0.0167124961982857,0.1316368728876114,1.1822673082351685,0.6382052898406982,0.7237114,control,0.241055246963748,0.0,0.0,0.08167432993130523,0.0,0.36179471015930176,0.18089735507965088
5,A549,0,1,2,13,control,0.2590489279021778,-0.0660687412070527,0.2028522938489914,1.5291783809661863,0.459477961063385,0.5091124,control,0.2690218430032722,0.0,0.0,0.0,0.0,0.540522038936615,0.2702610194683075
6,A549,0,1,2,13,control,0.3150521635102466,-0.0100655055989838,0.2448629587888717,2.320550441741944,0.0421470254659652,0.47013453,control,0.3109494451592501,0.0,0.0,0.037182872570109236,0.2262422717048107,0.9578529745340348,0.5920476231194227
1,A549,0,1,2,14,control,0.2666443821362765,-0.058473286972954,0.3284285068511963,2.754689931869507,0.2184679508209228,0.73696434,control,0.3264431039281185,0.0,0.0,0.420121010438148,0.3324679144463792,0.7815320491790771,0.5569999818127281
2,A549,0,1,2,14,control,0.3033482787270961,-0.0217693903821344,0.3252736330032348,3.253026962280273,0.4449471831321716,0.5130519,control,0.3403285488738177,0.0,0.0,0.40566383825941826,0.4276675271468525,0.5550528168678284,0.49136017200734045
3,A549,0,1,2,14,control,0.3815251240165067,0.0564074549072761,0.2506981492042541,0.9849625825881958,0.6717547178268433,0.7981371,control,0.2207884054684772,0.0,0.0,0.06392256378957466,0.0,0.32824528217315674,0.16412264108657837
4,A549,0,1,2,14,control,0.3352065125340197,0.0100888434247891,0.2353306710720062,0.996665358543396,-0.030267656,0.73611635,control,0.2221022383839633,0.0,0.0,0.0,0.0,0.969732344,0.484866172
5,A549,0,1,2,14,control,0.3480008407620697,0.0228831716528392,0.2635229825973511,1.440794825553894,0.9699311256408693,0.92767406,control,0.262651400678133,0.0,0.0,0.12269221147210532,0.0,0.03006887435913075,0.015034437179565374
1,A549,0,1,2,15,control,0.3510848885630488,0.0259672194538183,0.3055786490440368,2.964068651199341,0.4591685533523559,0.45583013,control,0.3327024094285623,0.0,0.0,0.3154118066799538,0.37538216470962016,0.540831446647644,0.4581068056786321
2,A549,0,1,2,15,control,0.3371385998212794,0.0120209307120489,0.2701181173324585,2.055928945541382,0.88135826587677,0.65240604,control,0.299346168651031,0.0,0.0,0.15291433856887582,0.1466893705224038,0.11864173412322998,0.1326655523228169
