ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,E
1,A549,12,3,2,0,OSI,0.5569028622031419,0.2391585695118859,0.1062431782484054,2.7653486728668213,-0.061902035,0.43167883,OSI,0.1546346020967238,0.1721439577724668,0.1721439577724668,0.19804063595343124,0.44546357402661824,0.938097965,0.6917807695133091
2,A549,12,3,2,0,OSI,0.6533806446549424,0.3356363519636864,0.0924942046403884,1.333684325218201,-0.298108459,0.42519832,OSI,0.0745778450928405,0.1797065989154767,0.1797065989154767,0.2610451452653801,0.9943384779731559,0.701891541,0.8481150094865779
3,A549,12,3,2,0,OSI,0.4520715411598637,0.1343272484686077,0.1058955416083335,0.9486052393913268,0.1343187093734741,0.6405802,OSI,0.0530447372439568,0.1635612755590884,0.1635612755590884,0.19963367675422328,1.0,0.8656812906265259,0.9328406453132629
1,A549,12,3,2,1,OSI,0.8010471821664998,0.4833028894752438,0.1189760938286781,1.0602821111679075,0.0670090615749359,0.31897396,OSI,0.0592895586655808,0.1696936293138331,0.1696936293138331,0.1396922005634781,1.0,0.9329909384250641,0.966495469212532
2,A549,12,3,2,1,OSI,0.5154447997246484,0.1977005070333924,0.0787524208426475,0.7247581481933594,0.886381983757019,0.4482797,OSI,0.0405275070597348,0.1464432800531074,0.1464432800531074,0.3240167073565832,1.0,0.11361801624298096,0.5568090081214905
3,A549,12,3,2,1,OSI,0.5864310114944304,0.2686867188031744,0.1574844717979431,2.550414085388184,-0.46628499,0.5299314,OSI,0.1426157472095653,0.1770091088111613,0.1770091088111613,0.0,0.5278657105685283,0.53371501,0.5307903602842641
4,A549,12,3,2,1,OSI,0.7751565420607018,0.4574122493694458,0.1730188876390457,3.218547344207764,-0.302164137,0.0497059,OSI,0.1799768661306182,0.1594965958726626,0.1594965958726626,0.0,0.2717151827856782,0.697835863,0.4847755228928391
5,A549,12,3,2,1,OSI,0.5143025728024254,0.1965582801111694,,5.146170616149902,0.1594352424144745,0.77434754,,,,,,,0.8405647575855255,
1,A549,12,3,2,10,OSI,0.3751447721299185,0.0574004794386625,0.2335009574890136,3.243441343307495,-0.232178211,0.34584585,OSI,0.1813689052912324,0.1587233169441228,0.1587233169441228,0.0,0.2621712618330111,0.767821789,0.5149965254165055
2,A549,12,3,2,10,OSI,0.6840428871548132,0.3662985944635572,0.1748057007789611,1.9839993715286253,0.1243077665567398,0.55143404,OSI,0.1109425933831434,0.1848938399667044,0.1848938399667044,0.0,0.7450191391456809,0.8756922334432602,0.8103556862944705
3,A549,12,3,2,10,OSI,0.5701181561388532,0.2523738634475972,0.078825905919075,1.865242838859558,0.1879296749830246,0.3917766,OSI,0.10430188678587,0.1853542943204083,0.1853542943204083,0.3236799628610257,0.790548302855607,0.8120703250169754,0.8013093139362912
4,A549,12,3,2,10,OSI,0.4237893577660016,0.1060450650747455,0.2578518688678741,3.6039538383483887,0.4324486851692199,0.5486882,OSI,0.2015282822148492,0.1467746367767205,0.1467746367767205,0.09670439972959026,0.12395711868410123,0.56755131483078,0.3457542167574406
5,A549,12,3,2,10,OSI,0.289309637343934,-0.0284346553473219,,3.605937004089356,-0.022339679,0.7210701,,,,,,,0.977660321,
6,A549,12,3,2,10,OSI,0.4177052060447813,0.0999609133535253,0.1891661882400512,4.838810920715332,0.2384715676307678,0.69411725,OSI,0.2705798399629632,0.0981625748910154,0.0981625748910154,0.0,0.0,0.7615284323692322,0.3807642161846161
1,A549,12,3,2,11,OSI,0.7939865057568198,0.4762422130655638,0.1188248470425605,2.26802134513855,0.1608112454414367,0.69650584,OSI,0.1268247225724313,0.1819708806907822,0.1819708806907822,0.1403852871760521,0.6361301151646813,0.8391887545585632,0.7376594348616223
2,A549,12,3,2,11,OSI,0.4247134615322356,0.1069691688409796,0.1425536125898361,1.2806005477905271,-0.017945472,0.4815483,OSI,0.0716094712017429,0.1782370541151963,0.1782370541151963,0.03164849907045601,1.0,0.982054528,0.991027264
3,A549,12,3,2,11,OSI,0.607577183020767,0.289832890329511,,4.351643562316895,0.5038420557975769,0.5511929,,,,,,,0.4961579442024231,
1,A549,12,3,2,12,OSI,0.660678605638231,0.342934312946975,0.2594511806964874,2.602292537689209,-0.040316589,0.5708936,control,0.3214296925815491,0.0,0.0,0.10403322731129601,0.2980956044218888,0.959683411,0.6288895077109444
2,A549,12,3,2,12,OSI,0.1519360363006469,-0.165808256390609,0.1734042912721634,2.512705087661743,-0.360775709,0.44612837,OSI,0.1405071104520712,0.1777724021863325,0.1777724021863325,0.0,0.542322676364327,0.639224291,0.5907734836821634
3,A549,12,3,2,12,OSI,0.4712674746435062,0.1535231819522502,0.1923832297325134,2.011611223220825,-0.469438225,0.40965503,OSI,0.1124866112285136,0.1847169424865803,0.1847169424865803,0.0,0.7344332413615853,0.530561775,0.6324975081807926
4,A549,12,3,2,12,OSI,0.6187605923676976,0.3010162996764416,0.0871520563960075,1.2032878398895264,0.7009121179580688,0.637265,OSI,0.0672862478988031,0.1757142398507195,0.1757142398507195,0.28552547655444804,1.0,0.29908788204193115,0.6495439410209656
5,A549,12,3,2,12,OSI,0.3209074469281036,0.0031631542368475,0.1034521386027336,1.069779872894287,-0.295695066,0.5932734,OSI,0.0598206608082432,0.1701535399941378,0.1701535399941378,0.21083054219364766,1.0,0.704304934,0.852152467
6,A549,12,3,2,12,OSI,0.5989783432884348,0.2812340505971788,0.141321450471878,3.334639549255371,0.3916685283184051,0.44802755,OSI,0.1864685870879821,0.1558297288629092,0.1558297288629092,0.03729486743568833,0.22720747537569644,0.6083314716815948,0.41776947352864563
1,A549,12,3,2,13,OSI,0.2706806650803076,-0.0470636276109484,,5.986544609069824,0.5189075469970703,0.34044552,,,,,,,0.4810924530029297,
2,A549,12,3,2,13,OSI,0.5098528494508153,0.1921085567595593,0.1852186173200607,3.540603876113892,-0.150204763,0.34005144,OSI,0.197985836989373,0.1489687071651245,0.1489687071651245,0.0,0.1482443788184932,0.849795237,0.4990198079092466
3,A549,12,3,2,13,OSI,0.57098982699717,0.253245534305914,0.0942232757806778,2.3123602867126465,-0.298480392,0.10258885,OSI,0.1293040969294423,0.1813140239012411,0.1813140239012411,0.2531216971691627,0.6191313456293889,0.701519608,0.6603254768146944
4,A549,12,3,2,13,OSI,0.4195520245220095,0.1018077318307535,,7.156869411468506,-0.145822316,0.5262074,,,,,,,0.8541776839999999,
1,A549,12,3,2,14,OSI,0.7208727752439061,0.4031284825526501,0.1073893532156944,2.245239734649658,0.1745398193597793,0.657179,OSI,0.1255508053598795,0.1822890098278876,0.1822890098278876,0.19278830269143596,0.6448641835162296,0.8254601806402206,0.7351621820782251
2,A549,12,3,2,14,OSI,0.3486526205537314,0.0309083278624754,,7.883246898651123,-0.207323208,-0.34718266,,,,,,,0.792676792,
1,A549,12,3,2,15,OSI,0.477270249921772,0.159525957230516,0.084884375333786,0.7976623773574829,-0.099975288,0.36539826,OSI,0.0446042141233238,0.1528288265859032,0.1528288265859032,0.29591709826197354,1.0,0.900024712,0.950012356
2,A549,12,3,2,15,OSI,0.2644134334395177,-0.0533308592517382,0.0957600697875022,1.1623903512954712,-0.037406005,0.5518574,OSI,0.0649993149931812,0.1741817286182562,0.1741817286182562,0.24607935676805398,1.0,0.962593995,0.9812969975
3,A549,12,3,2,15,OSI,0.4791791238768791,0.1614348311856231,0.1815020143985748,2.499021053314209,0.5936019420623779,0.47042525,OSI,0.1397419175390867,0.1780422193237465,0.1780422193237465,0.0,0.5475688942019363,0.40639805793762207,0.4769834760697792
4,A549,12,3,2,15,OSI,0.4678919035091606,0.1501476108179046,0.0580660626292228,1.1034759283065796,0.4917722642421722,0.41428244,OSI,0.0617048991945395,0.171713008762163,0.171713008762163,0.4188116997571836,1.0,0.5082277357578278,0.7541138678789139
