ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,E
1,A549,40,4,4,0,VIN,0.449702711833675,0.1899553434334074,,,,0.5813441,,,,,,,,
2,A549,40,4,4,0,VIN,0.8323434034845534,0.5725960350842858,0.1923265904188156,1.3015174865722656,0.6870446801185608,0.4480201,VIN,0.232374735832861,0.0192449313213747,0.0192449313213747,0.0,0.0,0.3129553198814392,0.1564776599407196
3,A549,40,4,4,0,VIN,0.5669206215169421,0.3071732531166745,0.1178202554583549,1.297717809677124,0.5107837915420532,0.33338594,VIN,0.2320794865311432,0.0192204792116655,0.0192204792116655,0.1449888162558432,0.0,0.4892162084579468,0.2446081042289734
1,A549,40,4,4,1,VIN,0.5686963534577547,0.3089489850574871,0.1440985351800918,0.8780879378318787,0.5751054286956787,0.45847422,VIN,0.1921211902226775,0.0159111923159993,0.0159111923159993,0.02456890953169588,0.18845282031949248,0.4248945713043213,0.3066736958119069
2,A549,40,4,4,1,VIN,0.7135341642304607,0.453786795830193,0.2466830164194107,1.3314093351364136,0.7181265354156494,0.5369217,control,0.2540983948445388,0.0,0.0,0.045523265184195916,0.0,0.2818734645843506,0.1409367322921753
3,A549,40,4,4,1,VIN,0.4973574979352212,0.2376101295349536,0.2048965990543365,1.910420536994934,0.8031576871871948,0.25718772,VIN,0.2697282361681776,0.0223384928739661,0.0223384928739661,0.0,0.0,0.19684231281280518,0.09842115640640259
4,A549,40,4,4,1,VIN,0.8888959728076316,0.629148604407364,0.0915659219026565,0.4582734405994415,0.567137598991394,0.5340396,VIN,0.1291334942158802,0.0106946446590529,0.0106946446590529,0.2652989899566993,0.6203010101464624,0.43286240100860596,0.5265817055775341
5,A549,40,4,4,1,VIN,0.6954324522452408,0.4356850838449731,,5.346149444580078,0.2117026150226593,0.18106624,,,,,,,0.7882973849773407,
1,A549,40,4,4,10,VIN,0.9087790173521034,0.6490316489518357,0.171412780880928,2.3433496952056885,-0.496502608,0.43141758,VIN,0.288010605056215,0.0238526115770225,0.0238526115770225,0.0,0.0689719283959049,0.503497392,0.28623466019795246
2,A549,40,4,4,10,VIN,0.7217619597830749,0.4620145913828072,0.2567782998085022,3.4238851070404053,0.4290205836296081,0.14503497,VIN,0.3180303184691052,0.0263387997628757,0.0263387997628757,0.09178478218382846,0.27478925016430267,0.5709794163703918,0.42288433326734726
3,A549,40,4,4,10,VIN,0.7393573142763502,0.4796099458760826,0.1996891945600509,2.5811686515808105,0.8134204149246216,0.36652908,VIN,0.2961725389258169,0.0245285708468936,0.0245285708468936,0.0,0.12493073607629138,0.18657958507537842,0.15575516057583488
4,A549,40,4,4,10,VIN,0.1847664951052528,-0.0749808732950148,0.1906842291355133,3.306369066238404,0.3140254020690918,0.47492322,VIN,0.315495567805839,0.0261288754685821,0.0261288754685821,0.0,0.25741081667665633,0.6859745979309082,0.47169270730378227
5,A549,40,4,4,10,VIN,0.4768296834639905,0.2170823150637228,0.1318897753953933,1.1285967826843262,0.5670514106750488,0.63641953,VIN,0.217870578739767,0.018043718521151,0.018043718521151,0.08051540717380798,0.01191315423841428,0.43294858932495117,0.22243087178168272
6,A549,40,4,4,10,VIN,0.659285781141333,0.3995384127410653,,8.6124267578125,-0.677755475,0.49746618,,,,,,,0.322244525,
1,A549,40,4,4,11,VIN,0.1747450443332304,-0.0850023240670372,0.1559688001871109,3.461048126220703,-0.39152962,0.28021413,VIN,0.3188041090202951,0.0264028839498309,0.0264028839498309,0.0,0.28009441402996504,0.60847038,0.4442823970149825
2,A549,40,4,4,11,VIN,0.2384993521809058,-0.0212480162193617,0.1824818849563598,3.1148111820220947,-0.062015064,0.55480033,VIN,0.31105342973109,0.0257609841749688,0.0257609841749688,0.0,0.22695519743421277,0.937984936,0.5824700667171063
3,A549,40,4,4,11,VIN,0.6548978979435013,0.3951505295432336,,3.2367446422576904,0.7500271201133728,0.68519217,,,,,,,0.2499728798866272,
4,A549,40,4,4,11,VIN,0.796432028639333,0.5366846602390654,0.3861635029315948,2.953136682510376,0.423631489276886,0.54158103,control,0.3323920076247695,0.0,0.0,0.6846909486662455,0.3732540275402202,0.576368510723114,0.4748112691316671
5,A549,40,4,4,11,VIN,0.8547856011863253,0.5950382327860577,0.1541941165924072,2.1945548057556152,0.2610179185867309,0.18335304,VIN,0.2822859536166542,0.0233785044267839,0.0233785044267839,0.0,0.02972330496160902,0.738982081413269,0.38435269318743903
6,A549,40,4,4,11,VIN,0.7560199579237913,0.4962725895235236,0.2456978112459182,3.4627275466918945,0.0814454704523086,0.5919503,VIN,0.3188387727541177,0.0264057547489062,0.0264057547489062,0.04100857410272529,0.28033207109083486,0.9185545295476913,0.5994433003192631
7,A549,40,4,4,11,VIN,0.1847273314529713,-0.0750200369472963,,4.247289180755615,-0.104145333,0.20792803,,,,,,,0.895854667,
8,A549,40,4,4,11,VIN,0.5650705215757534,0.3053231531754858,0.0718564018607139,2.193430185317993,-0.172763616,0.30910695,VIN,0.2822406543279365,0.0233747528068105,0.0233747528068105,0.3556176329638057,0.029412729768779577,0.827236384,0.4283245568843898
9,A549,40,4,4,11,VIN,0.4823911721905379,0.2226438037902702,0.1823755204677581,2.2600760459899902,0.1630405783653259,0.3067838,VIN,0.2848711718839573,0.023592608373268,0.023592608373268,0.0,0.047447747984925306,0.8369594216346741,0.4422035848097997
