ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,6,2,ALM,0.7982428128533942,False,0.47332314972607814
2,0,6,2,ALM,0.6296250553780322,True,0.30470539225071613
3,0,6,2,ALM,0.2795862463334816,True,-0.0453334167938344
1,1,6,2,ALM,0.6687760967033807,False,0.34385643357606466
2,1,6,2,ALM,0.7497301539482867,False,0.42481049082097067
3,1,6,2,ALM,0.6695321857462453,False,0.3446125226189293
4,1,6,2,ALM,0.7440907412629132,False,0.4191710781355972
1,10,6,2,ALM,0.7229353983271909,False,0.3980157351998749
2,10,6,2,ALM,0.6027850365175762,False,0.2778653733902602
3,10,6,2,ALM,0.7566903665364689,False,0.4317707034091529
4,10,6,2,ALM,0.7872010505523068,True,0.4622813874249908
5,10,6,2,ALM,0.8141123562481306,False,0.4891926931208146
6,10,6,2,ALM,0.7917533375825364,False,0.4668336744552204
1,11,6,2,ALM,0.7046510211198348,False,0.3797313579925188
2,11,6,2,ALM,0.7555549802184338,True,0.4306353170911178
3,11,6,2,ALM,0.7287314902411237,False,0.4038118271138077
4,11,6,2,ALM,0.8027034529594583,False,0.4777837898321423
5,11,6,2,ALM,0.7165535912534542,False,0.3916339281261382
6,11,6,2,ALM,0.4713515238942255,True,0.1464318607669095
1,12,6,2,ALM,0.6399625939700196,False,0.31504293084270363
2,12,6,2,ALM,0.4669312983942421,True,0.14201163526692606
1,13,6,2,ALM,0.8724468261239313,True,0.5475271629966153
2,13,6,2,ALM,0.8896947824458172,True,0.5647751193185012
3,13,6,2,ALM,0.584843798093572,True,0.259924134966256
4,13,6,2,ALM,0.786277932895371,False,0.46135826976805494
5,13,6,2,ALM,0.7258114615971409,False,0.4008917984698249
1,15,6,2,ALM,0.7731465252225279,False,0.4482268620952119
2,15,6,2,ALM,0.7737255531348097,False,0.4488058900074937
3,15,6,2,ALM,0.6716603828204414,False,0.34674071969312537
4,15,6,2,ALM,0.35438023061990337,True,0.029460567492587353
1,16,6,2,ALM,0.7386671132744278,False,0.4137474501471118
1,17,6,2,ALM,0.801655844797178,False,0.476736181669862
2,17,6,2,ALM,0.7755785723889004,False,0.45065890926158436
3,17,6,2,ALM,0.7555249110256799,False,0.43060524789836385
1,18,6,2,ALM,0.7123262156363728,False,0.38740655250905676
2,18,6,2,ALM,0.3756830993168705,True,0.05076343618955448
3,18,6,2,ALM,0.6729476749131804,False,0.3480280117858644
4,18,6,2,ALM,0.7895466213001192,False,0.4646269581728032
5,18,6,2,ALM,0.7304658693702907,True,0.40554620624297466
6,18,6,2,ALM,0.4945339748346752,True,0.1696143117073592
1,2,6,2,ALM,0.7937177791630197,False,0.46879811603570365
2,2,6,2,ALM,0.7310725239762117,False,0.4061528608488957
3,2,6,2,ALM,0.7276436882927614,False,0.40272402516544537
4,2,6,2,ALM,0.7309993844644666,True,0.40607972133715053
1,3,6,2,ALM,0.7852727138785454,False,0.46035305075122934
2,3,6,2,ALM,0.7203959009410783,False,0.3954762378137623
1,4,6,2,ALM,0.7452496184111019,False,0.4203299552837859
2,4,6,2,ALM,0.5672486988074823,False,0.24232903568016628
1,5,6,2,ALM,0.7979773000701484,False,0.4730576369428324
2,5,6,2,ALM,0.7159612454811862,False,0.3910415823538702
3,5,6,2,ALM,0.7449123398229126,False,0.4199926766955966
1,6,6,2,ALM,0.8060300469137349,True,0.4811103837864189
2,6,6,2,ALM,0.5786992039565663,True,0.25377954082925025
3,6,6,2,ALM,0.5503679110746481,True,0.2254482479473321
4,6,6,2,ALM,0.7287033046304681,False,0.40378364150315205
5,6,6,2,ALM,0.7181643610499016,False,0.39324469792258554
6,6,6,2,ALM,0.7096379375996811,False,0.38471827447236506
1,7,6,2,ALM,0.7475722973635806,True,0.42265263423626453
2,7,6,2,ALM,0.8034993746756225,False,0.4785797115483065
3,7,6,2,ALM,0.6214446667574168,True,0.2965250036301008
4,7,6,2,ALM,0.8756891544536819,True,0.5507694913263659
5,7,6,2,ALM,0.6406841453936016,False,0.3157644822662856
6,7,6,2,ALM,0.8304881243880626,True,0.5055684612607466
7,7,6,2,ALM,0.7681369894130821,False,0.44321732628576604
1,8,6,2,ALM,0.7719869618180567,False,0.4470672986907407
1,9,6,2,ALM,0.6281933208104415,False,0.30327365768312553
2,9,6,2,ALM,0.7746513611837681,False,0.4497316980564521
3,9,6,2,ALM,0.7236364737533034,False,0.3987168106259874
1,0,0,2,control,0.2590112059167017,True,-0.06590845721061434
2,0,0,2,control,0.22750129966405613,False,-0.09741836346325988
1,1,0,2,control,0.6405781398542152,False,0.3156584767268992
2,1,0,2,control,0.3016004887908682,False,-0.023319174336447812
3,1,0,2,control,0.32263883361563456,True,-0.002280829511681459
4,1,0,2,control,0.20845250354355027,False,-0.11646715958376574
5,1,0,2,control,0.2767823571227718,False,-0.04813730600454419
6,1,0,2,control,0.567550918802303,True,0.242631255674987
7,1,0,2,control,0.3277585433822484,False,0.0028388802549323966
8,1,0,2,control,0.3263315089430101,False,0.0014118458156940905
1,10,0,2,control,0.3526205856108301,False,0.02770092248351408
2,10,0,2,control,0.254530824582079,False,-0.07038883854523703
3,10,0,2,control,0.2514777483093503,False,-0.07344191481796569
4,10,0,2,control,0.25144888424571404,False,-0.07347077888160197
5,10,0,2,control,0.19217957606835093,False,-0.1327400870589651
6,10,0,2,control,0.4496387112970794,False,0.12471904816976337
1,11,0,2,control,0.20466633785992686,False,-0.12025332526738916
2,11,0,2,control,0.3834538369327662,False,0.058534173805450174
3,11,0,2,control,0.23925161379805565,False,-0.08566804932926037
4,11,0,2,control,0.07733622793043111,True,-0.24758343519688492
5,11,0,2,control,0.4153938594129187,False,0.09047419628560266
6,11,0,2,control,0.6422969494181746,False,0.3173772862908586
7,11,0,2,control,0.17908827399320024,True,-0.14583138913411578
8,11,0,2,control,0.4016125650668997,False,0.07669290193958367
9,11,0,2,control,0.2067320123461897,False,-0.11818765078112631
10,11,0,2,control,0.17402455555055685,False,-0.15089510757675917
11,11,0,2,control,0.22498065152371138,False,-0.09993901160360463
1,12,0,2,control,0.09174820790740472,True,-0.23317145521991128
2,12,0,2,control,0.3003555211618235,False,-0.024564141965492503
3,12,0,2,control,0.43048900895661524,False,0.10556934582929922
4,12,0,2,control,0.28778744770369497,False,-0.03713221542362105
5,12,0,2,control,0.2804633683194039,False,-0.04445629480791213
6,12,0,2,control,0.3296467652171999,False,0.004727102089883861
7,12,0,2,control,0.22564201881373566,True,-0.09927764431358035
1,13,0,2,control,0.2510866484638168,False,-0.07383301466349923
2,13,0,2,control,0.2579136961209577,True,-0.0670059670063583
3,13,0,2,control,0.3970301174103107,True,0.07211045428299467
4,13,0,2,control,0.40743458055762405,False,0.08251491743030803
5,13,0,2,control,0.30539811171975517,False,-0.019521551407560844
6,13,0,2,control,0.25260510400337816,False,-0.07231455912393786
7,13,0,2,control,0.3171886842748707,False,-0.007730978852445336
1,14,0,2,control,0.22787834643625313,False,-0.09704131669106289
2,14,0,2,control,0.29038363497549824,False,-0.03453602815181778
3,14,0,2,control,0.20153499455081364,True,-0.12338466857650238
