ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,12,6,OSI,0.7751088871083832,False,0.5150527579335871
2,0,12,6,OSI,0.6761993832303201,True,0.41614325405552394
3,0,12,6,OSI,0.7484356805430575,False,0.48837955136826133
4,0,12,6,OSI,0.7471363259592755,False,0.4870801967844793
1,1,12,6,OSI,0.7785696316929402,False,0.518513502518144
2,1,12,6,OSI,0.6679106010823147,False,0.4078544719075185
3,1,12,6,OSI,0.7538054342179181,False,0.4937493050431219
4,1,12,6,OSI,0.7118063499951073,False,0.4517502208203111
5,1,12,6,OSI,0.6612014314411641,True,0.40114530226636785
1,10,12,6,OSI,0.41576949809916214,True,0.15571336892436594
2,10,12,6,OSI,0.697231750552447,False,0.4371756213776508
3,10,12,6,OSI,0.731372628889414,False,0.4713164997146178
4,10,12,6,OSI,0.7150787508104515,False,0.45502262163565527
5,10,12,6,OSI,0.7900235179514888,False,0.5299673887766927
1,11,12,6,OSI,0.6908322865631996,False,0.4307761573884034
2,11,12,6,OSI,0.7717228695161402,False,0.511666740341344
3,11,12,6,OSI,0.5407073177948178,True,0.28065118862002164
4,11,12,6,OSI,0.5886604396318823,True,0.3286043104570861
5,11,12,6,OSI,0.6261157412459173,False,0.3660596120711211
1,12,12,6,OSI,0.6888620860509203,False,0.42880595687612405
2,12,12,6,OSI,0.6933399114840921,False,0.43328378230929593
3,12,12,6,OSI,0.7219371867255362,False,0.46188105755074
4,12,12,6,OSI,0.5850387024810942,False,0.32498257330629804
1,13,12,6,OSI,0.9428312493021934,True,0.6827751201273973
2,13,12,6,OSI,0.6842118413855479,False,0.4241557122107517
3,13,12,6,OSI,0.8456786876939818,True,0.5856225585191857
4,13,12,6,OSI,0.7688918209755223,False,0.5088356918007262
1,14,12,6,OSI,0.8527759869718915,True,0.5927198577970954
2,14,12,6,OSI,0.8007800733568061,False,0.54072394418201
3,14,12,6,OSI,0.7104785471588346,True,0.4504224179840384
4,14,12,6,OSI,0.7602171256497646,False,0.5001609964749685
5,14,12,6,OSI,0.7487442558853653,False,0.4886881267105691
6,14,12,6,OSI,0.7223292831333097,False,0.4622731539585135
7,14,12,6,OSI,0.7767003696557666,False,0.5166442404809704
1,15,12,6,OSI,0.6216936968531257,False,0.3616375676783295
2,15,12,6,OSI,0.7168164398721496,False,0.4567603106973534
3,15,12,6,OSI,0.6842757963624766,True,0.4242196671876804
4,15,12,6,OSI,0.7952603968261162,False,0.53520426765132
5,15,12,6,OSI,0.8460423923143905,True,0.5859862631395942
1,16,12,6,OSI,0.6652016674763941,False,0.4051455383015979
2,16,12,6,OSI,0.6669018219166108,False,0.40684569274181465
3,16,12,6,OSI,0.7050328025394653,True,0.4449766733646691
4,16,12,6,OSI,0.6808108533965156,False,0.4207547242217194
1,17,12,6,OSI,0.5999498288827736,False,0.3398936997079774
2,17,12,6,OSI,0.7700207312321282,False,0.5099646020573321
3,17,12,6,OSI,0.789385531946198,False,0.5293294027714017
4,17,12,6,OSI,0.7426850477079826,False,0.4826289185331864
5,17,12,6,OSI,0.7022292863527719,False,0.44217315717797573
1,18,12,6,OSI,0.6571031865846456,False,0.3970470574098494
2,18,12,6,OSI,0.7469222578453898,False,0.4868661286705936
3,18,12,6,OSI,0.6260348967214506,False,0.3659787675466544
4,18,12,6,OSI,0.5631977955410876,False,0.3031416663662914
5,18,12,6,OSI,0.7341859363856746,False,0.47412980721087844
6,18,12,6,OSI,0.759681049569481,False,0.4996249203946848
7,18,12,6,OSI,0.7477853836944854,False,0.48772925451968924
1,19,12,6,OSI,0.665982364464117,True,0.40592623528932076
2,19,12,6,OSI,0.720322502115447,False,0.4602663729406508
1,2,12,6,OSI,0.7835211865457912,False,0.5234650573709949
2,2,12,6,OSI,0.5881125614448409,True,0.3280564322700447
3,2,12,6,OSI,0.836425997936872,True,0.5763698687620757
4,2,12,6,OSI,0.7731699678191268,False,0.5131138386443306
5,2,12,6,OSI,0.9371800210103496,True,0.6771238918355533
6,2,12,6,OSI,0.9180514025732569,True,0.6579952733984606
1,3,12,6,OSI,0.7161298304418622,False,0.456073701267066
2,3,12,6,OSI,0.7280843130941103,True,0.46802818391931406
3,3,12,6,OSI,0.7228595619862656,True,0.46280343281146935
4,3,12,6,OSI,0.7527802001927897,False,0.4927240710179935
5,3,12,6,OSI,0.601858322823406,False,0.3418021936486098
1,4,12,6,OSI,0.753166038285099,False,0.4931099091103028
2,4,12,6,OSI,0.6660667281207079,False,0.4060105989459117
3,4,12,6,OSI,0.7671827510080027,False,0.5071266218332064
4,4,12,6,OSI,0.7139984256446879,False,0.45394229646989165
5,4,12,6,OSI,0.696213167714756,False,0.43615703853995985
1,5,12,6,OSI,0.8695120602584815,True,0.6094559310836853
2,5,12,6,OSI,0.6554019006233546,False,0.39534577144855837
3,5,12,6,OSI,0.6991694492375589,False,0.43911332006276266
4,5,12,6,OSI,0.858134135138123,True,0.5980780059633268
5,5,12,6,OSI,0.6445731733292617,True,0.38451704415446547
6,5,12,6,OSI,0.6643492280531579,False,0.4042930988783617
7,5,12,6,OSI,0.6889642875910844,False,0.4289081584162882
8,5,12,6,OSI,0.7107459247731219,False,0.4506897955983257
9,5,12,6,OSI,0.6709032289955676,True,0.41084709982077144
10,5,12,6,OSI,0.7726930700827594,False,0.5126369409079632
1,6,12,6,OSI,0.5782966946654448,False,0.31824056549064855
2,6,12,6,OSI,0.7689332697352722,False,0.508877140560476
3,6,12,6,OSI,0.6524651598924505,False,0.39240903071765426
4,6,12,6,OSI,0.7573262252199225,True,0.49727009604512634
1,7,12,6,OSI,0.674467553463707,True,0.4144114242889108
2,7,12,6,OSI,0.7011536190391898,False,0.4410974898643936
3,7,12,6,OSI,0.7849800428173045,False,0.5249239136425083
4,7,12,6,OSI,0.7474215458269114,False,0.48736541665211525
5,7,12,6,OSI,0.6908311826786211,False,0.4307750535038249
6,7,12,6,OSI,0.6536202757061955,True,0.3935641465313993
7,7,12,6,OSI,0.6645809315715684,True,0.4045248023967722
8,7,12,6,OSI,0.6965185132675332,False,0.436462384092737
1,8,12,6,OSI,0.6176396184707442,True,0.357583489295948
2,8,12,6,OSI,0.6986587785609811,False,0.43860264938618493
3,8,12,6,OSI,0.7257967854409143,False,0.4657406562661181
4,8,12,6,OSI,0.7031197908174379,True,0.4430636616426417
5,8,12,6,OSI,0.5387410814602926,True,0.27868495228549645
