ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,40,2,VIN,0.869863920334808,False,0.649553428552784
2,0,40,2,VIN,0.7632193861607425,False,0.5429088943787185
1,1,40,2,VIN,0.7950746130511334,False,0.5747641212691094
2,1,40,2,VIN,0.7880637723249702,False,0.5677532805429462
1,10,40,2,VIN,0.9030284493115511,True,0.6827179575295271
2,10,40,2,VIN,0.8761502104298604,False,0.6558397186478364
3,10,40,2,VIN,0.2830584520709243,True,0.06274796028890028
1,11,40,2,VIN,0.8318520568434042,False,0.6115415650613802
2,11,40,2,VIN,0.855237212091666,False,0.634926720309642
3,11,40,2,VIN,0.8663484110462232,False,0.6460379192641992
4,11,40,2,VIN,0.8525186885514838,False,0.6322081967694598
5,11,40,2,VIN,0.8682528804136262,False,0.6479423886316023
6,11,40,2,VIN,0.7360980189251013,False,0.5157875271430773
1,12,40,2,VIN,0.7840369156133106,False,0.5637264238312866
2,12,40,2,VIN,0.4361722526412729,False,0.2158617608592489
3,12,40,2,VIN,0.9092623208697344,False,0.6889518290877104
4,12,40,2,VIN,0.8235944228564748,True,0.6032839310744508
5,12,40,2,VIN,0.8280560292130072,False,0.6077455374309833
6,12,40,2,VIN,0.8032818323457194,False,0.5829713405636954
7,12,40,2,VIN,0.3741596990127675,True,0.15384920723074352
8,12,40,2,VIN,0.5825416711714173,False,0.3622311793893933
9,12,40,2,VIN,0.8827070378836506,False,0.6623965461016266
10,12,40,2,VIN,0.7916368484986028,False,0.5713263567165788
11,12,40,2,VIN,0.4944362240662268,True,0.2741257322842028
12,12,40,2,VIN,0.6804107527864562,True,0.46010026100443224
13,12,40,2,VIN,0.9202126206949224,True,0.6999021289128984
14,12,40,2,VIN,0.8318228911036062,False,0.6115123993215822
15,12,40,2,VIN,0.8425026636339108,True,0.6221921718518868
16,12,40,2,VIN,0.8279323300471312,False,0.6076218382651072
17,12,40,2,VIN,0.8992610697981629,True,0.6789505780161389
18,12,40,2,VIN,0.8726906679511547,False,0.6523801761691307
19,12,40,2,VIN,0.88277273856929,False,0.662462246787266
20,12,40,2,VIN,0.7975402048320405,False,0.5772297130500165
1,13,40,2,VIN,0.9131300604682634,False,0.6928195686862394
2,13,40,2,VIN,0.9074858742360945,False,0.6871753824540705
3,13,40,2,VIN,0.8640471435301832,False,0.6437366517481592
4,13,40,2,VIN,0.9271225287364377,True,0.7068120369544137
5,13,40,2,VIN,0.8513081076013205,False,0.6309976158192965
6,13,40,2,VIN,0.8287476750254911,False,0.6084371832434671
7,13,40,2,VIN,0.9171017073959232,True,0.6967912156138992
1,14,40,2,VIN,0.9874896776148641,True,0.7671791858328401
2,14,40,2,VIN,0.8873684158998341,False,0.6670579241178101
3,14,40,2,VIN,0.7770853157760886,True,0.5567748239940646
4,14,40,2,VIN,0.8234501648164697,False,0.6031396730344457
1,15,40,2,VIN,0.8949299288416317,False,0.6746194370596077
2,15,40,2,VIN,0.8193311493137563,False,0.5990206575317323
3,15,40,2,VIN,0.8436520585506007,False,0.6233415667685767
4,15,40,2,VIN,0.8690685172916096,False,0.6487580255095856
5,15,40,2,VIN,0.660281188379314,True,0.43997069659729005
6,15,40,2,VIN,0.8839544171771031,False,0.6636439253950791
7,15,40,2,VIN,0.8638891077209119,False,0.6435786159388879
1,16,40,2,VIN,0.6108296722991675,False,0.3905191805171435
2,16,40,2,VIN,0.720307908392323,False,0.49999741661029895
3,16,40,2,VIN,0.5419874449453184,True,0.32167695316329437
4,16,40,2,VIN,0.6885885984135408,True,0.4682781066315168
5,16,40,2,VIN,0.7992246894535993,False,0.5789141976715753
1,17,40,2,VIN,0.8965507470033565,False,0.6762402552213325
2,17,40,2,VIN,0.14534461699017276,True,-0.07496587479185124
3,17,40,2,VIN,0.837016895147524,False,0.6167064033655
4,17,40,2,VIN,0.4945723983343219,True,0.27426190655229793
5,17,40,2,VIN,0.9791722306773041,False,0.7588617388952801
6,17,40,2,VIN,0.8925441753835297,False,0.6722336836015057
