ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,6,1,2,0,ALM,0.43022947136848766,0.10511180225925715
2,A549,6,1,2,0,ALM,0.46428384121198796,0.13916617210275745
3,A549,6,1,2,0,ALM,0.18515313653734658,-0.13996453257188393
1,A549,6,1,2,1,ALM,0.2599429932173593,-0.0651746758918712
2,A549,6,1,2,1,ALM,0.22515503536967865,-0.09996263373955186
3,A549,6,1,2,1,ALM,0.2568764059687806,-0.06824126314044993
4,A549,6,1,2,1,ALM,0.08298817899753956,-0.24212949011169094
1,A549,6,1,2,10,ALM,0.3545164118040936,0.02939874269486309
2,A549,6,1,2,10,ALM,0.36054790759045097,0.035430238481220455
3,A549,6,1,2,10,ALM,0.3926140069098306,0.0674963378006001
4,A549,6,1,2,10,ALM,0.4106084852101457,0.08549081610091519
5,A549,6,1,2,10,ALM,0.4998353323052225,0.17471766319599197
6,A549,6,1,2,10,ALM,0.5789017265426482,0.25378405743341764
1,A549,6,1,2,11,ALM,0.5695600926064502,0.24444242349721973
2,A549,6,1,2,11,ALM,0.529512268212721,0.2043945991034905
3,A549,6,1,2,11,ALM,0.3063688366126402,-0.018748832496590317
4,A549,6,1,2,11,ALM,0.5242432019064742,0.1991255327972437
5,A549,6,1,2,11,ALM,0.5492855568016848,0.22416788769245427
6,A549,6,1,2,11,ALM,0.4585434248961606,0.1334257557869301
1,A549,6,1,2,12,ALM,0.38629085684927694,0.06117318774004643
2,A549,6,1,2,12,ALM,0.4770574762621987,0.15193980715296818
1,A549,6,1,2,13,ALM,0.40336365673662133,0.07824598762739082
2,A549,6,1,2,13,ALM,0.4381300078926326,0.11301233878340211
3,A549,6,1,2,13,ALM,0.4338685200222199,0.10875085091298936
4,A549,6,1,2,13,ALM,0.4395781406875755,0.11446047157834499
5,A549,6,1,2,13,ALM,0.6131066350135375,0.28798896590430695
1,A549,6,1,2,15,ALM,0.6457583116608905,0.32064064255165997
2,A549,6,1,2,15,ALM,0.5786007369073901,0.2534830677981596
3,A549,6,1,2,15,ALM,0.5845152431105675,0.25939757400133695
4,A549,6,1,2,15,ALM,0.7363164332111195,0.411198764101889
1,A549,6,1,2,16,ALM,0.4165075355760258,0.09138986646679531
1,A549,6,1,2,17,ALM,0.592290379563633,0.26717271045440244
2,A549,6,1,2,17,ALM,0.5349802544983632,0.20986258538913266
3,A549,6,1,2,17,ALM,0.6635615689961865,0.33844389988695595
1,A549,6,1,2,18,ALM,0.3826202279379077,0.057502558828677164
2,A549,6,1,2,18,ALM,0.4232196929168401,0.09810202380760957
3,A549,6,1,2,18,ALM,0.46250252686044835,0.13738485775121784
4,A549,6,1,2,18,ALM,0.409605421048993,0.08448775193976249
5,A549,6,1,2,18,ALM,0.2955075142167761,-0.029610154892454388
6,A549,6,1,2,18,ALM,0.4024597644192876,0.07734209531005709
1,A549,6,1,2,2,ALM,0.3963893605239313,0.0712716914147008
2,A549,6,1,2,2,ALM,0.3696116507458056,0.044493981636575086
3,A549,6,1,2,2,ALM,0.3466281976977921,0.02151052858856156
4,A549,6,1,2,2,ALM,0.5014767537980029,0.17635908468877243
1,A549,6,1,2,3,ALM,0.519813040743345,0.1946953716341145
2,A549,6,1,2,3,ALM,0.5297818958572427,0.20466422674801216
1,A549,6,1,2,4,ALM,0.7661019360040134,0.44098426689478293
2,A549,6,1,2,4,ALM,0.49657680156953593,0.17145913246030542
1,A549,6,1,2,5,ALM,0.5309450026890065,0.20582733357977595
2,A549,6,1,2,5,ALM,0.5277568794099001,0.20263921030066961
3,A549,6,1,2,5,ALM,0.5915624163087692,0.26644474719953865
1,A549,6,1,2,6,ALM,0.519085899538272,0.1939682304290415
2,A549,6,1,2,6,ALM,0.49431676871682234,0.16919909960759183
3,A549,6,1,2,6,ALM,0.6438398112897281,0.3187221421804976
4,A549,6,1,2,6,ALM,0.6912319546479729,0.3661142855387424
5,A549,6,1,2,6,ALM,0.5024186896287224,0.17730102051949187
6,A549,6,1,2,6,ALM,0.47273083027592655,0.14761316116669604
1,A549,6,1,2,7,ALM,0.41008823858559307,0.08497056947636256
2,A549,6,1,2,7,ALM,0.4876135272529857,0.16249585814375517
3,A549,6,1,2,7,ALM,0.5999362951852032,0.2748186260759727
4,A549,6,1,2,7,ALM,0.41950108462449964,0.09438341551526913
5,A549,6,1,2,7,ALM,0.6558379652020422,0.33072029609281167
6,A549,6,1,2,7,ALM,0.47040325631929514,0.14528558721006463
7,A549,6,1,2,7,ALM,0.6923426273813625,0.36722495827213203
1,A549,6,1,2,8,ALM,0.41320024364884606,0.08808257453961554
1,A549,6,1,2,9,ALM,0.552920491768534,0.22780282265930346
2,A549,6,1,2,9,ALM,0.45710433014105883,0.13198666103182832
3,A549,6,1,2,9,ALM,0.4463859421838299,0.12126827307459936
1,A549,0,1,2,0,control,0.3100975860900048,-0.015020083019225694
2,A549,0,1,2,0,control,0.4731916797470923,0.1480740106378618
1,A549,0,1,2,1,control,0.22140455555544297,-0.10371311355378754
2,A549,0,1,2,1,control,0.20539405667804517,-0.11972361243118534
1,A549,0,1,2,10,control,0.4580537273813758,0.13293605827214527
2,A549,0,1,2,10,control,0.3257644628304186,0.0006467937211880881
3,A549,0,1,2,10,control,0.33954902535871484,0.014431356249484328
4,A549,0,1,2,10,control,0.41923620628073205,0.09411853717150154
5,A549,0,1,2,10,control,0.47074952909387446,0.14563185998464395
6,A549,0,1,2,10,control,0.3492602332439663,0.02414256413473581
1,A549,0,1,2,11,control,0.26643331473484466,-0.05868435437438585
1,A549,0,1,2,12,control,0.4467554907077439,0.12163782159851338
2,A549,0,1,2,12,control,0.2978364001683908,-0.02728126894083971
3,A549,0,1,2,12,control,0.5212655066908441,0.19614783758161364
1,A549,0,1,2,13,control,0.3185864675225439,-0.00653120158668663
2,A549,0,1,2,13,control,0.27855112062872733,-0.04656654848050318
3,A549,0,1,2,13,control,0.28990238109286953,-0.03521528801636098
4,A549,0,1,2,13,control,0.3084051729109447,-0.016712496198285798
5,A549,0,1,2,13,control,0.2590489279021778,-0.0660687412070527
6,A549,0,1,2,13,control,0.3150521635102466,-0.010065505598983893
1,A549,0,1,2,14,control,0.2666443821362765,-0.05847328697295401
2,A549,0,1,2,14,control,0.3033482787270961,-0.021769390382134435
3,A549,0,1,2,14,control,0.3815251240165067,0.05640745490727617
4,A549,0,1,2,14,control,0.3352065125340197,0.010088843424789162
5,A549,0,1,2,14,control,0.3480008407620697,0.022883171652839207
1,A549,0,1,2,15,control,0.35108488856304887,0.025967219453818358
2,A549,0,1,2,15,control,0.3371385998212794,0.012020930712048905
3,A549,0,1,2,15,control,0.31004806957660563,-0.015069599532624878
4,A549,0,1,2,15,control,0.34357430250627663,0.01845663339704612
5,A549,0,1,2,15,control,0.18183977992648118,-0.14327788918274934
1,A549,0,1,2,16,control,0.2518862021421236,-0.07323146696710692
2,A549,0,1,2,16,control,0.2241834923671689,-0.10093417674206162
1,A549,0,1,2,17,control,0.3918542330921305,0.06673656398290001
2,A549,0,1,2,17,control,0.29425236163743074,-0.030865307471799774
3,A549,0,1,2,17,control,0.20931218829127513,-0.11580548081795539
4,A549,0,1,2,17,control,0.2421400101227539,-0.0829776589864766
1,A549,0,1,2,18,control,0.48258870669453946,0.15747103758530895
1,A549,0,1,2,19,control,0.3184681353863804,-0.006649533722850098
2,A549,0,1,2,19,control,0.3788843174395228,0.053766648330292266
3,A549,0,1,2,19,control,0.2977371733251089,-0.027380495784121606
4,A549,0,1,2,19,control,0.31196202804436685,-0.013155641064863666
1,A549,0,1,2,2,control,0.34520322253477076,0.020085553425540248
2,A549,0,1,2,2,control,0.2987235443932488,-0.026394124715981737
3,A549,0,1,2,2,control,0.4250904345864569,0.09997276547722639
4,A549,0,1,2,2,control,0.36821535344505374,0.04309768433582323
5,A549,0,1,2,2,control,0.31150910384783426,-0.013608565261396255
1,A549,0,1,2,3,control,0.3671089389737812,0.04199126986455071
2,A549,0,1,2,3,control,0.3109742412071291,-0.014143427902101435
3,A549,0,1,2,3,control,0.3364041262341337,0.011286457124903171
4,A549,0,1,2,3,control,0.46817228456138055,0.14305461545215004
1,A549,0,1,2,4,control,0.28883795129729933,-0.03627971781193118
2,A549,0,1,2,4,control,0.3046170794649786,-0.020500589644251888
3,A549,0,1,2,4,control,0.1804089218932671,-0.1447087472159634
1,A549,0,1,2,5,control,0.3462187732913569,0.021101104182126407
2,A549,0,1,2,5,control,0.3112191440550885,-0.013898525054142019
1,A549,0,1,2,6,control,0.4091487668317166,0.08403109772248607
1,A549,0,1,2,7,control,0.43989245288652734,0.11477478377729683
2,A549,0,1,2,7,control,0.3166829612546881,-0.008434707854542423
1,A549,0,1,2,8,control,0.5688475279009733,0.24372985879174275
2,A549,0,1,2,8,control,0.39334658092542507,0.06822891181619456
1,A549,0,1,2,9,control,0.40379225445522293,0.07867458534599242
2,A549,0,1,2,9,control,0.30905978238764803,-0.01605788672158248
3,A549,0,1,2,9,control,0.2528108220157642,-0.0723068470934663
1,A549,0,3,2,0,control,0.37085177284257675,0.04573410373334624
1,A549,0,3,2,1,control,0.24458604737137396,-0.08053162173785655
2,A549,0,3,2,1,control,0.20955373188673362,-0.11556393722249689
3,A549,0,3,2,1,control,0.189008127389959,-0.1361095417192715
4,A549,0,3,2,1,control,0.23982735187550422,-0.08529031723372629
5,A549,0,3,2,1,control,0.21288909277633844,-0.11222857633289207
6,A549,0,3,2,1,control,0.21278999658138814,-0.11232767252784237
1,A549,0,3,2,10,control,0.39653399847694254,0.07141632936771203
2,A549,0,3,2,10,control,0.28040442171412483,-0.04471324739510568
3,A549,0,3,2,10,control,0.3038102318716767,-0.021307437237553795
4,A549,0,3,2,10,control,0.4108269337550466,0.08570926464581607
1,A549,0,3,2,11,control,0.34154008516757006,0.01642241605833955
2,A549,0,3,2,11,control,0.4737228468514644,0.14860517774223386
1,A549,0,3,2,12,control,0.1902557549131168,-0.1348619141961137
2,A549,0,3,2,12,control,0.2345377930724807,-0.0905798760367498
3,A549,0,3,2,12,control,0.2392550552166429,-0.08586261389258762
1,A549,0,3,2,13,control,0.28634873288961843,-0.03876893621961208
2,A549,0,3,2,13,control,0.21619810541188808,-0.10891956369734243
3,A549,0,3,2,13,control,0.3018748591553909,-0.023242809953839594
1,A549,0,3,2,14,control,0.21208378581099002,-0.11303388329824049
2,A549,0,3,2,14,control,0.2798027325384297,-0.04531493657080082
1,A549,0,3,2,2,control,0.343095713504687,0.01797804439545647
2,A549,0,3,2,2,control,0.3246842739351197,-0.00043339517411078443
3,A549,0,3,2,2,control,0.27758196569347393,-0.04753570341575658
1,A549,0,3,2,4,control,0.2582347877368572,-0.0668828813723733
2,A549,0,3,2,4,control,0.24394157380157414,-0.08117609530765638
3,A549,0,3,2,4,control,0.32680240492627144,0.0016847358170409277
4,A549,0,3,2,4,control,0.312565679842692,-0.012551989266538499
5,A549,0,3,2,4,control,0.2234970363097326,-0.1016206327994979
1,A549,0,3,2,5,control,0.17677093932410465,-0.14834672978512586
2,A549,0,3,2,5,control,0.2695989455684786,-0.055518723540751935
3,A549,0,3,2,5,control,0.2393040357497765,-0.08581363335945402
4,A549,0,3,2,5,control,0.16014906454227873,-0.16496860456695178
1,A549,0,3,2,6,control,0.5103276831574132,0.18521001404818266
2,A549,0,3,2,6,control,0.3295489189594546,0.004431249850224084
3,A549,0,3,2,6,control,0.3441538949868397,0.01903622587760917
1,A549,0,3,2,7,control,0.2657646897992768,-0.0593529793099537
2,A549,0,3,2,7,control,0.25515998980597937,-0.06995767930325114
3,A549,0,3,2,7,control,0.4570420041042088,0.1319243349949783
4,A549,0,3,2,7,control,0.2916704735504355,-0.033447195558794995
1,A549,0,3,2,8,control,0.29998583342307145,-0.025131835686159065
2,A549,0,3,2,8,control,0.3959267678654016,0.07080909875617108
3,A549,0,3,2,8,control,0.6764269891236698,0.3513093200144393
4,A549,0,3,2,8,control,0.28024120174648537,-0.04487646736274514
